"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"1","p__;f__other taxa","D",47.4742114475105,0,3.90909090909091,0,NA,"other taxa","Desert","OTU"
"6","p__Acidobacteria;f__Acidobacteriaceae;g__unidentified","D",0.0260678508918929,0.0170654142738459,3,0.00985272152483741,0.0446877443861021,"Acidobacteriaceae;g__unidentified","Desert","OTU"
"11","p__Actinobacteria;f__Geodermatophilaceae;g__Modestobacter","D",10.9038096302089,1.58843298269716,4,0.794216491348579,12.1885822813094,"Geodermatophilaceae;g__Modestobacter","Desert","OTU"
"16","p__Actinobacteria;f__Microbacteriaceae;g__Curtobacterium","D",0.737347782370685,0.0810767551375163,4,0.0405383775687581,0.837895207239415,"Microbacteriaceae;g__Curtobacterium","Desert","OTU"
"21","p__Bacteroidetes;f__Chitinophagaceae;g__Segetibacter","D",2.44386102111496,0.254493827088527,4,0.127246913544264,2.81532789632443,"Chitinophagaceae;g__Segetibacter","Desert","OTU"
"26","p__Bacteroidetes;f__Cytophagaceae;g__Hymenobacter","D",3.75935649648084,0.613372189353761,4,0.306686094676881,4.53580605518936,"Cytophagaceae;g__Hymenobacter","Desert","OTU"
"31","p__Bacteroidetes;f__Sphingobacteriaceae;g__unidentified","D",5.12512568428109,0.837541354545012,4,0.418770677272506,6.3009719584404,"Sphingobacteriaceae;g__unidentified","Desert","OTU"
"36","p__Proteobacteria;f__Acetobacteraceae;g__unidentified","D",5.26477488548765,0.596304814540068,4,0.298152407270034,5.94347000335158,"Acetobacteraceae;g__unidentified","Desert","OTU"
"41","p__Proteobacteria;f__Caulobacteraceae;g__unidentified","D",1.71489219081667,0.11770365046199,4,0.0588518252309951,1.88805720031281,"Caulobacteraceae;g__unidentified","Desert","OTU"
"46","p__Proteobacteria;f__Methylobacteriaceae;g__Methylobacterium","D",9.58272818679477,0.406344781640695,4,0.203172390820348,9.92067925371467,"Methylobacteriaceae;g__Methylobacterium","Desert","OTU"
"51","p__Proteobacteria;f__Oxalobacteraceae;g__Janthinobacterium","D",0.656351245670875,0.0852661016784368,4,0.0426330508392184,0.737347782370685,"Oxalobacteraceae;g__Janthinobacterium","Desert","OTU"
"56","p__Proteobacteria;f__Sphingomonadaceae;g__Sphingomonas","D",12.3114735783711,0.575833565212049,4,0.287916782606024,13.0823371690314,"Sphingomonadaceae;g__Sphingomonas","Desert","OTU"
"2","p__;f__other taxa","G",43.8330912747179,0,4,0,NA,"other taxa","Grassland","OTU"
"7","p__Acidobacteria;f__Acidobacteriaceae;g__unidentified","G",0.296056306557926,0.206907152021586,4,0.103453576010793,0.5250809965367,"Acidobacteriaceae;g__unidentified","Grassland","OTU"
"12","p__Actinobacteria;f__Geodermatophilaceae;g__Modestobacter","G",0.446877443861021,0.105198278716162,4,0.0525991393580812,0.536252932633225,"Geodermatophilaceae;g__Modestobacter","Grassland","OTU"
