"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"1","p__;f__other taxa","D",47.3024316109423,0,4,0,NA,"other taxa","Desert","ESV"
"6","p__Acidobacteria;f__Acidobacteriaceae;g__unidentified","D",0.0325662179765523,0.0153518623792129,4,0.00767593118960646,0.0542770299609205,"Acidobacteriaceae;g__unidentified","Desert","ESV"
"11","p__Actinobacteria;f__Geodermatophilaceae;g__Modestobacter","D",9.84856708640903,1.23800420407697,4,0.619002102038485,11.0942249240122,"Geodermatophilaceae;g__Modestobacter","Desert","ESV"
"16","p__Actinobacteria;f__Microbacteriaceae;g__Curtobacterium","D",0.575336517585758,0.0265902056316021,4,0.013295102815801,0.60790273556231,"Microbacteriaceae;g__Curtobacterium","Desert","ESV"
"21","p__Bacteroidetes;f__Chitinophagaceae;g__Segetibacter","D",2.39090316977855,0.236068684880227,4,0.118034342440113,2.61615284411637,"Chitinophagaceae;g__Segetibacter","Desert","ESV"
"26","p__Bacteroidetes;f__Cytophagaceae;g__Hymenobacter","D",3.60670864090317,0.49780253310622,4,0.24890126655311,4.12505427702996,"Cytophagaceae;g__Hymenobacter","Desert","ESV"
"31","p__Bacteroidetes;f__Sphingobacteriaceae;g__unidentified","D",5.06404689535389,0.802541763039291,4,0.401270881519645,6.18758141554494,"Sphingobacteriaceae;g__unidentified","Desert","ESV"
"36","p__Proteobacteria;f__Acetobacteraceae;g__unidentified","D",6.44811115935736,0.484577671471859,4,0.242288835735929,6.86061658706036,"Acetobacteraceae;g__unidentified","Desert","ESV"
"41","p__Proteobacteria;f__Caulobacteraceae;g__unidentified","D",1.71244029526704,0.210750562069442,4,0.105375281034721,2.01910551454624,"Caulobacteraceae;g__unidentified","Desert","ESV"
"46","p__Proteobacteria;f__Methylobacteriaceae;g__Methylobacterium","D",9.57989578810248,0.659981307184863,4,0.329990653592431,10.497177594442,"Methylobacteriaceae;g__Methylobacterium","Desert","ESV"
"51","p__Proteobacteria;f__Oxalobacteraceae;g__Janthinobacterium","D",0.575336517585758,0.0669172167061331,4,0.0334586083530665,0.673035171515415,"Oxalobacteraceae;g__Janthinobacterium","Desert","ESV"
