"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"1","k__Bacteria;p__;f__other families","D",24.4441961791978,0,4,0,NA,";f__other families","Desert","OTU"
"6","k__Bacteria;p__Acidobacteria;f__Acidobacteriaceae","D",0.0251368562171824,0.0211481337124354,4,0.0105740668562177,0.0558596804826276,"Acidobacteria;f__Acidobacteriaceae","Desert","OTU"
"11","k__Bacteria;p__Actinobacteria;f__Geodermatophilaceae","D",13.9621271366328,1.82250714741144,4,0.91125357370572,15.7077421517149,"Actinobacteria;f__Geodermatophilaceae","Desert","OTU"
"16","k__Bacteria;p__Actinobacteria;f__Microbacteriaceae","D",3.26779130823372,0.333228472548293,4,0.166614236274146,3.46330018992291,"Actinobacteria;f__Microbacteriaceae","Desert","OTU"
"21","k__Bacteria;p__Bacteroidetes;f__Chitinophagaceae","D",3.51915987040554,0.324947817500815,4,0.162473908750408,3.99955312255614,"Bacteroidetes;f__Chitinophagaceae","Desert","OTU"
"26","k__Bacteria;p__Bacteroidetes;f__Cytophagaceae","D",6.33728075075411,0.655274766931644,4,0.327637383465822,7.19472684616244,"Bacteroidetes;f__Cytophagaceae","Desert","OTU"
"31","k__Bacteria;p__Bacteroidetes;f__Sphingobacteriaceae","D",5.63903474472126,0.88116174585833,4,0.440580872929165,6.88191263545972,"Bacteroidetes;f__Sphingobacteriaceae","Desert","OTU"
"36","k__Bacteria;p__Proteobacteria;f__Acetobacteraceae","D",10.4317953301307,0.60921207088314,4,0.30460603544157,11.2836554574908,"Proteobacteria;f__Acetobacteraceae","Desert","OTU"
"41","k__Bacteria;p__Proteobacteria;f__Caulobacteraceae","D",1.8154396156854,0.132345403820183,4,0.0661727019100914,2.01094849737459,"Proteobacteria;f__Caulobacteraceae","Desert","OTU"
"46","k__Bacteria;p__Proteobacteria;f__Methylobacteriaceae","D",10.0379845827282,0.452658763681645,4,0.226329381840822,10.4234163780583,"Proteobacteria;f__Methylobacteriaceae","Desert","OTU"
"51","k__Bacteria;p__Proteobacteria;f__Oxalobacteraceae","D",6.09708412467881,0.364574471516114,4,0.182287235758057,6.62495810523964,"Proteobacteria;f__Oxalobacteraceae","Desert","OTU"
"56","k__Bacteria;p__Proteobacteria;f__Sphingomonadaceae","D",14.4229695006145,0.538034380083611,4,0.269017190041805,15.0150821137303,"Proteobacteria;f__Sphingomonadaceae","Desert","OTU"
"2","k__Bacteria;p__;f__other families","G",28.9604513462183,0,4,0,NA,";f__other families","Grassland","OTU"
"7","k__Bacteria;p__Acidobacteria;f__Acidobacteriaceae","G",0.639593341526086,0.135106542536564,4,0.0675532712682819,0.826723271142889,"Acidobacteria;f__Acidobacteriaceae","Grassland","OTU"
