"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"1","k__Bacteria;p__;f__other families","D",23.7326313504125,0,4,0,NA,";f__other families","Desert","ESV"
"6","k__Bacteria;p__Acidobacteria;f__Acidobacteriaceae","D",0.0461354754667825,0.0136594196614393,4,0.00682970983071967,0.0651324359531046,"Acidobacteria;f__Acidobacteriaceae","Desert","ESV"
"11","k__Bacteria;p__Actinobacteria;f__Geodermatophilaceae","D",13.8677811550152,1.58851598602699,4,0.794257993013494,15.5775075987842,"Actinobacteria;f__Geodermatophilaceae","Desert","ESV"
"16","k__Bacteria;p__Actinobacteria;f__Microbacteriaceae","D",3.32989578810248,0.371774543856465,4,0.185887271928232,3.71254884932696,"Actinobacteria;f__Microbacteriaceae","Desert","ESV"
"21","k__Bacteria;p__Bacteroidetes;f__Chitinophagaceae","D",3.57957012592271,0.239373394172817,4,0.119686697086409,3.74511506730352,"Bacteroidetes;f__Chitinophagaceae","Desert","ESV"
"26","k__Bacteria;p__Bacteroidetes;f__Cytophagaceae","D",6.3856925749023,0.528943511493933,4,0.264471755746966,7.02344767694312,"Bacteroidetes;f__Cytophagaceae","Desert","ESV"
"31","k__Bacteria;p__Bacteroidetes;f__Sphingobacteriaceae","D",5.47926617455493,0.867227371619554,4,0.433613685809777,6.65436387320886,"Bacteroidetes;f__Sphingobacteriaceae","Desert","ESV"
"36","k__Bacteria;p__Proteobacteria;f__Acetobacteraceae","D",10.673577941815,0.544819910701793,4,0.272409955350896,11.0399478940512,"Proteobacteria;f__Acetobacteraceae","Desert","ESV"
"41","k__Bacteria;p__Proteobacteria;f__Caulobacteraceae","D",1.86441597915762,0.209441830021437,4,0.104720915010718,2.17108119843682,"Proteobacteria;f__Caulobacteraceae","Desert","ESV"
"46","k__Bacteria;p__Proteobacteria;f__Methylobacteriaceae","D",10.0575336517586,0.714727712608837,4,0.357363856304419,11.0508033000434,"Proteobacteria;f__Methylobacteriaceae","Desert","ESV"
"51","k__Bacteria;p__Proteobacteria;f__Oxalobacteraceae","D",6.19843682153713,0.285148187941027,4,0.142574093970513,6.48067737733391,"Proteobacteria;f__Oxalobacteraceae","Desert","ESV"
"56","k__Bacteria;p__Proteobacteria;f__Sphingomonadaceae","D",14.7850629613548,1.06836168174703,4,0.534180840873517,15.686061658706,"Proteobacteria;f__Sphingomonadaceae","Desert","ESV"
"2","k__Bacteria;p__;f__other families","G",28.7451150673035,0,4,0,NA,";f__other families","Grassland","ESV"
"7","k__Bacteria;p__Acidobacteria;f__Acidobacteriaceae","G",0.681176726009553,0.15077555832972,4,0.0753877791648598,0.84672166739036,"Acidobacteria;f__Acidobacteriaceae","Grassland","ESV"
"12","k__Bacteria;p__Actinobacteria;f__Geodermatophilaceae","G",0.892857142857143,0.163282771998386,4,0.081641385999193,1.07468519322623,"Actinobacteria;f__Geodermatophilaceae","Grassland","ESV"
"17","k__Bacteria;p__Actinobacteria;f__Microbacteriaceae","G",16.5354971775944,3.4375418980566,4,1.7187709490283,19.5288753799392,"Actinobacteria;f__Microbacteriaceae","Grassland","ESV"
"22","k__Bacteria;p__Bacteroidetes;f__Chitinophagaceae","G",1.7042987407729,0.259169265877406,4,0.129584632938703,1.94311767260096,"Bacteroidetes;f__Chitinophagaceae","Grassland","ESV"
"27","k__Bacteria;p__Bacteroidetes;f__Cytophagaceae","G",11.3303300043422,1.44583181886874,4,0.722915909434368,12.7768128528007,"Bacteroidetes;f__Cytophagaceae","Grassland","ESV"
"32","k__Bacteria;p__Bacteroidetes;f__Sphingobacteriaceae","G",6.92846287451151,1.76942840182455,4,0.884714200912276,9.34650455927052,"Bacteroidetes;f__Sphingobacteriaceae","Grassland","ESV"
"37","k__Bacteria;p__Proteobacteria;f__Acetobacteraceae","G",2.3230568823274,0.378437160756474,4,0.189218580378237,2.65957446808511,"Proteobacteria;f__Acetobacteraceae","Grassland","ESV"
"42","k__Bacteria;p__Proteobacteria;f__Caulobacteraceae","G",0.63504125054277,0.0931711766506277,4,0.0465855883253138,0.705601389491967,"Proteobacteria;f__Caulobacteraceae","Grassland","ESV"
"47","k__Bacteria;p__Proteobacteria;f__Methylobacteriaceae","G",4.53484585323491,0.718448297302844,4,0.359224148651422,5.42770299609205,"Proteobacteria;f__Methylobacteriaceae","Grassland","ESV"
"52","k__Bacteria;p__Proteobacteria;f__Oxalobacteraceae","G",11.3710377768129,1.94600625750531,4,0.973003128752653,13.1567520625271,"Proteobacteria;f__Oxalobacteraceae","Grassland","ESV"
"57","k__Bacteria;p__Proteobacteria;f__Sphingomonadaceae","G",14.3182805036908,1.36121770207705,4,0.680608851038525,16.1962657403387,"Proteobacteria;f__Sphingomonadaceae","Grassland","ESV"
"3","k__Bacteria;p__;f__other families","P",18.0751555941526,0,3.90909090909091,0,NA,";f__other families","Pine-Oak","ESV"
"8","k__Bacteria;p__Acidobacteria;f__Acidobacteriaceae","P",35.6301563178463,1.59618462107268,4,0.798092310536338,37.7225358228398,"Acidobacteria;f__Acidobacteriaceae","Pine-Oak","ESV"
"13","k__Bacteria;p__Actinobacteria;f__Geodermatophilaceae","P",0.028947749312491,0.0313368578587509,3,0.0180923433203068,0.0651324359531046,"Actinobacteria;f__Geodermatophilaceae","Pine-Oak","ESV"
"18","k__Bacteria;p__Actinobacteria;f__Microbacteriaceae","P",1.75043421623969,0.256330900149297,4,0.128165450074648,2.10594876248372,"Actinobacteria;f__Microbacteriaceae","Pine-Oak","ESV"
"23","k__Bacteria;p__Bacteroidetes;f__Chitinophagaceae","P",1.50618758141554,0.691309835085435,4,0.345654917542718,2.3881893182805,"Bacteroidetes;f__Chitinophagaceae","Pine-Oak","ESV"
"28","k__Bacteria;p__Bacteroidetes;f__Cytophagaceae","P",0.485779418150239,0.100032826362564,4,0.050016413181282,0.60790273556231,"Bacteroidetes;f__Cytophagaceae","Pine-Oak","ESV"
"33","k__Bacteria;p__Bacteroidetes;f__Sphingobacteriaceae","P",4.30145462440295,1.21008565917635,4,0.605042829588176,5.46026921406861,"Bacteroidetes;f__Sphingobacteriaceae","Pine-Oak","ESV"
"38","k__Bacteria;p__Proteobacteria;f__Acetobacteraceae","P",22.3757056013895,1.79346233648088,4,0.89673116824044,24.3161094224924,"Proteobacteria;f__Acetobacteraceae","Pine-Oak","ESV"
"43","k__Bacteria;p__Proteobacteria;f__Caulobacteraceae","P",5.63124185844551,0.695106323454128,4,0.347553161727064,6.2852800694746,"Proteobacteria;f__Caulobacteraceae","Pine-Oak","ESV"
"48","k__Bacteria;p__Proteobacteria;f__Methylobacteriaceae","P",0.333803734259661,0.0519662998130882,4,0.0259831499065441,0.401650021710812,"Proteobacteria;f__Methylobacteriaceae","Pine-Oak","ESV"
"53","k__Bacteria;p__Proteobacteria;f__Oxalobacteraceae","P",0.789730785931394,0.193046235820438,4,0.0965231179102189,1.05297438124186,"Proteobacteria;f__Oxalobacteraceae","Pine-Oak","ESV"
"58","k__Bacteria;p__Proteobacteria;f__Sphingomonadaceae","P",9.09140251845419,0.944711417614957,4,0.472355708807478,10.1823708206687,"Proteobacteria;f__Sphingomonadaceae","Pine-Oak","ESV"
"4","k__Bacteria;p__;f__other families","S",15.3622087132726,0,3.90909090909091,0,NA,";f__other families","Subalpine","ESV"
"9","k__Bacteria;p__Acidobacteria;f__Acidobacteriaceae","S",42.7350195397308,2.75284442035372,4,1.37642221017686,46.699956578376,"Acidobacteria;f__Acidobacteriaceae","Subalpine","ESV"
