"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"1D01",0.69,0.000337,61,0.502,0.295,2.37,3.36,9990,61,0.403,0.498,1.21,1.75,0.527,"T1",0.693,0.000391,106,0.504,0.292,2.44,3.91,9991,106,0.449,0.496,1.36,1.97,0.592
"1D02",0.186,0.00234,154.7,0.914,0.626,14.8,23.4,9998,154,0.161,0.0857,3.15,4.55,1.37,"T1",0.163,0.00415,281.5,0.939,0.661,22.6,41.4,9981,280,0.21,0.0613,3.72,5.37,1.62
"1D03",0.191,0.00257,130,0.92,0.667,16.3,25.7,9990,130,0,0.0803,3.25,4.68,1.41,"T1",0.165,0.00447,238,0.943,0.694,24.9,44.7,10004,238,0,0.0567,3.8,5.48,1.65
"1D04",0.176,0.00212,61,0.913,0.743,14.4,21.2,9994,61,0,0.0875,3.05,4.41,1.33,"T1",0.138,0.00389,99,0.945,0.797,24.9,38.9,10011,99,0,0.0547,3.66,5.28,1.59
"1G02",0.57,0.000242,87,0.52,0.244,2.16,2.42,9993,37,0.526,0.48,0.882,1.27,0.383,"T1",0.555,0.000284,70.8,0.55,0.262,2.36,2.84,9989,54,0.527,0.45,1.04,1.51,0.453
"1G03",0.845,0.000184,59.5,0.272,0.152,1.49,1.84,9993,55,0.536,0.728,0.61,0.879,0.265,"T1",0.75,0.000278,102.6,0.42,0.241,1.98,2.78,9978,69,0.586,0.58,1.02,1.47,0.443
"1G04",0.59,0.000354,87.7,0.59,0.292,2.74,3.55,10008,77,0.474,0.41,1.27,1.83,0.55,"T1",0.489,0.000506,130.4,0.689,0.337,3.7,5.07,10017,124,0.544,0.311,1.62,2.34,0.705
"1P01",0.129,0.00454,168,0.952,0.745,28.5,45.4,10006,168,0,0.0482,3.82,5.51,1.66,"T1",0.112,0.00767,298,0.967,0.762,43.7,76.9,10020,298,0,0.0333,4.34,6.26,1.89
"1P02",0.135,0.00488,274,0.949,0.693,27.6,48.8,9995,273,0.186,0.051,3.89,5.61,1.69,"T1",0.112,0.0084,488.8,0.962,0.715,40.5,83.8,9978,488,0.186,0.0382,4.43,6.39,1.92
"1P03",0.227,0.00306,194,0.912,0.649,16.3,30.6,9997,194,0,0.0876,3.42,4.93,1.49,"T1",0.138,0.00547,331,0.95,0.69,28.8,54.7,10011,331,0,0.0495,4,5.77,1.74
"1P04",0.186,0.00355,227,0.92,0.658,17.9,35.5,10005,227,0,0.0803,3.57,5.15,1.55,"T1",0.183,0.00543,356,0.933,0.68,23.4,54.5,10035,356,0,0.0672,4,5.77,1.74
"1S01",0.814,0.000221,82.7,0.322,0.18,1.64,2.21,9993,82,0.301,0.678,0.794,1.15,0.345,"T1",0.437,0.000444,132.5,0.661,0.306,3.26,4.44,9983,131,0.424,0.339,1.49,2.15,0.647
"1S02",0.224,0.00282,247.3,0.91,0.606,15.4,28.1,9963,246,0.251,0.0901,3.34,4.81,1.45,"T1",0.218,0.00446,440.1,0.923,0.623,19.8,44.4,9949,439,0.248,0.077,3.79,5.47,1.65
"1S03",0.232,0.00304,278.1,0.912,0.609,16.1,30.4,9987,272,0.359,0.0883,3.41,4.92,1.48,"T1",0.137,0.00554,524.8,0.947,0.642,27.3,55.4,10010,518,0.391,0.0526,4.02,5.79,1.74
"1S04",0.658,0.000577,126,0.557,0.363,2.93,5.78,10022,126,0,0.443,1.76,2.53,0.762,"T1",0.618,0.000804,221,0.61,0.387,3.5,8.09,10058,221,0,0.39,2.09,3.02,0.908
"1W01",0.783,0.000297,80.5,0.381,0.249,1.9,2.97,9992,79,0.263,0.619,1.09,1.57,0.473,"T1",0.777,0.00032,120.7,0.39,0.243,1.94,3.2,9992,119,0.358,0.61,1.16,1.68,0.505
"1W02",0.909,0.000167,83.2,0.171,0.12,1.29,1.66,9979,70,0.507,0.829,0.509,0.735,0.221,"T1",0.904,0.000175,99.2,0.181,0.124,1.32,1.75,9957,90,0.473,0.819,0.557,0.803,0.242
"1W03",0.966,0.00013,81,0.067,0.0611,1.11,1.3,10020,75,0.5,0.933,0.264,0.381,0.115,"T1",0.962,0.000137,132.4,0.074,0.0649,1.12,1.37,10039,128,0.574,0.926,0.315,0.455,0.137
"1W04",0.689,0.00051,125.2,0.519,0.338,2.66,5.1,9991,124,0.232,0.481,1.63,2.35,0.707,"T1",0.68,0.000597,199.1,0.531,0.338,2.78,5.96,9983,198,0.276,0.469,1.78,2.58,0.775
"2D01",0.167,0.00234,140.1,0.925,0.639,16.4,23.4,10001,138,0.266,0.0752,3.15,4.55,1.37,"T1",0.127,0.00363,234.7,0.946,0.659,23.6,36.3,9996,233,0.286,0.0544,3.59,5.18,1.56
