"","X1D01","X1D02","X1G02","X1G03","X1G04","X1P02","X1S01","X1S02","X1S03","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D03","X4D04","X4G01","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S03","X4S04","X4W01","X4W02","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W03","X5W04"
"X1D01",0,0.61883070912058,0.715232846881628,0.684478478342674,0.646848916256141,0.786842533975819,0.672911438738505,0.657525570441384,0.701917425244732,0.606815080240878,0.679831148470943,0.726878642593996,0.680507985761933,0.571365114901101,0.529555507700863,0.62630884797429,0.619685181999923,0.755730081173605,0.698493959491025,0.60730554815378,0.692347982597057,0.704929295186685,0.741971301602489,0.660820690178528,0.813282890762101,0.761789573283865,0.630864028080586,0.665647930434559,0.689965121380214,0.711290439766318,0.750851241413458,0.586955244118583,0.659348934998653,0.762345187006394,0.645659966026062,0.707838591077088,0.709899921775152,0.709209520630045,0.731823055463263,0.747984585951875,0.729526962697194,0.720543468576969,0.747691778300116,0.757199680254683,0.750912744942702,0.76479276886735,0.777791218401971,0.733744228472217,0.710081383465956,0.747951941691838,0.721041255748951,0.625715958987286,0.702498263667681,0.675332937901672,0.588027160441585,0.61143992692644,0.632891981190532,0.634229707001704,0.701208940873798,0.648688778850354,0.636756418405361,0.72289755289896,0.770037499846957,0.741434967151434,0.672716899240895,0.821880451793266,0.565458943671015,0.648791042090768,0.72868856813329,0.549422995567711,0.736969190898168,0.729327124553182,0.712475370111808,0.69971547396232,0.73116789306145,0.725930440309801,0.681655286624368,0.628281286862225,0.636288404934864,0.773778284191235,0.752855379782274,0.728586091549076,0.712899051781235,0.736002690120143,0.704415554389815,0.730338689801408
"X1D02",0.61883070912058,0,0.81620573049488,0.780955371143974,0.743547807710822,0.531933104310597,0.737161717515315,0.483049758140915,0.457899844058419,0.668120986256034,0.696590157277182,0.755001487018072,0.537917430718541,0.476681119295973,0.477290815236563,0.530070457267987,0.556951204832616,0.630837742247604,0.498213250727932,0.614675438109451,0.646411660063383,0.59451879384484,0.672484324485375,0.582586943151669,0.651490433348705,0.623913532199009,0.678670446076898,0.619170374494762,0.615307236036374,0.578608095198972,0.636665547817723,0.582377318920115,0.675261147251167,0.758145476430024,0.636927244484174,0.619990598025842,0.61914740710668,0.638191640955651,0.61164102493436,0.69778415150634,0.691718856115508,0.665245733255225,0.69133168681612,0.667187846718205,0.684985422872578,0.679566052627,0.667963126851874,0.69715189549765,0.673391993857911,0.717160081180878,0.656381897426885,0.475061910403075,0.695515347755197,0.708322361401554,0.648270812984296,0.594410277384587,0.578583653883248,0.711093615392351,0.790245292928912,0.72057429467266,0.718847378135478,0.748865173286473,0.732548396411161,0.69226298271942,0.594793656351707,0.832164563228789,0.630837521203602,0.767972216182997,0.740317482034548,0.742612165039203,0.744408088451803,0.626678803720206,0.646052492592315,0.643081907870145,0.639578022804522,0.738125559605113,0.754969550211317,0.744594715584404,0.737529044486774,0.714009709476562,0.679766040467516,0.751252420489433,0.718896400898322,0.677323254885871,0.694525643229869,0.704468845777636
"X1G02",0.715232846881628,0.81620573049488,0,0.337421277195081,0.390432917587452,0.862012728128627,0.408050782708748,0.778972687852251,0.783120653262289,0.478808723714163,0.474720718239104,0.436133317146837,0.56597453748371,0.847996067749936,0.81787096882265,0.708323196044827,0.768913087193237,0.789517611403031,0.729327768622355,0.686803525450311,0.710635041864331,0.800091164887426,0.84361431954919,0.800182534315689,0.7844324289698,0.803940054907511,0.636196396049865,0.690412152424991,0.677676890532211,0.712395044425093,0.836064889007323,0.648591201169285,0.750663313178284,0.834777725264449,0.776775966859041,0.781829693019,0.77782866978771,0.798118391304836,0.802819672530301,0.795570108000291,0.802756787361893,0.831347846893568,0.801238461148357,0.796000580099892,0.848562118982632,0.842406489828466,0.803533588530598,0.723321733107199,0.759149569303242,0.767068342100238,0.780214525130538,0.744315407432759,0.528110544181642,0.503133943313716,0.348427539492687,0.482544958237972,0.55896038540043,0.56005800669608,0.397849085313545,0.740406089102192,0.586842576338822,0.48127585828283,0.596239645053063,0.617621788998117,0.586284594092188,0.438989650739152,0.497765294847364,0.860976233938149,0.797839692643503,0.832015585976813,0.790598873422463,0.788525784293378,0.778106499504972,0.724352914602608,0.793103501866101,0.768993873719096,0.846483872473991,0.776494583170873,0.847400732844659,0.738721733250301,0.787995369683441,0.788487627989836,0.78201853695875,0.74058675007481,0.690031507341071,0.726654147762053
"X1G03",0.684478478342674,0.780955371143974,0.337421277195081,0,0.328281014306204,0.83394876378662,0.562663644460113,0.747697220725234,0.743954286364389,0.613826715714943,0.641870348902974,0.613900419966198,0.650423016566811,0.82174597201803,0.797199713603564,0.676796136886169,0.742609786043398,0.791040402417818,0.714867104424427,0.68408511913567,0.718101709134214,0.756865448153115,0.827390580998238,0.778993562829319,0.782371413126517,0.760482255215569,0.632440916130149,0.682373745130514,0.67844280467881,0.734259816892363,0.808222677592976,0.626324701763999,0.745941671368326,0.826461737798829,0.781925960744382,0.760389049337935,0.760222643809685,0.777327245659447,0.779335674979782,0.773150745259629,0.790173734985165,0.812957050140079,0.782740838013805,0.782150815716735,0.829074757199689,0.823616671960777,0.811674927292763,0.736651959620582,0.752057251554376,0.754383210157947,0.76257846283756,0.748889721165705,0.686146278772932,0.681287301508648,0.451681436860168,0.56960448956668,0.606692053918219,0.712952844242676,0.598703166038236,0.729275395090762,0.642527112387006,0.678244736396071,0.744728735842199,0.719610845143546,0.678958070797157,0.651703164769792,0.620459673936308,0.835442663205113,0.781559014524561,0.814630086282528,0.783632306321146,0.761747814342675,0.757115181669944,0.70671882249653,0.767461938026726,0.781554171817801,0.831416614533855,0.776413204687338,0.831785176056421,0.750847025402279,0.768355252854281,0.778997181383332,0.768082567067554,0.76536022145165,0.739220766219631,0.753730757723894
"X1G04",0.646848916256141,0.743547807710822,0.390432917587452,0.328281014306204,0,0.814158379327929,0.547923246220803,0.678586015706916,0.698004076039914,0.530171041992529,0.58191210824799,0.610688589205502,0.600438249273185,0.741933231206689,0.748910012389027,0.59849564170264,0.681459125450278,0.731827304724732,0.674831147230245,0.598415025622751,0.671089548596829,0.734265434888913,0.770987133858852,0.720927932053929,0.758904895700804,0.767587173320475,0.594717302307316,0.637595634257173,0.630027100616946,0.709072313455728,0.761900891355791,0.553714295672461,0.702441401754884,0.777732408012334,0.723157856539472,0.6955203913147,0.689732605703006,0.722524177653218,0.715032904800457,0.748855300600952,0.747870590782865,0.779663543819662,0.7522434603911,0.75654547787086,0.785618155191535,0.78334727460376,0.779944416179839,0.688690829039928,0.700146541997638,0.705765367280221,0.711961612584141,0.710066394728966,0.691192348688594,0.683378357851218,0.423360613086642,0.515843797329086,0.575684819641748,0.696331265455838,0.596938443054845,0.710082650948147,0.647500990175289,0.697062594695263,0.758130608088174,0.731289957552842,0.669606181302877,0.677983503646222,0.604362869404072,0.791883901870346,0.75854356203894,0.757304356705135,0.780433060396408,0.713821101045264,0.696883747020514,0.668976045262696,0.717153628333207,0.756355721442856,0.809921407627542,0.770846383557987,0.799676671852257,0.748630518212411,0.762767844067839,0.761570658999699,0.757052662084349,0.721035659900735,0.704593777566429,0.719710552336285
"X1P02",0.786842533975819,0.531933104310597,0.862012728128627,0.83394876378662,0.814158379327929,0,0.728642919504144,0.497277499200461,0.382945626735189,0.739479618503243,0.794411549715423,0.808097229329328,0.593703951733784,0.699062995216423,0.700204192184714,0.647067250384694,0.662429691282208,0.650533316325229,0.54933471643505,0.689972326461667,0.629357453611077,0.617229863822124,0.714843612790034,0.638178263615263,0.636049347508093,0.609388816377291,0.683151968206237,0.609619627340779,0.642419185163737,0.634761136029738,0.655679873525028,0.658320169879106,0.683455949256268,0.738994327863365,0.619224987841132,0.644366792110222,0.650068104179255,0.632201236121382,0.653789861606286,0.644156184338432,0.628622384747608,0.624094318283951,0.666833993232606,0.641478680400233,0.659995146369486,0.646184156203985,0.610505280243541,0.667842672074142,0.647078922381065,0.718615407215954,0.643113706977614,0.65509364011556,0.7667160038197,0.770571991846821,0.719557752043645,0.672673238325631,0.660389872902709,0.690152362497733,0.820194907669767,0.71592592574945,0.706763058142955,0.789740779176691,0.677302304918265,0.702514260854225,0.64899267946223,0.842877105944163,0.700943462833374,0.774260911479424,0.781188569079621,0.769711359588782,0.765696035151103,0.630523484696451,0.649074185881236,0.630329091477233,0.637721102080487,0.6950903758273,0.729018915302184,0.723446647021164,0.724467626380365,0.670046390699843,0.626772244841693,0.747490616267686,0.696335198881695,0.638875445465947,0.67088849806034,0.648604323569768
"X1S01",0.672911438738505,0.737161717515315,0.408050782708748,0.562663644460113,0.547923246220803,0.728642919504144,0,0.671688013236841,0.659978945675233,0.375713060138461,0.385629410468285,0.400183870949748,0.510195252393905,0.783798808610259,0.764293149733249,0.691581451468697,0.684914051825386,0.69198257558356,0.66712131217927,0.650260642782174,0.550337680503765,0.666753953450424,0.746544597112932,0.680898148317561,0.676128737774367,0.661195720434336,0.519919588479231,0.614143588997392,0.603560873263871,0.601953930162095,0.732619218457806,0.621730806234761,0.685952317901959,0.78291956150493,0.691292531116291,0.719036645363372,0.710495702612452,0.725977633580988,0.736217541977295,0.688463136457424,0.682306413402702,0.702110935858021,0.685068324942825,0.67852976950441,0.735967739882891,0.725143553123846,0.679702506566557,0.649307964761078,0.663048392289724,0.708487600694889,0.694224936037256,0.691992575427222,0.457737967290872,0.443545356395925,0.468056254126297,0.489869589220203,0.567000289433324,0.424543346179759,0.362274171717115,0.60589742413712,0.47119432585069,0.367997805623209,0.395245939662749,0.475601770423416,0.522636890186524,0.437440779430557,0.455396324030781,0.802653585271347,0.742674902148071,0.739783774831809,0.744113910539335,0.712621341970923,0.705434393114324,0.654566568830649,0.717164024947297,0.65208565890513,0.738205062878645,0.657252160729939,0.733609641257808,0.59763537804612,0.635083192460479,0.693768942901263,0.664440065633676,0.659479233090385,0.635666462810581,0.647876313742704
"X1S02",0.657525570441384,0.483049758140915,0.778972687852251,0.747697220725234,0.678586015706916,0.497277499200461,0.671688013236841,0,0.307556985577201,0.605470888980252,0.762587215707622,0.801548840270319,0.564897382120063,0.545366352808939,0.612451383754591,0.477204296581429,0.494165477815012,0.58390184452875,0.492785734164498,0.530034869034076,0.647807297422599,0.587805900001757,0.584332602819668,0.51293401627328,0.659492403691119,0.638282544809149,0.643899483156259,0.549430253669092,0.571725708068484,0.590132933074608,0.618902700304548,0.527587234683146,0.66640730418028,0.7310119196969,0.626229602817715,0.59187292678743,0.559410699733276,0.615393789143041,0.586630366514657,0.69129363546957,0.664181605602737,0.658875571594515,0.691486110386561,0.674968496904258,0.648977287762547,0.666401634223916,0.658217745282342,0.690877038121571,0.646510190237056,0.731260249150191,0.65058481763763,0.613278053071626,0.779601738812454,0.774923079070095,0.621401951949753,0.576598111191877,0.591930556805192,0.669797491061514,0.808174177060305,0.702873791979799,0.67230891873479,0.79121247034248,0.699171097493758,0.718548410269517,0.648260540329857,0.870100304188769,0.655107957628773,0.731425132859875,0.778076950912614,0.707484159952201,0.794489093236995,0.629590289190712,0.650454806650817,0.662884845746508,0.65192388440278,0.708819232803005,0.706513254727668,0.715695293681235,0.695468083409204,0.731969878382715,0.692973681396784,0.752816507375446,0.700770850413108,0.689140578149977,0.72391108901504,0.716423084566752
"X1S03",0.701917425244732,0.457899844058419,0.783120653262289,0.743954286364389,0.698004076039914,0.382945626735189,0.659978945675233,0.307556985577201,0,0.659651513725013,0.763471317909671,0.794888866024287,0.51666626779176,0.59063711186436,0.641888266938632,0.472618843851647,0.549502055943467,0.61356734757932,0.468590611644757,0.568639550673842,0.630773999247722,0.569153243888275,0.643295007055135,0.545479839861888,0.659814201645949,0.619879032841298,0.636360400824827,0.568866312927583,0.587054677331143,0.584901092361048,0.621513919117202,0.553290611886335,0.661371478842288,0.746333789510246,0.649195269998833,0.588737575080109,0.581626063921453,0.605391310036864,0.570007894085545,0.677202308936914,0.65540733480352,0.639791992335122,0.638737735819375,0.628964169004956,0.647360884307974,0.643208897874975,0.634185241051364,0.689407134514575,0.663136408916357,0.690564665208859,0.662363228023431,0.614560683759954,0.761482306435281,0.759267457120444,0.609318646480299,0.542184527698897,0.539724429949726,0.675616639278611,0.792008800174219,0.702187291144611,0.644212691887155,0.778745616208824,0.648941602701362,0.667450738515229,0.629486296328777,0.843437312187542,0.667537774888136,0.733183609276331,0.737891694132825,0.729479615876037,0.750196215254331,0.585531152856946,0.61801121513341,0.613992925260934,0.603799341363673,0.69296404125097,0.733176368878423,0.70594750597935,0.705874938402137,0.674029791363176,0.626209488050717,0.733920190424705,0.682694228199479,0.67702068651096,0.704102248533296,0.708451512212887
"X1W01",0.606815080240878,0.668120986256034,0.478808723714163,0.613826715714943,0.530171041992529,0.739479618503243,0.375713060138461,0.605470888980252,0.659651513725013,0,0.374909435177858,0.392374203571297,0.450014255276122,0.665156342785906,0.661001976681238,0.609311646707256,0.607893539977674,0.63365581461144,0.614184653403088,0.582616592797028,0.594255507869172,0.678517800872151,0.704081636001902,0.632830067176845,0.684958755790321,0.696596202803418,0.557802816942121,0.621277199522762,0.587032908636669,0.578204000744087,0.703270692847786,0.58097517133226,0.653249359527247,0.744060367078833,0.638098699129147,0.661873856145645,0.640441620654391,0.683907217244251,0.693808306817226,0.710438592371296,0.697485329710583,0.734202370672749,0.736584655516375,0.730027023261595,0.746196436060536,0.742114816720094,0.72739638972931,0.634482911116114,0.642041364280647,0.707530846233921,0.637520285276123,0.612383108980263,0.44599736232614,0.435086394944248,0.474929404683433,0.473586096392801,0.530049657976037,0.506989481697847,0.390816553894198,0.657037069029921,0.555488879218432,0.474154245713083,0.573153148027629,0.583687696075675,0.526114334945591,0.478701686437326,0.397043054673399,0.761271845007522,0.752037380577211,0.702548852485593,0.778735878918105,0.694005479571023,0.675050406567401,0.653223005244454,0.694462206156349,0.711520813263053,0.760187707656141,0.720904661593649,0.760271212148492,0.705854174796325,0.736464527743352,0.728471220367439,0.713763699022421,0.656800847001011,0.630648452475911,0.647507044425946
