"","X1D01","X1D02","X1G02","X1G03","X1G04","X1P02","X1S01","X1S02","X1S03","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D03","X4D04","X4G01","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S03","X4S04","X4W01","X4W02","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W03","X5W04"
"X1D01",0,0.677631578947368,0.71875,0.699315068493151,0.662650602409638,0.816113056101102,0.720576923076923,0.799163179916318,0.8,0.663315821378056,0.695652173913044,0.662418831168831,0.717566619915848,0.696296296296296,0.653061224489796,0.687261450381679,0.730263157894737,0.76969696969697,0.713333333333333,0.709539564378274,0.731812169312169,0.72533185840708,0.810526315789474,0.726917613636364,0.788009730491006,0.780868902439024,0.726843910806175,0.761234071093226,0.729323308270677,0.715873188800523,0.766756260206859,0.67479674796748,0.760208333333333,0.83259587020649,0.717581475128645,0.758994667909096,0.754488049264169,0.76978417266187,0.760869565217391,0.810810810810811,0.811987704918033,0.818181818181818,0.803571428571429,0.793650793650794,0.819444444444444,0.833333333333333,0.808860582306831,0.764705882352941,0.771186440677966,0.803272814142379,0.767179576849099,0.688679245283019,0.684931506849315,0.690658657829329,0.662249912249912,0.682262266608771,0.640876893014167,0.773694712337878,0.690140845070423,0.77194551458448,0.793478260869565,0.7399928838285,0.816420146040068,0.755813953488372,0.697443181818182,0.76,0.641975308641975,0.794520547945205,0.818813131313131,0.766233766233766,0.808219178082192,0.776,0.747786917352135,0.725274725274725,0.767676767676768,0.8125,0.790410565604364,0.804878048780488,0.80810147299509,0.809255319148936,0.806016211794452,0.831168831168831,0.806451612903226,0.777186761229314,0.770484949832776,0.789181286549708
"X1D02",0.677631578947368,0,0.852348993288591,0.807572861920688,0.763237577639752,0.705882352941176,0.76271186440678,0.629213483146067,0.631482904341145,0.715151515151515,0.723926380368098,0.749213836477987,0.646309246309246,0.597371118313527,0.675746666176849,0.639175257731959,0.645631067961165,0.697461062513335,0.63681592039801,0.702702702702703,0.738372093023256,0.704609554027851,0.738246218712354,0.673575129533679,0.73809390486323,0.72972972972973,0.730766537101236,0.710144927536232,0.664921465968586,0.64021164021164,0.697512742099898,0.648648648648649,0.769450534848183,0.817441929543159,0.718831998923501,0.72481884057971,0.718065820666574,0.751231646644825,0.716494845360825,0.779569892473118,0.78125,0.797135630298059,0.785310734463277,0.785912093495935,0.789836982033884,0.78125,0.770488565032264,0.7690084481992,0.74468085106383,0.819277108433735,0.710593107133316,0.62310564057071,0.778523489932886,0.812080536912752,0.780322580645161,0.727541689080151,0.72289156626506,0.79645940676786,0.816993464052288,0.809366574186237,0.83577571379429,0.832258064516129,0.825712045989025,0.789314396486925,0.709090909090909,0.843137254901961,0.746753246753247,0.837750087750088,0.856209150326797,0.813283911039872,0.867549668874172,0.738461538461538,0.738636363636364,0.781157544378698,0.760479041916168,0.820359281437126,0.80379746835443,0.840490797546012,0.825301204819277,0.817411207576953,0.8,0.869015522875817,0.812682748538012,0.783132530120482,0.77639751552795,0.805882352941176
"X1G02",0.71875,0.852348993288591,0,0.685185185185185,0.692362428842505,0.9066418630288,0.772151898734177,0.888888888888889,0.882085561497326,0.75,0.75609756097561,0.694231820667031,0.79828247088309,0.837209302325581,0.780487804878049,0.809917355371901,0.843627606647613,0.848684210526316,0.820519703640073,0.789495412844037,0.802397358598909,0.802968059977406,0.885480093676815,0.808514492753623,0.838095238095238,0.852786377708978,0.762140499764262,0.837217705510388,0.81931882419446,0.816666666666667,0.855304534922211,0.778311965811966,0.790895061728395,0.834249084249084,0.797752808988764,0.813762129556779,0.825921553194281,0.83076375711575,0.822307271733187,0.83695652173913,0.851485148514851,0.85981308411215,0.824264705882353,0.850672241351041,0.867478047520661,0.860555555555556,0.864954940542846,0.789098837209302,0.824135839902971,0.780330882352941,0.831858407079646,0.805524657026325,0.730769230769231,0.726381461675579,0.645563310069791,0.716216216216216,0.682743531202435,0.789103039288362,0.673913043478261,0.777777777777778,0.77859477124183,0.722813238770686,0.838036565977742,0.782608695652174,0.746666666666667,0.697674418604651,0.703125,0.734013605442177,0.774547554871005,0.756668835393624,0.728219696969697,0.800943396226415,0.772727272727273,0.734375,0.779220779220779,0.787878787878788,0.766666666666667,0.764171122994652,0.8125,0.802749719416386,0.819686827635668,0.768543956043956,0.787878787878788,0.790199530516432,0.738417676407698,0.780116841257051
"X1G03",0.699315068493151,0.807572861920688,0.685185185185185,0,0.662066996574039,0.866536787774517,0.747368421052632,0.84749562970282,0.832966226138032,0.733333333333333,0.741176470588235,0.716417910447761,0.766433189655172,0.805133336939471,0.781714108910891,0.75846829379562,0.806666666666667,0.813883580187928,0.774436090225564,0.773913043478261,0.761651632302406,0.758270406328659,0.870626419048728,0.784869675778767,0.8,0.8,0.735478806907378,0.80427181514138,0.777350427350427,0.774193548387097,0.82621713095548,0.737551187551188,0.783611719605696,0.83490692081589,0.791277699198491,0.784330011074197,0.798507462686567,0.805444525193798,0.794786096256684,0.80952380952381,0.81615161757605,0.837263556116015,0.798989898989899,0.825688073394495,0.84377293858576,0.838846364133406,0.844208037825059,0.775140449438202,0.809307359307359,0.7666785269525,0.802338161928232,0.778311965811966,0.746268656716418,0.748239436619718,0.661764705882353,0.692307692307692,0.650882600168114,0.787450980392157,0.720949855351977,0.771428571428571,0.801162790697674,0.762770562770563,0.836130424358667,0.783783783783784,0.71264367816092,0.728813559322034,0.675,0.76271186440678,0.7984375,0.786666666666667,0.790683678382282,0.772918258212376,0.751344086021505,0.718129288551824,0.764705882352941,0.795317634173056,0.775559701492537,0.80264301860546,0.807071960297767,0.781609195402299,0.79802836052836,0.795363908275174,0.781436599929751,0.77703488372093,0.743243243243243,0.756583506583506
"X1G04",0.662650602409638,0.763237577639752,0.692362428842505,0.662066996574039,0,0.857142857142857,0.697443181818182,0.782020202020202,0.784140969162996,0.621750805585392,0.64441972562106,0.653311965811966,0.697576705100645,0.73063284233497,0.713578500707214,0.672,0.722222222222222,0.76871945259042,0.732876712328767,0.689365401332947,0.7,0.710280373831776,0.815123146519226,0.716535433070866,0.783558558558559,0.794976881042455,0.712864460204886,0.76551724137931,0.733841958691112,0.752751443826959,0.792408879144971,0.675557136083452,0.74468085106383,0.78404875463699,0.736856567136838,0.700393700787402,0.715901262916188,0.732338308457712,0.69565625,0.806286549707602,0.8,0.816818394024276,0.792792792792793,0.798319327731092,0.802171809482851,0.802465790543287,0.821917808219178,0.723947025618758,0.754465709728868,0.7,0.760330578512397,0.753419516263553,0.731062047963456,0.768177028451001,0.591827279466271,0.588235294117647,0.601204819277108,0.8,0.727922077922078,0.777777777777778,0.817204301075269,0.765506088280061,0.836451048951049,0.771618118041787,0.712871287128713,0.727922077922078,0.6875,0.727272727272727,0.757359307359307,0.727299412915851,0.805762852404643,0.694214876033058,0.669902912621359,0.676948051948052,0.685393258426966,0.792174796747968,0.798809523809524,0.815453384418902,0.806634897360704,0.806122448979592,0.818965517241379,0.819444444444444,0.793458940632776,0.739130434782609,0.740740740740741,0.744562647754137
"X1P02",0.816113056101102,0.705882352941176,0.9066418630288,0.866536787774517,0.857142857142857,0,0.757755662319835,0.625001134064578,0.567441390849472,0.804642600574713,0.824427480916031,0.852700096432015,0.740070131529206,0.789106524962926,0.823749724608945,0.768695378507275,0.762799231172462,0.775609291698401,0.721341463414634,0.801470588235294,0.757633081109784,0.75968992248062,0.794829625249464,0.749097425871619,0.785045422781272,0.758033161806747,0.78125,0.747290158481706,0.754954159416149,0.740875912408759,0.759804340396446,0.761904761904762,0.814516129032258,0.850909090909091,0.774569823768908,0.780569254067487,0.789193783389995,0.782299498746867,0.785590706870984,0.777993947254648,0.769085081585082,0.771637355479564,0.805012161093454,0.787037926727155,0.789385671536701,0.778392013739802,0.75886524822695,0.806517987521572,0.784090909090909,0.866801075268817,0.762246565952174,0.810708435708436,0.871900826446281,0.884940022765082,0.862348178137652,0.821919906854184,0.801603367392841,0.784405063291139,0.869656558275484,0.851467292337862,0.816326530612245,0.878661087866109,0.77096018735363,0.820673076923077,0.78968253968254,0.895489909428509,0.839753086419753,0.883333333333333,0.906647722380091,0.879166666666667,0.89690677821991,0.790055961533237,0.811065782763896,0.826886698526483,0.834303739738522,0.824244897959184,0.842649429031926,0.848792584762989,0.831646257159787,0.804439024390244,0.773736450306909,0.88936170212766,0.824595495568745,0.824009603841537,0.835416992238371,0.820194631310822
"X1S01",0.720576923076923,0.76271186440678,0.772151898734177,0.747368421052632,0.697443181818182,0.757755662319835,0,0.728240874332708,0.71551724137931,0.65,0.679135209334248,0.734042553191489,0.716829644879053,0.778110445775116,0.770491803278689,0.74589913620103,0.768095930232558,0.776819923371648,0.727833894500561,0.729625157784973,0.618181818181818,0.677685950413223,0.81,0.693654103977357,0.715967575913536,0.703736413043478,0.660632372214941,0.735483870967742,0.723404255319149,0.718649443780454,0.773103967855349,0.713235294117647,0.742988204456094,0.8203125,0.726884226884227,0.758389261744966,0.754902798547319,0.767332464900854,0.754179918218991,0.751,0.730138713745271,0.724843524313914,0.712962962962963,0.736842105263158,0.760434782608696,0.732824427480916,0.737870789341378,0.736363636363636,0.754826958105647,0.777238403451996,0.76490327674694,0.768,0.75609756097561,0.787008426966292,0.720680170042511,0.704554865424431,0.69811320754717,0.608695652173913,0.738095238095238,0.69189852700491,0.634912634408602,0.706599713055954,0.590918367346939,0.627206500420286,0.680336134453781,0.755684754521964,0.709677419354839,0.781048500140174,0.795180722891566,0.734042553191489,0.779854292049414,0.73105625717566,0.71551724137931,0.684210526315789,0.735849056603774,0.710670103092784,0.732258064516129,0.703296703296703,0.701477002379064,0.676330532212885,0.68141592920354,0.755955757231991,0.694736842105263,0.736333927510398,0.731182795698925,0.727272727272727
"X1S02",0.799163179916318,0.629213483146067,0.888888888888889,0.84749562970282,0.782020202020202,0.625001134064578,0.728240874332708,0,0.491553957655653,0.75854763296318,0.778019323671498,0.822619047619048,0.697442786991569,0.718448359073359,0.784156862745098,0.678571428571428,0.644609947344322,0.667910603634338,0.654377150099584,0.71900826446281,0.740505652986736,0.711934156378601,0.676923346658251,0.65316049382716,0.758622714925483,0.747533534592761,0.76471003743731,0.6875,0.683372896791627,0.681200941915228,0.698081140350877,0.694619799139168,0.807930131004367,0.822049624375206,0.771428571428571,0.711538461538462,0.685504469987229,0.733715518886622,0.705660377358491,0.793712556358471,0.769381009615385,0.775508096497026,0.803301320528211,0.782870612886328,0.757908757908758,0.772294415951132,0.746773311457479,0.788135593220339,0.744044242768009,0.84,0.721471336626254,0.761225237833425,0.851114272166904,0.872246696035242,0.81877479401892,0.756521739130435,0.746636500754148,0.796535173241338,0.866809728183119,0.842794759825327,0.817979797979798,0.869861299405569,0.774058577405858,0.82051282051282,0.775897839462012,0.878787878787879,0.818565400843882,0.871620524478363,0.893425925925926,0.857758620689655,0.89935152143049,0.736220472440945,0.759496375972789,0.801306844819503,0.795030523355511,0.836100013776002,0.848293057153817,0.851934894535791,0.837606837606838,0.818938059094606,0.799606299212599,0.894505090388263,0.826446280991735,0.817391304347826,0.827582360377779,0.829320845782579
"X1S03",0.8,0.631482904341145,0.882085561497326,0.832966226138032,0.784140969162996,0.567441390849472,0.71551724137931,0.491553957655653,0,0.76680790960452,0.777292576419214,0.818983665354177,0.669307023873012,0.710767910767911,0.77731942979621,0.661447961028218,0.67411568872243,0.698011772400262,0.653689424810265,0.723448696937562,0.74025974025974,0.720002127508687,0.728015448603684,0.679764698616601,0.751595802228714,0.733606557377049,0.744195198740653,0.709194593072374,0.708416311774258,0.678861788617886,0.702844586293806,0.692473029045643,0.807122000985014,0.824,0.763265306122449,0.707840543824303,0.713206028680129,0.726413750872246,0.707778738115817,0.781702804578622,0.76247049818205,0.750494071146245,0.78719262295082,0.771718887836116,0.768500115220647,0.768924302788845,0.745419032660787,0.794871794871795,0.7555898867072,0.838431447380975,0.739385807990459,0.769710901045164,0.847377927254609,0.866809728183119,0.821673189823875,0.757575757575757,0.737079083697588,0.780220736044534,0.848615060558188,0.836406117247239,0.801724137931034,0.866071428571429,0.756521739130435,0.808856770267333,0.76263143652389,0.870823412698413,0.8125,0.864746842912782,0.896474060267164,0.860624277909413,0.893340455840456,0.720881655563979,0.757261910911376,0.794642857142857,0.779440898084966,0.819327731092437,0.833697234352256,0.835555555555555,0.831568022141793,0.794871794871795,0.766539092400219,0.888650453028135,0.814319465022224,0.820897016011645,0.815966485721029,0.824378789172573
"X1W01",0.663315821378056,0.715151515151515,0.75,0.733333333333333,0.621750805585392,0.804642600574713,0.65,0.75854763296318,0.76680790960452,0,0.635890151515151,0.658957219251337,0.676364790520525,0.722200772200772,0.707964601769911,0.695655092178271,0.73065407646246,0.75144585965968,0.717105263157895,0.697322057787174,0.721446488294314,0.714835164835165,0.797979797979798,0.703301127214171,0.769185185185185,0.768920634920635,0.70352526439483,0.757966954897901,0.699624060150376,0.701440713101161,0.760990338164251,0.68503937007874,0.744201142461485,0.815126050420168,0.724454286618159,0.713286713286713,0.726945716154349,0.758742968941061,0.715277777777778,0.809917355371901,0.778625954198473,0.813432835820895,0.804878048780488,0.799280575539568,0.8,0.797101449275362,0.803342816500711,0.712250712250712,0.741062340966921,0.768048910154173,0.732139212084099,0.730763609791743,0.727833894500561,0.74050024050024,0.648039460539461,0.633158213780562,0.653655750190404,0.766990291262136,0.742321589882565,0.774193548387097,0.8,0.757951963648166,0.792948120534327,0.767543859649123,0.673267326732673,0.75,0.666666666666667,0.771084337349398,0.766073871409029,0.731238273921201,0.827373350361856,0.713760504201681,0.70042735042735,0.723088266273436,0.715633423180593,0.811203751954143,0.808080808080808,0.822569444444444,0.817744755244755,0.797387653553102,0.809904371584699,0.839809384164223,0.817307692307692,0.752475247524752,0.760416666666667,0.745283018867924
