"","X1D01","X1D02","X1G02","X1G03","X1G04","X1P02","X1S01","X1S02","X1S03","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D03","X4D04","X4G01","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S03","X4S04","X4W01","X4W02","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W03","X5W04"
"X1D01",0,0.642114920236406,0.782928361946933,0.767262238197956,0.75609771095113,0.861096849285402,0.787029508457929,0.751645441487519,0.754232911164275,0.716098617925204,0.743847016451831,0.772839511456265,0.725847746446766,0.624787332245118,0.582592543269963,0.697322014345883,0.725752547682558,0.854244742586161,0.755532446207599,0.774695272243404,0.819339516590422,0.820828969443102,0.847419668161149,0.780969745746917,0.864119398439408,0.871324517307874,0.791816729743936,0.810331564565773,0.788575949068686,0.783237421560178,0.821893446245176,0.683621825201408,0.842532245152899,0.881001215613503,0.762265960653209,0.825939918079338,0.818247234150312,0.840317237371113,0.826773544429433,0.886659181396365,0.871025025328285,0.87457197901846,0.864740191592088,0.874535538925859,0.873762803793859,0.87997374233917,0.871627961367369,0.849363554702803,0.818944906770287,0.874144441768876,0.838231470662538,0.686716685484596,0.738605574507762,0.752546650135104,0.703131113053379,0.73100971800584,0.708536220987455,0.836232476636023,0.850441458546153,0.793846544801932,0.836052073124257,0.836445149331042,0.837312539654659,0.812291383271567,0.800373570004122,0.853790062394182,0.729005117686859,0.800923644411576,0.842699308657109,0.711739563190919,0.8744822634206,0.829491779573808,0.826684723943392,0.806069958943515,0.828375543536849,0.86050811478405,0.911219996286907,0.834608698284601,0.884319324022514,0.858367435131572,0.844250664819073,0.911999598776178,0.832766807985453,0.856191089326473,0.830471876854683,0.870771623324144
"X1D02",0.642114920236406,0,0.867148408965419,0.845918252788199,0.810921924722295,0.660230622728775,0.821664687507472,0.569611416350698,0.531398829316249,0.75522021533642,0.768580888652307,0.795110036131615,0.601457495122518,0.553796671195003,0.545354832553814,0.61402597210925,0.655041001482947,0.756293860306301,0.605357250131613,0.726152631758288,0.771213301279825,0.740048392531656,0.792046066446997,0.713921675084932,0.77453455099401,0.766821140987998,0.790095861810372,0.755598800092229,0.714286649621757,0.680603998767416,0.752929072741542,0.674267593681706,0.800650808897929,0.849268703072257,0.739375873933394,0.738082859860698,0.722963641304433,0.773314902364288,0.728236195418179,0.827840875368174,0.81562784371715,0.817206335761426,0.81326519339911,0.815040827086166,0.828084579675278,0.831516684122603,0.799488539502768,0.803485507643969,0.768866589990031,0.829734469950172,0.766023939921184,0.561233129940094,0.729370290289387,0.748733874402996,0.725090602813571,0.695856690517544,0.647227577170245,0.819030852107004,0.85781651301012,0.794560189836721,0.834883619782752,0.838498821860954,0.82712729701558,0.789107148759103,0.725892842325045,0.859396945649041,0.742296979827234,0.863748672108458,0.840384170775212,0.826958365702762,0.860513470296246,0.752033257115644,0.752617910296741,0.771410478668261,0.766835032213704,0.835359178248151,0.876595808836413,0.824567575585808,0.862794446773436,0.827761722780237,0.801815973934624,0.870688478950691,0.825987448955504,0.787627313302804,0.799214687107796,0.812892433262784
"X1G02",0.782928361946933,0.867148408965419,0,0.378460139304329,0.429643076230916,0.893275973723542,0.532408191501939,0.820731724020616,0.821944603774901,0.528810970086254,0.501141191297819,0.509869139845126,0.626630442866689,0.895292927598534,0.869234429594174,0.779120213613326,0.818183293705363,0.874918610235825,0.775315611704845,0.747157318556515,0.763256123265778,0.841018643544887,0.870027463750663,0.839293068986804,0.83449578654421,0.843158585653492,0.674404739206692,0.745238688850952,0.773233148757776,0.75705192264094,0.88099304905632,0.729076950358922,0.817889828722034,0.868163657015906,0.83083210890369,0.840537642970914,0.824839503804059,0.846346730198731,0.847232165137135,0.867730837040629,0.852392419334916,0.887579851221841,0.865057521184598,0.850725524238432,0.889708616726177,0.908615558839759,0.868074682518851,0.788043614739062,0.820594106286433,0.807908920186579,0.821528222143052,0.816791369444932,0.628545371257081,0.588613716269448,0.426942841681866,0.551534322819402,0.637352222155699,0.676008743974034,0.55093785540367,0.816480107580557,0.794424278318181,0.553003535749018,0.766395133929161,0.758609549800697,0.649481602701936,0.508514595757703,0.596602976846089,0.90052686769043,0.833093611578478,0.856622062609459,0.841362694709331,0.84973555453784,0.831864051017775,0.775490178128986,0.827170677672564,0.82500360816962,0.902631004286127,0.832101952741922,0.889214404628414,0.857062815674146,0.848320500774876,0.846688513615082,0.867760186779114,0.813881700016693,0.772242424782401,0.796740988401798
"X1G03",0.767262238197956,0.845918252788199,0.378460139304329,0,0.373191148980261,0.873360532664529,0.617908551732207,0.799574038851748,0.792406453075757,0.647725421974171,0.676192171629339,0.673881587954462,0.706666138277996,0.873699127666733,0.840910208600591,0.736894293980301,0.798120512766216,0.863971087132752,0.758878952156695,0.737942960973931,0.783967055378569,0.801379940654123,0.857888410988729,0.818021053973348,0.841560472524641,0.831189238866253,0.667759478443971,0.734591654476616,0.758705350607498,0.775969164013145,0.860034775652085,0.690998078748373,0.813427412992306,0.873890075797215,0.838189417732815,0.82829643442895,0.817547473950307,0.835400648539712,0.833570472364219,0.864256127295605,0.860687986049121,0.877792645006455,0.853265016385503,0.846433211720373,0.888560785283657,0.904101077746155,0.870577355505988,0.79823345172641,0.805408319667948,0.813942498682216,0.815524726284081,0.818025719911074,0.757977751041905,0.742281520237786,0.517427720259305,0.622395369859545,0.669732839680903,0.782715564007934,0.665712388265917,0.817293682812796,0.761627664590255,0.729384194877079,0.813759034554071,0.784717408196049,0.734064174391871,0.721222379003515,0.661083515838821,0.900761924303368,0.836596405849623,0.865113014139929,0.845281504848488,0.835149872782373,0.826368453535436,0.779567567847784,0.82750681229118,0.838043323089988,0.908582607594147,0.830454623236537,0.884560260975547,0.850830261079114,0.846365161896112,0.855106955439414,0.870282592865415,0.83612020885045,0.815224445000152,0.8326138502288
"X1G04",0.75609771095113,0.810921924722295,0.429643076230916,0.373191148980261,0,0.859140893932003,0.597853331703208,0.732208509185004,0.761325511724471,0.581742722143112,0.617738647167595,0.664899226833047,0.671082748046693,0.853190013038734,0.835713536801389,0.70922336461731,0.749586546968028,0.82114371199973,0.72600366949434,0.68683123963577,0.756771213500724,0.779917590016019,0.810398567935084,0.79095464398489,0.829449212952767,0.831208443231982,0.640146287944207,0.701652453406862,0.714546731556281,0.755404674963899,0.839880567051977,0.678170645604635,0.795173213550263,0.858840539401645,0.81447654897981,0.80316696997945,0.768393677196107,0.81461451297006,0.801806554073642,0.851608710249751,0.838485268616562,0.863794717182178,0.84246516839452,0.838177277171124,0.867961176783489,0.888461552342419,0.8522157033168,0.790336145924599,0.791964066895702,0.789093739137519,0.797369320515304,0.793230515886739,0.755447634523592,0.741853022773742,0.510303017857793,0.590088936441477,0.654686961485062,0.780823912671077,0.67992747143496,0.814954904866589,0.764597713721259,0.734868521453645,0.813566801723857,0.788249446782989,0.728008973273814,0.735514983657524,0.652695186936811,0.886038831145793,0.822482462457155,0.827021058333551,0.848957751223858,0.823833631206105,0.809966101784237,0.770372216818615,0.811732061831755,0.840304776075484,0.90510887441392,0.846741869109461,0.874349631361305,0.858467713715751,0.842505115385676,0.86058011181489,0.855585764743626,0.803251567047078,0.800905385404229,0.826074088919351
"X1P02",0.861096849285402,0.660230622728775,0.893275973723542,0.873360532664529,0.859140893932003,0,0.770246922957152,0.584794154395577,0.481619435830711,0.806583128126346,0.847355082587461,0.847960839795462,0.699548552990658,0.808322817361311,0.794958703688499,0.763070634956479,0.767060855509197,0.757898739552027,0.651687043066763,0.766546706934579,0.71251546696398,0.714817233462811,0.797720801709467,0.730208999009539,0.74891119367718,0.711750736976597,0.761117170052473,0.72986904285068,0.732630832064652,0.730995101658202,0.766649676146887,0.753644009323444,0.758770557500627,0.81690122469179,0.730409352627062,0.754366196373981,0.760975610409877,0.744161270353162,0.753254884039425,0.74268138773143,0.743668104437135,0.715955130690471,0.747841160198335,0.734632924226367,0.760655167604187,0.759550624807437,0.733994866969632,0.750104306467149,0.743060354376372,0.771644020592847,0.748925357258085,0.754081757639325,0.828937608224391,0.83207511426182,0.794842403913785,0.755530276294998,0.729630196604488,0.744545109648325,0.847973936163523,0.763989283285905,0.769404182527217,0.817560506467486,0.729500736379558,0.757338301695275,0.732641442709171,0.879484834465642,0.776182955622707,0.857434469272702,0.846768967764607,0.834348878624835,0.825638091640126,0.737191048744713,0.752688542752014,0.739608573111157,0.775453988939162,0.754670750245395,0.788350057911669,0.786408055878189,0.782795815340439,0.752481506669144,0.706795787139565,0.799147495878826,0.762453027655841,0.699914453744973,0.734683460719899,0.703035103582097
"X1S01",0.787029508457929,0.821664687507472,0.532408191501939,0.617908551732207,0.597853331703208,0.770246922957152,0,0.725064079984238,0.717421750223079,0.574750760049499,0.572638302890141,0.638498154740545,0.67261593753529,0.883725399314277,0.847353193541217,0.778514725564024,0.768622244904248,0.768000688174755,0.732570682901248,0.723760866817414,0.626358421288886,0.734596315143544,0.807403885836809,0.75036011289406,0.748525850404862,0.724102408237736,0.574603218103128,0.665830413932334,0.71509715043698,0.703303411279475,0.822552094500839,0.718480537509816,0.763390515630852,0.842984489970844,0.781419185376964,0.815023893206547,0.799858887724412,0.801882367161946,0.823116531357516,0.764665199288367,0.75609296104691,0.776903381008919,0.763724853434865,0.757094844336818,0.807430174351166,0.795848818619449,0.754446637486111,0.76036688562356,0.771873705602086,0.773438454895546,0.780027007401557,0.787130876012469,0.708496707422393,0.673512437044768,0.587491184141855,0.618208320033353,0.677884266416511,0.511890497099085,0.398131622000312,0.677908434405409,0.573188028837616,0.522987153740593,0.447672653729743,0.538558347395548,0.669353182856343,0.676804311567158,0.643537734251083,0.881208743018891,0.815855411356368,0.805820238298755,0.791652002212513,0.814298538903052,0.80499667576994,0.757295027710039,0.798463448891493,0.711271471044792,0.809659932298581,0.736879090376421,0.789720096552078,0.685518136860384,0.722370240387695,0.751626563224638,0.739099565218024,0.770740400719161,0.740652661292542,0.761891651694802
"X1S02",0.751645441487519,0.569611416350698,0.820731724020616,0.799574038851748,0.732208509185004,0.584794154395577,0.725064079984238,0,0.367833946910201,0.676484363500133,0.799590554648151,0.845404391597172,0.6411002089724,0.740057445297153,0.756505964350502,0.605232431505721,0.60438560543423,0.670403287075912,0.585051352053509,0.605923828849443,0.737937500559919,0.67727098271625,0.684947056345817,0.621613695095437,0.768475835490264,0.751648077843238,0.705632430363,0.647768856735667,0.695969879579275,0.672092926419648,0.7223531918792,0.652950882096014,0.792538000661473,0.828712534499658,0.775006304766266,0.696484553138415,0.669641797232052,0.731288773292993,0.68423776360217,0.792682514970624,0.787260225185745,0.783125902550821,0.784166379801677,0.780214768364995,0.772818852459301,0.795277688109164,0.770849343021588,0.779923022884815,0.746805921952174,0.81571047178112,0.760278946973809,0.735143209486633,0.829718196936849,0.820934963670793,0.675990906018206,0.638877441181781,0.641006004091569,0.772894613809565,0.859974398934372,0.786444776763237,0.764965049589747,0.836054750743827,0.762128995582146,0.795256138249237,0.744379522595033,0.906959683139449,0.753637626685711,0.85440379427541,0.855676636356261,0.823032851153568,0.8618992341489,0.731183069122915,0.754895498454912,0.764310896587111,0.755469715095431,0.804989247152327,0.831721769990832,0.822985282582602,0.809285949536,0.805270744331708,0.779908780767113,0.854901721714153,0.795346135519495,0.777057787835387,0.819385033850769,0.82063957619333
"X1S03",0.754232911164275,0.531398829316249,0.821944603774901,0.792406453075757,0.761325511724471,0.481619435830711,0.717421750223079,0.367833946910201,0,0.742166535364827,0.805136878431425,0.834821794196983,0.602362528707926,0.736597367183401,0.74425889274166,0.598117939949535,0.649197693851681,0.706290938794498,0.557725773029797,0.635097135365634,0.716616668463933,0.67018997904373,0.721812717671142,0.629991308163798,0.769828765493633,0.734037343190462,0.712128473068325,0.66967390569665,0.704995921888157,0.668777789483914,0.721350153832034,0.660982990679799,0.768168347564082,0.809906108580957,0.75573290454389,0.677505021307552,0.671279732233406,0.707230927115831,0.664550488095967,0.777395925100121,0.759035818211881,0.751049848510274,0.754053780966254,0.761311336727856,0.76219940759782,0.773457153713518,0.751054051386848,0.777063716617397,0.7439030624688,0.792479205779828,0.75095923454467,0.728637290490538,0.815787521318151,0.809500585527145,0.664921272804985,0.614109387549275,0.598887475614396,0.735526475619484,0.837292431515109,0.756162914627972,0.738212395420574,0.826277965943521,0.732426266179461,0.761634399797792,0.726520748169089,0.878030345556287,0.7492800545769,0.842966959842233,0.841612254702187,0.824621997631465,0.842577578505935,0.694683821564095,0.715542939860705,0.734640920374866,0.736716695584166,0.770687372337821,0.809662271854201,0.785661819665004,0.792756142797515,0.771908076922788,0.740748176318436,0.829440115879903,0.768383740533954,0.765365217676551,0.789738566973976,0.794737751759726
"X1W01",0.716098617925204,0.75522021533642,0.528810970086254,0.647725421974171,0.581742722143112,0.806583128126346,0.574750760049499,0.676484363500133,0.742166535364827,0,0.42319208590548,0.451322501146263,0.519429344076194,0.829909005106124,0.787615745145008,0.728493189019751,0.692021183584542,0.778391359584449,0.699095152419076,0.701032900919809,0.724496239250378,0.774714873552345,0.786394474337796,0.761334463722918,0.776009562973661,0.778846195110411,0.640831811877383,0.717128765515445,0.710774439585296,0.665455647163186,0.814367451783075,0.705978604815142,0.800491160650148,0.861573980825549,0.780335715863541,0.797794037882125,0.754696105561019,0.810155902571865,0.797343609068117,0.84704792707864,0.825195852621873,0.853639116925052,0.838349801610444,0.828309541178985,0.855527215148227,0.880450718055853,0.831727436812428,0.76049850806824,0.782390587147893,0.783220258655461,0.777046156003383,0.72602346320735,0.547087104823079,0.530741909160705,0.565224256630072,0.571395083273769,0.615276833757051,0.686931628854725,0.643437727493143,0.794837581223569,0.815108789438258,0.55801842702411,0.753206550599496,0.736441861707929,0.619527329996724,0.544043842781226,0.570088628362808,0.878786463459507,0.821795406932992,0.826676635083525,0.847974859219152,0.80586452408269,0.785966638089649,0.743047419401809,0.782976577172469,0.822321498914088,0.891181053712429,0.830789814016841,0.873889813094585,0.834699303857511,0.82840852777606,0.857212570275059,0.840959473996672,0.757793993557398,0.742728048469814,0.782014322008192
