"","X1D01","X1D02","X1G02","X1G03","X1G04","X1P02","X1S01","X1S02","X1S03","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D03","X4D04","X4G01","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S03","X4S04","X4W01","X4W02","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W03","X5W04"
"X1D01",0,0.728069095430985,0.814821089726213,0.82089552238806,0.798657718120805,0.880645579046201,0.839229349056042,0.833723653395785,0.83885306546183,0.743505398110661,0.771878418502891,0.74468085106383,0.776078030690053,0.73143963232069,0.715083798882682,0.781306003584229,0.813529411764706,0.875534266764923,0.812183613166273,0.83955223880597,0.829582599949711,0.834963230750216,0.865993039462427,0.842561548041,0.839724770642202,0.855529737882679,0.842592592592593,0.859397408634588,0.807831661092531,0.810127410198048,0.862850029789769,0.808436503817926,0.838165266106443,0.869369369369369,0.776080534825871,0.863706726709823,0.863787375415282,0.858064986309356,0.868877449020392,0.868421052631579,0.864220933690158,0.877952755905512,0.86552812858783,0.872586872586873,0.874564459930314,0.882352941176471,0.880267828698858,0.852298850574713,0.850806451612903,0.863905325443787,0.84161802633365,0.718918918918919,0.759277585353785,0.740157480314961,0.800641025641026,0.810526315789474,0.77099088366311,0.848331648129424,0.801587301587302,0.83231673299364,0.849848495779525,0.80297500552975,0.869687339496662,0.847621547407527,0.803605794932107,0.8,0.753125488357556,0.86,0.853279666070364,0.840277777777778,0.846153846153846,0.866184010882645,0.843056366087779,0.815713555360795,0.836065573770492,0.858769363739113,0.858859617466619,0.868734335839599,0.869810857283223,0.878627123363965,0.874156667878641,0.875816993464052,0.850701720962723,0.849102282244556,0.807572861920688,0.846153846153846
"X1D02",0.728069095430985,0,0.889705882352941,0.870402404612931,0.82186799501868,0.772890779867524,0.847242891441951,0.671026849332815,0.665037608412004,0.791245791245791,0.801381795618348,0.8,0.671779141104294,0.665201778385773,0.718494824149682,0.706563079777366,0.723883507164743,0.791711858279103,0.70843989769821,0.776486495509632,0.842026474769012,0.794593607305936,0.808840048840049,0.783518538693394,0.829608938547486,0.843840317919075,0.850373134328358,0.824815702993161,0.759139784946236,0.743489406722188,0.788819875776398,0.734112935792166,0.846714239432537,0.886667994225121,0.793052931350804,0.811278354886581,0.799761336515513,0.818815434430653,0.808219178082192,0.874163094435922,0.866666419855467,0.880203562340967,0.876420637995609,0.874846437346437,0.873127654817796,0.888176200389941,0.871004232958692,0.848396501457726,0.822972291823422,0.8801261829653,0.803089954664758,0.681063122923588,0.813997503595365,0.833935018050542,0.822634036093006,0.789146779993462,0.765625,0.887537993920973,0.881931643625192,0.879032929520003,0.90506329113924,0.88636585962338,0.9,0.880068493150685,0.797564546920468,0.868613138686131,0.821488696488696,0.883361577931554,0.905524475524476,0.858585858585858,0.901234260687802,0.829238106737503,0.833806852576779,0.836569884364002,0.829230419633389,0.91005876445866,0.900155763239875,0.915857605177994,0.901785714285714,0.899122619485373,0.884097035040431,0.919408962979,0.891102201391046,0.843940270545775,0.858075162354945,0.86687306501548
"X1G02",0.814821089726213,0.889705882352941,0,0.726190476190476,0.759437321937322,0.937639198218263,0.828241604477612,0.911329511329511,0.9071700823068,0.803418803418803,0.784133271202237,0.771256454388985,0.850004156160816,0.884360599078341,0.860759493670886,0.88247201714694,0.899640287769784,0.909232954545454,0.871030414849603,0.857758620689655,0.864516129032258,0.861041328013398,0.9161182074042,0.882016165244724,0.905511160099201,0.907040284661329,0.835443037974683,0.883534136546185,0.889108476064998,0.872695658045783,0.915819851702056,0.868264905732606,0.87025012025012,0.888268156424581,0.890909090909091,0.887813893627847,0.888675213675214,0.893184102578034,0.895029311187103,0.901897979858173,0.906919788215974,0.924307530279094,0.893620562130177,0.900943396226415,0.91582028613848,0.919431279620853,0.926965188096575,0.865030674846626,0.882202111613876,0.872,0.887445887445887,0.890576496674058,0.853436880370126,0.82861509835194,0.752293577981651,0.789485359361136,0.782894736842105,0.863269794721408,0.769230769230769,0.8515625,0.827868852459016,0.79244535951853,0.895129615082482,0.854623154623155,0.831033498287019,0.736842105263158,0.79646017699115,0.861702127659574,0.841052631578947,0.842864923747277,0.810810810810811,0.890350877192982,0.873254924459744,0.832633053221288,0.863627465374639,0.875,0.878154825026511,0.867924528301887,0.875,0.893636363636364,0.900276243093923,0.862951496388029,0.885605234460196,0.887691822577255,0.851401084710744,0.873604201216142
"X1G03",0.82089552238806,0.870402404612931,0.726190476190476,0,0.739483916578296,0.921312455175711,0.832795698924731,0.889156752486291,0.878579451220792,0.793355119825708,0.803737246360197,0.790412528647823,0.831796941376381,0.870535714285714,0.842105263157895,0.859813541317231,0.883301952490263,0.893349391141443,0.840304182509506,0.843881856540084,0.863271344040575,0.85023090510545,0.910092281962709,0.867053826045627,0.890511727078891,0.892857142857143,0.826702618916912,0.876223938223938,0.865806835388276,0.855710843373494,0.895279209023813,0.850101214574899,0.874285714285714,0.898963034601332,0.887119193791266,0.875912408759124,0.882247899159664,0.88475373547316,0.884134248665141,0.900743805723856,0.914429289303661,0.925438596491228,0.897512285012285,0.906981118555408,0.916190172118538,0.921052631578947,0.927536231884058,0.858372613913683,0.877828054298643,0.876761961485011,0.883627533389372,0.875675675675676,0.851851851851852,0.841613379242499,0.75,0.778831946496617,0.754438491438176,0.873304547801192,0.810940594059406,0.867647058823529,0.855017147914592,0.814623902252768,0.910300618921309,0.856601731601732,0.823170731707317,0.8,0.784869675778767,0.87609649122807,0.863157894736842,0.866927083333333,0.859906542056075,0.880952380952381,0.871210574665714,0.849812030075188,0.863775784065639,0.902029343205814,0.899280575539568,0.897130647130647,0.887041942604856,0.904304029304029,0.904761904761905,0.888409961685824,0.902597402597403,0.876831785345717,0.862457130213519,0.867295597484277
"X1G04",0.798657718120805,0.82186799501868,0.759437321937322,0.739483916578296,0,0.902360786806122,0.788170163170163,0.829088889411322,0.848970251716247,0.708333333333333,0.728632242370632,0.741801075268817,0.788639324936403,0.837117346938776,0.828803143557775,0.821286505720857,0.835715379511,0.866765285996055,0.814260166722992,0.806507019814796,0.823852617970265,0.815315315315315,0.861322260651439,0.830906491581065,0.884093915343915,0.890692640692641,0.823223039215686,0.850002057867226,0.841410427807487,0.836032677871003,0.883915295885308,0.821110257395313,0.860275124647084,0.889144905273938,0.851566951566952,0.850336277449153,0.836331284373989,0.861830330509486,0.842906388758889,0.891155902920609,0.885391827991755,0.906640726329442,0.88191234053303,0.896414342629482,0.898147512864494,0.90983606557377,0.912457912457913,0.854166666666667,0.86864406779661,0.860759493670886,0.869309262166405,0.820852402745995,0.828696646341463,0.833333333333333,0.727606951871658,0.741657417684055,0.738744588744589,0.868431855500821,0.803495115995116,0.857625482625483,0.870858020627606,0.824264705882353,0.903030303030303,0.868993135011442,0.823529411764706,0.79646017699115,0.801882536297269,0.868732798851263,0.850877192982456,0.829072721498889,0.871794871794872,0.864864864864865,0.854720697903475,0.826923076923077,0.839642857142857,0.898089171974522,0.902911604524508,0.905453295250185,0.878612716763006,0.906163674033149,0.903669724770642,0.902620356862305,0.893491124260355,0.861191393705845,0.860006235802414,0.872779821334735
"X1P02",0.880645579046201,0.772890779867524,0.937639198218263,0.921312455175711,0.902360786806122,0,0.830602006688963,0.683440724196545,0.615384615384615,0.871687370600414,0.884906487847664,0.892577837524899,0.813722775932078,0.856088070996007,0.869826883910387,0.846614873994008,0.838765583943646,0.838839540803075,0.785014393620951,0.857641559853814,0.833848113561228,0.823415191319246,0.856344681046211,0.817272249422297,0.855327329990215,0.845472864311871,0.859250992063492,0.836007130124777,0.812280701754386,0.813974017760679,0.829340881655478,0.827525497814473,0.874245423959383,0.898888143061221,0.842106557377049,0.849151417464682,0.854287996272755,0.846422338568935,0.847827546089136,0.861328125,0.846153846153846,0.843519801369017,0.866732935719019,0.858195386702849,0.862728481222998,0.860356277010646,0.848112038184745,0.867073071773441,0.857542655014565,0.895873106310244,0.838476108905836,0.859470468431772,0.910594961325321,0.921286848769454,0.889848812095032,0.867139441968786,0.844262295081967,0.847788990488106,0.906248286245594,0.889129910821885,0.868473819612591,0.914148597573105,0.840386247877759,0.872767145135566,0.853095326180787,0.923253189143787,0.886021505376344,0.919213973799127,0.935195449824225,0.910891352764598,0.922814087962152,0.852517252424075,0.86910478731288,0.859291206306132,0.87562890930021,0.879787580811648,0.886532128911522,0.898230088495575,0.878305918400258,0.874226804123711,0.844027290448343,0.919301976006317,0.874472536277041,0.85625,0.877969984091662,0.863056463428378
"X1S01",0.839229349056042,0.847242891441951,0.828241604477612,0.832795698924731,0.788170163170163,0.830602006688963,0,0.798132450042494,0.790645879732739,0.776470588235294,0.76875,0.8322364148084,0.835341365461847,0.878182491502334,0.872339712062953,0.85621959113784,0.86502466764584,0.862993729781541,0.84531355294899,0.841072316975163,0.751262626262626,0.797236586942469,0.87055582563604,0.810996563573883,0.819193892399386,0.81179289916485,0.755434272300469,0.821233426072136,0.841504053317953,0.835260963054669,0.876903749516815,0.841584158415842,0.85057301137565,0.883477011494253,0.852457757296467,0.869702621014047,0.860800458809553,0.861586840832124,0.869088375796178,0.844209069618906,0.817805187675839,0.831063142969198,0.823094755143437,0.83820310124658,0.852579635519208,0.850598559641341,0.855704697986577,0.855538555691554,0.863884935694708,0.860051813471503,0.860104059762763,0.876126491840546,0.879518072289157,0.889229720518064,0.824555403556771,0.816663264611826,0.827102803738318,0.721365554276947,0.802122105670228,0.76969696969697,0.734333784843516,0.765529058974725,0.7125,0.754777845404747,0.827426999955283,0.848949961109671,0.81896124492021,0.888217025940811,0.866207266869518,0.83171344784248,0.856087856987138,0.861359538406058,0.857749603231857,0.84224828375286,0.850373134328358,0.802325581395349,0.833333333333333,0.80843210865989,0.80327868852459,0.811269738265196,0.797297297297297,0.838382006167241,0.807491987179487,0.855721393034826,0.835679845708775,0.847413024085638
"X1S02",0.833723653395785,0.671026849332815,0.911329511329511,0.889156752486291,0.829088889411322,0.683440724196545,0.798132450042494,0,0.519125936887228,0.811985639326153,0.834894690653796,0.861497585606244,0.738378072611334,0.801210928908331,0.838917875209216,0.738790741507792,0.716681870633733,0.735454353115413,0.709268058664961,0.752302708773341,0.80865005192108,0.75373141113945,0.737466759739396,0.72893920902464,0.823226945859846,0.833157152924595,0.818956442831216,0.768172888015717,0.744097188583829,0.742,0.761697177262797,0.752219961330963,0.858974358974359,0.869215291750503,0.837807714673386,0.776961534017143,0.7519765625,0.790065792248324,0.762887358583374,0.853977687626775,0.844195924868919,0.848926290028995,0.860772826312982,0.848690449311357,0.830242292189442,0.852969621117306,0.836065573770492,0.84056429754555,0.810258838383838,0.88162270175724,0.79725752482694,0.824618364092048,0.896835742415242,0.903415649278579,0.828571428571429,0.784017327861377,0.772367610837438,0.843051086082059,0.899638516161486,0.868965517241379,0.854821825559561,0.890623645473932,0.838972942944906,0.871043199085222,0.82209735083812,0.91155558028263,0.848343310007588,0.898485921246119,0.919947911312155,0.884749254540526,0.919902912621359,0.80629438796825,0.822076877097798,0.843480871504546,0.841163310961969,0.881812223320583,0.887640449438202,0.896751302924581,0.871211837247222,0.880436426896604,0.858940805340977,0.915315286212689,0.878348481224587,0.844419193459826,0.877293771043771,0.871680376028202
"X1S03",0.83885306546183,0.665037608412004,0.9071700823068,0.878579451220792,0.848970251716247,0.615384615384615,0.790645879732739,0.519125936887228,0,0.822544159047311,0.844866588604599,0.863684348739496,0.734309623430962,0.802348561448663,0.837614097363083,0.738229755178908,0.74345055848963,0.76206953957382,0.703139372342814,0.76122323801735,0.814775828460039,0.764883061658398,0.779705234524512,0.736637442370191,0.830877854615009,0.827308362369338,0.815547326729271,0.791587472398468,0.756654377213909,0.750702779252965,0.770764119601329,0.756529941662142,0.858012345679012,0.870873537474218,0.829654531782191,0.764918625678119,0.761948690915481,0.775862409707606,0.760000528953598,0.856588608664626,0.83484595223992,0.835410973456514,0.853908794098591,0.844168616554548,0.832278855834337,0.8460056321328,0.827588478667615,0.843497446576429,0.815610127546164,0.877572055108423,0.804855381267567,0.835961963732862,0.897958658988071,0.907344514468402,0.829664958697217,0.786480859668274,0.756696962449175,0.834452103137061,0.893023255813953,0.871767001114827,0.854945054945055,0.898981621777627,0.832964195238119,0.863169719474522,0.827995981001096,0.9071700823068,0.853982300884956,0.897207817511465,0.930232180812227,0.893335111822507,0.917809076682316,0.785714285714286,0.816266032104541,0.833518107908352,0.827008644958768,0.865342163355408,0.885900003709061,0.889017192712343,0.868869490099798,0.867160605376101,0.831991902834008,0.916666243944505,0.874211625096143,0.848006487541371,0.869418860272519,0.866044084027089
"X1W01",0.743505398110661,0.791245791245791,0.803418803418803,0.793355119825708,0.708333333333333,0.871687370600414,0.776470588235294,0.811985639326153,0.822544159047311,0,0.694160997732426,0.717850581751378,0.733478893740902,0.830738946093277,0.802483974358974,0.815835940462647,0.821788111217642,0.858997299401892,0.803032707896378,0.816979036117124,0.822225204998048,0.803673640167364,0.861973459421215,0.825478950579622,0.853979265878849,0.852457757296467,0.809413067552602,0.847788476004212,0.815256264302388,0.808587449112835,0.874331550802139,0.813586692569208,0.847278911564626,0.886716224951519,0.836541130748589,0.856453778189425,0.841023333021603,0.869281045751634,0.855325689093814,0.883126630016699,0.873665382498624,0.901767793731666,0.879718660968661,0.890434451219512,0.887734969149089,0.900596028584076,0.899022801302932,0.845755813953488,0.85685828116107,0.853382940609067,0.848267287020696,0.816375825692596,0.822531728256812,0.826086956521739,0.756330128205128,0.764108500618275,0.757094757094757,0.856748224151539,0.829014396456257,0.842767295597484,0.856732348111658,0.8125,0.882815892314373,0.853047034764826,0.795576735092864,0.803099198276894,0.771618118041787,0.868693284936479,0.855536231884058,0.828486423064029,0.87218045112782,0.867402865205123,0.845101701951017,0.827380952380952,0.838625672043011,0.893153277654269,0.888264669163546,0.89776253470521,0.882352941176471,0.888039987568632,0.893711165505555,0.9,0.886486486486486,0.859375,0.847058823529412,0.857142857142857
