"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.700634978057922,0.447903460880328,0.374246376209761,0.70090861746014,0.666614364324969,0.699945601414068,0.65195733923556,0.696116617674321,0.817011609917891,0.759990806152522,0.687929735735224,0.714026930905721,0.811849704556605,0.514447002422606,0.581096458395603,0.545985638882279,0.560714325104777,0.469910469835033,0.667824421413341,0.601331249065218,0.437442106339164,0.678772775543101,0.672212241233462,0.647031867813322,0.759425899141504,0.703418730444766,0.717392891897358,0.726249400298439,0.684636776219566,0.825736574356774,0.719253610009931,0.703123289703696,0.699953763880263,0.735056276539895,0.65086498791512,0.703559113478468,0.669066195518809,0.711732662262255,0.751071651019203,0.769408735702392,0.743801067730958,0.69454085690656,0.736677532313629,0.707782528280856,0.711911633300073,0.812682138126577,0.795902581592816,0.803116190837415,0.792413552987091,0.817274456593985,0.829224345576607,0.798078975855672,0.788038319170515,0.71037572553749,0.743825081310613,0.796554850138797,0.704106047926121,0.382812834561475,0.351487009773623,0.364178600828282,0.381277762752222,0.645342426457182,0.601844936815394,0.610231155406318,0.643557808997175,0.72048155669634,0.648030226460707,0.717037258676755,0.726005255450196,0.673098746827654,0.680154474909352,0.673452758971875,0.687076293183662,0.617691016230047,0.514788759575275,0.556752505451944,0.616946455372174,0.76101795093474,0.864993855851243,0.809565338536978,0.778970209943517,0.719487496383031,0.70716928843225,0.767752770936215,0.823954715075002,0.889479071750695,0.8383463733575,0.823072388153752,0.846260327314012,0.81983764629437,0.786091976642769,0.803458266498685,0.791099564247648,0.774768746737352,0.791489437849063,0.762561867983107
"X1D02",0.700634978057922,0,0.470645713882024,0.614493668550181,0.682230270011838,0.678300637472313,0.694997676564607,0.806392580393978,0.643297000518196,0.358138575029993,0.833970690436233,0.787688085819915,0.672324688030057,0.86618573781182,0.542524561433966,0.674043355929566,0.635081330869425,0.67617192298732,0.811827702488365,0.847017411606159,0.827990720685471,0.737392141290072,0.874003262843011,0.857252891109066,0.857640165526268,0.903172527087475,0.889886028713887,0.817795281675577,0.908849642320107,0.833570837113867,0.906781424915648,0.859633956787937,0.861244887628546,0.877886662215483,0.835141476794018,0.816763220731086,0.841080711876233,0.778130187672417,0.866187384338809,0.875398508335793,0.885323656431779,0.881268044512729,0.843300021007652,0.859052046831474,0.870666964242338,0.873768018704779,0.877973508866115,0.871436249619373,0.869307965677525,0.878128999633499,0.882690524405033,0.902954393244589,0.889485193743866,0.900297916058649,0.867492294701596,0.842237040306615,0.908656700530031,0.870954823253475,0.751029000071346,0.728052948283329,0.783093932929296,0.787941421980117,0.817508415716154,0.750452998404932,0.802419821251037,0.818030210314802,0.818832357240758,0.774081866208047,0.835238963198928,0.834380077841782,0.831643584214178,0.788318321672166,0.861917174099702,0.794035692569839,0.818639952120138,0.74633349250272,0.834651818686637,0.838070605061774,0.881439937771003,0.868556790683392,0.838216227943966,0.861414999009222,0.88594822876654,0.865237223794532,0.868335990585565,0.889881306731236,0.921147268057779,0.892248464463231,0.895703541544024,0.902340583072958,0.899051110718659,0.867132001431742,0.893722733852992,0.903247340592738,0.881428759252285,0.893579291512102,0.89422034158319
"X1D03",0.447903460880328,0.470645713882024,0,0.268136505735705,0.640705201802323,0.550234615305294,0.578020661782903,0.59391496175994,0.452930184074756,0.672850165922892,0.570253030435378,0.54977760712229,0.546587921118659,0.688693168919777,0.436635448618383,0.409270148609117,0.430919799600809,0.411856028877185,0.664658434212566,0.764519112843415,0.733398050549405,0.585124501130616,0.77301687192308,0.763359682892871,0.740210172663291,0.846134235196391,0.814101896781935,0.766348187704444,0.817276718792342,0.778580752909492,0.864240362221537,0.79629104467964,0.764239858442831,0.779325356598777,0.790197146857029,0.757059623752703,0.799169147710186,0.752742552060883,0.729540383033558,0.777164646938001,0.775518982195311,0.771074440337389,0.737005448294028,0.816552908290126,0.786419993561807,0.803442252192197,0.808196335123242,0.849908845416418,0.839989151140064,0.790987111689015,0.773729947853556,0.859141172876497,0.822817862880915,0.809885919195252,0.792476135166463,0.798842185708129,0.859188165755216,0.75906373268471,0.495259586263648,0.467231602794054,0.565235522653057,0.499989824001174,0.747867218881636,0.652405930730442,0.673239993142957,0.709150160288655,0.70811497087016,0.679576317827037,0.722349137062917,0.751742986347767,0.709391046684569,0.677116406922374,0.70267863549063,0.721393630389677,0.721007000179673,0.560824313304114,0.674843155274707,0.725799202738497,0.726476985791301,0.857800757233524,0.735295949430234,0.742382751517191,0.759245108505682,0.74072303898795,0.728396104223279,0.781107914627542,0.897864832474555,0.781014113790035,0.774972126020313,0.794647023419744,0.809019953389543,0.731203792268068,0.794969113510868,0.850514174001261,0.825559644720375,0.814909782535032,0.809040977729827
"X1D04",0.374246376209761,0.614493668550181,0.268136505735705,0,0.658735474464729,0.541750948218466,0.573844280012553,0.584104596850611,0.587637199999395,0.76669491360261,0.604158765097709,0.626313435128377,0.625468762149179,0.754080631350772,0.455149866225453,0.457043503995969,0.410179178520514,0.462454379549643,0.593448685917869,0.727561581553746,0.685621912188403,0.52698662983503,0.737642234579148,0.718431623610883,0.700175325985336,0.818027291269737,0.778316354925184,0.738927103297182,0.788625880224931,0.749263805700297,0.867226059037476,0.771303214185205,0.752898695984204,0.749069148361426,0.759560076756443,0.707290189006306,0.748289912911055,0.716928786483257,0.706200491532333,0.759653461489693,0.737938233711428,0.727648733511109,0.682181843542352,0.770675981975877,0.734823894112964,0.753283093988935,0.802482106180016,0.816890902105968,0.812023189826378,0.769038989633831,0.767369781601022,0.822806971388468,0.787374507351656,0.787010782109966,0.74880624167271,0.774493232911926,0.814379047917221,0.719749238685752,0.42845393284804,0.384153408400125,0.474397118614041,0.435915723585557,0.701177782346058,0.623916759889989,0.621412830330745,0.655732663207293,0.701987793461905,0.635951197355667,0.677123681059407,0.689849381963431,0.635310546518484,0.667636135997166,0.644747540684578,0.673349560489279,0.678327835756604,0.529116396632176,0.610351454130486,0.672587603123716,0.707253874191941,0.870691787634085,0.74897325991161,0.68925132102156,0.715841312505024,0.690265706673782,0.675346731036837,0.755691873150353,0.898284377417005,0.765440417320825,0.779843261211502,0.787450526944717,0.805205014167448,0.726493156417803,0.787840029808337,0.822505571031612,0.801067843546085,0.794075964756814,0.774358309032401
"X1G01",0.70090861746014,0.682230270011838,0.640705201802323,0.658735474464729,0,0.316341684057642,0.310646566005051,0.644727519510275,0.616485815903164,0.581486327957982,0.73974833322038,0.667529552641295,0.624910705565697,0.767457584661973,0.484151636820498,0.504355469468761,0.501902781165969,0.516615772928629,0.789168627299597,0.744366670951675,0.709328946892638,0.630603660737057,0.788882118881912,0.763916663132097,0.734901590023989,0.825065209483821,0.820315456946741,0.708259984086984,0.802152934457443,0.721301705776906,0.827088040783966,0.769372407130079,0.73480078040042,0.73581007194712,0.695537726107107,0.693870617464977,0.734408483660136,0.631658710655665,0.68426453938811,0.724600840572672,0.75116933592764,0.749411689893853,0.697738852853158,0.736795302393857,0.739144177898772,0.776333255725761,0.758729678581886,0.778091452763149,0.735733479544515,0.784584100393404,0.76890254085083,0.781044566911458,0.800740128263499,0.786068287772247,0.733034928511043,0.759883708957916,0.763734993177661,0.751336136920529,0.594160347954031,0.638756318246254,0.728836998061052,0.661382216257662,0.625944389598228,0.43446579830894,0.584296949030724,0.637076335273579,0.67414085943367,0.581954934524733,0.685270607637932,0.680759541286291,0.692097421924976,0.607625709830713,0.731606023430234,0.631465589521648,0.665037097034196,0.555104943901378,0.678988444682495,0.704795791266415,0.692830090474572,0.794031388276783,0.691313051159094,0.696074373661473,0.761747754685399,0.722754697793157,0.736583207232887,0.743310511367295,0.869731798273309,0.779945043516836,0.78334284286223,0.772738049173587,0.743331489546108,0.747664247393129,0.763401433283594,0.718630898796799,0.718725892905989,0.703089286329472,0.727314202683308
"X1G02",0.666614364324969,0.678300637472313,0.550234615305294,0.541750948218466,0.316341684057642,0,0.238715609524527,0.560058724115761,0.60181832555938,0.656272426491256,0.572443930336606,0.603252789187226,0.612259247990597,0.691683984963504,0.405305919860735,0.390322495471598,0.395793347360612,0.412572529619384,0.778310031654177,0.721260034575951,0.683973654162859,0.61250283369099,0.761891867013628,0.71811122007458,0.703073504054001,0.815368408408206,0.817985863742356,0.674201212834127,0.817114289414276,0.70919366325164,0.810406389340985,0.734716298565601,0.712693795019487,0.70260840438677,0.651178741634908,0.671382741265832,0.721496952499563,0.598294938536293,0.670131265684182,0.713937600610038,0.715161268694658,0.712404364314345,0.643585123564149,0.719755040876225,0.702194562010026,0.7702373657046,0.744108280712664,0.773281502440135,0.727114164341093,0.779395022579349,0.7033505868386,0.809616001729911,0.769114862748806,0.764990849680988,0.704384009360119,0.703390167596406,0.762717597934337,0.711381663618463,0.522630878614136,0.559106955151545,0.678895654471279,0.593936669847939,0.59818517274749,0.388088097610023,0.5206597064256,0.576755095852576,0.616840126733904,0.51888737953915,0.621173598962312,0.645299352795228,0.611104142213813,0.518119651283693,0.625594885270773,0.582275409668853,0.639982699616485,0.498453400711153,0.625837678504809,0.6543610476638,0.616531882677462,0.83128178902427,0.666618486332219,0.607122735478806,0.722933629805013,0.664105239800007,0.627292983064197,0.638211588050206,0.866035758841766,0.69047778991167,0.727010717623772,0.703858812855889,0.717050552357594,0.624394231875584,0.737070231300897,0.715397380893427,0.70304468006322,0.695857484325874,0.682125123127671
"X1G03",0.699945601414068,0.694997676564607,0.578020661782903,0.573844280012553,0.310646566005051,0.238715609524527,0,0.659014640015827,0.664235906727684,0.650895969843402,0.606998110725778,0.726414060825267,0.707243056279959,0.830460600765317,0.539197821322269,0.501902699639392,0.501312892487068,0.538387211989371,0.784233389299683,0.794269420183598,0.734073800356153,0.627819292154167,0.804698228304433,0.77390730486226,0.767388648495586,0.846706286469747,0.824358277243633,0.733067646477291,0.81873437584165,0.750327131629174,0.860039329519216,0.790734056346318,0.775658196313632,0.748108202021896,0.726943455377358,0.734294825283945,0.769952557662154,0.693511224878786,0.736964728772175,0.767467272807844,0.778790565310937,0.794956011586555,0.718472506791363,0.78936971249392,0.780719810573736,0.800064144911696,0.793946658041621,0.816761343341611,0.790639004066707,0.811529156986371,0.762676391758807,0.834489402907938,0.846725956960261,0.815459596745663,0.78121697145555,0.805551516665008,0.82134200929225,0.799372846274697,0.5790881273764,0.640206522652317,0.72309177385267,0.655771699243849,0.660450255944866,0.45506395393862,0.581295945506129,0.654629123759255,0.684631791835254,0.634252121331359,0.690100315548913,0.702006218510461,0.688674236011669,0.630289898143626,0.736222749052949,0.67509644196945,0.698840766749702,0.605327022388731,0.705178448573733,0.725046372995747,0.6146453925772,0.840900575729484,0.70512201356777,0.673058605811435,0.808114521296638,0.753468901808204,0.664414056995548,0.690315123005068,0.888075334311011,0.710007011345682,0.78737004272337,0.766309595623585,0.784872405437074,0.713242199374411,0.807066210255674,0.794304346526284,0.78086076726853,0.755525709163554,0.780120206508259
"X1P01",0.65195733923556,0.806392580393978,0.59391496175994,0.584104596850611,0.644727519510275,0.560058724115761,0.659014640015827,0,0.604344686243346,0.847460166852026,0.576833643269558,0.55057386601263,0.606297899996819,0.62172199839225,0.580593154449291,0.448988043951514,0.462719594139422,0.430405378595904,0.734394853734666,0.742534866706484,0.670920430195195,0.661797848044532,0.681355762727656,0.672940005421443,0.651360442356494,0.768762691137897,0.770176562580358,0.524835232061174,0.741256257660514,0.632207841008584,0.648858375316419,0.672354647540036,0.599930917929357,0.681734871188165,0.659264002045695,0.642608113899647,0.706934849962107,0.636512538557886,0.611288427865627,0.658756249154167,0.642777288674151,0.619488167515159,0.630259080195396,0.694527072212299,0.6891502098618,0.750805941196155,0.613231588409232,0.677773837683975,0.680895720505589,0.634190689235695,0.606386444260555,0.682742855534213,0.679391462542404,0.696565252970449,0.654748740977091,0.679864948849758,0.692530644725746,0.616291980199102,0.521530558487628,0.579960347086733,0.655803380456236,0.551260984022078,0.638448137376166,0.58476797088063,0.567256391969166,0.601561499128613,0.485407890135764,0.455112852704709,0.498280325593617,0.487822926085358,0.540122379338541,0.468497257377278,0.516602897279696,0.559697331964549,0.625006557373408,0.520173415040863,0.582655370611644,0.607333626009884,0.663455119887985,0.814113152706382,0.599400021868322,0.647813085306347,0.674443767932251,0.65443041728714,0.64464494251335,0.664053294497797,0.765243820169253,0.670375624100736,0.580284916083993,0.612501392800752,0.670330548672431,0.584705838500904,0.62486148139089,0.750223938834545,0.697824028914775,0.732989324560887,0.687658170745888
"X1P02",0.696116617674321,0.643297000518196,0.452930184074756,0.587637199999395,0.616485815903164,0.60181832555938,0.664235906727684,0.604344686243346,0,0.770937219247854,0.458904446125949,0.350567532453287,0.3746211609561,0.378944027383185,0.525079598644439,0.407090493644714,0.606379461623363,0.457518193966895,0.841564429786429,0.867488486368549,0.842903721982617,0.771891211390892,0.866992778290541,0.850388797616118,0.807883737754722,0.91633735460489,0.897349777177536,0.834899277576833,0.861471841714175,0.834187594380182,0.861324555813742,0.856047138693522,0.797858198454926,0.821939183939706,0.843522534097934,0.841296543574998,0.868941274029883,0.806040934537325,0.768618184846987,0.808519279292598,0.806090137613222,0.810677032309628,0.809354185312139,0.862887123275779,0.820613576405244,0.870505327581293,0.811977211619293,0.887528444754497,0.852391230980565,0.819275695660923,0.81134346999423,0.87408121972,0.84504013590435,0.845004570182999,0.834522564454663,0.823452398061718,0.859336711677506,0.792013440926165,0.682890565463646,0.66578958704612,0.760189962625738,0.688013536452544,0.806924127488768,0.72538977659553,0.771662129538905,0.784242402472471,0.760360044238992,0.723692394817374,0.771353641881865,0.804502458606174,0.790355956841774,0.668195575935009,0.767161368208035,0.764011299528948,0.806413532177209,0.663103844700161,0.79543128226106,0.825969812608137,0.757592638617338,0.827873912727998,0.678865619089973,0.76937242981427,0.778268930808905,0.787039365193506,0.785684739127456,0.77290438331228,0.901554476835894,0.770566558211139,0.777846833669595,0.794951455306951,0.80574917245967,0.766553302140021,0.822811263188877,0.821087205066901,0.804782564370887,0.775327402398533,0.813203667638076
"X1P03",0.817011609917891,0.358138575029993,0.672850165922892,0.76669491360261,0.581486327957982,0.656272426491256,0.650895969843402,0.847460166852026,0.770937219247854,0,0.870668468109868,0.804996954135304,0.708411641844616,0.876452608869877,0.680700616159763,0.773844408334122,0.637667430129405,0.738312283408038,0.890773830205828,0.91799633052554,0.875175340381867,0.78443499796559,0.934531198252535,0.924836940256117,0.918325130712087,0.951141373998546,0.946180878342968,0.879372062067447,0.957139465947513,0.88287763295195,0.941406837837973,0.919617929656947,0.913011553429601,0.933404999285168,0.893212003949508,0.874885463393622,0.900738509692627,0.84204495204793,0.922236016105049,0.941325061380749,0.931071315140332,0.930682576932051,0.897225646472576,0.906828149247805,0.919598016575274,0.921550755086962,0.915592623965388,0.910900257967921,0.910976718027474,0.924613126869174,0.927668443105041,0.945867901795466,0.936423521315608,0.945098249826676,0.925901063714459,0.895066345284125,0.943512070512623,0.92983976880394,0.826352545623377,0.84110932916361,0.871640346213807,0.889089731965843,0.864576120341715,0.7592735002851,0.842707946960796,0.887252885380076,0.85573271146555,0.777097077169158,0.89498617203697,0.871154400315781,0.896837129564452,0.828932689273526,0.929072424095287,0.832665407905161,0.898557987629581,0.80568644639267,0.910012042452219,0.907931112785588,0.92416762617882,0.891091969722331,0.85963653955997,0.914481926124557,0.935159799149809,0.920648504987298,0.926849937304702,0.913349553799489,0.947522579096499,0.910737758201899,0.919141738837818,0.92985144910174,0.941308375789265,0.918313517397503,0.929264949084919,0.939281660505914,0.921628256810366,0.933276287883689,0.941541945257704
