"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.75203305785124,0.605355884425652,0.527851605758582,0.784172661870504,0.769230769230769,0.76,0.768573854544267,0.887096774193548,0.908333333333333,0.892307692307692,0.82060401119403,0.845178020745725,0.94488188976378,0.673102610807529,0.694043572741962,0.661817604739738,0.659090909090909,0.612010839414501,0.719590600059119,0.721102041915845,0.595661125514717,0.767953102100635,0.775262065209992,0.789009054325956,0.802596482453947,0.805819602872835,0.754010695187166,0.805015505725191,0.764318292091218,0.861575064669626,0.812878567032682,0.775559980089597,0.785589003100016,0.770756050167815,0.722569027611044,0.771369082407949,0.754966887417219,0.791326320738085,0.773114393463231,0.844583604424203,0.81754279416065,0.8046875,0.828098518397026,0.808611111111111,0.794701341235184,0.843434343434343,0.843007549404189,0.847090296273599,0.840256894922244,0.844559585492228,0.860696517412935,0.866522988505747,0.856332189822756,0.777502750275028,0.787169285179895,0.850491376818576,0.794114111225986,0.54516317016317,0.529185178183193,0.556478052334406,0.5684863873607,0.755411661075398,0.69971098265896,0.725063938618926,0.756756756756757,0.748571428571429,0.754335839598997,0.755753968253968,0.770245901639344,0.764287010159652,0.784313725490196,0.774434389140272,0.753086419753086,0.690727403194515,0.65116125044154,0.676330532212885,0.702608274526083,0.80610350429334,0.881685622630505,0.881348914243651,0.827041785375119,0.828977657413676,0.807796272585005,0.8,0.896341463414634,0.872722597707905,0.862920168067227,0.848738308957379,0.850287356321839,0.854115774668739,0.828919860627178,0.868981203330186,0.84669099756691,0.825806451612903,0.848684210526316,0.831774068322981
"X1D02",0.75203305785124,0,0.595804759983865,0.661182582879763,0.671875,0.642857142857143,0.661016949152542,0.838410444342648,0.75,0.761387163561077,0.80810147299509,0.786885245901639,0.705882352941176,0.898979591836735,0.659883154819864,0.694444444444444,0.694767932489451,0.70396452790819,0.838780509664506,0.824675324675325,0.87630579297246,0.758620689655172,0.898230088495575,0.889447236180905,0.901316422563945,0.899333093006489,0.90523631840796,0.838348416289593,0.907371867238654,0.862857142857143,0.896389069616135,0.899997499937498,0.867647058823529,0.89111658456486,0.811764705882353,0.86040007217797,0.878306878306878,0.804472763618191,0.871483870967742,0.866666666666667,0.911926308985133,0.903993855606759,0.899748743718593,0.90990990990991,0.892350410888546,0.888235294117647,0.893129770992366,0.896847290640394,0.886924383178504,0.90506329113924,0.88763887330266,0.899640287769784,0.913294797687861,0.918606161640217,0.872861329048114,0.854889178617992,0.907142857142857,0.884008654602675,0.754311626523937,0.731481481481482,0.812080536912752,0.763636363636364,0.870421507014537,0.786605016113213,0.850494743351886,0.868809523809524,0.831288967199783,0.8193926685306,0.84279176201373,0.853240093240093,0.871569950517319,0.807228915662651,0.874074074074074,0.826923076923077,0.835049598488427,0.743583000210393,0.861973709277958,0.868571428571428,0.839506172839506,0.863237872589129,0.871572871572872,0.846989966555184,0.902597402597403,0.887104835686617,0.852941176470588,0.918485999050783,0.907216494845361,0.886363636363636,0.902940336854125,0.883495145631068,0.883594624860022,0.892554644808743,0.905310650037358,0.867156862745098,0.869782608695652,0.870588235294118,0.885964912280702
"X1D03",0.605355884425652,0.595804759983865,0,0.497524752475248,0.674287954010975,0.612916666666667,0.631578947368421,0.762503473186996,0.797101449275362,0.838036565977742,0.834388185654008,0.736842105263158,0.746666666666667,0.909090909090909,0.570598006644518,0.593808925204274,0.57223113964687,0.567424242424242,0.734368215371255,0.754601226993865,0.799581589958159,0.635289774824659,0.835499296765119,0.829493087557604,0.852887201392185,0.854742907801418,0.869568405614917,0.766666666666667,0.865217391304348,0.809653209109731,0.86046511627907,0.853886036700046,0.805281966355792,0.852711728559979,0.761188118811881,0.785717752699915,0.821771978021978,0.740740740740741,0.802816901408451,0.806326581645411,0.872972024905727,0.845270981320705,0.838862559241706,0.868131231161605,0.848714568226763,0.838959952504318,0.855263157894737,0.860051813471503,0.857565511411665,0.860045646545851,0.855755147755665,0.867070315358162,0.883465608465608,0.879906980713432,0.813618377280527,0.8,0.869967793880837,0.818729463307777,0.606428294823803,0.587719298245614,0.684040747028863,0.587977296181631,0.812341370558376,0.712230215827338,0.764866602378656,0.789473684210526,0.764705882352941,0.757057510504202,0.77037037037037,0.786630148103063,0.799964900991547,0.757428655486908,0.806674082313682,0.760165289256198,0.734816818293583,0.624465811965812,0.746444574323008,0.770306321009353,0.774851876234365,0.846064623032312,0.855719666931007,0.810619055044441,0.856748224151539,0.83095191170674,0.797560307017544,0.882656663724625,0.88135593220339,0.855894029622843,0.856060606060606,0.850196850393701,0.843226733740568,0.838348416289593,0.877485187623437,0.843014301430143,0.834782608695652,0.845057369814651,0.846464019851117
"X1D04",0.527851605758582,0.661182582879763,0.497524752475248,0,0.729870596693027,0.698958333333333,0.701477002379064,0.747388390657337,0.850574712643678,0.873490469954896,0.861702127659574,0.775510204081633,0.789181286549708,0.925531914893617,0.595998775135246,0.633663366336634,0.576923076923077,0.609307359307359,0.683420893109719,0.75,0.769381009615385,0.602836879432624,0.819442475785495,0.815913604766634,0.829177351372063,0.843255374438932,0.852938580230567,0.756253908692933,0.85306342364532,0.783505154639175,0.860927152317881,0.839449541284404,0.805798319327731,0.829896907216495,0.768595041322314,0.751219976671666,0.791469194312796,0.745015873015873,0.782947507361153,0.783216783216783,0.843592171717172,0.813559322033898,0.816972742318199,0.842858571047721,0.832144008102758,0.819095477386935,0.843373493975904,0.841844710786868,0.838888888888889,0.835981504833964,0.852941176470588,0.848241073004294,0.86,0.861765914524806,0.782857142857143,0.786163522012579,0.848481627695111,0.795321637426901,0.551709954166177,0.502,0.611288039631989,0.550556117290192,0.789596655189375,0.702127659574468,0.74742158426369,0.768231144872491,0.755034464116773,0.726650062266501,0.748061549558213,0.762049941927991,0.772382000104772,0.767241379310345,0.785938903863432,0.743050193050193,0.700909157295166,0.605042016806723,0.712041884816754,0.737258297258297,0.780701754385965,0.863617782319877,0.847916666666667,0.809720582447855,0.841269841269841,0.815429924702453,0.795697542921764,0.896412698412698,0.879232441088996,0.861538461538462,0.843337334933974,0.846968775344688,0.855566534914361,0.842801504163309,0.864847303443795,0.845804195804196,0.830645161290323,0.836206896551724,0.836350164073251
"X1G01",0.784172661870504,0.671875,0.674287954010975,0.729870596693027,0,0.482758620689655,0.529857397504456,0.761881485937735,0.75,0.781818181818182,0.822004608294931,0.75,0.725806451612903,0.894736842105263,0.63768115942029,0.634640738299275,0.645955541833899,0.654083570750237,0.825518925518925,0.796052631578947,0.853502380608859,0.765151515151515,0.869565217391304,0.845240525277267,0.864866500657121,0.877232854864434,0.875894281157439,0.779915294679074,0.880843162953255,0.814407195923129,0.86281659217439,0.87305615985819,0.807142857142857,0.847886116930109,0.722222222222222,0.83121235925635,0.837842580947088,0.746175393234217,0.828696646341463,0.838585607940447,0.878700297775442,0.869565217391304,0.835463639250556,0.851690118065664,0.840784215784216,0.835762022874466,0.85976141191851,0.864017880113198,0.838382006167241,0.864076246334311,0.85512243878061,0.846176456179885,0.879996081504702,0.889687615016562,0.82910783055199,0.810470488709572,0.845637583892617,0.84,0.75,0.738221828385763,0.80379746835443,0.73664406779661,0.794365079365079,0.672566371681416,0.762820512820513,0.789464676889376,0.78125,0.758939974457216,0.802501413227812,0.806896551724138,0.828220858895706,0.725274725274725,0.838580734307146,0.747786917352135,0.766320264525272,0.65625,0.802848183956101,0.822844813495047,0.780487804878049,0.816783216783217,0.804878048780488,0.775394646533974,0.842264752791069,0.825251677852349,0.789468864468865,0.865168539325843,0.875595238095238,0.854368932038835,0.861788617886179,0.850853479570557,0.846153846153846,0.84297520661157,0.874074074074074,0.801162790697674,0.797812574707148,0.815654672663668,0.829508754037056
"X1G02",0.769230769230769,0.642857142857143,0.612916666666667,0.698958333333333,0.482758620689655,0,0.471143174250832,0.748873873873874,0.729166666666667,0.765957446808511,0.796453232893911,0.696428571428572,0.724137931034483,0.884615384615385,0.56155303030303,0.575757575757576,0.649675324675325,0.605633802816901,0.839572192513369,0.80794701986755,0.863247863247863,0.775,0.867256637168142,0.848958333333333,0.874458874458874,0.889390726316219,0.888064875572614,0.777350427350427,0.890735725569849,0.826589595375723,0.863010842368641,0.872394702561876,0.810232607767819,0.859236326109391,0.716848220769789,0.826423200859291,0.849354298373588,0.730337078651685,0.823529411764706,0.83739837398374,0.879414208558371,0.853240093240093,0.840212765957447,0.869264123937021,0.845714285714286,0.843023255813954,0.862595419847328,0.871800701572041,0.829787234042553,0.870858020627606,0.851299060254284,0.853044014808721,0.88622754491018,0.889423076923077,0.825503355704698,0.814471968709257,0.859154929577465,0.839043506828742,0.745688373476063,0.727272727272727,0.794701986754967,0.736602870813397,0.796351740962519,0.696574941451991,0.761148305944411,0.789156626506024,0.771186440677966,0.754385964912281,0.794642857142857,0.798534306882852,0.819013554216868,0.727272727272727,0.828358208955224,0.763636363636364,0.759261291915921,0.65625,0.787689393939394,0.803680981595092,0.765432098765432,0.806451612903226,0.797101449275362,0.767054263565891,0.847682119205298,0.826666666666667,0.766473869035323,0.841463414634146,0.846153846153846,0.819148936170213,0.838410444342648,0.822673286604361,0.824742268041237,0.81615161757605,0.8671875,0.785225225225225,0.814202102245581,0.802469135802469,0.834097859327217
"X1G03",0.76,0.661016949152542,0.631578947368421,0.701477002379064,0.529857397504456,0.471143174250832,0,0.774774774774775,0.758939974457216,0.810832791151594,0.830188679245283,0.75,0.735849056603774,0.882352941176471,0.619985737208058,0.62771855010661,0.649675324675325,0.624941323736504,0.833333333333333,0.809063861884009,0.856832298136646,0.760952380952381,0.871964055982223,0.85241634724956,0.870689655172414,0.879646305947272,0.880952380952381,0.780388779527559,0.882903339037339,0.828571428571429,0.867512616104732,0.875647668393782,0.8254662004662,0.858006428519249,0.724137931034483,0.838868823283082,0.851870533837747,0.752688172043011,0.841269841269841,0.842093175853018,0.889889393079977,0.881783262504086,0.846560846560847,0.870890569532335,0.846153846153846,0.846824866310161,0.874074074074074,0.876072069676218,0.854669540229885,0.882170259408111,0.867156862745098,0.873794953474726,0.894281045751634,0.902439024390244,0.843001584195322,0.829268292682927,0.868517095658855,0.850649350649351,0.737704918032787,0.723973727422003,0.788640707118968,0.721525302922309,0.805634920634921,0.684447605500237,0.770700636942675,0.796407185628742,0.788232037401575,0.779211039448028,0.802571470674919,0.81625150060024,0.83128209000302,0.728395061728395,0.840138888888889,0.760160603080957,0.772888459058672,0.68,0.805714285714286,0.82058426499602,0.782051282051282,0.830877573131094,0.811655405405405,0.790833333333333,0.867088607594937,0.84025396047689,0.809307359307359,0.885890151515151,0.88059405940594,0.870967741935484,0.861329091551785,0.867924528301887,0.864077669902913,0.868421052631579,0.889763779527559,0.81936077643909,0.829987956643918,0.833333333333333,0.855200655200655
"X1P01",0.768573854544267,0.838410444342648,0.762503473186996,0.747388390657337,0.761881485937735,0.748873873873874,0.774774774774775,0,0.846938775510204,0.890054945054945,0.78494623655914,0.743627554244786,0.809761904761905,0.885565476190476,0.718974358974359,0.718181818181818,0.669528371407517,0.672413793103448,0.79957264957265,0.800510204081633,0.809438163754711,0.760239520958084,0.788235294117647,0.794815810099653,0.818518518518519,0.833333333333333,0.830844811753903,0.613554881412024,0.813418665166327,0.743901858594512,0.755173398030541,0.784403669724771,0.693759524832949,0.797029702970297,0.746150201374082,0.751131221719457,0.799107142857143,0.712649753347428,0.699358974358974,0.735970721505751,0.791039231226471,0.742773600668338,0.782136752136752,0.812746031746032,0.792539779149639,0.796116504854369,0.70440251572327,0.740562678062678,0.75,0.726516469762188,0.689091357821562,0.766666666666667,0.78696537166407,0.773333333333333,0.730553154710458,0.753205655104389,0.790507850298093,0.750690607734807,0.742138364779874,0.75,0.782615521482024,0.730162253793994,0.767441860465116,0.735186767104139,0.740061936936937,0.751848109999507,0.567860605132915,0.606597882161282,0.61277089345329,0.628205128205128,0.652676551897462,0.642183288409704,0.655629139072848,0.661651583710407,0.708571428571429,0.687952898550725,0.713553113553113,0.717560217560218,0.745901639344262,0.831775700934579,0.745368782161235,0.737900078064012,0.795755221527895,0.782828282828283,0.724259139087173,0.776,0.762962962962963,0.72728125,0.650757575757576,0.722013366750209,0.753907203907204,0.672816932624113,0.735483870967742,0.780259134073716,0.776119402985075,0.782795698924731,0.776948590381426
"X1P02",0.887096774193548,0.75,0.797101449275362,0.850574712643678,0.75,0.729166666666667,0.758939974457216,0.846938775510204,0,0.642857142857143,0.764705882352941,0.75,0.648648648648649,0.777777777777778,0.7886039132734,0.786299765807963,0.824324324324324,0.810810810810811,0.915537126211283,0.905083655083655,0.936033824331697,0.87719298245614,0.939344328563344,0.932816088884141,0.9375,0.939252336448598,0.934727987764912,0.894949066213922,0.92964824120603,0.901840490797546,0.895833333333333,0.92972972972973,0.891666666666667,0.917980256349017,0.851351351351351,0.916896869244936,0.924118683901293,0.848101265822785,0.893805309734513,0.899121116336443,0.927152317880795,0.918518518518519,0.926315789473684,0.938679245283019,0.91812865497076,0.927671211160431,0.89787049109083,0.921212121212121,0.907334525939177,0.916083916083916,0.891211484593837,0.911645161290322,0.922077922077922,0.936546651180797,0.901408450704225,0.87719298245614,0.91760184042195,0.911764705882353,0.866664032869785,0.865681998413957,0.908473718125748,0.881044938578759,0.910126539678266,0.868789965568126,0.903001792114695,0.912115193644489,0.87962962962963,0.861544133136718,0.871423380870197,0.893939393939394,0.907058533174283,0.82258064516129,0.898037647637795,0.873684210526316,0.887661971830986,0.835164835164835,0.907192075796727,0.914892830746489,0.833333333333333,0.794871794871795,0.8,0.853658536585366,0.927152317880795,0.919463087248322,0.865168539325843,0.885714285714286,0.906976744186046,0.871428571428571,0.897051739088544,0.88949938949939,0.871943947525343,0.894176931690929,0.90946348733234,0.839285714285714,0.851601601601602,0.847457627118644,0.885057471264368
"X1P03",0.908333333333333,0.761387163561077,0.838036565977742,0.873490469954896,0.781818181818182,0.765957446808511,0.810832791151594,0.890054945054945,0.642857142857143,0,0.833333333333333,0.813953488372093,0.647058823529412,0.851851851851852,0.813559322033898,0.824561403508772,0.825741890959282,0.843303571428571,0.930479295355754,0.920289855072464,0.952991452991453,0.893331226295828,0.964205637411915,0.959899497487437,0.961702127659575,0.957943925233645,0.958333333333333,0.926529388244702,0.96,0.935483316133471,0.933333333333333,0.95640294606795,0.930232558139535,0.945843007861827,0.898642450926435,0.943733647305076,0.945054945054945,0.888888888888889,0.929912280701754,0.939827586206897,0.95,0.950701780489015,0.951870281400137,0.957446570687651,0.944614860259032,0.944271911663216,0.927717391304348,0.943037974683544,0.92741935483871,0.944636015325671,0.925309917355372,0.940740740740741,0.953794876263506,0.962764903941375,0.9375,0.919280888030888,0.941391155002147,0.945205479452055,0.897196261682243,0.90045045045045,0.924657534246575,0.903367289190719,0.943959801800544,0.907407407407407,0.939597315436242,0.940119760479042,0.911109355246523,0.9000444000444,0.921895424836601,0.927709677419355,0.934852728970376,0.869565217391304,0.943318908995542,0.90049504950495,0.930312742812743,0.879777830864787,0.942528735632184,0.943924689440994,0.878787878787879,0.848913043478261,0.854166666666667,0.91025641025641,0.953487858719647,0.946306306306306,0.91304347826087,0.91044776119403,0.91358024691358,0.911392405063291,0.926283117171045,0.92432211313698,0.911392405063291,0.923913043478261,0.927927927927928,0.890767045454545,0.904761904761905,0.903225806451613,0.922649572649573
