"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.71366865213862,0.479883909448276,0.404122579105877,0.781668634521852,0.712214316322909,0.763379887274547,0.762442289520782,0.723302907822928,0.817965212739423,0.886263957335479,0.74217863594804,0.728013198528658,0.842246911769107,0.569553650665773,0.620537304732473,0.630995625360712,0.614895823240077,0.544357019740081,0.711473396574806,0.6798937593499,0.525689622849122,0.787343599359512,0.757232457715671,0.740568524146446,0.865339905505217,0.78838139931938,0.786116610994584,0.819113195327643,0.76356414059901,0.882360065632267,0.783657192274987,0.815418055308906,0.764046803699071,0.799887065465316,0.709303017333091,0.756943155314085,0.787846297831115,0.801877270378276,0.829452686361516,0.844803163704824,0.830542492089075,0.77578734909687,0.832643592393046,0.837283837431952,0.846361342761241,0.926228946415672,0.871036461390828,0.895260867372451,0.877878377292089,0.908580187069633,0.89371183096359,0.888514999340737,0.858083399190187,0.80644306006205,0.818001170524671,0.852711041922954,0.824403380229056,0.44484395228296,0.400363000592462,0.430267145664138,0.451354115023459,0.722323821865657,0.680148727675278,0.67739774118809,0.712620550665727,0.81619256056845,0.72795079070621,0.777327691340539,0.802452014435666,0.745447366118639,0.737867578392417,0.728595072949077,0.76599334209067,0.690752130424969,0.567639198283159,0.621439693107085,0.673017200926382,0.822182491140239,0.918770435636458,0.86258633820368,0.857725288608092,0.830439818841023,0.804122766054131,0.85643760462145,0.893484757719341,0.928509636026593,0.905765943703424,0.878443515068596,0.889929215841935,0.910377606169774,0.857426220071491,0.919007780054861,0.86898307052865,0.835710267879367,0.851595851582604,0.849111761835747
"X1D02",0.71366865213862,0,0.477633865194059,0.611618195670948,0.733199390239313,0.704740493662642,0.750179491749144,0.864413221028526,0.722346468909459,0.413205339930314,0.905608972391783,0.867185960365528,0.665567012368643,0.905496825371745,0.584555304871794,0.695420761266451,0.683338570645152,0.716365237562346,0.85706510750749,0.911470143152577,0.887230537080511,0.760808004594619,0.930198161106841,0.924682368678026,0.903870784101779,0.959624623917111,0.94566335619112,0.897656180295019,0.943280046448973,0.889242521055741,0.958347099129027,0.93426713596724,0.941668350667301,0.936559515474514,0.920286846786027,0.86927480902576,0.921534588048365,0.891293512827215,0.944071681590125,0.950613332968228,0.941128170796815,0.951275422096785,0.902654247973258,0.931358754128722,0.941762797123421,0.944950484938058,0.952074493701737,0.952459853835538,0.949313025858308,0.945393196722859,0.952105227105362,0.93693762972075,0.957151909923247,0.95822547261596,0.934249205848977,0.918977036078743,0.936772092192471,0.948070202028132,0.781122039607418,0.74146212358567,0.786949557779575,0.835271743523406,0.869351620009646,0.795227791357368,0.841514734672145,0.880067462726629,0.899311185194847,0.836982222435626,0.916459551803879,0.907395999474563,0.904791833408472,0.865144975178949,0.925476574335635,0.88391328128539,0.890536168248745,0.79912313712066,0.885619371961408,0.897206008194164,0.942851490370419,0.962032547780244,0.916476598883172,0.933553147387793,0.946632370677905,0.926856668701292,0.940743564269061,0.955731165372674,0.966231069682966,0.956134967411749,0.961995499651132,0.960439854072758,0.963487525834607,0.949694277964697,0.955662058192884,0.955178562838777,0.950167851056685,0.951523939233947,0.961342242448945
"X1D03",0.479883909448276,0.477633865194059,0,0.319562635929531,0.659660917716682,0.579016275506207,0.612210009093059,0.739830206440749,0.535087815381042,0.67747265776153,0.849390500348583,0.683329947789012,0.587236045545996,0.773965809380063,0.455276294913794,0.468997714579443,0.526100738901714,0.489151046454922,0.723056372478169,0.839220515969407,0.778540261976692,0.630686770943709,0.860139753344717,0.843688951180792,0.805968525919801,0.925364205182843,0.882506963626983,0.827961894517308,0.878969595129223,0.816343249372555,0.919006955028166,0.867234974882126,0.870908190922065,0.844124783458588,0.863478832595171,0.801015066216655,0.861119834409884,0.836382643310921,0.866700256616577,0.88783450582621,0.885076211175919,0.88237286399144,0.828193122024078,0.879935736194624,0.886857934302528,0.894023171087344,0.931352970000366,0.913970087465024,0.919475492315183,0.899720850027747,0.91732020565934,0.908080646269531,0.915841807009887,0.902105132169247,0.875647431312264,0.860581762958774,0.900947857955263,0.875744029698672,0.532764824282603,0.53696551784225,0.600576280732531,0.591197790708511,0.790757929901648,0.689084222213429,0.723623983414449,0.784227816018037,0.818459342869245,0.737132223655926,0.813867400956317,0.824538899616545,0.807879929104184,0.744659614066482,0.800692451699592,0.800538887881714,0.795251478013673,0.620051944542538,0.756845113828553,0.796469615253361,0.870244338763025,0.935979421322598,0.859134195298306,0.875587131058442,0.879119107897863,0.859151962585784,0.879316730427217,0.903730703539219,0.938874810753139,0.90973797277465,0.893842694975469,0.910394388324948,0.926832034893616,0.876173259487955,0.933653033805901,0.923497642317357,0.894035664475722,0.905900444754894,0.912216996203175
"X1D04",0.404122579105877,0.611618195670948,0.319562635929531,0,0.696539822229654,0.588818215046484,0.637175837349133,0.748182742261998,0.636738336159204,0.753398832825248,0.877122447254847,0.725564299130734,0.64195329126314,0.818997615798609,0.476343004072674,0.510571156387844,0.517909226693529,0.537853451812575,0.662109934003055,0.778941960762999,0.730730646050565,0.588196405180246,0.828399392162694,0.80434556719929,0.757099114516847,0.899606029277517,0.836247629345254,0.809776410544979,0.861216872070123,0.793218634858921,0.920294373501528,0.826060344987323,0.849192553896652,0.803941882347851,0.832586486337189,0.749798707533868,0.799390132615157,0.807754897526159,0.828368581909311,0.856201196242031,0.84417109056193,0.848280696821925,0.775339690029253,0.842747988329759,0.840437374627492,0.863813842400934,0.929288652197633,0.897624542442253,0.8958732983108,0.880263325726605,0.914159157593102,0.894007726305726,0.894006239441704,0.874133883346739,0.822784759113915,0.826809683006972,0.870642992831204,0.84150277195828,0.477891915589804,0.441476778352817,0.513623073430435,0.513523271350004,0.744105668321029,0.656133135423667,0.681632682853081,0.721576390057539,0.814448558017076,0.703615189319024,0.772643017567681,0.790808619989712,0.751856564419768,0.732078051315983,0.74133820573731,0.763072459524061,0.733598885591945,0.57801812163197,0.694223360436584,0.730275186363778,0.854155318309806,0.920943263834096,0.843511786079157,0.839003812081336,0.831141123539377,0.806739081303417,0.845997765020897,0.892551782289364,0.934384803320798,0.905114746034065,0.886102189169707,0.898626746425335,0.918870861097369,0.864735201874516,0.925266076078779,0.886453350593563,0.852413122727103,0.867424518779369,0.864505697468157
"X1G01",0.781668634521852,0.733199390239313,0.659660917716682,0.696539822229654,0,0.350891411704541,0.361234500139146,0.763333107929228,0.754073880645576,0.826168814134592,0.899309539438987,0.787761814009792,0.719507391777593,0.846187398873449,0.529067103733774,0.584037922350855,0.575766522960172,0.569753277006343,0.863329827830053,0.831353275912297,0.75740033949483,0.693673037381311,0.841595529624695,0.813463771618743,0.766663905517452,0.874395847541678,0.869226266525157,0.766827426666208,0.877663992073275,0.758465279838438,0.887548138334916,0.830976221805353,0.840488111574962,0.81140543620255,0.754423072325115,0.722104523201887,0.776635297658986,0.750392203724246,0.855288589019718,0.881776644917666,0.855317838252677,0.878855634515135,0.767873039655743,0.809177863605175,0.815420562897622,0.871065020323979,0.898896167409281,0.869539506361002,0.862842651732247,0.890694563699694,0.898303624902754,0.844984353342989,0.895674308741603,0.893060544103899,0.829898592493789,0.797513007776199,0.830395011947713,0.860550150964753,0.660691882477326,0.716397940543284,0.791697178902649,0.74820225475269,0.656889090564367,0.439282691669624,0.603837945126006,0.70207385752318,0.774010077439209,0.65242117324013,0.778128227252703,0.776068955295244,0.759078279989304,0.710564949637776,0.81914657574313,0.697217295670083,0.743838812573132,0.608466347359031,0.767818721741927,0.762588411582433,0.87260621349279,0.92527792921824,0.804516948240465,0.838306778222663,0.86586290239982,0.827413880567748,0.865034939260543,0.876563118564298,0.920619855612182,0.897144045069658,0.885999838952521,0.889025687692886,0.894792759287047,0.85896154759513,0.904561025712159,0.86906693711132,0.845658217729594,0.864661473695296,0.879379885163643
"X1G02",0.712214316322909,0.704740493662642,0.579016275506207,0.588818215046484,0.350891411704541,0,0.301171417232375,0.699617989595322,0.675199990942451,0.826879130839064,0.846564539476117,0.710762843836057,0.665656817905241,0.768800711724562,0.446523810039826,0.466571111996382,0.483837785041654,0.487239812765254,0.821601514212283,0.811481078134551,0.748515355511475,0.657709292964567,0.802867193495386,0.782342696192467,0.73161657135234,0.864293804597381,0.851943768211227,0.728185269042123,0.867613416566335,0.73963735111333,0.864637625165438,0.795430802908368,0.805219386937826,0.766042450132259,0.721528495884993,0.705000546489591,0.771865327770064,0.708647083377923,0.819269375963997,0.841006965501052,0.830515572835985,0.836914805114276,0.725604233762004,0.782543006576027,0.782209680294422,0.84851132269176,0.870009396935678,0.853444988980441,0.844235284690833,0.867700601159102,0.868621726116553,0.845072394117137,0.872688912583088,0.864428963414616,0.789295642092217,0.756350152533886,0.809294731396383,0.829396082969778,0.579790179504346,0.621937562617066,0.733051358835178,0.672064905971842,0.632740018170086,0.434431069457846,0.555806684751637,0.661538893088834,0.741130912981607,0.616462560349811,0.727769982486073,0.745726034231707,0.717962553099885,0.613787930619944,0.741622119429949,0.670392524093949,0.696503222823278,0.54657062384915,0.695569228847492,0.709657581217598,0.833900560182828,0.895789685435825,0.773043594325919,0.794878728259898,0.824652954395607,0.77731497277874,0.821558427799481,0.851489259975774,0.916835688857748,0.877993078816304,0.863738739828501,0.848277075097333,0.862020546144988,0.830322606116301,0.882998471792609,0.824838272818379,0.797228802102535,0.824968529464943,0.834158708906399
"X1G03",0.763379887274547,0.750179491749144,0.612210009093059,0.637175837349133,0.361234500139146,0.301171417232375,0,0.790062910853682,0.768800860385583,0.8699946239447,0.90889392181772,0.820202182905885,0.778059753037247,0.885884016112501,0.574849414839171,0.587600940997827,0.58830046139906,0.615196771903398,0.854195164809085,0.860956886431413,0.762775879012209,0.707124308906757,0.848912027264662,0.81608269091421,0.77363864274564,0.89138003030838,0.862092408353708,0.778462422786093,0.874804524219553,0.764254120935348,0.914508792294192,0.832742453525199,0.856532175813166,0.807971352360689,0.806669348688652,0.759252100549713,0.813515758244006,0.792344179138818,0.862146282413383,0.898267157409424,0.872059862745956,0.888409201904738,0.775797285546389,0.833216589166899,0.834855061294524,0.872875882761269,0.906742437307428,0.881632162734949,0.884247859662149,0.885616269950681,0.913553118433061,0.882382864000005,0.91051055865789,0.901267485040507,0.850072044484168,0.810392403561679,0.873091744922541,0.873466235346585,0.620658023687789,0.709028385845515,0.770991637698985,0.718869664162462,0.683366715977613,0.467587282090316,0.61200105619372,0.714547097729013,0.792329210115755,0.691522096868381,0.773406860307493,0.787653206783143,0.774412843490698,0.713578591441733,0.819397302116397,0.733825425157553,0.750442332149531,0.637211012139143,0.762338239069819,0.777557353372208,0.87378218829261,0.918298019619368,0.793051670987555,0.854552175282291,0.874657858900263,0.833402969626844,0.875951273102972,0.875256904284407,0.93017553832673,0.892890190313729,0.882352556214701,0.900482725187647,0.915937848094523,0.861713667387652,0.928373864722433,0.9007735396136,0.868724356955013,0.886916382843274,0.900851079236754
"X1P01",0.762442289520782,0.864413221028526,0.739830206440749,0.748182742261998,0.763333107929228,0.699617989595322,0.790062910853682,0,0.711103432202747,0.882148980534331,0.635469582346026,0.684183576193463,0.745397059855674,0.731832427070276,0.710007448209245,0.619025918272662,0.657697853193834,0.586820806688781,0.808209583670564,0.841777778406415,0.75456182081881,0.759966711539247,0.771464280785465,0.781458363638136,0.770687655329158,0.845876031396643,0.849699182425942,0.617744240009173,0.844284821201877,0.70815291693901,0.713373076556933,0.737526077291218,0.696631934705871,0.761313233769963,0.786988640023605,0.756699278446112,0.811182909981268,0.719603562821062,0.772843221437619,0.780360142206554,0.791821555264795,0.783988335787675,0.780737981906979,0.801081437961816,0.824170816927908,0.85517838289279,0.736705114519687,0.76631551202283,0.756002978821178,0.767771469212173,0.749265589870117,0.789435606377544,0.797553396243134,0.7828799215395,0.781630329626611,0.781824881508444,0.779131410679498,0.781873578385147,0.640129070755965,0.723938945816593,0.755722029787164,0.682136063411398,0.762490541515289,0.732214579971478,0.709566614405117,0.745696575264756,0.606850106432961,0.572094071060385,0.623095793887998,0.603648990790513,0.666536862740691,0.551788725462829,0.662459627291488,0.697354787787672,0.744774909974807,0.656997092136891,0.719007186065208,0.729922582144083,0.794215566778352,0.889231991921257,0.738880039832109,0.804843107238086,0.820101788027134,0.811182189025532,0.792373853416409,0.799618555186332,0.85335617210601,0.790516934958698,0.732169815060724,0.751323729456147,0.788490198108096,0.751750161647439,0.779801352602534,0.833795832652438,0.800252773046697,0.82299443178348,0.818361220516035
"X1P02",0.723302907822928,0.722346468909459,0.535087815381042,0.636738336159204,0.754073880645576,0.675199990942451,0.768800860385583,0.711103432202747,0,0.812428235176062,0.707630149977708,0.50278734161094,0.475792680314138,0.468888043825958,0.569458268985052,0.50527789912481,0.647254420522773,0.556935919112601,0.869596854314438,0.909436002369522,0.887516744374436,0.813755338315329,0.898252238185903,0.907324064283784,0.881267428046472,0.942267351192978,0.934980366628067,0.863442050824755,0.89100975211976,0.872661258097588,0.895637723588243,0.897418764246515,0.872619226965025,0.8690637887802,0.896845171234844,0.882047547452355,0.909692959253435,0.851209863235282,0.895412094122682,0.91292799375762,0.915678041518125,0.916243298391087,0.907790135784373,0.923790145977395,0.919207387272863,0.935290037046537,0.903649898719055,0.929455097339446,0.918097265206764,0.924077847375234,0.910622394459527,0.929424081709133,0.930112883314014,0.920219596108455,0.911896950931932,0.883044604661501,0.920021828560306,0.909618257412693,0.741757237987382,0.727022620956323,0.796723998605114,0.749375768810318,0.884041757064275,0.816651117967293,0.85092571672767,0.881186216093322,0.829790395350121,0.825937075942537,0.850145597773126,0.876989935712025,0.875856123338793,0.719176619247466,0.840546690430368,0.861825867688828,0.873532809116933,0.734343628167535,0.859095827003081,0.887238818595665,0.889984154494389,0.935638540778907,0.834233357362707,0.892546604041673,0.915037839476861,0.904874383021882,0.906198802493525,0.894408221715491,0.938579111275678,0.897749739189302,0.893315871479307,0.899356256718425,0.921179374723609,0.885269438587951,0.923936498092295,0.909427467452253,0.893405283942412,0.890340969001033,0.919748803710206
"X1P03",0.817965212739423,0.413205339930314,0.67747265776153,0.753398832825248,0.826168814134592,0.826879130839064,0.8699946239447,0.882148980534331,0.812428235176062,0,0.895054201449712,0.85826797672566,0.677993864554843,0.898876464030402,0.765369298994327,0.787914757782285,0.695706824538979,0.787289324960364,0.923226023447479,0.955193902386087,0.940821407720068,0.84372588812868,0.958377392937139,0.957168485279761,0.936682809773582,0.980204848161305,0.97312251580991,0.933798386041471,0.973011388598798,0.930112204417557,0.973855613101505,0.96555838797116,0.960492990040048,0.962018861019014,0.968343710711776,0.932349716730488,0.956849713171806,0.936187699251926,0.973417062785055,0.98082462049991,0.964251184963025,0.980605907767013,0.939009632418498,0.956183957610136,0.964674623529212,0.971554623886653,0.964873050327056,0.977091474344675,0.97239039566641,0.971184120834026,0.96624263596992,0.964397201585746,0.977472094967875,0.979821173454585,0.966163706082114,0.949158091845306,0.960941732024614,0.972318624810503,0.86994520495947,0.839239991828345,0.862654604467551,0.905006451271164,0.924362688787169,0.892229513942992,0.909311354998433,0.928662134715415,0.914392113672006,0.891072361982148,0.954723028728434,0.945279851927301,0.938854273373164,0.894381201701348,0.958172599976307,0.89563834423291,0.942413191192187,0.853007145608855,0.94387944449512,0.939051689892751,0.965058054659598,0.975368961602565,0.930477027647035,0.962789005060184,0.972055878472977,0.955502451593585,0.964821982233664,0.971122279305429,0.978625435288053,0.967214372499357,0.972296026245922,0.970206785440247,0.978320902881696,0.970353499525199,0.973397367551416,0.980145473670555,0.972536398122757,0.974811105986467,0.982664240463724
