"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.77667022809318,0.609331550611981,0.547501187529688,0.815533980582524,0.791666666666667,0.817601119390843,0.832053654915797,0.872159090909091,0.883381924198251,0.932956322063709,0.877027263960726,0.846153846153846,0.950633163427843,0.703702857888555,0.732904218335842,0.771862751397545,0.720092955102228,0.647312457760757,0.767566654539785,0.747591387270113,0.642463982804694,0.839259987697488,0.814738563827769,0.814886564352818,0.890521746641904,0.837817728442728,0.829472906573205,0.864325532099199,0.815268065268065,0.920879120879121,0.844298456546692,0.857913669064748,0.844390385157855,0.840461141946592,0.766348529615039,0.812121212121212,0.818484860510338,0.839818309286997,0.843779761904762,0.864296249473241,0.848317733888591,0.828884245638364,0.859161711125892,0.861933976044406,0.862557254290172,0.932307621099404,0.888628566647143,0.89982419877588,0.89052034483127,0.917307386491814,0.898146966487149,0.899549820130532,0.879943263316862,0.845303777910686,0.836751401630989,0.880229283448837,0.840909809709557,0.576271489422556,0.548420867423243,0.552795936301091,0.598152424942263,0.788514198782961,0.753017681233662,0.751479112361092,0.777863720909132,0.860314656588893,0.80538213998391,0.831156648229819,0.835008417508418,0.802817073887572,0.842347641759406,0.821765528342566,0.814326425606913,0.761701955058003,0.693827735639379,0.724596774193548,0.743137776942513,0.840961457896942,0.918237699729052,0.900600162950552,0.873404139729451,0.865399473506456,0.841011704008251,0.863681909273092,0.921411145351823,0.923957352041016,0.924370712919654,0.905165481631962,0.903866404715128,0.917081905948303,0.894341194862171,0.928642149929279,0.8886197269016,0.871933046537487,0.88157954987751,0.872070133675151
"X1D02",0.77667022809318,0,0.58118093462921,0.695652962954001,0.717388260007002,0.697202797202797,0.733854166666667,0.861620701395982,0.774667460790153,0.652542372881356,0.912602820211516,0.887849378881988,0.661398870328086,0.936253968253968,0.668161434977579,0.7082336523126,0.731937799043062,0.726513169370312,0.880568261931697,0.913713499977642,0.909952381903127,0.79585798816568,0.944832040154507,0.934469479650203,0.931696943992837,0.957634032634033,0.949612213855139,0.899024035517453,0.956705493818896,0.909092407669258,0.954716981132075,0.942271880819367,0.939622545979267,0.94273588470258,0.901404685525421,0.899563978324017,0.920239430904013,0.875235849056604,0.947499671872949,0.952731782640121,0.944018505045983,0.953693438749015,0.923517316017316,0.937301555302442,0.938818293090019,0.942740286298569,0.95164061567832,0.950602787288422,0.944954033887125,0.951710066070734,0.952023880167593,0.938895332781,0.955696005341048,0.960818954580056,0.942950001854531,0.913258850698966,0.936076276360904,0.947995605262417,0.794907807548257,0.760657570772721,0.825182935577981,0.837630575360637,0.90342868338558,0.82803428370939,0.877640139025042,0.903548237476809,0.911142948105699,0.862435677530017,0.92005470339216,0.917307130333139,0.916334661354582,0.861047027506655,0.947495587177755,0.890710382513661,0.904761904761905,0.816484728835211,0.911538461538462,0.91199163339607,0.932806324110672,0.945054945054945,0.903381642512077,0.927031308442058,0.958291586130725,0.936684178621944,0.934243036837376,0.96261669182179,0.963833516454769,0.95910780669145,0.96011396011396,0.955456349206349,0.956666666666667,0.955898084216668,0.963756079555324,0.945696910129615,0.944055944055944,0.941964285714286,0.958560689892014
"X1D03",0.609331550611981,0.58118093462921,0,0.50569307457981,0.689908961133407,0.663967213114754,0.7,0.793627722406792,0.774656582805989,0.776467331118494,0.901376871092023,0.829787234042553,0.713980463980464,0.933649289099526,0.597788950306936,0.601962352362205,0.688408365827721,0.619484101232966,0.774859287054409,0.842442902440145,0.83358100036874,0.697258690446701,0.890675241157556,0.875,0.873639171603625,0.933102929719348,0.903141600467859,0.839999764921601,0.914872500420097,0.847473338829026,0.927398668236204,0.891322802096405,0.886811594202898,0.888995113660506,0.856230031948882,0.834158597867386,0.873339860912355,0.825686443214125,0.877551020408163,0.884249052949386,0.892547660311958,0.888117647058824,0.865369893942257,0.894736784262007,0.891890999576009,0.897769516728624,0.929847209182592,0.915850822103097,0.910399502640996,0.90524004148112,0.915584152669901,0.904711307473919,0.913695756244544,0.911982555172854,0.88728396665986,0.862457547841295,0.899383559333468,0.886408455218337,0.631150479490933,0.607613878027029,0.691602572251886,0.669845878936788,0.835856810838388,0.744215785404152,0.788634971886656,0.827093760427094,0.860164716799788,0.796207998472416,0.851008751989089,0.855116412762288,0.847133631395927,0.80687345976642,0.868717810617026,0.824729639365431,0.823818565809614,0.704225352112676,0.814985965632916,0.826283160603291,0.856711867491809,0.911318012794028,0.872759396080951,0.872881355932203,0.901356699625851,0.875116387337058,0.879177377892031,0.919239064791649,0.929278500664202,0.917028401865197,0.908863877283781,0.906210242241213,0.920212201591512,0.899126399126399,0.935914438502674,0.906553463312865,0.890908877517487,0.89948555369751,0.904584044918971
"X1D04",0.547501187529688,0.695652962954001,0.50569307457981,0,0.745805135811625,0.718602135317669,0.746873045653534,0.8,0.831024846607132,0.845070422535211,0.923081457663451,0.860158353295317,0.780888324321977,0.945652173913044,0.618605769230769,0.664615209816694,0.706141663602391,0.666659844118417,0.730462514782766,0.799805447470817,0.784702549575071,0.669879518072289,0.86516835016835,0.84074088706279,0.834715226137479,0.915108898206382,0.871838356308508,0.830927835051546,0.896872284721269,0.828412264074029,0.932414566598579,0.861908373055997,0.870244513485935,0.868196964087375,0.846869946378415,0.791921438481758,0.833870535563308,0.815446318387495,0.860511442601686,0.868174289718435,0.867668334438483,0.863393719845276,0.83072527232366,0.870660253202098,0.864034547715492,0.87554009717267,0.933333333333333,0.903308644973288,0.900094161958569,0.895980744250019,0.921372847259703,0.896583476001119,0.903494176372712,0.892777304662551,0.852173465931088,0.841796875,0.883923444976077,0.85788545183563,0.585275449246037,0.53459730999838,0.608791208791209,0.617724537081547,0.802189511474576,0.726011356709762,0.751866087344028,0.787780560876185,0.860125898026086,0.772394458809835,0.821019577269577,0.826887661141805,0.807856676118132,0.816939890710383,0.828877230338086,0.806109758914136,0.778918313075199,0.679547957222046,0.762931188242429,0.778533365840067,0.854193307757886,0.919701492537313,0.879361054766734,0.857485053989237,0.870153583617747,0.841257418921529,0.860489914693454,0.924165767224321,0.929679773556594,0.923809091888276,0.912244897959184,0.907894736842105,0.925085034013605,0.89655240191839,0.934560537501714,0.895832529423114,0.877550843940232,0.884402281457339,0.877574306240316
"X1G01",0.815533980582524,0.717388260007002,0.689908961133407,0.745805135811625,0,0.485074257425743,0.502618088110316,0.786063351269548,0.790194286942735,0.791287923503719,0.906569846091018,0.843519846963176,0.712505312632816,0.904761904761905,0.608429458740018,0.660347621676491,0.673428242264648,0.661508530380126,0.878732174688057,0.863636363636364,0.852739367647968,0.781502246181491,0.890714972505213,0.87304301958204,0.867780087780088,0.916037655235274,0.909590439586836,0.81664725243468,0.918143968871595,0.827746566791511,0.90971060943887,0.886810447875073,0.870890569532335,0.878004088801405,0.808470805296288,0.829185086943708,0.845997815571852,0.79340403178147,0.895293466223699,0.910842855815682,0.893053144846545,0.907332735961768,0.85263148232653,0.872424619171407,0.868767387560442,0.888780381944445,0.920299690536945,0.898147952119439,0.884800713189492,0.906553745326995,0.917260887260887,0.880267732876948,0.909909819639279,0.924425757661268,0.878606844985862,0.842857142857143,0.867312529110387,0.891037767157839,0.739483916578296,0.752476792573624,0.827092238497479,0.79480125757916,0.790867389491243,0.634580589129333,0.750831493745401,0.79692004416876,0.82972972972973,0.775840354382003,0.850502829997979,0.840345450818908,0.848804237921484,0.766480161322389,0.895506677964029,0.786002057881541,0.818932045001291,0.690222897669706,0.840868454661558,0.8419560984245,0.874160922647205,0.918629177212868,0.831325301204819,0.865948636121875,0.910916365371557,0.873105625717566,0.87267680820056,0.913929446349828,0.928571428571429,0.917576355823946,0.920702664806771,0.906381283499928,0.9113719671845,0.912483767524448,0.930340596465763,0.885713871070734,0.873665331998665,0.8831436752074,0.899997370082053
"X1G02",0.791666666666667,0.697202797202797,0.663967213114754,0.718602135317669,0.485074257425743,0,0.479884393063584,0.790122688699201,0.757396449704142,0.816259483791338,0.899408284023669,0.82934293685589,0.709587313029375,0.893333333333333,0.558249236360824,0.617314318927222,0.683760683760684,0.632133018496655,0.875722586274109,0.861867563257614,0.863247398776918,0.773447391217432,0.884718228867165,0.865100382380211,0.869493370275084,0.923753592832681,0.907834023091612,0.814863650641751,0.91830522541948,0.833822084323086,0.904677772168938,0.886809955543109,0.87323735816882,0.878503765820328,0.78142959770115,0.829488914760233,0.861733072412982,0.78198898186165,0.878260681703147,0.898195576638165,0.886016194480657,0.894908481325307,0.841695727007409,0.868817005142509,0.862912115216075,0.877919531161952,0.918962509981928,0.901602684416286,0.884957930540637,0.891635667092332,0.916417910447761,0.884173919453264,0.906120952249989,0.917636460397151,0.869286198328439,0.833743864779436,0.87443434281385,0.887700424643995,0.729574871636153,0.734041963469054,0.811926605504587,0.78147515163701,0.795959015785963,0.653850524103059,0.742562773283062,0.794921875,0.825464275762593,0.781333333333333,0.840669888575648,0.844393592677345,0.838553478394116,0.768915932907027,0.885747486536847,0.784828672765744,0.81078084910684,0.681295892671985,0.821042108194236,0.826943011193539,0.852771683486909,0.89461612747465,0.813636363636364,0.848285957628021,0.89771463062466,0.858442726863779,0.854961582932378,0.905173951828724,0.924364047484454,0.909090909090909,0.913649025069638,0.892307692307692,0.905598918320939,0.901114422300863,0.937205496737052,0.867389002344755,0.861842105263158,0.871640407784986,0.889518413597734
"X1G03",0.817601119390843,0.733854166666667,0.7,0.746873045653534,0.502618088110316,0.479884393063584,0,0.8,0.812147034252297,0.836477987421384,0.903903037298896,0.850267379679144,0.757898237445959,0.913333333333333,0.648478779208393,0.687090595671327,0.712734774653672,0.695934287812041,0.883876699401339,0.874550228815632,0.854632216905901,0.789549522220537,0.894179894179894,0.873683951286187,0.872629306566692,0.923379174852652,0.90585966336926,0.82520271461308,0.910340069438262,0.840472705869252,0.920863309352518,0.886599205930923,0.883030615482233,0.881423386279744,0.818706293706294,0.850672241351041,0.868678246847877,0.808587449112835,0.893695758464735,0.912257918431498,0.896777734728142,0.905170210293947,0.858013878388927,0.87979832607296,0.875669739272684,0.88876992624316,0.925621009358873,0.908591350422871,0.900127877237852,0.902004454342984,0.922516420361248,0.888759989688064,0.912512425447316,0.923009564865957,0.88034188034188,0.849997811829873,0.881862200575351,0.892227006308118,0.743514988412948,0.76504917184265,0.826237922705314,0.787329596126895,0.80076581027668,0.644303834463409,0.755709667327146,0.803591463560192,0.83938102818616,0.793423668696441,0.843243243243243,0.842945017217244,0.84967018009214,0.774058577405858,0.895046340683925,0.805781860977184,0.823843958662344,0.724364047484454,0.838422377035812,0.848311270151952,0.872136737191817,0.901233965761108,0.822727272727273,0.86296864022482,0.910463835714054,0.874873737373737,0.877058029689609,0.91080381311051,0.933663366336634,0.912821831957533,0.914739304812834,0.903818120654855,0.918431977858207,0.907303370786517,0.939968254602084,0.895397489539749,0.876058124783762,0.88659714898105,0.902820433461102
"X1P01",0.832053654915797,0.861620701395982,0.793627722406792,0.8,0.786063351269548,0.790122688699201,0.8,0,0.843420869080003,0.882352941176471,0.825465395920549,0.79532722179781,0.822738077551627,0.889423076923077,0.777946639648767,0.749587458745875,0.757475083056478,0.701153456052138,0.869337979094077,0.878514282949175,0.841142171154176,0.818291877613911,0.841504053317953,0.853659352256006,0.852708158677328,0.894924363562527,0.88659793814433,0.704663212435233,0.874280187897209,0.798345803430549,0.804523720036749,0.826164874551971,0.793145398103868,0.837031319744086,0.84441178618373,0.824516085367504,0.854700430127636,0.79787784679089,0.830274650110491,0.846974387841261,0.843699543699544,0.84815218519672,0.842679127725857,0.863189889617661,0.86393940710804,0.87523997980669,0.828445369478464,0.831155608348888,0.824916851441242,0.82100546849869,0.819063979233471,0.824674503263166,0.85077519379845,0.843485879200165,0.849902929659651,0.819102519429757,0.834710955511912,0.840579195864274,0.759571350064114,0.798488425220835,0.824561216665247,0.760403932355338,0.831953608346331,0.8,0.804808503084365,0.821428571428572,0.690257562785388,0.689354949390976,0.717589050131926,0.720620842572062,0.753158173095085,0.661843207033703,0.759465478841871,0.759892113893401,0.818092866038072,0.757493197278912,0.8,0.797062513913343,0.839871794871795,0.894641148325359,0.755769572164033,0.84958217270195,0.877911622864926,0.853973623069564,0.841271841397849,0.847328707071838,0.860986967947228,0.817628321631497,0.779866076577096,0.816689128481581,0.853519718041532,0.807698377212593,0.847025495750708,0.86919273365428,0.852981686672822,0.862123971960038,0.874538555573038
"X1P02",0.872159090909091,0.774667460790153,0.774656582805989,0.831024846607132,0.790194286942735,0.757396449704142,0.812147034252297,0.843420869080003,0,0.791680960548885,0.808510638297872,0.798373983739837,0.677998735559515,0.80837636259323,0.774274132730015,0.766753022452504,0.817258883248731,0.783845702419646,0.92827868852459,0.934755229783,0.944625260281967,0.893420535011802,0.944752398828214,0.951412244133215,0.950647418706001,0.959271121485879,0.959100033456005,0.913312693498452,0.944711471905819,0.921731322754018,0.911900871459695,0.944554455445545,0.923641538726928,0.937062937062937,0.914156431803491,0.927238805970149,0.939856892207652,0.886075949367089,0.933240482822655,0.942597663380796,0.946280991735537,0.945690597261252,0.944153577661431,0.953647214854111,0.941042780748663,0.94877702365722,0.921322016460905,0.945415978496713,0.930595696852922,0.943152075209658,0.933214312189577,0.939898702369501,0.946164548986664,0.94980694980695,0.940630863166571,0.917012289374206,0.93725479474526,0.939357109928335,0.867363258343107,0.856420953995806,0.906599781599782,0.895928899082569,0.929378671358438,0.880847287950491,0.913479411645856,0.927638117863809,0.90814794655242,0.903682719546742,0.923623748390045,0.927182862670158,0.933754047884483,0.853623617693523,0.934508400588803,0.913303244257753,0.92183908045977,0.864176178946155,0.924272952319449,0.935815957396592,0.907407407407407,0.909989316239316,0.872474747474747,0.922178988326848,0.950926172707889,0.943416690347637,0.929328621908127,0.924078887884268,0.947154471544715,0.91827919194909,0.933554817275748,0.925722805312176,0.930501930501931,0.932447848761408,0.942527891955373,0.910862818125388,0.916839557399723,0.90243830787309,0.936273671611166
"X1P03",0.883381924198251,0.652542372881356,0.776467331118494,0.845070422535211,0.791287923503719,0.816259483791338,0.836477987421384,0.882352941176471,0.791680960548885,0,0.898417794083926,0.902347331743994,0.641346153846154,0.911946202531646,0.794117647058823,0.8,0.756756756756757,0.801386337794105,0.945177608469797,0.961339949383233,0.953112337991645,0.883727094999834,0.970802822482626,0.962732889913458,0.959167000133387,0.975308537437287,0.975683865616608,0.938434048083171,0.98083807600514,0.946611909650924,0.968957718780728,0.970384966204364,0.959940725700812,0.964523281596452,0.947969647251846,0.948291738000559,0.952380748259662,0.919491525423729,0.976642285987077,0.979531988748579,0.965803367211818,0.978996470818901,0.951326213397513,0.959794602382542,0.962876230774614,0.967926647492285,0.955375069945031,0.968787470023981,0.965860528360528,0.973498774509804,0.967509025270758,0.9620501426377,0.974914187643021,0.980732177263969,0.970488043702329,0.944366208081215,0.958121631031904,0.973756408985881,0.888198757763975,0.875862068965517,0.907960199004975,0.914556962025316,0.94348799647603,0.906901846813422,0.932299367200899,0.945351061090882,0.938684145436557,0.906878202601498,0.953890489913545,0.948566504240078,0.948185659091496,0.886699507389163,0.975339050051694,0.916309513883098,0.952980655349388,0.882456751422269,0.961577311577312,0.950989948218093,0.955357142857143,0.964788732394366,0.91812865497076,0.958411949685535,0.98249444572129,0.961579465310809,0.958620197624229,0.970587716046113,0.973912550331764,0.969365280012258,0.973465930342567,0.971478685274155,0.971999551992832,0.9718309169279,0.975951807228916,0.967032967032967,0.963188798554652,0.963636118307427,0.977848101265823
