"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1G04","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.55436596393057,0.250451525287571,0.275128941001118,0.505989391243481,0.505763973950506,0.556499278692732,0.467641604744736,0.503407652005107,0.498145995362253,0.567639409882224,0.57541769298438,0.477982717157851,0.536020855314242,0.560635966581448,0.535876493030729,0.426231480364007,0.486392377410745,0.510136105422706,0.465002375823925,0.709330254772327,0.70770279863033,0.682138271637809,0.733484878582888,0.80875313605362,0.771075695003045,0.790061568657523,0.740574203953261,0.823673763635641,0.826620994357991,0.814321065575354,0.735724697412196,0.789125975767927,0.840644342044022,0.82850637811364,0.753608623737922,0.752508531544113,0.749366487821482,0.736443963020527,0.746701639660103,0.743596034122951,0.832277854678971,0.75309393640373,0.746312786557266,0.750524843034448,0.796471470417605,0.667598176654946,0.817291494310347,0.772090560069893,0.834576358347806,0.793698370499491,0.810050280662505,0.818443405229754,0.822591191998722,0.822065873039486,0.809948455015546,0.729459168403751,0.803870007186723,0.715355422603072,0.41026896388075,0.346514184287678,0.430105742141621,0.481461341412463,0.566078119822123,0.51550999238787,0.568684698397143,0.577412474572146,0.615285252635525,0.660510185402172,0.654208479698977,0.665562479668159,0.589714660539201,0.662762306642457,0.564086451900413,0.523449409543526,0.689797281449746,0.248793980842814,0.696968102297958,0.773094937725381,0.650800771843843,0.777538874850328,0.676683457745447,0.731618154648557,0.663680707168602,0.715443764566655,0.783544986531458,0.776812196070886,0.777376835084874,0.782141863756507,0.808954861073808,0.798814337463883,0.764496498875959,0.772707505734162,0.701837247872354,0.763113932942401,0.707944938767487,0.756903551237105
"X1D02",0.55436596393057,0,0.57919000062997,0.576123963870987,0.574287110546115,0.491225025139082,0.60974282125354,0.532144295688873,0.576121273971226,0.516762674061739,0.672844547992207,0.659740133235232,0.645989932642684,0.601120703347127,0.631407221661652,0.634658879649841,0.551749338970566,0.620318321799434,0.623965448236317,0.616073758532675,0.55339938298478,0.559713116720205,0.531688156471636,0.543639243584557,0.635446829988185,0.57430792445432,0.575228551795677,0.543150186178571,0.606483632885246,0.667716030422795,0.6300663292047,0.515417536713315,0.598987850769189,0.656988808064401,0.602174695906231,0.530315051806282,0.52433033248432,0.563011085894387,0.555358550261583,0.541093379079622,0.52624575230657,0.63516192788389,0.55484785598032,0.486672356053615,0.517392051160253,0.585160062814911,0.452731817244551,0.600137020737564,0.58305816642173,0.623858230197413,0.580027545428449,0.608949174997778,0.615130251444379,0.628682658057629,0.59434947574183,0.535911184393412,0.493476567779824,0.547152995515583,0.50814857443578,0.485560227244364,0.423758885052159,0.43329300665027,0.538797418026104,0.354896657814319,0.439700829678524,0.344562330290363,0.449849989664915,0.425527072113646,0.445928651208312,0.498249265762313,0.546669578490605,0.443019064916593,0.425270735185133,0.236892343378587,0.423721568490587,0.507766997815973,0.582241338544901,0.571735286257421,0.678178923476094,0.503904588013948,0.655187848497581,0.512845546583073,0.480927466443097,0.497141003519929,0.618348524718873,0.671732015676591,0.631743543656954,0.585271579926419,0.60105501596578,0.583279089937871,0.596057365155093,0.594551050729394,0.61413398853815,0.60971486395771,0.579446659650603,0.565278795670642,0.691938252178718
"X1D03",0.250451525287571,0.57919000062997,0,0.281782187126694,0.488238587728605,0.47314474193655,0.511557385301543,0.435025095162294,0.417819934573766,0.46822028117021,0.512045291374481,0.500085327777902,0.377660100431623,0.50779482591458,0.477786797587613,0.455420386573762,0.382020470099676,0.43408348132451,0.454166805672009,0.376710118456847,0.733419733599382,0.725138280659806,0.719969909319275,0.73669455892122,0.808133996388396,0.772462664715988,0.791415775726245,0.747260582079712,0.817856604006857,0.831226302614636,0.815529514075774,0.741434175479361,0.790671754949033,0.834854545105209,0.83129126735082,0.75731365228306,0.761149080651238,0.744574372944277,0.747348373065069,0.747156532395547,0.747942987555928,0.833209669479122,0.774050553644519,0.755846288120922,0.752807072844926,0.807236712851046,0.68527212564059,0.817010446247169,0.778370407414438,0.834018434777559,0.793148068022164,0.807179522813368,0.825102137165093,0.82650968551641,0.819492638693159,0.815801821066752,0.738905891103498,0.80272130065154,0.740292756230528,0.443311644848842,0.347267720425444,0.451932216282667,0.476098874151238,0.591596944698975,0.529783029598258,0.598558324220124,0.590538644868049,0.58890963894409,0.646916712122344,0.636955954870831,0.654017520638646,0.586893084474545,0.659414575817767,0.584890192924872,0.513010464562287,0.669283986566294,0.267253926716056,0.680026315956289,0.785800848700819,0.64996130696063,0.76590457379105,0.684012747069382,0.74043230723602,0.659613100358854,0.713057376130344,0.771153496441165,0.787889203431081,0.770105829993433,0.772662236381844,0.801179973269891,0.794437620621675,0.746969907181693,0.756273911251262,0.689166161720514,0.776271087840809,0.680682867892949,0.736457538350151
"X1D04",0.275128941001118,0.576123963870987,0.281782187126694,0,0.513381457544431,0.518545438287069,0.546520102508842,0.500079045391252,0.484249255404806,0.488425927305247,0.514012953022404,0.533179201509903,0.450807648901217,0.527121130563612,0.542471567842205,0.511684204823066,0.374739605155545,0.408485669193922,0.470560403444178,0.386457765193629,0.724570180465993,0.725885795693545,0.697537397139256,0.754495140947608,0.823615618058449,0.768529960229513,0.796520180214355,0.749729587288627,0.80888656688076,0.821164999652224,0.81398993688773,0.725841669955621,0.787775190126192,0.835202921568811,0.829403789965387,0.75438382076679,0.754670929996005,0.742895624636753,0.74517670601167,0.77052248384186,0.746761428464042,0.840764779155257,0.783754256054593,0.76256302784018,0.770579253599233,0.813237140564263,0.714259132545496,0.811390103237165,0.799396691652255,0.83635182277799,0.790784637794687,0.813264628578602,0.821289303765792,0.820542653312554,0.812928407923964,0.814758089216974,0.755719937360588,0.800065882894378,0.738877055361144,0.455413383778965,0.340135976451514,0.478284806510491,0.506627552052216,0.595653386560869,0.56560789455363,0.626504352316969,0.614655098683659,0.619429625772495,0.680611320450169,0.66140815109087,0.67399323943178,0.62677501348912,0.681266380637261,0.594958302093659,0.521236814868978,0.709588141323197,0.28729465546186,0.69985438159863,0.769679760330423,0.691273664093529,0.774046500607097,0.719743680107307,0.741640338097127,0.718184666901851,0.740918536792734,0.779083929859827,0.76940497286831,0.774340458951318,0.783135507470762,0.802987383351326,0.797317234174683,0.76348004014331,0.770576035750939,0.70160033710409,0.762126455935996,0.720278216286454,0.766085273385783
"X1G01",0.505989391243481,0.574287110546115,0.488238587728605,0.513381457544431,0,0.274525637346508,0.247813386149469,0.307121294225398,0.434285927448598,0.459631605420396,0.466023861297567,0.482124486087784,0.409657409423249,0.504292302759771,0.445072756711663,0.441454927556694,0.452607183376747,0.461751649035958,0.473467224214761,0.439275811960729,0.759040609097223,0.752970211822113,0.754502905508985,0.739485869016693,0.811921605181351,0.779685987051009,0.768009852598225,0.763238132042284,0.790098766798822,0.844734931457945,0.823617400943065,0.726468974564366,0.810237628671745,0.847698621116851,0.84314550527515,0.75223631536593,0.750853528433896,0.754260523476158,0.758014435777508,0.733896417575779,0.71185049398476,0.812504520334377,0.75462583159562,0.732948412692618,0.737597616984762,0.7943351841949,0.620576832386732,0.779878109569188,0.744209352931756,0.813216126528642,0.765184993898206,0.760896651570209,0.783594458423761,0.807366243077512,0.79260679026528,0.777239712937687,0.729452722055515,0.753910992859524,0.695256946730096,0.594011848817229,0.475737836167954,0.513866286006288,0.489922253047772,0.494708857571477,0.374818770346227,0.525319137327299,0.528949555843205,0.542283518625735,0.639898215239213,0.602185429946143,0.628010237341528,0.514751584278457,0.58157455648696,0.552244829718673,0.446167386554344,0.581776334392173,0.486240769745599,0.601734119154652,0.742926823323964,0.602613327311464,0.702199159154025,0.582195241407356,0.679835065934622,0.584570708015822,0.640703779129445,0.726676453455833,0.74273261629855,0.719119053001902,0.731571026439605,0.737243667145395,0.756830959186079,0.674220224320998,0.706777717260645,0.651260054386099,0.748448598037552,0.590913314791266,0.678136600475788
"X1G02",0.505763973950506,0.491225025139082,0.47314474193655,0.518545438287069,0.274525637346508,0,0.284039006317394,0.263809889437207,0.423341160144911,0.405783096904782,0.506887840876141,0.511059347409039,0.44909741309846,0.531767091718436,0.490613433299972,0.469688869656264,0.424200920418193,0.49233081403717,0.486239748968492,0.455312778083685,0.730084002066988,0.729628743032326,0.726493964258661,0.695618024649608,0.789722521827168,0.745680869591763,0.720986545542507,0.716962236791894,0.746761103324483,0.803730128124414,0.789456472309519,0.682735555080939,0.779196676184069,0.821903248542121,0.795321972215091,0.715568496382012,0.69178102352552,0.705220600958131,0.730695897515433,0.696398119435844,0.655581355264419,0.763241833692874,0.718667740627484,0.673104889451259,0.707874419136647,0.762951919199089,0.568394045195134,0.747564583397947,0.705289065790116,0.763310814782137,0.71295237229213,0.736577865751716,0.746244033762687,0.773287918732528,0.750170815033759,0.724617754533105,0.661802988862524,0.68643889667368,0.624904197183632,0.544789794881807,0.425293169721436,0.487779752838542,0.489920247809035,0.452995736415461,0.329483100806443,0.459018687362773,0.46661443121567,0.454561938945482,0.57624264777403,0.544916701082975,0.606891937136539,0.436495750026639,0.558064670822757,0.470860822888107,0.375675990941507,0.501349387651669,0.486261294195063,0.534666975226864,0.675132604108562,0.492197106380123,0.622080614885343,0.51802459331912,0.61598295764516,0.518975179337564,0.573848341130731,0.670990750741526,0.696887831053015,0.676312477550247,0.671608593205349,0.705371219443347,0.723630014964882,0.626326065994073,0.64822324674033,0.593703080691247,0.664628229586916,0.5081358973782,0.614169495709803
"X1G03",0.556499278692732,0.60974282125354,0.511557385301543,0.546520102508842,0.247813386149469,0.284039006317394,0,0.371838918152538,0.44184312696199,0.477646568424397,0.461806422801677,0.475750848643785,0.431073437628246,0.512271664294826,0.437204301443025,0.439136567524755,0.443601896492006,0.428410482962663,0.420858819570386,0.414621502737403,0.780504464534322,0.77045812928167,0.779728506792256,0.766966495173165,0.819897370179202,0.791305157255734,0.770931499566508,0.768088784569898,0.793046241579703,0.84454000957429,0.82174654621548,0.758212101826668,0.819680064771953,0.852531508771173,0.845641550613777,0.766571778367541,0.762160019847899,0.765051121547759,0.771090979110366,0.749442068208033,0.720472909522275,0.815380991452453,0.771496002880864,0.744198164830784,0.742144099985204,0.798353019639186,0.634237108038705,0.786116982929279,0.749174485974474,0.817577323356862,0.773391552616982,0.775742546128761,0.787592274607002,0.821998517145183,0.80168529554233,0.784720897468063,0.734825342887024,0.750758629524756,0.703466454944317,0.653638498310346,0.519271375824726,0.578390629132911,0.533684166972746,0.576226178528941,0.457303598691994,0.601002534900027,0.581610780754863,0.537965024839382,0.662984325759488,0.617331975905795,0.637105096310846,0.506943714689368,0.626306627285137,0.605971058816129,0.467152453298855,0.591578958396004,0.503692461503439,0.607480821117848,0.732499352256824,0.58733806154552,0.712607760645359,0.582820023739452,0.690000333314034,0.583089380450618,0.636160670960353,0.712794866602853,0.733719861926968,0.720737520598822,0.718114046504142,0.733653994081953,0.751371866075619,0.674645649377965,0.698979671679257,0.648447452605173,0.742763363566519,0.574320366712015,0.664282780155279
"X1G04",0.467641604744736,0.532144295688873,0.435025095162294,0.500079045391252,0.307121294225398,0.263809889437207,0.371838918152538,0,0.38257586457292,0.387010476908808,0.47059985833058,0.464631681393842,0.414284854598293,0.502717488138618,0.442776274098057,0.455323348499115,0.406115975333185,0.448705421284215,0.453940825450076,0.435157798832952,0.743723544753708,0.739325668812464,0.740418924811162,0.710596807563771,0.794470036547221,0.757861642195079,0.733878795957828,0.726409895556025,0.74989866038577,0.814867680024282,0.794681334272262,0.701817216321137,0.783899559697679,0.828198364018972,0.805246615120267,0.725292408411152,0.712973690859547,0.730172593886986,0.743335516890075,0.699216286186072,0.686686785455798,0.785643359897035,0.726872567267901,0.694068878304702,0.717525229241264,0.774706895414145,0.59335189439828,0.764099745800534,0.717872003611403,0.77817320997473,0.730239644150852,0.742055028698801,0.758698151654381,0.777743656648064,0.758258141330348,0.745934604198641,0.674329743228357,0.715518906431132,0.664936791265812,0.543063411420842,0.420262538801513,0.494115505711963,0.492069928875311,0.45799162491431,0.356927752916934,0.456530100760858,0.484284096458041,0.473027264321696,0.607877596903206,0.555782909187398,0.580200979194593,0.476447634074236,0.554364838288082,0.519289223746759,0.418886929367676,0.564198733146439,0.470646117407322,0.581578599231052,0.71254945885215,0.574711576270851,0.668159096757091,0.556564330556938,0.634801816338344,0.570881042678802,0.61182891653872,0.686470193351632,0.687222512566823,0.69695527804493,0.689748340926587,0.714563612494292,0.717037529065313,0.646406896694367,0.667166323771057,0.597807299471727,0.687223362203153,0.59118806648542,0.663269308925348
"X1P01",0.503407652005107,0.576121273971226,0.417819934573766,0.484249255404806,0.434285927448598,0.423341160144911,0.44184312696199,0.38257586457292,0,0.292768542125475,0.297166036092227,0.31140004136904,0.299051847733165,0.34218771248093,0.282892365395251,0.294889888059901,0.434692172068745,0.462009048281767,0.440386830446987,0.412455183980594,0.774766361282207,0.766810816604805,0.763275881017375,0.726035977914042,0.795576724665243,0.773305688947808,0.741009915623609,0.743550720991862,0.769374318556774,0.842884148770726,0.795978754681308,0.737007218920294,0.799682639658953,0.836151855720854,0.823345869167285,0.755452758470122,0.739612037308617,0.757258633179331,0.779536432585774,0.709432436164529,0.690179786332208,0.792759292526761,0.722437434939094,0.710468468873258,0.713381294571597,0.779432996506511,0.613960155557529,0.742186656616132,0.709505474404388,0.784232667508846,0.718248968830927,0.738573338876793,0.75471974173661,0.760972908081091,0.746589506512516,0.754271179874878,0.692382626784481,0.722829698060952,0.67076481011264,0.608663659688501,0.459706470092083,0.557658357391342,0.504567912460125,0.573444080743176,0.524726442344517,0.589180233756446,0.544513247709093,0.440078545859656,0.584267022783784,0.541278249373169,0.571973496720671,0.463265011935947,0.562742581792666,0.576756273328236,0.446045262125694,0.629288877023229,0.527498289828022,0.625064568715502,0.715149022560581,0.607241138869209,0.690508116683476,0.601219990822983,0.65837294048293,0.614606112891818,0.651777224005758,0.649151602277213,0.650562108034521,0.674649308033263,0.690520578985303,0.705798250188477,0.695424076975142,0.638124707708946,0.664060807660016,0.592487875444811,0.710999033575861,0.63752511339358,0.66861352529329
"X1P02",0.498145995362253,0.516762674061739,0.46822028117021,0.488425927305247,0.459631605420396,0.405783096904782,0.477646568424397,0.387010476908808,0.292768542125475,0,0.363182983699063,0.411888734287375,0.373772068472642,0.419501062890395,0.364920426415543,0.388402539590669,0.462447304036866,0.501642081594805,0.473001770311429,0.476638756751833,0.761313327340734,0.755372095096849,0.739128086230322,0.70781743250618,0.793610423087377,0.765129849952884,0.718932226647703,0.725443298067027,0.739902516748764,0.816241002606782,0.783059013844948,0.70782989329358,0.792373772104888,0.815373737300359,0.805307317539113,0.741602006468715,0.708721477719558,0.754555370739091,0.756179990597667,0.669369714840194,0.637564050022907,0.753583025610759,0.685720490703722,0.673790478380938,0.693397165095353,0.752322978682565,0.585460934529838,0.69222280852022,0.650479796993741,0.718604731532332,0.663854500205916,0.697348446099085,0.702108310876033,0.712435230834686,0.687094982979659,0.72125083492388,0.631011976781246,0.680750597762996,0.613501447747162,0.567127866630741,0.433377565460366,0.529433060243021,0.513113977869002,0.543025898713348,0.479983422096417,0.562886454141251,0.492652794625252,0.401754979904852,0.498127657099547,0.453533672379499,0.500798425416604,0.431459606781882,0.495818077623653,0.515008443430993,0.414032159768826,0.582970662793656,0.51795461826565,0.615382036571259,0.653173757565787,0.561866129179617,0.656659308429546,0.574588976483619,0.594549481232852,0.589953393236381,0.597968888162904,0.618725073245675,0.601596520169436,0.611416692398879,0.621534992121791,0.661921699948026,0.649369989212868,0.578879587613988,0.616512473312946,0.555729360183487,0.62139154158204,0.609329710387212,0.65062245450791
