"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1G04","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.667467948717949,0.43874296435272,0.472654580968077,0.65891472868217,0.62962962962963,0.655205882352941,0.616190192574945,0.675149381135297,0.689658210007047,0.775096899224806,0.713732004429679,0.685261620523241,0.718852124183007,0.728231292517007,0.743238304093567,0.553846153846154,0.568,0.604805406081842,0.581742450538008,0.808033697414228,0.786684529356943,0.804610604295147,0.815950920245399,0.840214090494989,0.843085106382979,0.813229571984436,0.821248947452266,0.850701982920828,0.853240093240093,0.860927152317881,0.809364548494983,0.848951973951974,0.879329838626786,0.865871435682287,0.828488372093023,0.786247356855591,0.809825195901145,0.810229440296474,0.801539090785148,0.799267399267399,0.86415804024947,0.823642100518368,0.844936708860759,0.829754098360656,0.840909090909091,0.773491960219351,0.850099386397027,0.8359375,0.85823754789272,0.845441555919319,0.860800458809553,0.861288879176682,0.883161512027491,0.867947811635723,0.833054626532887,0.815082005260715,0.851576483546744,0.793790811108489,0.488549618320611,0.455611940298507,0.494942528735632,0.5,0.732488096955706,0.656150477707006,0.72873937497357,0.692771084337349,0.730553154710458,0.771809661139149,0.741476172026346,0.774368287080152,0.716417910447761,0.780759529147982,0.676616915422886,0.622454646427249,0.774390243902439,0.438461538461538,0.754601226993865,0.812724820143885,0.724238639285846,0.851141514184993,0.762660256410256,0.810344827586207,0.77299154334038,0.800709219858156,0.854304635761589,0.85207100591716,0.827318149201371,0.82414821359545,0.83863734992044,0.852459016393443,0.813829787234043,0.832897033158813,0.8093671679198,0.813458804160742,0.779265562024183,0.801444513975803
"X1D02",0.667467948717949,0,0.693733850129199,0.690821256038647,0.701657458563536,0.664879240943071,0.715789473684211,0.677250765403751,0.724137931034483,0.751861260626792,0.815009380863039,0.792746113989637,0.785714285714286,0.741262389149713,0.759901960784314,0.768491933278644,0.697968234323432,0.727735731688352,0.717224602041356,0.706326614350926,0.637446346245562,0.647675777737817,0.639637445887446,0.642226847392321,0.685452932926326,0.673740500985083,0.648413293353323,0.637397677517609,0.677203765227021,0.717909303962716,0.700315457413249,0.639393939393939,0.674417995358934,0.73402882746707,0.700854700854701,0.653631284916201,0.625423806732637,0.641451825539239,0.64630035569526,0.661405495912538,0.659758018327606,0.726475755294199,0.682595526561044,0.649210253102037,0.641112033725089,0.660194174757282,0.590814176245211,0.713310023310023,0.700181464211893,0.715545982393707,0.69572818485862,0.726744795763201,0.719626168224299,0.764153182735293,0.728570564699005,0.661892882598513,0.641028638223261,0.701986754966887,0.632522541413294,0.643036611629576,0.64406660412758,0.599528301886793,0.645320197044335,0.506329113924051,0.584184471078687,0.512500868115841,0.562514065664774,0.625563063063063,0.610888899728468,0.662192192192192,0.709326181065312,0.594142259414226,0.601208335382749,0.484512971120901,0.598984771573604,0.682578381334306,0.677093504440415,0.687517349865828,0.793103448275862,0.649529342389761,0.801909579801294,0.644230769230769,0.629846911948079,0.62469512195122,0.75,0.808346624136098,0.764426877470356,0.712716429395922,0.734971213023625,0.701128218178733,0.71859724763743,0.730769230769231,0.746808279458901,0.765853658536585,0.72534993938058,0.719065370789509,0.782371588222652
"X1D03",0.43874296435272,0.693733850129199,0,0.495967479674797,0.636730205278592,0.588709677419355,0.605781185246581,0.592307692307692,0.628565715809118,0.684827377347062,0.733910327324787,0.694933524973051,0.655455059355568,0.718120805369127,0.710430582061069,0.712175713974275,0.491068580542265,0.542738164815897,0.561693489923155,0.52991452991453,0.820551064770813,0.802048378076063,0.822981366459627,0.819596059303991,0.8464873277012,0.851538461538462,0.819442475785495,0.8266220062819,0.84885905708423,0.86411149825784,0.856910190786412,0.820896425741703,0.859720335843931,0.887839314790445,0.869436201780415,0.834542467138524,0.79119015811031,0.822114347357066,0.821665499883322,0.810699588477366,0.796039215686275,0.867507886435331,0.827725490196078,0.849269651113914,0.831597033821668,0.846153846153846,0.776649746192893,0.846916508538899,0.834963230750216,0.85077755240027,0.844053231939164,0.866443933782518,0.868332147937411,0.883514294892387,0.869565217391304,0.838028169014085,0.808429118773946,0.844327406910433,0.791189142610944,0.508064516129032,0.462403889642696,0.536838728780103,0.531024531024531,0.735554414175935,0.641891891891892,0.734122235518326,0.70028295871194,0.718390804597701,0.76797716501508,0.735632183908046,0.781593996892665,0.722064777327935,0.782314814814815,0.683673469387755,0.604959894405523,0.750838926174497,0.437003968253968,0.736832986832987,0.792153846153846,0.70212215320911,0.833333333333333,0.754777845404747,0.813333333333333,0.755952380952381,0.780487804878049,0.838461538461538,0.841938707528314,0.815642458100559,0.817930688096434,0.835618153364632,0.853807471264368,0.807255244755245,0.826714451762883,0.779361054766734,0.793649193548387,0.751748593788212,0.774193548387097
"X1D04",0.472654580968077,0.690821256038647,0.495967479674797,0,0.658730158730159,0.615692307692308,0.663899986223998,0.633647629310345,0.694671175373134,0.717046342489632,0.782433380084151,0.723133155701305,0.697877426832802,0.75796178343949,0.75,0.75,0.565573770491803,0.577081391736564,0.606631578947368,0.588466773181845,0.811820310383529,0.791245791245791,0.8,0.829268292682927,0.85517223008661,0.848444551901999,0.827725490196078,0.822260936895083,0.848920863309353,0.848797250859107,0.862010913735052,0.813756405202996,0.848396501457726,0.879268698983841,0.862016077850645,0.835047475220886,0.791906741906742,0.817740475174574,0.812183613166273,0.822605655214351,0.803088803088803,0.872212009803922,0.844178988326848,0.851673959499339,0.838337837386982,0.847750865051903,0.78589196872779,0.857966266229826,0.850393700787402,0.859406375502008,0.857142857142857,0.87299002119849,0.868512110726644,0.889667443858142,0.87678607879159,0.846666666666667,0.827067669172932,0.862135856708347,0.812363537117904,0.53125,0.459997439836149,0.554424287301,0.54800307219662,0.73754023412674,0.653197278911565,0.735849056603774,0.7125,0.741568776051535,0.794940476190476,0.768796175575837,0.805634920634921,0.735063147668394,0.801363863863864,0.703517587939698,0.629503105590062,0.785950782997763,0.472220472440945,0.755688571913737,0.795942880021353,0.72580242287998,0.841379310344827,0.777777777777778,0.818794297841669,0.781441635287789,0.806326581645411,0.857625482625483,0.857565511411665,0.837696335078534,0.833333333333333,0.845474053843153,0.861344537815126,0.823529411764706,0.842696629213483,0.801498652896273,0.8125,0.782281791435109,0.808578431372549
"X1G01",0.65891472868217,0.701657458563536,0.636730205278592,0.658730158730159,0,0.505102572112881,0.547368421052632,0.543358395989975,0.651376146788991,0.679611650485437,0.714285714285714,0.673913043478261,0.671644844517185,0.744273474383633,0.696838138925295,0.730434782608696,0.560373831775701,0.568421052631579,0.59510662604722,0.57921568627451,0.830617855285364,0.808743894669781,0.827702702702703,0.810257159555815,0.835820895522388,0.846727258231683,0.797810035565177,0.817327336700528,0.83739837398374,0.863877174486031,0.851027064538515,0.813868613138686,0.844040301984227,0.884762935274444,0.863333333333333,0.834632982866044,0.788613182126267,0.824871134020619,0.808349897732838,0.79310024349895,0.787415158371041,0.856617647058824,0.815966485721029,0.829787234042553,0.815988215278642,0.828897338403042,0.723346626786308,0.824199199199199,0.815397126592573,0.830395962732919,0.832608572346902,0.853836567562756,0.847746194184912,0.863813229571984,0.844961240310078,0.824072930814504,0.794117647058823,0.830901070544339,0.757979626485569,0.624465811965812,0.632028789923527,0.632582720588235,0.60265006385696,0.703047648514851,0.553282268359874,0.692307692307692,0.59532897128317,0.717595048629531,0.766333308078895,0.717043197616683,0.757766059443912,0.709302325581395,0.763494581020354,0.666666666666667,0.583005249343832,0.695482336956522,0.633072916666667,0.708955223880597,0.73,0.711111111111111,0.791485507246377,0.649005074786325,0.76362997784622,0.684412955465587,0.70873786407767,0.803495115995116,0.818840579710145,0.774834437086093,0.781573547243727,0.805763927192499,0.826827875095202,0.76510067114094,0.798679508411052,0.734229114232362,0.757938508064516,0.682030586236194,0.74742158426369
"X1G02",0.62962962962963,0.664879240943071,0.588709677419355,0.615692307692308,0.505102572112881,0,0.505000500050005,0.485837712656988,0.647058823529412,0.666666666666667,0.705357142857143,0.685185185185185,0.650930791841097,0.722627737226277,0.697877426832802,0.690766550522648,0.535423197492163,0.580981762090554,0.577452364149612,0.55045871559633,0.810289389067524,0.804653046530465,0.806723163841808,0.80762501100449,0.83357628765792,0.825765385011854,0.79310024349895,0.793168265491314,0.82,0.833036773428232,0.836363636363636,0.8,0.834569218458256,0.872957200906364,0.843042986425339,0.823076049083472,0.764121168738205,0.804454804454804,0.797100497695368,0.793248945147679,0.769880045530164,0.846285114203203,0.81104158401558,0.807417582417582,0.795603424843708,0.817164179104478,0.69856398525861,0.818947779196821,0.806378585917126,0.814345991561181,0.821054964539007,0.846689895470383,0.841527515994585,0.867674385363065,0.845856845856846,0.820506624783537,0.778672325536189,0.813753628655306,0.744948979591837,0.602465900692065,0.573643410852713,0.616944010296957,0.631147540983607,0.658988660580389,0.515749007936508,0.651960784313725,0.602889027951606,0.666666666666667,0.741611007213465,0.707933370976849,0.750816993464052,0.680598132173665,0.75609756097561,0.646238127754671,0.516530054644809,0.685483870967742,0.59375,0.694029850746269,0.732738095238095,0.671430759022,0.784307692307692,0.6403125,0.745049019607843,0.659863945578231,0.684447605500237,0.776859504132231,0.801369863013699,0.764331210191083,0.765627441787779,0.806046299116662,0.827663512957631,0.770198803319822,0.779932970255551,0.708867521367521,0.736830192949697,0.675106837606838,0.716205244783632
"X1G03",0.655205882352941,0.715789473684211,0.605781185246581,0.663899986223998,0.547368421052632,0.505000500050005,0,0.532710280373832,0.65615763546798,0.666666666666667,0.7,0.696140693698095,0.632993774759479,0.724800144256777,0.698275862068966,0.698695453158377,0.548076923076923,0.580952380952381,0.579538266919671,0.533021806853583,0.833065380493033,0.82309324972949,0.836666666666667,0.826006740161078,0.850299401197605,0.852436941671046,0.808273176291793,0.821695052716951,0.833976833976834,0.853380853380853,0.848915647051207,0.830935251798561,0.852513382948165,0.889172309811924,0.867329651712834,0.838946654611211,0.79184857695496,0.828425011414702,0.81902805820511,0.812632978723404,0.792872167321507,0.858131487889273,0.821502667457024,0.826784962559478,0.818854252119223,0.831750915750916,0.729975343430786,0.824174974882139,0.814816572991037,0.827956193577031,0.825208353760173,0.854808959156785,0.851565298867363,0.87134454036965,0.849901185770751,0.833016476552598,0.79247009148487,0.828505719610827,0.763022246337493,0.651979813664596,0.625508130081301,0.666666666666667,0.637513904338153,0.711742335443203,0.59532897128317,0.707806549885758,0.642873309568268,0.681189863125085,0.757500750075008,0.704322677499117,0.749193548387097,0.693690931390232,0.762756430282204,0.698274437208687,0.590163934426229,0.696845504222553,0.626016260162602,0.708661417322835,0.711525958948639,0.714807090719499,0.798245614035088,0.660102525631408,0.76397235189436,0.682652505446623,0.689339622641509,0.769215011471649,0.792724867724868,0.76801730920535,0.779220779220779,0.794665718349929,0.821596244131455,0.775978407557355,0.778150633855332,0.720529851885784,0.744093023255814,0.684447605500237,0.72
"X1G04",0.616190192574945,0.677250765403751,0.592307692307692,0.633647629310345,0.543358395989975,0.485837712656988,0.532710280373832,0,0.654509283819629,0.648561403508772,0.70852775543041,0.697877426832802,0.63716814159292,0.713352007469655,0.72242497972425,0.724501424501425,0.544287548138639,0.574537037037037,0.561693489923155,0.539406487232574,0.80577886339744,0.799313843184333,0.803491760450161,0.792128867104558,0.827087469781429,0.826686954020378,0.780537361544529,0.791126783664097,0.812745054191452,0.8321423102445,0.828671328671329,0.792982456140351,0.830924674413359,0.868712509937125,0.84328599770283,0.819420634481742,0.764823060698383,0.805280528052805,0.796173469387755,0.783891074347506,0.780959222769568,0.847040808596751,0.811360194877872,0.803389830508475,0.802158273381295,0.816698289719872,0.714285714285714,0.81443106029672,0.806653525607774,0.814888586604482,0.816733067729084,0.838712467137125,0.832142857142857,0.86306261849726,0.835534968833991,0.819488088873822,0.786556014003501,0.82218175968176,0.755279034690799,0.632352941176471,0.599270072992701,0.640261437908497,0.635036496350365,0.64938681780427,0.544776119402985,0.660979440319817,0.616190192574945,0.666666666666667,0.747548784004614,0.702780974299962,0.728395061728395,0.677777777777778,0.751184940584496,0.661533601832109,0.565051443743777,0.709219858156028,0.590909090909091,0.71326100370218,0.743119266055046,0.699673202614379,0.788470643939394,0.63634797588286,0.745855916892502,0.673336001067093,0.689089881288864,0.769230769230769,0.797546012269939,0.764536849222448,0.758534714230917,0.792270531400966,0.813831651247547,0.73951945490407,0.7609309125527,0.726184475806452,0.745653229723167,0.703851851851852,0.734192121039109
"X1P01",0.675149381135297,0.724137931034483,0.628565715809118,0.694671175373134,0.651376146788991,0.647058823529412,0.65615763546798,0.654509283819629,0,0.545004500450045,0.585482484418655,0.595744680851064,0.604732491597784,0.582650273224044,0.583333333333333,0.591106719367589,0.62554347826087,0.645454545454545,0.606990231990232,0.626127590410402,0.84144237405107,0.835971948880197,0.842364106988784,0.812903225806452,0.843426541690667,0.85064267560261,0.794871794871795,0.823635209479475,0.829786597228458,0.863313264711594,0.833935018050542,0.834202510052394,0.848528138528138,0.882134697924172,0.861840610290537,0.846616718243842,0.79055877986233,0.834983498349835,0.834821539301039,0.794494720965309,0.787228260869565,0.85241621341309,0.809035860068144,0.829020277532303,0.810909090909091,0.833621683967705,0.741878750258639,0.792207792207792,0.789364553340215,0.813559322033898,0.798722982642839,0.831560083003207,0.833941678766968,0.848070549242424,0.82465690351711,0.816724085520316,0.789473684210526,0.832043473615118,0.759298945708937,0.688711240310078,0.686795032471232,0.701986754966887,0.676923076923077,0.738911951059646,0.678446553446553,0.745049019607843,0.666666666666667,0.614864864864865,0.715025906735751,0.651315789473684,0.662115563839702,0.656801625105071,0.736179508548627,0.697916666666667,0.635347705539524,0.714285714285714,0.678701772679875,0.705882352941176,0.75,0.675675675675676,0.756001536393317,0.681649831649832,0.782393456736978,0.709339658807744,0.736363636363636,0.748913043478261,0.746572769953052,0.728121581497109,0.744278093271382,0.776595744680851,0.790827574511383,0.70096782198693,0.73882853094001,0.713003220611916,0.767778901247051,0.712,0.712962962962963
"X1P02",0.689658210007047,0.751861260626792,0.684827377347062,0.717046342489632,0.679611650485437,0.666666666666667,0.666666666666667,0.648561403508772,0.545004500450045,0,0.587292693859256,0.629606741573034,0.575112830431979,0.632,0.581725417439703,0.615011501150115,0.659441896024465,0.640388349514563,0.601941747572816,0.651785714285714,0.854889589905363,0.846547619047619,0.856666666666667,0.835483870967742,0.854814496163503,0.864865630564999,0.796498486763974,0.823749724608945,0.821011673151751,0.851062715162401,0.828996282527881,0.838129496402878,0.850369641947776,0.880353188276129,0.858570794988358,0.856711867491809,0.800838666572895,0.846153846153846,0.841352265215844,0.787878787878788,0.792372881355932,0.848920863309353,0.803085548498393,0.842757242757243,0.823314912723505,0.842490842490842,0.761111111111111,0.782995635286109,0.778520802466664,0.81209644310081,0.790285792264504,0.825783972125436,0.822977575929605,0.840552188134621,0.818556893970328,0.827777091822036,0.802840993604046,0.827082356618221,0.771925415891843,0.7109375,0.715384615384615,0.744124319419238,0.701612903225806,0.775910168782257,0.711694408877507,0.771144278606965,0.691755072613039,0.617021276595745,0.715818234109865,0.625,0.630434782608696,0.660549943883277,0.736842105263158,0.729271644525882,0.676923076923077,0.69047619047619,0.708808320601716,0.727606951871658,0.73431941583973,0.695490703469427,0.756412130069419,0.697674418604651,0.779449472096531,0.721996245306633,0.728122344944775,0.734513274336283,0.734848484848485,0.72258064516129,0.727891156462585,0.771507863089732,0.788596966413868,0.686190476190476,0.722222222222222,0.711538461538462,0.751968992248062,0.702702702702703,0.701923076923077
