"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1G04","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.695973418513399,0.324967560432831,0.337867006126124,0.65976463526354,0.666443609742952,0.710887571505858,0.625262236193848,0.664376015507303,0.701720640815951,0.737232972536704,0.676811625254681,0.597953208330043,0.715910301174541,0.672795946877939,0.675541345291636,0.534210736524745,0.575253513056687,0.621550930325933,0.562301307096251,0.799898897026784,0.784839269111633,0.792126622530944,0.85449848766871,0.904435376924437,0.881264988957693,0.907422797917441,0.864250815170727,0.902748087817094,0.913223720176465,0.919290945535663,0.848540193168064,0.894193126272919,0.916181423537764,0.909470969243956,0.85255945013581,0.842204962935966,0.84862308723517,0.851538477686224,0.869613027933378,0.849676943233688,0.923914035409428,0.887985144706771,0.878400622269109,0.892387485384345,0.907715353064001,0.858577842054313,0.926256108971609,0.928415593752869,0.93349852509265,0.919904976201555,0.929595377540768,0.938177785608712,0.941745953528838,0.926294196351678,0.892048975575246,0.879632637702345,0.913269983759247,0.866075347213165,0.473715370625117,0.410711429837951,0.503390395442101,0.530242461381392,0.777633891109743,0.730646840906075,0.798282185858989,0.802942190572092,0.75832682846808,0.845277344787865,0.851626139143258,0.844789361387333,0.757189546817919,0.865781685976618,0.730958112573461,0.636405449716163,0.847986185858701,0.319229221674813,0.835279877030245,0.889715555288823,0.818674655707701,0.920325778866379,0.869345214634948,0.892279250315678,0.86215060442358,0.895655017089092,0.941205028121856,0.907413381961972,0.921244429076156,0.922596068602735,0.925627183813934,0.934357296173291,0.922247368403753,0.913158897519307,0.887286477653734,0.893463843655622,0.853211831661157,0.906253469649085
"X1D02",0.695973418513399,0,0.704344362144791,0.717192356871254,0.670060778558766,0.594908254142758,0.686395559881063,0.641658947396309,0.699210934180027,0.676931413412061,0.783881809133237,0.75210786946783,0.753442594293856,0.716422234959894,0.715010677435345,0.719145073166615,0.655232866909066,0.716596388342147,0.717604730683727,0.717511114751489,0.689915695671286,0.68499985094553,0.651916757043885,0.691242262835379,0.760447115731713,0.688303040296334,0.745639920953757,0.673073238821007,0.722642513479498,0.779654125026908,0.750113240748348,0.649844271114801,0.702125335183594,0.741583565096659,0.724778931505966,0.631347338523076,0.613288840159031,0.665356213173926,0.677229364550578,0.70203148229751,0.666630730119455,0.768582216720006,0.716980749911131,0.629193578841712,0.66715529632515,0.716166872393515,0.586741889566582,0.759331147854798,0.764507373596747,0.779269135628268,0.746365175477614,0.775849048786576,0.762470265832198,0.794416410807125,0.767762063946314,0.651756566170984,0.622298901481777,0.684457171456859,0.627073632356262,0.620902984609681,0.570026571029701,0.555467644352855,0.649540754017263,0.479973613881681,0.544650933696333,0.512668738188167,0.577590681357548,0.567527998275951,0.634066509204451,0.679469125427364,0.697698047719371,0.559589474888634,0.613485678921726,0.329202202893893,0.489585535654184,0.61767242144032,0.718283915800292,0.723299043600262,0.824794538595227,0.640524598948814,0.81371326094529,0.669186210208136,0.651095990508548,0.613787469704701,0.760408534495737,0.826260526353724,0.786926006494933,0.750887898664844,0.76238068190713,0.7371893237971,0.754838677704012,0.753209029688421,0.770871619788871,0.732726727166694,0.678056033932629,0.670553313940757,0.81079606538377
"X1D03",0.324967560432831,0.704344362144791,0,0.360041863017696,0.640500235970581,0.634164751041993,0.640790171649432,0.583360348967645,0.569734495573936,0.656645026390279,0.642010743242931,0.608911878755352,0.475146319436125,0.665816752990011,0.598095156294539,0.60368297599317,0.478552695066911,0.531569177977793,0.557269130354866,0.467903813708061,0.827804357951381,0.809850202733717,0.820507490535006,0.849040859226255,0.902814438172863,0.88306989733262,0.895941031175691,0.873031017683197,0.883151624677633,0.916118485656507,0.904163014201747,0.860084330474017,0.886036524680575,0.914671074928412,0.908490554716528,0.849036662983076,0.844836284382589,0.846225139862457,0.8590958060869,0.861613949878687,0.849262392785829,0.917388244885855,0.881078127814895,0.872971010500031,0.890690022405128,0.907638542703774,0.841146581330734,0.906888891908293,0.915351373864533,0.922030419486721,0.905040572408966,0.916632786955396,0.923985914123534,0.929604831947044,0.908686151636871,0.90219535974401,0.883365435617549,0.910915794010565,0.862623094435879,0.517736107356755,0.421600364851109,0.523539547627827,0.529167847741274,0.755888932005954,0.716951569236164,0.793075707602192,0.773696201632199,0.720532607438902,0.831761390852892,0.828317756861944,0.830558201633564,0.731314608168455,0.852201202164317,0.734301565070855,0.622359967743188,0.843435341574211,0.314682352371479,0.835570992319793,0.895950195546663,0.81927356845146,0.907511713436194,0.853613140345196,0.883519109022442,0.83319663204648,0.876876974250907,0.922501558791847,0.901174915097878,0.906331421767636,0.906573177981487,0.904422266134398,0.922481103468519,0.906746264606058,0.897322261200256,0.885010589090334,0.906898311322247,0.838609563850984,0.884030151118921
"X1D04",0.337867006126124,0.717192356871254,0.360041863017696,0,0.690371692321533,0.678953432663471,0.720705679744976,0.645844654874516,0.663174688133595,0.699810607451056,0.727844517478419,0.663391457722786,0.567846727246926,0.682383493788249,0.662302740883443,0.654100381043947,0.520623709310108,0.529496922021657,0.624169915843374,0.515958884188695,0.827055113616641,0.806709760608265,0.820513093944881,0.87522666145307,0.914548882535831,0.887048173947762,0.913221209810474,0.870332703718333,0.896960894184572,0.913107202078187,0.921420887433442,0.846452267464493,0.891314700089158,0.914845863909831,0.910646650952921,0.852229397436363,0.851351863905986,0.858812058186115,0.856832464524061,0.883884024685719,0.8635229364564,0.928811582137159,0.898009403458118,0.889612310872367,0.9092511647431,0.913314394293588,0.873546639261912,0.926780212383805,0.935861352391979,0.933690857729463,0.925230406333766,0.933215838976916,0.936148991864838,0.946491019704929,0.931276636299897,0.902770674473412,0.881109883613607,0.907716476554795,0.874237450560318,0.526940723523187,0.411855799720106,0.555823352743356,0.559495866640778,0.790411226206023,0.749622282628733,0.814421024632208,0.812976699683119,0.768655576754856,0.845166803168421,0.851558051782783,0.854961828355461,0.763232206960266,0.873657462888203,0.754351131877348,0.641744679543051,0.852431165610602,0.364893564725773,0.831490711394606,0.886756947314246,0.816139609507066,0.91197957993624,0.87674561762011,0.893483771521648,0.876828549449506,0.91244198612999,0.922617201360964,0.89508360876089,0.924090556099994,0.915260373173138,0.919092853197615,0.933390713902415,0.922118301720496,0.907458324834277,0.881080492719066,0.882032721680222,0.855950717445076,0.901637302749752
"X1G01",0.65976463526354,0.670060778558766,0.640500235970581,0.690371692321533,0,0.3548326077395,0.349365741885199,0.394619175616997,0.628647269440398,0.620001991884807,0.66865378899294,0.626394529209184,0.594071866739076,0.646366011811917,0.560465947997626,0.578731761794126,0.584876202240095,0.57727592925168,0.596602781800455,0.603125367297374,0.840420235476787,0.830544912802849,0.824278027670086,0.788635646228052,0.865304265773625,0.837202959828306,0.846056357110542,0.814259249918733,0.853591613446528,0.896749254383832,0.881195894896903,0.800953095589027,0.853527664890541,0.892322032328588,0.888365156803763,0.820707810607457,0.811626137164203,0.821876515921587,0.837012198246432,0.84205362302979,0.81668071195684,0.905896809069839,0.855239537461587,0.828328655558327,0.83864012882271,0.875818561574992,0.744802475167164,0.878977514477507,0.872827425271135,0.90695035792654,0.871078798742187,0.87340662626793,0.879054407876932,0.907880983296454,0.882177851283268,0.861277609269029,0.845453504892987,0.845481072878824,0.792296298491797,0.67973948902052,0.616395686680088,0.631554746934437,0.601812348814126,0.582599625054226,0.476770791616642,0.619869239311621,0.606590242421174,0.665428021188919,0.768688586628629,0.77986707420642,0.758710607401496,0.668617974342513,0.731116966953214,0.649078241438855,0.53753274237197,0.75748263586366,0.657124167412356,0.762258420057388,0.859924130318901,0.775973482188174,0.848270567167426,0.743605784840071,0.795529454134707,0.744442814219304,0.789207888268071,0.837519751402372,0.81688768166931,0.848569629982713,0.862541232346989,0.859868490244609,0.875511737705409,0.835577745351744,0.835967494086007,0.797048086629913,0.862398949318816,0.764806945209605,0.816926387851651
"X1G02",0.666443609742952,0.594908254142758,0.634164751041993,0.678953432663471,0.3548326077395,0,0.343299416487309,0.303857986125382,0.60972073634631,0.622571985195453,0.689950415004561,0.658648568667906,0.639896990711658,0.67090026329606,0.585198100311632,0.586806095374621,0.522629671720822,0.596992712294514,0.598518909414481,0.564010306574935,0.817479776180979,0.805710197596928,0.791812294832418,0.775886695906193,0.852693767333118,0.803893559423138,0.831484891933743,0.773862982053568,0.816642554501966,0.862514853819204,0.85665685875991,0.772156266759821,0.826627700278637,0.869694414115366,0.855044139604588,0.782488631296147,0.763408497430255,0.791149972853531,0.810133109149367,0.808519769367343,0.794625553205119,0.869989049996568,0.824760676597583,0.779898237857722,0.795645397349886,0.840352150596919,0.681987223423715,0.863462161199917,0.847910356261967,0.891437173372978,0.844069973680538,0.849081658711835,0.86577741754951,0.895174747723123,0.871558032724463,0.832212015348721,0.788825390072818,0.81314531774345,0.751424283561706,0.678296908047104,0.574687190263696,0.614700983604124,0.621745382602379,0.536666960349933,0.401754323998811,0.560060363824555,0.557135206816532,0.619767653923547,0.743507576862792,0.755973988782678,0.749736401534061,0.604445495947602,0.720046097408074,0.583249955515191,0.48256634942516,0.712448711025053,0.656496734627043,0.767689086385334,0.843194599889679,0.732150802738086,0.848523102552638,0.705389470031173,0.760711550030799,0.683086759567974,0.750849572200236,0.847280666034544,0.818146826372731,0.836870728505691,0.854809563038271,0.842282717711005,0.859776669005759,0.832094573684595,0.835852183793098,0.749837949276028,0.804613702087927,0.713614515005662,0.815284999834807
"X1G03",0.710887571505858,0.686395559881063,0.640790171649432,0.720705679744976,0.349365741885199,0.343299416487309,0,0.411805317308613,0.622336770656037,0.653198997302559,0.626393099149068,0.640890268871429,0.615529208196573,0.676548244338737,0.5635992851195,0.570106583726044,0.524293322592398,0.576620039387646,0.513245650128616,0.518821228214624,0.853887656324345,0.840398650062315,0.838466859714053,0.818480512746197,0.873886648351424,0.842228287520678,0.852445589779568,0.824439148602998,0.855050971195474,0.896434024080649,0.880163099797084,0.820167063487234,0.860969374216148,0.896167170665053,0.886759149052952,0.831628276396191,0.821675288812391,0.839387072405131,0.847499198455568,0.841336204609008,0.819362924044614,0.892688807231021,0.852564972619565,0.824876118900227,0.829694675259281,0.869235916835823,0.739195151440933,0.878871171598424,0.86825725889577,0.901290345400426,0.858325810401127,0.8714913893653,0.875723690380106,0.903892349390999,0.882753448511985,0.865833269954852,0.842504870181301,0.846716787247338,0.797334152035481,0.756076604399764,0.650146591511836,0.683660149066448,0.672066927124725,0.614693251227134,0.514903951158096,0.657060229603715,0.638390999421679,0.66808013582277,0.782419708705443,0.780310952180132,0.761258100719316,0.648132331759669,0.761502605889435,0.685190863412885,0.571182589777007,0.769263272830599,0.648574362803274,0.788268175691389,0.843792652909583,0.76378403689759,0.840139163446435,0.737785037542495,0.790751283565198,0.730046730388922,0.776599536622553,0.84193667276556,0.814462702150188,0.841174969134214,0.855720932584914,0.847436032496108,0.863386620974104,0.829481965740995,0.837347379863235,0.784807573590765,0.844096028454697,0.751799072564189,0.809747594885758
"X1G04",0.625262236193848,0.641658947396309,0.583360348967645,0.645844654874516,0.394619175616997,0.303857986125382,0.411805317308613,0,0.561625302275452,0.570554074311134,0.661327953412582,0.615410516588831,0.589177164690749,0.652162798466357,0.550828433200111,0.580729821222636,0.513054463044116,0.557934876186059,0.56975335830235,0.541062629397829,0.822940243298635,0.80977118008571,0.806848254514364,0.78168721774824,0.857345294997045,0.820837470354383,0.842892761129142,0.789236441519363,0.823133760603705,0.88333127993829,0.865390613454415,0.794412115483952,0.836918409644594,0.88026582400633,0.868495985908342,0.802685849321477,0.785562831966727,0.809650767211202,0.824929722435125,0.817815386637242,0.80262307836129,0.880373734937453,0.841512740013736,0.798546162432244,0.811266956421549,0.854051736747508,0.70254627955708,0.8639643999869,0.857577758561071,0.893298510453961,0.84890187064152,0.859034241524351,0.865012552407214,0.900725222287325,0.872163570629559,0.850092044857853,0.819957067257364,0.834847384821461,0.779133058411499,0.666239429125592,0.555164081315779,0.603828180580011,0.607148359663077,0.562761786850301,0.44754660091897,0.56886442499483,0.581287657675264,0.626392157253431,0.749072406520162,0.767241189720248,0.755262471330875,0.646531348178194,0.740534546171714,0.628286587318673,0.522220786624056,0.753366752981108,0.62849901511408,0.781276394378886,0.854938984292752,0.751253429231675,0.840556878822084,0.71510450714913,0.767266446002012,0.707171311915882,0.753562312053327,0.841888015246317,0.816596611595189,0.838137778020377,0.852062715193015,0.840528875907591,0.858770052293985,0.832326231934561,0.830180337665691,0.775387232942508,0.844368517734502,0.760284297275371,0.821092957675059
"X1P01",0.664376015507303,0.699210934180027,0.569734495573936,0.663174688133595,0.628647269440398,0.60972073634631,0.622336770656037,0.561625302275452,0,0.394750371215376,0.396027176163267,0.40955983254094,0.419673979432639,0.446934629557609,0.368380602449944,0.400411268674932,0.59847575045137,0.600142894910715,0.585137725351087,0.55638186327101,0.868165441052968,0.870744062615592,0.856952554259649,0.828405319565461,0.890728422845185,0.869902672312207,0.859996648979449,0.837661430591162,0.829189535844249,0.905951750930427,0.866169887530312,0.845754071424127,0.870892788672409,0.906628625506516,0.902283999989022,0.848556308845416,0.835172041405319,0.858988843724596,0.874041414691753,0.798768539076734,0.797993452748193,0.87771492399339,0.831066282981228,0.815869495036237,0.829743513807678,0.873695516107873,0.737861533175845,0.825434743158418,0.829108306300071,0.878459415652625,0.818453758068342,0.839840619446123,0.852341186369423,0.871234703702862,0.841880856647912,0.844794035895685,0.810437500030297,0.83878150118183,0.785361395227933,0.738980616089549,0.654106836708161,0.685640797258911,0.677674798564773,0.710028916009788,0.695788342828515,0.737799432318048,0.701922927946693,0.532085106686862,0.67938454853954,0.635781885208599,0.68484066382467,0.559568108108484,0.682222380470424,0.702133970368004,0.631038158297873,0.788974008644931,0.661204642237989,0.789384282448593,0.827088144316689,0.772987404113774,0.826373059963591,0.750042750073219,0.776978509054024,0.745328375385911,0.781486445832727,0.808831710300091,0.783965586017413,0.774431810131884,0.79472378431886,0.809224759095693,0.817706670326314,0.757262680020809,0.788291229046551,0.792297075652181,0.829352569464485,0.783183445967321,0.775663247831456
"X1P02",0.701720640815951,0.676931413412061,0.656645026390279,0.699810607451056,0.620001991884807,0.622571985195453,0.653198997302559,0.570554074311134,0.394750371215376,0,0.472342004834388,0.510844136307963,0.51630840907625,0.503913294007581,0.429659530167526,0.504340017962263,0.637543955764172,0.637025885963073,0.618230437704154,0.628909407624678,0.87304007209628,0.86442691931156,0.835706389507306,0.81654551312033,0.887096308553878,0.856987581035557,0.851052244171305,0.819426971682058,0.807810078374839,0.885474547234948,0.848854916629765,0.813455044191443,0.850333056558366,0.883629060958115,0.879367881745547,0.838950402367965,0.829090682101564,0.847649795942935,0.85477802644209,0.790576109920485,0.782017131621022,0.872625732989906,0.827313873966273,0.814781058889344,0.83111234021832,0.86434229229668,0.738488762496345,0.801291181656142,0.810832874455054,0.859524186762908,0.802552684527975,0.822294784024023,0.81758283068829,0.856758785483759,0.82238144627056,0.820171475412568,0.789797949404572,0.816782080398745,0.751051581622831,0.724299668336744,0.667962269463208,0.67527086142903,0.672444451138535,0.693639564022283,0.674305779288764,0.713412687048212,0.665190525611875,0.507451395385514,0.592660738065635,0.572332853129455,0.619679987733724,0.558954253286893,0.620212466506501,0.669845234566003,0.622773208583356,0.746490864485371,0.729321915699317,0.773456049257866,0.828356455041285,0.756864134600084,0.807914362870509,0.742112565910147,0.760405462247677,0.743868298473991,0.787197517433664,0.804308441066734,0.787881783489423,0.735450961868799,0.756670060604202,0.774298985010333,0.792713121120978,0.720257403551879,0.76222961829058,0.75921280034037,0.78766902291914,0.766042049755982,0.767561621882768
