"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1G04","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.775,0.515576889811451,0.565489934166587,0.771201083403381,0.752727272727273,0.76391223568964,0.727922077922078,0.758492500961415,0.78916726532567,0.808,0.78586125808348,0.750527426160337,0.825640516153163,0.79622641509434,0.779659213438511,0.661537778698347,0.709940750493746,0.706573505919589,0.691119691119691,0.865533230293663,0.836151330412142,0.859060402684564,0.883437422450161,0.914464380712869,0.904335584305344,0.912784164577751,0.894210738031154,0.917898202145442,0.923076676907322,0.922877761656083,0.89206086458267,0.907142857142857,0.934562666610693,0.927652733118971,0.878536001008785,0.865158700486039,0.878761250465996,0.873340805203938,0.875510748653291,0.866602192134107,0.925164022022916,0.888557103593578,0.906203862877945,0.90947704465091,0.917782716091109,0.8629966047402,0.923828125,0.924752475247525,0.925604263455879,0.91796875,0.931529718480573,0.940807127275535,0.944550466497031,0.930402696945809,0.905825940318205,0.896022799737077,0.916130952380952,0.88162270175724,0.607885674931129,0.543825396825397,0.594890510948905,0.641329462195604,0.833848113561228,0.804804804804805,0.848353443941679,0.832844574780059,0.824175824175824,0.892102658021086,0.888734138037759,0.886821037073531,0.815620490620491,0.89467783809299,0.782557302908829,0.724590163934426,0.865236611416665,0.525765306122449,0.828332833283328,0.883268482490272,0.794991868644317,0.917279710066533,0.869905155044474,0.903914750756872,0.864336353819428,0.896416406471757,0.948528716056391,0.936334684423856,0.923374905517763,0.92056593751509,0.923619398037656,0.93824385890752,0.924823288840227,0.930651738996614,0.887429247275492,0.903225806451613,0.855737704918033,0.900191570881226
"X1D02",0.775,0,0.790266185427476,0.800948000381896,0.788627501314068,0.744073981660533,0.786419963897156,0.759580518443375,0.815573253158601,0.824603881075307,0.870573677619417,0.852939939308356,0.84898421141984,0.840500709227122,0.83216143537295,0.835642503014873,0.75417661097852,0.806138427810836,0.791717110573043,0.781107422653034,0.75532508032508,0.758209247823491,0.737538691199594,0.743813682678311,0.80125786163522,0.758270576884474,0.777415250264529,0.751211315230614,0.788048336956743,0.815586039366985,0.796310475866372,0.75279118217917,0.761086282138914,0.804733893557423,0.787294388618251,0.713063538580052,0.693743169831641,0.74265498442926,0.72884012539185,0.787552412489738,0.775341038272073,0.825069218731191,0.79367676700556,0.737693217989194,0.753403933434191,0.787698680715025,0.705302819728836,0.820958569825586,0.83059183828065,0.826473393194953,0.81101055440325,0.833704488832554,0.845447499426313,0.859728187675172,0.829590577570354,0.758275453360199,0.730428279585583,0.780159034104652,0.7294802034486,0.760290556900726,0.741822251337482,0.713794233289646,0.761125098045669,0.635617654321812,0.686567400267851,0.658263007392942,0.674391750362533,0.730261639091959,0.761639379510531,0.798345353900909,0.819978077016395,0.697002432622751,0.755494579218549,0.531216397849462,0.63824566192703,0.735293791973248,0.794642189765745,0.804152065413614,0.862108453816997,0.743212530712531,0.882979436933035,0.769229755238487,0.762648990925098,0.729324158428636,0.83048356773994,0.896389069616135,0.866523105737492,0.824849827425992,0.835081214689265,0.826676345159241,0.841186736474695,0.846311587351612,0.853387071708422,0.839655958077011,0.783656597774245,0.769505052311544,0.863309352517986
"X1D03",0.515576889811451,0.790266185427476,0,0.574800702113655,0.75406746031746,0.714013086150491,0.7074720959074,0.700933534574319,0.697109407376709,0.7875,0.742670744138634,0.744888205469205,0.689193302891933,0.815296247302096,0.766666666666667,0.733469945355191,0.588593521837249,0.670279051987768,0.639307706661691,0.617654850845123,0.874605330464078,0.855098389982111,0.875520184557292,0.885576753223812,0.919169300299661,0.909527030836011,0.908910805636632,0.901291622835238,0.911985018726592,0.924770642201835,0.91858407079646,0.900365661265308,0.908345087238036,0.938150177280612,0.928399616798716,0.88597842835131,0.866119747167245,0.884750719305693,0.877426278462113,0.876042318115489,0.870810558462526,0.924640324912232,0.887733483223798,0.910104119167047,0.910486056193887,0.923205128205128,0.862068965517241,0.916579679888657,0.918833758083251,0.923074734661983,0.914085828343313,0.928819591048917,0.938476641567484,0.944497556830253,0.927911275415896,0.916382252559727,0.894785395222373,0.920190789011322,0.879812301189594,0.618945464860648,0.533057851239669,0.625454545454545,0.663433434797753,0.824281838638261,0.794705415553749,0.847682119205298,0.823255389112167,0.795107033639144,0.889289851714551,0.876656829243036,0.888394755492558,0.793430886515794,0.895348837209302,0.793824992683641,0.713298646745746,0.857614332861858,0.486783884489986,0.832167318982387,0.875759719587099,0.798335481576959,0.911275112751128,0.86563631945007,0.90729999140672,0.852852852852853,0.880478087649402,0.934108527131783,0.931034482758621,0.916325378303094,0.914607673868951,0.920827694280219,0.933182289368079,0.91879680885705,0.922077759824091,0.87376676729638,0.899328102453102,0.833627797408716,0.887109375
"X1D04",0.565489934166587,0.800948000381896,0.574800702113655,0,0.777282651845971,0.755599800895968,0.771542340397819,0.738188244047619,0.772831275720165,0.812379479716209,0.821264744429882,0.799532710280374,0.752957778279521,0.848657032387057,0.81225,0.795413324032089,0.682828876481536,0.70891438658429,0.719746429086712,0.689508437270726,0.880535470001954,0.852879801982396,0.868447365929853,0.901583678922319,0.92725548144894,0.911870808929632,0.920811448172366,0.905520355655127,0.919419306184012,0.917717509465082,0.927911275415896,0.892045454545455,0.912555723143958,0.937539813268702,0.926870536785994,0.888978206502322,0.878874178258048,0.885275280568776,0.882908547331768,0.889375731864166,0.880252100840336,0.933913043478261,0.900948256717744,0.913836244781367,0.919570981344237,0.924890772403861,0.878449235179841,0.926160337552743,0.928720860729229,0.927762003427724,0.92462757899293,0.940325497287523,0.943594394546678,0.947265423833556,0.933656865435034,0.924064599085192,0.906614785992218,0.92094861660079,0.892856535467888,0.631345029239766,0.56608057755007,0.666666666666667,0.683544303797468,0.844637722829212,0.804012796048939,0.856156437720497,0.840839769637189,0.839009287925697,0.904992641298929,0.892966360856269,0.907833883907504,0.827626329787234,0.91421568627451,0.812409162818814,0.740873967492673,0.86444009076593,0.568888888888889,0.82666908563135,0.859815944214921,0.804309144360204,0.905666350110795,0.86535138620245,0.905483653081457,0.87131440770873,0.885593220338983,0.931634897360704,0.929411565317606,0.920750500527527,0.912087695431872,0.918528111617627,0.934039955604884,0.92332268370607,0.920562108635503,0.875555555555556,0.899626865671642,0.86122035858878,0.891400491400491
"X1G01",0.771201083403381,0.788627501314068,0.75406746031746,0.777282651845971,0,0.556627009945162,0.582214082214082,0.553398058252427,0.779507481049331,0.779094438425424,0.800510204081633,0.783639654692286,0.776444752658345,0.827727529677784,0.783410138248848,0.79392553271591,0.698902500289833,0.698499696908466,0.730593607305936,0.716774254794,0.883133863579973,0.861835963464454,0.873988733453475,0.839219513880491,0.884024341881633,0.882134614116457,0.864356993400934,0.860249485596708,0.89937106918239,0.910569105691057,0.897160290110902,0.857433808553972,0.886670132411853,0.919469182784731,0.907707773937845,0.871581473508479,0.851851851851852,0.871428364095512,0.864915561600363,0.88748431387023,0.876059398118222,0.924778178810437,0.881226308779838,0.884200851393189,0.878441525637787,0.900934579439252,0.809788223140496,0.910713840849414,0.911632202549894,0.919006872483472,0.911255411255411,0.919584864044228,0.923771237253624,0.936652110877145,0.917192664744356,0.892925430210325,0.873481681829358,0.896909978566325,0.843337424986361,0.75,0.755144381404014,0.737526996364034,0.760593981182216,0.7591689234025,0.625,0.750962601755999,0.678980370774264,0.811353044796753,0.868699555987137,0.856666666666667,0.865979381443299,0.818714000838732,0.867014115535248,0.774447391688771,0.695814755083325,0.804734188247012,0.76517094017094,0.802446274952669,0.863862055403977,0.811594202898551,0.881278538812785,0.78714859437751,0.853092783505155,0.804966100202518,0.830881822770207,0.908466339910351,0.921428571428571,0.89731607955907,0.901639344262295,0.914323808977649,0.924223901607765,0.893835616438356,0.9059397289002,0.842857142857143,0.857732081504915,0.798283261802575,0.852298850574713
"X1G02",0.752727272727273,0.744073981660533,0.714013086150491,0.755599800895968,0.556627009945162,0,0.507211705152209,0.468493150684932,0.755144381404014,0.76209614787201,0.780321445035832,0.778311965811966,0.768888888888889,0.828946810465461,0.775,0.762195928080381,0.640656097149604,0.680002370791845,0.680851063829787,0.649350649350649,0.858411306900855,0.845581261725267,0.845009078863424,0.828646618399269,0.877761797226326,0.852747960498068,0.853945406270459,0.837022670494346,0.875984251968504,0.882466281310212,0.879131148125691,0.834985768500949,0.863981355728633,0.903793331374853,0.88368020495818,0.850649350649351,0.817644887412329,0.851955985555159,0.836521020449958,0.865010053509865,0.858638823828697,0.907242757242757,0.86172462406015,0.849107595562373,0.851818731796979,0.877226003523581,0.76308698853157,0.891396854764107,0.894238867249184,0.896982702562102,0.883620689655172,0.904634072294564,0.912328451758555,0.923303760654673,0.904717260801897,0.88412457374254,0.847592104143623,0.877589971536632,0.822877960808995,0.745019920318725,0.724131855223552,0.727750700621421,0.758492500961415,0.693785491848324,0.561166762212232,0.705732413757274,0.637900932105545,0.768092888369476,0.852039188881294,0.84375,0.862016077850645,0.767537285184344,0.861689440249311,0.731432360742706,0.646629064366291,0.776506724462115,0.729283679283679,0.801104297807684,0.842568551083835,0.787825445218738,0.876263540877811,0.745318352059925,0.822580049261084,0.751655629139073,0.794121260519688,0.895489909428509,0.90296132740202,0.877581480353335,0.883075816102401,0.888888888888889,0.908779435249128,0.887096774193548,0.891894087069526,0.802661080953505,0.827326938034742,0.755952755905512,0.841159391269523
"X1G03",0.76391223568964,0.786419963897156,0.7074720959074,0.771542340397819,0.582214082214082,0.507211705152209,0,0.511848341232227,0.739034243939977,0.762140499764262,0.759388844140153,0.757093815373062,0.744370161857847,0.81419778916902,0.746980255516841,0.736476608187134,0.641508438818565,0.68214968914395,0.663636363636364,0.638895455033845,0.883031301482702,0.866233629806009,0.875222816399287,0.853069827635427,0.891253504705327,0.878336397362366,0.872268867474478,0.862549800796813,0.889335568078767,0.895937131630648,0.891944990176817,0.866995542509241,0.88449941209144,0.917131211180124,0.901697866087401,0.874494484570961,0.85077402171994,0.877323420074349,0.864242224781965,0.879956331877729,0.875264270613108,0.914875746372925,0.875976347909467,0.871341244496514,0.872659176029963,0.895497233263191,0.796088622511491,0.900641098817803,0.900669726279282,0.90551073500086,0.891769873711183,0.911570947141866,0.919843520670254,0.930541296273111,0.912225680933852,0.897361359570662,0.865657752963072,0.892417236759771,0.841768744110917,0.770352284618068,0.737254901960784,0.764185110663984,0.777776870837143,0.735827202458558,0.624045579063939,0.75515518707483,0.689788826516974,0.774519349075075,0.86058881030418,0.845790325844971,0.862419018646837,0.782164842681259,0.861003630774123,0.78079688194192,0.685431562434006,0.8,0.725837588740815,0.814522031913336,0.842090802939762,0.809187279151943,0.872767145135566,0.773427363343561,0.849180275170374,0.773038616110432,0.811594202898551,0.898454251296246,0.903986815668868,0.884012539184953,0.891447368421053,0.900268817204301,0.91183879093199,0.888695315524584,0.897103114229826,0.816037735849057,0.838830494140389,0.766685205784205,0.840585803377479
"X1G04",0.727922077922078,0.759580518443375,0.700933534574319,0.738188244047619,0.553398058252427,0.468493150684932,0.511848341232227,0,0.74023377891717,0.751055152885865,0.77411187060749,0.76036866359447,0.745185253118122,0.805195252258207,0.774511311730056,0.757507073045267,0.631577747378021,0.660003160556258,0.672199170124481,0.646941223510596,0.856115015974441,0.843329806675002,0.853345752805417,0.824278203117794,0.871439579580092,0.860129703789646,0.851817236459891,0.843023255813954,0.876968625992063,0.887218045112782,0.879953154892811,0.844846609064466,0.865853658536585,0.905479452054794,0.883959044368601,0.855769230769231,0.827356767170313,0.857015077945311,0.85051176649102,0.858333333333333,0.858291514137717,0.902065006511282,0.86203235961637,0.852742991079155,0.855595420817488,0.878260869565217,0.770557607739666,0.887965517241379,0.88946807585247,0.894953739071386,0.882476260944629,0.901996370235935,0.910664451827243,0.919765166340509,0.896383754808023,0.888988272709203,0.852251141272711,0.882526644888158,0.828124729119834,0.7425796937751,0.706766917293233,0.723549488054608,0.74570049722141,0.700234192037471,0.590988779803647,0.71844362745098,0.65770811921891,0.771823385885886,0.85162807483207,0.846042039355993,0.855591994212684,0.76986301369863,0.847478244029968,0.751237654094062,0.655737378563465,0.8,0.712436946994129,0.799653979238754,0.849148508961107,0.801282380624544,0.869145543058587,0.751350544113446,0.826085434173669,0.768036421920017,0.8,0.888888888888889,0.896336623588074,0.869255543168587,0.878790106214855,0.885,0.9,0.87962962962963,0.880595950955232,0.811567301330589,0.842657342657343,0.786793205654355,0.84453781512605
"X1P01",0.758492500961415,0.815573253158601,0.697109407376709,0.772831275720165,0.779507481049331,0.755144381404014,0.739034243939977,0.74023377891717,0,0.592391304347826,0.568621295831241,0.631284916201117,0.620663437711196,0.677840112201964,0.602527945851707,0.604313319530711,0.705883805134957,0.730862841388817,0.691964285714286,0.701462742773458,0.908137106702613,0.901609703020993,0.905821917808219,0.87241330098473,0.90976113757355,0.909025223331582,0.881915394505713,0.892053730377084,0.884060456640583,0.910938929122996,0.887393746711428,0.897488099158708,0.901307026307026,0.927736092163104,0.920552677029361,0.893140858505564,0.863593882752761,0.894980872839432,0.896289048343843,0.859183880995962,0.857142857142857,0.902243022529972,0.855519430092051,0.880105002776516,0.880459521751657,0.900811461280775,0.825035149512255,0.859749310864929,0.859566950162291,0.879639096983195,0.853465837141441,0.88172158091889,0.896958130927597,0.905100306584911,0.876395357433282,0.889829606719255,0.862,0.897515261677756,0.833333333333333,0.799621212121212,0.76199327314569,0.779287279437204,0.807089361306229,0.81706002096098,0.796981981981982,0.83796832415108,0.78937969924812,0.66548029182288,0.795517327975892,0.751325121313923,0.76950747094632,0.696511499336577,0.815648747537292,0.813199563199563,0.762077882178243,0.819203268641471,0.735293212961966,0.812843406593407,0.830881822770207,0.785849506042826,0.855263157894737,0.793036099137931,0.861729765331512,0.802675585284281,0.822106042379939,0.852193207031917,0.846578638016348,0.825732173174873,0.842880102860816,0.862691230338289,0.866753206594214,0.817555397558952,0.848740730692711,0.817145769622834,0.852771683486909,0.799188557508723,0.815727189296237
"X1P02",0.78916726532567,0.824603881075307,0.7875,0.812379479716209,0.779094438425424,0.76209614787201,0.762140499764262,0.751055152885865,0.592391304347826,0,0.652434261910961,0.695906432748538,0.652817893624516,0.692876116879981,0.638520663918904,0.687184343434344,0.761803444782168,0.741116751269036,0.737208195409013,0.762307268722467,0.911184210526316,0.90372330750482,0.901857585139319,0.878331992491284,0.91499227202473,0.911060834590246,0.877938417393224,0.882649201175098,0.874348481873516,0.903161242050131,0.883723309353696,0.882647435226697,0.895604124768327,0.919220055710306,0.910325337744693,0.895560100419859,0.864107133632936,0.888888888888889,0.893763323997826,0.855477412061394,0.863834536474164,0.907148768880612,0.866822429906542,0.892307919118322,0.88519982860003,0.902621722846442,0.833333333333333,0.853046308456575,0.851764705882353,0.877964482409801,0.852206459093544,0.874743257206723,0.882352941176471,0.899560413854274,0.873501065478497,0.876802617133023,0.857297130515273,0.889720449042483,0.828042328042328,0.817021276595745,0.806835488156573,0.807179670722978,0.824484488822951,0.833907281243347,0.780622342274879,0.841646350564705,0.780662464056625,0.673077776627066,0.767441860465116,0.716505264428153,0.717131474103586,0.720191510445105,0.792264998316871,0.809018567639257,0.759076269945835,0.788731253846403,0.801587301587302,0.799144908735451,0.820852402745995,0.787995198079232,0.812031964617782,0.790123456790124,0.856020942408377,0.814508781121159,0.815663265306122,0.834170854271357,0.841267341700392,0.810903687192347,0.824817518248175,0.853868194842407,0.862585527679867,0.789272030651341,0.840502621029911,0.78608630952381,0.810811979112633,0.787948610529256,0.781514980214811
