"","X1D01","X1D02","X1D03","X1D04","X1G02","X1G03","X1G04","X1P01","X1P02","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G03","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.323668634729764,0.348444201296947,0.351503737841413,0.752247139874379,0.842241261708643,0.826505127807165,0.923805089225544,0.867614480174496,0.923164985404348,0.833165272157104,0.916987828385606,0.906499415464413,0.805304833777172,0.694208143865732,0.651646308943776,0.662448370651244,0.682258276488264,0.356433340198456,0.415919339000337,0.350880282936664,0.340257530940532,0.758814333525986,0.851451622212568,0.77674210585097,0.808477322172474,0.852182162216738,0.897951571305468,0.870729580321662,0.853781471607499,0.810759755121786,0.763428575798526,0.831662422420454,0.69657741624585,0.675824964964774,0.688211128943842,0.702189166598513,0.506418571299867,0.575147507781024,0.653487413614341,0.525425746143538,0.778495043896968,0.795418771291975,0.857085110600314,0.814482523339027,0.950909432870756,0.904011689164598,0.95873618675522,0.941551793770293,0.899296326199784,0.951112585358908,0.923413030234168,0.650740429478915,0.679498132937804,0.765174471711615,0.688373217672942,0.355785505954006,0.381239179333734,0.525196388768953,0.838371524085044,0.88263331912893,0.850178609186303,0.87531235471021,0.94935886794051,0.934200643838931,0.967499545224541,0.919470359513605,0.932356084360156,0.929835630085011,0.946073769740521,0.895509483042232,0.692967894263359,0.715185868266007,0.683515454353818,0.668046033536336,0.619923148692478,0.60885041352936,0.599048538213761,0.653461674906024,0.793049486222543,0.814477609929268,0.96929109140412,0.963029770849085,0.95686709729454,0.968394899745146,0.967298555096284,0.968440356433397,0.966351208433798,0.962843987602619,0.686990598083961,0.662929600467669,0.666954283762154,0.673853655773779
"X1D02",0.323668634729764,0,0.258268637087912,0.216662999374851,0.75789141383846,0.850681316490767,0.821902007962189,0.90733820367991,0.853086497144038,0.900901882093554,0.820306046847458,0.901248245579619,0.891287741857492,0.795656663084245,0.65325468905558,0.632970154933194,0.650442621555952,0.664949816801705,0.380723516886984,0.408337116651023,0.348616391786019,0.366588928719274,0.730125162310819,0.875638965516494,0.802127940283696,0.828219387854969,0.865007427203631,0.903961627363741,0.88491530234102,0.859982226632812,0.814496865424475,0.801378026683364,0.82545008476871,0.728720407576,0.713015411091404,0.729227416117523,0.684558738282295,0.460991388509479,0.523550391548811,0.630577277484978,0.489796753936621,0.778333471888681,0.804865060778271,0.851099314675661,0.821864814399835,0.949215107853365,0.911367969383756,0.958952286268635,0.935431802857518,0.899480672895486,0.947955652346746,0.922730683819349,0.614902183518061,0.624945372522333,0.716391368237134,0.617304608689198,0.247226039553446,0.281219391866792,0.394417204170778,0.837383118315821,0.862423538809709,0.841871731891203,0.863376550081101,0.948744950272421,0.929373392047319,0.964546982313778,0.900879808371235,0.921640559755139,0.917758326409118,0.94441843709082,0.875978762591524,0.63175857775827,0.608597284533355,0.616685850301131,0.61625460949623,0.570003218760671,0.541922860142599,0.577443438545306,0.614735972726792,0.797799333946705,0.791626005573647,0.968227223325633,0.963320871912897,0.955512846000125,0.968862004046533,0.962904482875921,0.968407335118916,0.966164676714864,0.963547760193582,0.631116015271024,0.600659641443564,0.62055655027027,0.624143220217377
"X1D03",0.348444201296947,0.258268637087912,0,0.282798590585385,0.694977018266634,0.788243322314336,0.764910495753497,0.841639328419024,0.806380437995916,0.822781338264596,0.780787732738868,0.811488691212969,0.807570317083288,0.74210989741715,0.671437848712824,0.650874351615834,0.645987167558956,0.674587689596592,0.446227362828908,0.46587577950183,0.407745514056558,0.41654140015065,0.708373649744947,0.825293584929917,0.758644111343317,0.777853964847221,0.839407094491642,0.874323652080862,0.853545861975263,0.842260831261331,0.788187478400697,0.758410539221966,0.796135590523792,0.731516137356494,0.716445209357616,0.742017712542206,0.688781996531459,0.511104959418245,0.563332521104939,0.635944033962394,0.541833647210907,0.741634228084741,0.747556950711508,0.772172891177211,0.75933800316967,0.910580012769806,0.865798476555548,0.917565087941633,0.89809640719671,0.861726609963008,0.912050322352582,0.876128730885931,0.6354971380914,0.65602570767064,0.718947682063494,0.639371377441707,0.329204836917257,0.308664805922338,0.460845493825052,0.772113917199889,0.796572641617593,0.768535276038619,0.795601743796032,0.906013327018946,0.880225608287713,0.9091875932319,0.851172339915818,0.868529114247583,0.850523367594521,0.898600552430951,0.828525367546096,0.638860806391978,0.636027433878543,0.6378289919205,0.638475650961818,0.626813117759712,0.582554801595281,0.62652032638375,0.668772852884107,0.729846265464668,0.726668963292356,0.925144880997977,0.917917656304227,0.916861504124067,0.930570355624214,0.923203605510335,0.928805659943273,0.924102949852822,0.923258274116975,0.647902415219023,0.623464097924053,0.645048841752059,0.645402605245683
"X1D04",0.351503737841413,0.216662999374851,0.282798590585385,0,0.767294952133823,0.867431798524252,0.839073168438137,0.887122065866635,0.852061940338125,0.874933809284298,0.825222567640742,0.873966921990869,0.867986921930055,0.765893844961333,0.653265000364763,0.664645473038054,0.660490323710627,0.679308999371596,0.427838727115335,0.458022432631131,0.368844149326975,0.396514020931645,0.730665186376916,0.891383032678698,0.815537643417127,0.847149297435729,0.866795385844828,0.908180435607022,0.891776557156434,0.86818015531094,0.814490294963674,0.799459520201744,0.828838628078774,0.753165740552776,0.732937815871778,0.759625120065421,0.695194117957064,0.478877376961031,0.521539695688316,0.649251120738028,0.529781214753125,0.790659986583154,0.824736512046443,0.854139133420049,0.83701013000245,0.947022476227572,0.912940549950425,0.95500081192597,0.935880344716712,0.898036056867886,0.947528469202068,0.919440104742174,0.641849938782481,0.66209643436855,0.7190745178523,0.647235614590254,0.25910993043808,0.317130270628899,0.425727795290163,0.852158686708127,0.867789633032602,0.847988075815707,0.866639970545647,0.942549581513896,0.913404377055871,0.957936527151618,0.885885981164771,0.911886594750301,0.883294281084003,0.93936234013585,0.864695088227127,0.628644417731764,0.629235050064012,0.621206694584403,0.62839754252913,0.595588368062915,0.567918473245167,0.588548302466441,0.634114768985181,0.801411675611948,0.806334298432374,0.964775106568813,0.958970539985494,0.952345269758683,0.964039609799366,0.962325880038676,0.959719825249827,0.96236868458786,0.956949845960212,0.665022643698912,0.631952039571067,0.646893262717311,0.6469452727726
"X1G02",0.752247139874379,0.75789141383846,0.694977018266634,0.767294952133823,0,0.246086543623989,0.199939643091979,0.895277436727482,0.883818453183384,0.856436006040956,0.807059413996962,0.841722393068364,0.839937658874574,0.769643957629583,0.783352127523544,0.749232207234384,0.765016438311256,0.768019103752155,0.761098753597557,0.800945590383664,0.753373833023787,0.775918664313768,0.74708842958962,0.491743728240428,0.417724776435491,0.447333825507644,0.68846208106494,0.837403734436082,0.764185225809187,0.763534454764004,0.704601195468902,0.636703616482891,0.72576204873618,0.735943516980378,0.744775591005302,0.814341129134758,0.779444019319768,0.830453381342798,0.859170448234641,0.90229516839011,0.857146902561144,0.412297807824778,0.521994950583517,0.613494462981505,0.568490034596681,0.957997897958625,0.896606151358092,0.958127600216105,0.936438727651008,0.909254296447302,0.96236437815184,0.91587129811037,0.837680112101356,0.845194661970861,0.889581900526128,0.827141423836178,0.773708951605665,0.738238305922995,0.842918349790337,0.322587902182358,0.332146305130954,0.349859366139913,0.309400278327738,0.944253198477867,0.935531143137738,0.943099724853264,0.902526912861696,0.917316791633756,0.903793742304635,0.944606617233432,0.862637544397331,0.808258464550796,0.811538242860789,0.799218087474759,0.802924294964381,0.892990100962556,0.877190965733151,0.882111490625927,0.927249959402505,0.488690504574513,0.511208097065034,0.976506482568712,0.962917005367773,0.970830094301189,0.979289244766172,0.967068429429521,0.964572868848352,0.972299172949866,0.962590121059331,0.839483280520348,0.819874316977634,0.83555953831869,0.848352577319452
"X1G03",0.842241261708643,0.850681316490767,0.788243322314336,0.867431798524252,0.246086543623989,0,0.181306535042892,0.881297315923579,0.87510627781994,0.852103290690954,0.826380233320461,0.834205082055506,0.83840453242237,0.816751876956581,0.790372438789255,0.762672217894019,0.769572176578979,0.773953885425735,0.800132152318366,0.79898039074916,0.807378144588789,0.806520338323332,0.746203795149495,0.442631913274835,0.467855679765658,0.420736587045366,0.694537125861994,0.820391976742631,0.736208812115119,0.755804971511454,0.759075745945639,0.725407715830801,0.727353106205735,0.718974474498906,0.73206540065777,0.775747050355706,0.757131383308909,0.851580430930756,0.865204569405785,0.904602405060156,0.870348462396179,0.442382524357633,0.52500260194503,0.610620220087508,0.564280345127232,0.951862552693411,0.889235351533065,0.952086319404176,0.931898539042288,0.905697951130779,0.958246606623731,0.90924079740312,0.816210838891251,0.827875246634675,0.883587986945051,0.812171509075606,0.86050561339413,0.812651537020943,0.855838755653857,0.345578148849143,0.371093163282173,0.388382546274415,0.358038601388155,0.936672146484388,0.922538751773229,0.937002561176628,0.894889697613359,0.903703774551817,0.893715883577778,0.938623805832954,0.851402597424731,0.817971254201161,0.816628034791449,0.7900552008536,0.811002790390157,0.903363769353312,0.88970833761786,0.884730895676319,0.934053031037664,0.524370902145901,0.526272537306874,0.970588867233181,0.957697027915774,0.966975402421484,0.973807279736737,0.960774072071356,0.959254056299819,0.965718896709656,0.955021777644037,0.829677411003016,0.825531662108433,0.832421319766033,0.842913326821614
"X1G04",0.826505127807165,0.821902007962189,0.764910495753497,0.839073168438137,0.199939643091979,0.181306535042892,0,0.907141066640581,0.888690842446536,0.868133136938066,0.833943837694686,0.852063669294624,0.851193799820292,0.809427140687662,0.79152708478678,0.754167986992378,0.770354703785082,0.776641359151252,0.787645887252749,0.795337377859097,0.795820096188279,0.79855571736271,0.731353874830447,0.446986909116872,0.44979257627868,0.399468899066513,0.692640200688799,0.837459853405497,0.735868826140688,0.76738358624353,0.764463642667088,0.720140298505479,0.741266797902464,0.726188261459807,0.739407921633716,0.79356238535641,0.756487718142349,0.834464351064789,0.856268646652612,0.898823262505174,0.853196729996301,0.38313976824525,0.483376790224856,0.582106008917209,0.522182349918799,0.956736787698707,0.890553789997015,0.958913053312837,0.936930668983028,0.910533905383476,0.959096552979562,0.92045999681231,0.829193590265337,0.846335022337471,0.890823878027896,0.819885024540449,0.837317475643166,0.791632172842109,0.849949416069302,0.312816003647116,0.329685693461279,0.342209360413639,0.313271994954222,0.953329687643505,0.941612014000509,0.952082230708592,0.909250243156786,0.924352808562757,0.911247941013959,0.953324360110319,0.868667422718297,0.81631268116038,0.817843378312751,0.799158650669728,0.812336053003441,0.892563167114001,0.870598873390609,0.875705273860305,0.928152129902174,0.47594741770158,0.472450104762445,0.977714498886463,0.962018138550341,0.967596350648078,0.977941804034259,0.967741152511129,0.97027573732685,0.970994718714786,0.960510578196701,0.846169601709603,0.825134427989028,0.84204239397919,0.852642479819497
"X1P01",0.923805089225544,0.90733820367991,0.841639328419024,0.887122065866635,0.895277436727482,0.881297315923579,0.907141066640581,0,0.337761753148571,0.295229636112368,0.422349895273597,0.357775020741203,0.346583259361282,0.540524747627707,0.78427204648722,0.78391698968834,0.777745665305341,0.803319884413092,0.942741117722045,0.929627197786972,0.921679249705532,0.935565538685093,0.937406523589387,0.918701565174374,0.920173786819421,0.925485718450116,0.698208759124027,0.657932280351445,0.711808819292705,0.763149246413652,0.635956536966365,0.730700124832556,0.606899395757999,0.858925006909455,0.858813530353136,0.87917770489819,0.859856721750851,0.843785301781667,0.890911892226061,0.809565268383792,0.924948948306424,0.91215172795162,0.896478531987513,0.775119635823806,0.907059822633589,0.538311086031739,0.525298470775389,0.510527538277045,0.539776115407098,0.531176455947415,0.555768298541075,0.529795785368049,0.820837286533269,0.745701837575063,0.769100234730466,0.8251816385225,0.895546093691654,0.871191321723098,0.879255644161047,0.89592935310804,0.880140369186972,0.900167343423625,0.875068171152711,0.404135602638226,0.333633082958773,0.393527701496467,0.33958475497478,0.361986755685317,0.351078164899337,0.514160540263729,0.38190580975012,0.773530720240151,0.753052404603777,0.785877407549349,0.789970519455466,0.934838681098535,0.910537861128332,0.90875467116775,0.870452354175398,0.902071599731754,0.897145492067638,0.539408057497444,0.567892890379704,0.635082189859319,0.616889639304963,0.597190598208395,0.603892331451857,0.663034103261358,0.617338311333785,0.772966498542932,0.778671129318161,0.807768651782655,0.804878427600539
"X1P02",0.867614480174496,0.853086497144038,0.806380437995916,0.852061940338125,0.883818453183384,0.87510627781994,0.888690842446536,0.337761753148571,0,0.361343091222862,0.459044664245171,0.427912178501946,0.399664951147971,0.60354198346771,0.750007850830899,0.743362144742776,0.751457573548964,0.768276375756828,0.88826571003989,0.881393022402328,0.873871234911915,0.882503523791269,0.914195755605839,0.908168965156507,0.912588594913743,0.893941277748768,0.706789679134136,0.641725396515879,0.690228780746597,0.753026124924277,0.662229363575029,0.725413556701938,0.624788809873411,0.815112436883217,0.821595175207299,0.835790784688262,0.809143720292393,0.783160272531199,0.834939061107076,0.716539021651171,0.861038660531147,0.877494384349646,0.862437756002665,0.710009081194459,0.871673780803993,0.542747936611868,0.507888820149356,0.513169499595821,0.562498319773858,0.527965803886438,0.547763608554606,0.533775874630336,0.75979394012591,0.697671893747934,0.701004943887403,0.774257664338438,0.856798550925004,0.838021666925014,0.834147556148535,0.868462608866328,0.864185277287717,0.867529582393067,0.857412597315445,0.449792249463793,0.420646261353041,0.47960350823955,0.38348873480038,0.454252891360163,0.441290441209938,0.555210424418006,0.446204842848755,0.726280860949201,0.717545423981994,0.73300151210567,0.739243043127025,0.853165126172854,0.84465205058425,0.835316865613144,0.793019561095563,0.847252273647166,0.854126789183398,0.530244076509386,0.571168597637719,0.590105507144478,0.602562922214113,0.61711837219735,0.620645755381533,0.661999645316872,0.623858994657645,0.708462846449898,0.724269368499575,0.746681639318793,0.732125434553376
"X1P04",0.923164985404348,0.900901882093554,0.822781338264596,0.874933809284298,0.856436006040956,0.852103290690954,0.868133136938066,0.295229636112368,0.361343091222862,0,0.455351542418714,0.331236172393785,0.336944218249881,0.511145889124046,0.768368228220613,0.771225221332468,0.751495006782744,0.785491203843452,0.939588180309365,0.918683456555419,0.914147020836497,0.932673972312419,0.914351226035716,0.892555322981836,0.892870960104434,0.892569742288962,0.682739453188487,0.660678020304938,0.697686690754011,0.763504823023177,0.643803115868673,0.726858860743811,0.597979368728159,0.85406586448356,0.846023978552132,0.874133235705707,0.84033284329415,0.870845694540094,0.894604722314812,0.830083648067809,0.923837854405479,0.873618631874702,0.863015249478602,0.758603237610715,0.873809889808168,0.579280273951605,0.521015972209255,0.544359403762435,0.572936905034713,0.57576242743391,0.593743782956881,0.577016432823836,0.822575556442548,0.743963963552667,0.776362128162905,0.812652652326377,0.888884281442051,0.840589147594363,0.888049973156969,0.854330139460312,0.841174947561977,0.861477197245021,0.835564326866199,0.466391020067512,0.417974147674991,0.481439789587161,0.364228933198188,0.440204600310526,0.357355907491597,0.572526535051623,0.409271608916155,0.755719782853192,0.741795265416868,0.770469953732151,0.77286080637347,0.925285171595213,0.900145132514003,0.908390504337822,0.889586106669142,0.868022724910345,0.866686639333173,0.561595503020989,0.590466926016382,0.62747067132607,0.631174418521281,0.618649423262086,0.627302731536985,0.683492917753444,0.640751247607992,0.768829513054804,0.782812715848293,0.796556114924959,0.803604387245303
