"","X1D01","X1D02","X1D03","X1D04","X1G02","X1G03","X1G04","X1P01","X1P02","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G03","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.556521739130435,0.535401002506266,0.53448275862069,0.850569984722059,0.875,0.868613138686131,0.906040268456376,0.892197730478536,0.89562849260805,0.904306220095694,0.895476616406849,0.886542212315408,0.868789327963755,0.797546012269939,0.801223527650976,0.798780487804878,0.790123456790124,0.648648648648649,0.621848739495798,0.603053435114504,0.617752609992543,0.793502605849162,0.884353741496599,0.882758620689655,0.871165644171779,0.906421703296703,0.915696493840531,0.910363442345113,0.905440499671269,0.904281508552865,0.90746092913723,0.913363422291994,0.837349397590362,0.815642458100559,0.834694717047658,0.820224719101124,0.639344262295082,0.652611150317572,0.786206896551724,0.623441221801878,0.866899766899767,0.886904761904762,0.891625615763547,0.881578947368421,0.931891168599465,0.936936936936937,0.944315245478036,0.939048785466422,0.917619705919316,0.932692307692308,0.907317073170732,0.83030303030303,0.80794701986755,0.865671641791045,0.819672131147541,0.598540145985402,0.598455022667621,0.607142857142857,0.8125,0.868310527028858,0.868238304093567,0.865375503435205,0.936907889499244,0.902176770597823,0.931166096341142,0.931937172774869,0.913333333333333,0.917403411068569,0.918087783058429,0.918255523877405,0.81789594053745,0.78892402031235,0.826589595375723,0.805882352941176,0.75,0.70485248447205,0.693954284863376,0.756521739130435,0.871165644171779,0.872908277404922,0.94666628740471,0.933517495395948,0.939086294416244,0.940298507462687,0.939393479448728,0.949748743718593,0.94475138121547,0.945273631840796,0.80794701986755,0.830867328964983,0.830617095322978,0.829522948419874
"X1D02",0.556521739130435,0,0.516666666666667,0.439655172413793,0.86457528957529,0.883653275282011,0.878378378378378,0.901840490797546,0.884955752212389,0.879148410290979,0.892134286753121,0.889473684210526,0.881070249882131,0.868421052631579,0.79645940676786,0.7690084481992,0.775909176559261,0.790829063198003,0.602000178986934,0.606299212598425,0.592724867724868,0.616123120496481,0.766739213929074,0.892631103074141,0.894263792473511,0.879518072289157,0.909547738693467,0.924324324324324,0.917737245572297,0.894736034376918,0.909090909090909,0.91005291005291,0.899060515172901,0.82712607895854,0.836227279444362,0.835025773195876,0.821621621621622,0.609375,0.643478260869565,0.785938903863432,0.632793893129771,0.872022121384004,0.891660231660232,0.896555005709935,0.890576496674058,0.935,0.935759876747001,0.946902654867257,0.925925574330739,0.915073927154706,0.928089524502081,0.90465367965368,0.824517290618985,0.804954747660684,0.866877637130802,0.817006404975151,0.478101023017903,0.507874503968254,0.504201680672269,0.827920023621715,0.871428571428571,0.874625748502994,0.878474903474904,0.934653209109731,0.897884701325786,0.928101503759398,0.920292901688739,0.916932059447983,0.913746004068585,0.914110429447853,0.89367020458391,0.801169590643275,0.769230769230769,0.810668563300142,0.784530386740331,0.735537190082645,0.685483870967742,0.705656185919344,0.700821051214752,0.891660231660232,0.857583774250441,0.945,0.941176470588235,0.937799043062201,0.940774180157742,0.932467076856649,0.94811320754717,0.943400896965461,0.946859903381643,0.822485207100592,0.831550343249428,0.841463414634146,0.819576442415625
"X1D03",0.535401002506266,0.516666666666667,0,0.489125457875458,0.807549857549858,0.842285508291276,0.817156070652477,0.854304635761589,0.846511627906977,0.825,0.863311090658076,0.823696524064171,0.823074494949495,0.821162046908316,0.760844396418648,0.769230769230769,0.770142602495544,0.760479041916168,0.666666666666667,0.620401226339643,0.636363636363636,0.64984076433121,0.776963375949245,0.846152125279642,0.859060402684564,0.838509316770186,0.888311372718436,0.888888888888889,0.884296642583935,0.869844276094276,0.882950896094478,0.880727762803235,0.873454052722345,0.82153406536955,0.818681318681319,0.826671408250356,0.806724008036163,0.612236736870168,0.65001239771882,0.764518546272012,0.634146341463415,0.814819014787263,0.838323353293413,0.83497572815534,0.825503355704698,0.909787234042553,0.910111905627601,0.924882629107981,0.913636363636364,0.897777777777778,0.907192075796727,0.878480233810183,0.818713450292398,0.794871794871795,0.830882352941176,0.80952380952381,0.583333333333333,0.519842519685039,0.549111057960616,0.774647887323944,0.80327868852459,0.808364908190032,0.815384615384615,0.909364731653888,0.849800024996875,0.902097902097902,0.894059644059644,0.883716305788776,0.877977878615996,0.886666666666667,0.864130434782609,0.779874213836478,0.741377669949098,0.802168419815479,0.782237923102202,0.733923303834808,0.669491525423729,0.680327868852459,0.691287878787879,0.83030303030303,0.804054054054054,0.914666059847537,0.906976744186046,0.91066942515147,0.918914672467972,0.912805892135899,0.924811557788945,0.918839897835731,0.919191919191919,0.780645161290323,0.802325581395349,0.814569536423841,0.786666666666667
"X1D04",0.53448275862069,0.439655172413793,0.489125457875458,0,0.85,0.875816993464052,0.866899766899767,0.889907227293132,0.884444444444444,0.877067870875436,0.891198987797817,0.882352941176471,0.874371859296482,0.846989966555184,0.782994836488812,0.772591181273816,0.774566473988439,0.782605042016807,0.601329270446918,0.583005249343832,0.57347799259564,0.611653536708012,0.77411639649216,0.884615384615385,0.89171974522293,0.871951219512195,0.909547738693467,0.916448516579407,0.922279792746114,0.892182505085731,0.904642258913616,0.903409090909091,0.898349436392915,0.828040994623656,0.828203914141414,0.83419689119171,0.813186813186813,0.577680386178862,0.574772886093641,0.768990384615385,0.604072247400693,0.85625,0.874285714285714,0.88705819824608,0.875,0.931111806424698,0.931034482758621,0.946547619047619,0.929823211434507,0.91255307588594,0.932432432432432,0.903381642512077,0.826589595375723,0.803739224974761,0.853818984547461,0.818181818181818,0.477941176470588,0.528007169835478,0.473214285714286,0.814336050263203,0.851299060254284,0.85850190681479,0.86013986013986,0.921686746987952,0.880439352533109,0.917524799244213,0.90547263681592,0.89776253470521,0.898876404494382,0.905660377358491,0.883597883597883,0.783950617283951,0.773889227023737,0.8,0.780346820809249,0.71900826446281,0.663865546218487,0.669354838709677,0.704918032786885,0.870786516853933,0.869157608695652,0.94160549372484,0.934958871915394,0.932692307692308,0.933014354066986,0.935483870967742,0.941747572815534,0.940860215053763,0.937799043062201,0.817610062893082,0.813559322033898,0.829113924050633,0.818465909090909
"X1G02",0.850569984722059,0.86457528957529,0.807549857549858,0.85,0,0.490475326560232,0.419904692082111,0.884112354619267,0.882755995432052,0.857142857142857,0.892419894787183,0.840490797546012,0.856776556776557,0.851154384328358,0.810126582278481,0.798144075317359,0.832335329341317,0.802469135802469,0.841131474722373,0.840979510244877,0.833333333333333,0.827586206896552,0.813600832445054,0.547951505016722,0.592592592592593,0.547417316982534,0.858818644243746,0.889928732183046,0.862387724550898,0.844657545744502,0.872575199508901,0.855304534922211,0.868769663851631,0.808146419026354,0.808139534883721,0.831460674157303,0.807017543859649,0.8535807258435,0.860655737704918,0.902518213493823,0.883889450623526,0.586232530478739,0.645911568746214,0.73850422832981,0.649989576818845,0.938374866612265,0.922330097087379,0.957446570687651,0.94185592926491,0.929742003422404,0.942168338907469,0.908629441624365,0.852760736196319,0.821059113300493,0.869230769230769,0.836158192090395,0.875353107344633,0.851732013703845,0.887270994387377,0.522522522522523,0.494502839192944,0.559633027522936,0.5,0.930379746835443,0.902439024390244,0.930500894454383,0.915341545352744,0.916954022988506,0.906157550739594,0.922806067172264,0.905291744258225,0.838509316770186,0.81625150060024,0.838069557916492,0.826753899608191,0.88135593220339,0.85931712962963,0.86046511627907,0.889756944444444,0.641791044776119,0.666666666666667,0.949152542372881,0.93993939831181,0.945177595628415,0.955334712575735,0.944597912829957,0.952380952380952,0.946107784431138,0.953367875647668,0.826794871794872,0.854998537370192,0.842285508291276,0.835029344945097
"X1G03",0.875,0.883653275282011,0.842285508291276,0.875816993464052,0.490475326560232,0,0.461161387631976,0.883870967741936,0.886917174896715,0.864734299516908,0.888886694058154,0.838519588953115,0.86319073083779,0.862407031778228,0.831428011497256,0.816105252718918,0.837078651685393,0.820292000269125,0.846372377622377,0.856186766944221,0.845032840722496,0.840542436287117,0.797202417181115,0.563770669558146,0.595139708776072,0.550387596899225,0.850828729281768,0.877485380116959,0.844827586206896,0.839753086419753,0.863414634146341,0.848314606741573,0.862068965517241,0.81369455463397,0.814511232544019,0.82934293685589,0.810055865921788,0.873417721518987,0.878134635149024,0.913543950568068,0.903778932451582,0.625954198473282,0.664451607205934,0.741754258789416,0.649054346587672,0.936546651180797,0.913629225555831,0.952686202686203,0.940667311411992,0.9293720657277,0.941964285714286,0.908653846153846,0.85792349726776,0.829268292682927,0.879470733157761,0.840184106206933,0.888283014382503,0.868337264150943,0.907935098482402,0.576617886178862,0.54586213338315,0.566929133858268,0.556079664570231,0.928994082840237,0.905109489051095,0.929823697429331,0.915467961890529,0.915367965367965,0.910363442345113,0.927710843373494,0.895287958115183,0.851190476190476,0.836601307189543,0.845744680851064,0.839080459770115,0.898545397258835,0.892351890299841,0.874119718309859,0.907472137791287,0.671328671328671,0.701492537313433,0.946181789465371,0.942632759910247,0.94811320754717,0.953810377197474,0.942103659381146,0.950980392156863,0.943820224719101,0.94485903814262,0.841319942611191,0.868342262842736,0.853658536585366,0.853658536585366
"X1G04",0.868613138686131,0.878378378378378,0.817156070652477,0.866899766899767,0.419904692082111,0.461161387631976,0,0.9,0.8865315718764,0.878110684660146,0.900473933649289,0.851749788672866,0.869337582517642,0.861313868613139,0.829785661492979,0.814814814814815,0.846153846153846,0.823170731707317,0.843373493975904,0.850373134328358,0.837050653594771,0.833333333333333,0.789344685242518,0.5,0.537037037037037,0.495613697575991,0.859599842302385,0.878330748625405,0.858424110384895,0.841113872922169,0.862433862433862,0.855815418536893,0.871210574665714,0.812121212121212,0.809789837722799,0.828571428571429,0.812315101479188,0.874125874125874,0.872440677966102,0.910218025487487,0.898254954155575,0.52778730703259,0.601533129699248,0.709680748589514,0.603305785123967,0.944444444444444,0.919239449334236,0.962616822429907,0.944186046511628,0.935926437937246,0.944444444444444,0.91304347826087,0.862678571428571,0.833333333333333,0.870857859167212,0.843136024103948,0.889502762430939,0.869281045751634,0.904586834733893,0.5,0.491691654172914,0.509093915343915,0.471559139784946,0.9375,0.910929714135851,0.937742248062015,0.926892452006981,0.925170068027211,0.921921217805353,0.932885906040268,0.909858439662287,0.85,0.834532374100719,0.84426523297491,0.842264752791069,0.884930643127364,0.864,0.858711323056449,0.903105440539239,0.616286057692308,0.644628099173554,0.952380952380952,0.945454545454545,0.949109085258469,0.956310679611651,0.947976878612717,0.958333333333333,0.95044676352227,0.955445544554455,0.845637583892617,0.858823529411765,0.849315068493151,0.840277777777778
"X1P01",0.906040268456376,0.901840490797546,0.854304635761589,0.889907227293132,0.884112354619267,0.883870967741936,0.9,0,0.642105263157895,0.581606765327696,0.640117192219403,0.606451612903226,0.617017738359202,0.59349593495935,0.846590909090909,0.855984282211127,0.862535612535613,0.862535612535613,0.93,0.920245398773006,0.92243707796194,0.932692307692308,0.93574297188755,0.904191616766467,0.913845338180717,0.915254237288136,0.694364212750969,0.700658607392001,0.732701665545753,0.721686645988767,0.719101123595506,0.726990400903444,0.696140693698095,0.878172588832487,0.885,0.887755102040816,0.89367020458391,0.856186766944221,0.882148692810457,0.851190476190476,0.902597402597403,0.898809523809524,0.887002042900919,0.81592039800995,0.895705521472393,0.701863354037267,0.723788211892797,0.718016912165848,0.735600515393262,0.730284974093264,0.740932642487047,0.674558699915943,0.8815818645383,0.832335329341317,0.835616438356164,0.871918074160357,0.904642258913616,0.889570552147239,0.902597402597403,0.893174133558749,0.886524822695036,0.899685534591195,0.892737296260786,0.641318057599327,0.631578947368421,0.645589911655742,0.616824791974493,0.611111111111111,0.622867548399463,0.64120802238806,0.645962732919255,0.846153846153846,0.836913692505873,0.870329314467916,0.854838709677419,0.90613596079658,0.89159811985899,0.874172185430464,0.889249639249639,0.87818000770911,0.867088607594937,0.696488362596978,0.720933828076685,0.709680748589514,0.736552920763447,0.717791411042945,0.707602339181287,0.720933828076685,0.718018931710615,0.827380952380952,0.854838709677419,0.866260162601626,0.871165644171779
"X1P02",0.892197730478536,0.884955752212389,0.846511627906977,0.884444444444444,0.882755995432052,0.886917174896715,0.8865315718764,0.642105263157895,0,0.571428571428572,0.607933364398882,0.625914677889904,0.609978606985642,0.701086956521739,0.805608453754527,0.813305670816044,0.824366331898613,0.827234865387476,0.9097805892241,0.910865617433414,0.907444293302241,0.904852435270686,0.917218543046358,0.893475177304965,0.910313901345292,0.889578810247503,0.700892857142857,0.682141318397243,0.708333333333333,0.736476608187134,0.692307692307692,0.735079908675799,0.677060597642764,0.843497446576429,0.844829105003524,0.854406130268199,0.842102462754637,0.845794392523365,0.86880945376091,0.82325790949139,0.877934272300469,0.882096069868996,0.864588216908892,0.793774319066148,0.881698564593302,0.689343453042083,0.652451443951408,0.672200027552004,0.678636607622115,0.679504281949934,0.7074720959074,0.663716814159292,0.836170675166618,0.800916411525395,0.793536648761047,0.823411292227734,0.891519566638648,0.88412017167382,0.891647303412009,0.874729437229437,0.8875050020008,0.874719730941704,0.874407369958432,0.649075414949315,0.693411718339464,0.726545872878919,0.5910210479176,0.67583413926499,0.637934381673462,0.708892958892959,0.663529255436949,0.810865742753966,0.802288687706236,0.816893424036281,0.816843971631206,0.881008567177961,0.864085686649208,0.83578484389646,0.845782237086585,0.848020186335404,0.850339366515837,0.695653540008379,0.701203084355258,0.682213438735178,0.69623190685966,0.705744914788345,0.708426756352765,0.723459530663024,0.711111111111111,0.780884590306455,0.804444444444444,0.809413067552602,0.794456535654846
"X1P04",0.89562849260805,0.879148410290979,0.825,0.877067870875436,0.857142857142857,0.864734299516908,0.878110684660146,0.581606765327696,0.571428571428572,0,0.607391285793539,0.555264688772542,0.550972074938141,0.662790697674419,0.81538297954607,0.821428571428572,0.826839826839827,0.829694323144105,0.908902301018484,0.906702400586403,0.904138978545662,0.903882845188285,0.913263888888889,0.883720930232558,0.896886219276443,0.882745789267528,0.682695642122298,0.68956442831216,0.701746878775675,0.743349753694581,0.697040142803769,0.723958333333333,0.658932339894052,0.857441721458458,0.858561562276733,0.865192743764172,0.860320036725526,0.8391101850717,0.86016878342246,0.83448188390479,0.883371938297768,0.873831775700935,0.86036036036036,0.77282071626934,0.875,0.688999816816267,0.660549300220983,0.689189189189189,0.689659017002694,0.687362334801762,0.709326405361648,0.657407407407407,0.844155844155844,0.8,0.798405071352071,0.835341365461847,0.882954852206776,0.869568405614917,0.888888888888889,0.866028708133971,0.860335195530726,0.868418641932898,0.862433862433862,0.635326616834579,0.668769904458599,0.695527236381809,0.568527918781726,0.643065998329156,0.609757889169654,0.686218522086143,0.618323576646117,0.81712650331211,0.79855999263894,0.835416992238371,0.823030336097774,0.892390405293631,0.855585264408794,0.85455503323067,0.867334167709637,0.852534562211982,0.854460093896714,0.687961844964984,0.704367286402881,0.687641402714932,0.706011351909185,0.70873786407767,0.694444444444444,0.717224602041356,0.699765258215962,0.800485436893204,0.836957138265489,0.839714233376076,0.837579206000259
