"","X1D01","X1D02","X1D03","X1D04","X1G02","X1G03","X1G04","X1P01","X1P02","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W03","X3W04","X4D01","X4D02","X4D03","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G03","X5P01","X5P02","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.350908168780675,0.392692641348423,0.366780778685988,0.887732706758239,0.887307758765251,0.889963720311369,0.941033137597003,0.905868935423647,0.941583213811021,0.917137062282329,0.934595178417165,0.927364822658343,0.88964212214441,0.72215051841386,0.687542295744851,0.699520848713265,0.713683649286568,0.354433097644348,0.448589593583044,0.36159713704104,0.364111265525384,0.76885642977043,0.899235016468568,0.904155212740001,0.890434425995022,0.893159449340888,0.922288188819149,0.894764528535653,0.885270401119311,0.895236152450531,0.899615161915201,0.888671283442894,0.764305978408278,0.73427885608387,0.762353572654435,0.76769244493783,0.548050089867293,0.596656145988163,0.67213995012673,0.56546661659787,0.887496066570845,0.888512985506017,0.915814692876077,0.916912770937322,0.960684827622913,0.919567354770385,0.965416615190137,0.953966367268507,0.917009865423214,0.961914374212237,0.939347945579346,0.742546929195311,0.784148546114523,0.833487626499549,0.77872953682455,0.381469561292653,0.397300780249224,0.547842175527878,0.87307432590476,0.902054999899629,0.89896124732304,0.898280416312374,0.962542153472438,0.95271846578842,0.977321457578231,0.936069712680261,0.949175349784742,0.942086917010253,0.961923468451758,0.91874200666613,0.757857074409255,0.744312594167079,0.759072539054524,0.722941032385538,0.649653890999094,0.661280108344785,0.636781521813317,0.677877932634527,0.88106560420167,0.855104028058505,0.981946176360698,0.973470342897011,0.967812475984713,0.97863058603644,0.975994048001767,0.978817948631699,0.975739721454335,0.974674152580342,0.788458748899417,0.769132606731,0.774409708163503,0.773836616665941
"X1D02",0.350908168780675,0,0.313285501643577,0.229494546943084,0.886121667089199,0.890412945002522,0.88737049302628,0.924575263036941,0.89453665871231,0.925256167113907,0.925230930391681,0.921091278541295,0.916229436608841,0.899887509139325,0.712713774219532,0.689227575765477,0.709429303273742,0.712247905860733,0.385306702202596,0.430778641910579,0.369240061654958,0.367124245325353,0.770629167222701,0.905480710859803,0.914820848934199,0.898858164510482,0.912682562947176,0.92400895642916,0.923332637266522,0.913579882822177,0.915430870237359,0.92323492640418,0.89707283300913,0.786843288345486,0.770224456217699,0.791759781907547,0.739089515468059,0.468269212185671,0.525156732615531,0.622952256320398,0.50413112710932,0.893948417256085,0.894410346147783,0.911842316727089,0.902456174673093,0.961475690467634,0.927586167125567,0.965953617927626,0.953298821388099,0.923846954535336,0.95840425265997,0.94059615501338,0.681116402316617,0.700324347565812,0.763896160143158,0.689126872062232,0.263620983306173,0.289182448236277,0.406268059813764,0.86670443086723,0.884799027000174,0.898775009625316,0.893109932890537,0.963547375854682,0.953150508301415,0.975309003184744,0.928507924331875,0.943893855389572,0.933642625893978,0.961830218624456,0.920330458902209,0.686173226760335,0.641700081514385,0.687721179875769,0.654205038253575,0.5784090500792,0.581099923754264,0.583323030747189,0.614191524546039,0.885985472208954,0.84482136155875,0.983437650657975,0.974334713114867,0.962843839473936,0.979789581614939,0.975967993518656,0.978989844691878,0.976880658974894,0.97519046055448,0.700236459957617,0.695990588390708,0.713270301632115,0.696384009579346
"X1D03",0.392692641348423,0.313285501643577,0,0.324359232378698,0.809698192258642,0.823025348773083,0.817416984541268,0.870284474201332,0.847615937726331,0.838681115803283,0.881910034594783,0.830120545538439,0.834009914692198,0.844540703514805,0.729430517493968,0.713542927024257,0.705059311954175,0.726782287661708,0.468055543349044,0.499490773002693,0.435166010670339,0.449330135185439,0.738825396175814,0.861389304636175,0.870275427058729,0.844805858752285,0.879888680832492,0.892601730667936,0.891454743160608,0.897984506872108,0.889864730313636,0.888407490830287,0.871023934254886,0.802957522265629,0.78227570373902,0.804468939431592,0.761188533417775,0.554162398382841,0.610137105877941,0.67024717222879,0.596033222666225,0.830192045876897,0.817236371402216,0.830755209811997,0.817017269247139,0.923832386596833,0.891681859894144,0.925041119189112,0.91664583220722,0.887802319256468,0.924614538323418,0.894068159145207,0.722404868859037,0.746606503331578,0.810773635697682,0.729167825256209,0.384543205588427,0.347671134934022,0.506480434627276,0.795671030120764,0.809131155359854,0.817069157526866,0.816492199226894,0.920143405618457,0.90564934700843,0.930170772587256,0.884368500871651,0.89297136990489,0.872217678805224,0.917318535201775,0.876072365569293,0.721837845154979,0.695054163453998,0.735184635960168,0.718264633126026,0.668478858109122,0.661181210107352,0.673551350062588,0.701548365052895,0.815147697019969,0.78457618881717,0.942130397915657,0.931799670018127,0.931500669735877,0.943203098994382,0.936576053516746,0.940133469905521,0.937941489728705,0.93573788150207,0.739325488409745,0.736444780134856,0.763187927743059,0.74256096044067
"X1D04",0.366780778685988,0.229494546943084,0.324359232378698,0,0.895905885375433,0.899503395027462,0.901678093378387,0.916740052644084,0.894834102276097,0.909143972808732,0.919570338580449,0.903659109858595,0.903293770062251,0.868089869442242,0.72290453914027,0.713664747457002,0.722387974875589,0.73566703746462,0.422982984676639,0.470510262829874,0.378719086544779,0.388686486115357,0.755520683858974,0.91763587311749,0.92085582305469,0.914420532537218,0.911791332905216,0.926450739291039,0.919413298469343,0.914093727981598,0.908259708401692,0.91042100741089,0.893071674838795,0.809130274620095,0.788423264045722,0.820872088639785,0.753993037657213,0.476988294160415,0.519248701912943,0.635321110799014,0.530666436248004,0.899605538150186,0.905831229740629,0.914093363444064,0.914617881544051,0.959090145260362,0.924473097661964,0.964387869197121,0.947743407498721,0.91744638775645,0.95954914597576,0.937797054356982,0.693673334343223,0.716818064589227,0.763039268195636,0.700248598718152,0.274684208125121,0.318022069900085,0.427195428617656,0.878090600801844,0.892190791320549,0.907508156775773,0.901846434966647,0.956223706169636,0.943665008116681,0.969765817084698,0.919140859567918,0.935355793999312,0.908943407856181,0.955606587150678,0.905889505693367,0.692065069371008,0.662041325246218,0.698576040891129,0.676875212128054,0.59515959977975,0.586868858476789,0.587103457082343,0.619977787262981,0.891835591818436,0.853334053434458,0.979807352706351,0.970508815961812,0.963561500736014,0.97558394578085,0.973588191840681,0.97448502617401,0.973753229946383,0.969990140327347,0.712973093197828,0.704999133622876,0.70774358642638,0.701706699725722
"X1G02",0.887732706758239,0.886121667089199,0.809698192258642,0.895905885375433,0,0.221851475426974,0.204816782149907,0.906132960658698,0.903228719134384,0.862603413913188,0.846082582023425,0.857048287993726,0.849849169447732,0.81631087595989,0.82071750874678,0.813949705955823,0.811005466116622,0.805388944890781,0.874753890692667,0.863687760421989,0.869800833745933,0.872535181807962,0.759963895767279,0.488870647805903,0.434410987907208,0.446720693598511,0.720639528111718,0.851865786033924,0.789845510199626,0.811892885384094,0.746233499788111,0.686277514946952,0.766038647074408,0.773442398261785,0.786857310917178,0.847781492343888,0.823567522333476,0.904453956133972,0.924892283738905,0.92637266942865,0.898337744074461,0.417157590132265,0.504659774530916,0.621470226253407,0.546927872798962,0.961769826217499,0.910322187123462,0.966169499088314,0.946497406647515,0.926591878261841,0.964331992352152,0.936623037892204,0.874862824135737,0.880943949239484,0.914864725890859,0.859656122629171,0.896696577963181,0.846146153929978,0.910477851916992,0.330519613722941,0.325813539323803,0.334489738229827,0.296847869728969,0.959685134505255,0.95387556262013,0.962788635803483,0.92447029907813,0.93827686078857,0.918048791723936,0.964280538153234,0.886905786129267,0.85173479125408,0.855816090372077,0.833423031418184,0.850923947154474,0.915846129537967,0.937882163117479,0.921244123661849,0.949441535224397,0.483396351774175,0.503141534677074,0.981942714052006,0.96950912180805,0.976672788455851,0.983072956006811,0.974410907656764,0.977573643361805,0.978076314697003,0.974196657052396,0.87010221603728,0.855228241152659,0.871462821631131,0.88874415796689
"X1G03",0.887307758765251,0.890412945002522,0.823025348773083,0.899503395027462,0.221851475426974,0,0.167831599350982,0.90406342338386,0.903363709754723,0.864788348988791,0.867584368953871,0.856897769166639,0.855920173940318,0.856285052546301,0.818491369472868,0.810410324261284,0.805382467202975,0.808951812322262,0.868580266159865,0.858571437534578,0.868760186493191,0.858425335072322,0.753099568185939,0.441025850416433,0.466453724859285,0.422359814202572,0.735927225541174,0.846127770987209,0.77042065643986,0.805693830944127,0.792870282187189,0.763945653459866,0.785718637515521,0.769405492348761,0.777035483588698,0.827599899914515,0.801927461729207,0.911326750064539,0.930469888407239,0.928026168849794,0.908384643630314,0.437940741087725,0.515848543432943,0.619297961011882,0.55807059209984,0.958072983698954,0.906188929246851,0.962871424606521,0.944436966582255,0.924544981929623,0.962538606062231,0.933511681448367,0.863076572262057,0.869045012669826,0.91391225576747,0.851101236578809,0.898777999141367,0.853306486672979,0.923247470198224,0.356706854357777,0.366753644434696,0.391882029057712,0.343711426293777,0.955874789247613,0.951565401725344,0.960013606608128,0.924620160942586,0.935999644152026,0.915501396725643,0.95918672227645,0.884611084461289,0.854912595298591,0.857822740485184,0.826829961597659,0.850627583487351,0.925206686830608,0.94355553468378,0.927379727848867,0.955353644907633,0.524524283895508,0.532782763429686,0.976739295242565,0.966263851976986,0.973174943978344,0.979512571928522,0.970304102790795,0.973990976914758,0.973733849687568,0.968314908984724,0.869414019572775,0.86157688925879,0.870146575918321,0.889493186328069
"X1G04",0.889963720311369,0.88737049302628,0.817416984541268,0.901678093378387,0.204816782149907,0.167831599350982,0,0.915315580853654,0.904795699824243,0.873187611543331,0.862826804679841,0.858237885772241,0.854392872068968,0.845427480662368,0.82791084939421,0.827761786538117,0.819214976690774,0.820623037883059,0.862681917305223,0.858348154660121,0.864456315471364,0.862381114197883,0.739894042363463,0.462242783351633,0.462088103253475,0.412188109018198,0.727622004300239,0.852119221480145,0.769791697980001,0.807651162686908,0.792769735165164,0.752235073658714,0.778172137947802,0.77969780558356,0.788729011064028,0.84316929806613,0.814826856991952,0.908865888916278,0.921531462735768,0.923285747092136,0.900374173258054,0.399358390111538,0.480201163136162,0.598628143355599,0.511832253013054,0.96305762371924,0.906512780095181,0.966311988561031,0.947877414415683,0.924125036797755,0.962428041789226,0.933938952822326,0.869091640642715,0.884001264878475,0.915045043399983,0.860284873773796,0.89890285595696,0.855890875501429,0.917656569827172,0.339033099101078,0.336685657356653,0.336692239806599,0.314316584526662,0.96382736663035,0.956541539696374,0.967960726465494,0.926034106987333,0.941764354690703,0.920887473385258,0.966466644214923,0.886374620824339,0.862727417306258,0.868912971218514,0.838156639068677,0.861233031006633,0.918197455371835,0.931127996023353,0.919730071436044,0.949193664744417,0.476865164318505,0.482957460001294,0.983598727455524,0.971200136604161,0.974776312664949,0.982797503300916,0.975780041195997,0.97946323461239,0.978009858084778,0.972867024801348,0.877721294029716,0.864152297836968,0.88107799823218,0.890044288707514
"X1P01",0.941033137597003,0.924575263036941,0.870284474201332,0.916740052644084,0.906132960658698,0.90406342338386,0.915315580853654,0,0.345953802090556,0.310730105537295,0.4444154973128,0.368919000707247,0.3837171136565,0.548442211154977,0.826399027382683,0.83786689797699,0.83228161375055,0.840824145754602,0.955413879138033,0.944804017900027,0.941068009326267,0.947444094232471,0.941398102047594,0.920964354193789,0.926448490784691,0.928113976098369,0.707340887212855,0.649259686252574,0.722227353900141,0.782721343331126,0.636658465436008,0.742642429514756,0.61573398115428,0.879430898146913,0.873473961205305,0.892268965974998,0.869119999249268,0.89443340110279,0.931738302254828,0.85021059026569,0.952911585038334,0.922806106770026,0.910703208133334,0.814994237186567,0.919003068892404,0.55850900188427,0.5348094895752,0.522498147741089,0.562970663592892,0.55842962515923,0.569637417525341,0.566647918750408,0.875946642821636,0.81273902695965,0.86505762329264,0.86060742160086,0.928844579956741,0.908865847007866,0.914964024974353,0.91085857428496,0.912993255742476,0.915084895078944,0.888666772741385,0.429995693498762,0.354125476737811,0.420493643821017,0.357354768245665,0.41770875708458,0.369528626866938,0.547108734743062,0.397654679068934,0.846411924049925,0.831450067545919,0.846889415838483,0.853619252591065,0.962139550802744,0.952383661923904,0.942278032869265,0.937669192630307,0.912663930779674,0.915526925011405,0.547471166147114,0.573138972180284,0.634153868228026,0.63424198598552,0.624386169035402,0.632260388346655,0.669212090712882,0.637587964357151,0.846926644063909,0.858783820027331,0.864193688031153,0.870920936135195
"X1P02",0.905868935423647,0.89453665871231,0.847615937726331,0.894834102276097,0.903228719134384,0.903363709754723,0.904795699824243,0.345953802090556,0,0.3764181141069,0.47556316165428,0.449290975541675,0.434289155071183,0.612562703804669,0.79372641757764,0.804061619506209,0.803117429707926,0.805569834526361,0.919658720770444,0.912590400739133,0.907863043401166,0.91428761137041,0.932624319251564,0.918145727837344,0.923587180088095,0.907248291139078,0.721796257306859,0.656992675191494,0.721866712656742,0.782867829356797,0.679021249502107,0.751171326396185,0.648380897928185,0.845777604181373,0.848111297102407,0.860087051340976,0.833501135763483,0.851895475799972,0.892610598420766,0.800241528413097,0.898365273295739,0.897711334656076,0.887653370904599,0.790381191397053,0.895336739117597,0.571144183730923,0.525714862948964,0.520622092248052,0.581576956457376,0.553961624658354,0.568013546077603,0.571747584729541,0.818907921311987,0.773089991078933,0.797515927187962,0.815492308607157,0.903729067145728,0.883716164450158,0.887727052196282,0.900586707654005,0.903580135624432,0.894252206133481,0.880149224484017,0.468772265730821,0.410737564220111,0.486800047162988,0.383401193833431,0.478281163068975,0.45744067318038,0.574441268695057,0.457042453473917,0.797516969098636,0.795637550934592,0.800578537262425,0.807903356782527,0.894101054963996,0.894871444223225,0.880030773029403,0.86479652440255,0.869502906676925,0.880652386254972,0.546570881932312,0.576447624168832,0.603754132325997,0.609985746049263,0.638229448475887,0.642659674903314,0.669165142542402,0.639932190558684,0.778252237532312,0.809128470620788,0.809911838343662,0.80226954213839
"X1P04",0.941583213811021,0.925256167113907,0.838681115803283,0.909143972808732,0.862603413913188,0.864788348988791,0.873187611543331,0.310730105537295,0.3764181141069,0,0.470359732732103,0.342963617323611,0.372203074331605,0.547411875601013,0.817216798544093,0.828994937435467,0.803951192948848,0.82569776145396,0.957529423673419,0.943444492134463,0.935134934116998,0.948295582041905,0.920602798631348,0.891743736429758,0.892873976683244,0.89100869751475,0.696886372058283,0.645029140439029,0.705776641804704,0.783749163825714,0.650662035080814,0.735519387282608,0.606471781742451,0.881822670817298,0.868034801353167,0.894350481112419,0.858937101737265,0.902862442024009,0.935759512076726,0.863417816477141,0.941287419603268,0.878830234494003,0.86847499499636,0.786072697913321,0.877322153081185,0.593048819804871,0.532769041246474,0.540880304738229,0.586546013912966,0.584819435650849,0.597420315739777,0.598862677372712,0.874001186902092,0.815748592833011,0.859942536743008,0.857122714531458,0.922959895110746,0.881113331031578,0.914915378364383,0.864299222578283,0.866670384382025,0.867927378251186,0.845064768177444,0.480659198535656,0.413862806686907,0.499779139062716,0.383780190953434,0.46833447033703,0.372480581813137,0.590051422704672,0.418638788352863,0.830504477531,0.819933009394193,0.838405967888966,0.846449427703827,0.945858474423652,0.942498248163424,0.938420425333975,0.929527568175379,0.870171488134594,0.869977895562127,0.569629402557501,0.596621551941127,0.620878495118838,0.636931385378878,0.646668514156529,0.649995508062332,0.701128410833282,0.652604940362458,0.840360398772744,0.862388507256476,0.855557268772382,0.875292203587328
