"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1G04","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G03","X3G04","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W04","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4S01","X4S02","X4S03","X4S04","X4W02","X4W03","X4W04","X5D01","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W04"
"X1D01",0,0.379840132597673,0.347422893942317,0.344003976790842,0.690901835377625,0.742828900777141,0.828765106391851,0.735778906442495,0.71140000427186,0.75142648888458,0.638254312370607,0.815445672549418,0.723343388899505,0.856684891784971,0.784329990638012,0.904994736208352,0.559130642768593,0.522982507767937,0.556313396202613,0.517876073004117,0.387841666610399,0.38806056802783,0.373943112804069,0.328394249408011,0.888259506952443,0.855231039329339,0.816435334091824,0.885419981621012,0.873008810678257,0.858237524637461,0.748187675353184,0.92808115434056,0.867139808111529,0.846240786802012,0.86104857821883,0.698715172389879,0.676521626619921,0.638377084377315,0.72687208719548,0.553513610746275,0.616991794095284,0.692216405664761,0.608587831578429,0.804731746347569,0.816755692991201,0.816537731450129,0.949128389752819,0.722428244099939,0.962625111620812,0.978798230700002,0.978766836178651,0.977779705436633,0.954552439071603,0.71217580689444,0.729495981318415,0.686670462511832,0.542737006399082,0.449135863604454,0.522207069980532,0.805366848106846,0.760224509043257,0.789215770679718,0.754451194893851,0.891244578974544,0.849767871640819,0.8938791036584,0.842452684715609,0.889624213998433,0.858753027544293,0.858994982748355,0.629266061677316,0.683730548540987,0.695381127522725,0.616892155392695,0.67504687115753,0.764580720372825,0.736599840711293,0.8679272778102,0.84497122370113,0.842262951020276,0.970824314938481,0.960640561566434,0.974311446466031,0.972473029770274,0.981961271666282,0.974537071487346,0.968584608713179,0.709196001196646,0.740183230643231
"X1D02",0.379840132597673,0,0.393643535292093,0.395824411721442,0.735846087746076,0.749454800471776,0.835465520654557,0.741254999195376,0.645861158619,0.768229581502571,0.669358717968422,0.740903468899771,0.79998830633703,0.844846244698563,0.785937935154688,0.906461023060541,0.662577619856614,0.650913972948838,0.618555127827463,0.602191731190594,0.533082605007022,0.606102065522534,0.523402938763454,0.473428309195166,0.899236975502453,0.862552721784868,0.841124480420654,0.89692448578391,0.883153369261962,0.862651883094012,0.774964296130221,0.927213291733584,0.873732218023708,0.830362560858933,0.867799630610789,0.74623298001128,0.746605680536512,0.697949359855213,0.80780171790347,0.640335518264082,0.702350898039558,0.754831293840272,0.683344324900719,0.853978773692865,0.870139262947121,0.84568217397201,0.951411891285666,0.758645840562836,0.963890545562868,0.981481835597277,0.981526989246807,0.979748842266845,0.95897123351014,0.755191890206093,0.769570497033813,0.734425040283486,0.608816662673127,0.566560624871441,0.578198575384311,0.856148436482107,0.768108293100648,0.814287284248346,0.827083479666147,0.890807191411967,0.856893027753351,0.895851184201286,0.910066747547336,0.889186466133226,0.857955330325571,0.882497875125034,0.678486027493076,0.752577078088453,0.752534369833935,0.700361231372437,0.7259054911827,0.787903727523331,0.725701026397784,0.888706909355069,0.835690813843482,0.845231239772849,0.971168878321461,0.963429181955524,0.974850880101581,0.972522351362157,0.982647225983616,0.976284224403008,0.971262782501201,0.75324759620446,0.777269554028722
"X1D03",0.347422893942317,0.393643535292093,0,0.372198094423229,0.647337005372574,0.69087640227515,0.758357177600878,0.680273632811257,0.708528414936276,0.736193376798487,0.581686879115278,0.777332525947813,0.765810755455594,0.828344551617205,0.766013206803127,0.886288092111429,0.583984646853686,0.57535905234296,0.566729473228182,0.520708927830491,0.457853838113269,0.517609693599964,0.372434451284863,0.402940278119301,0.838096589490401,0.791742375644488,0.769346335841125,0.838948466269267,0.847809866376203,0.828831800909096,0.73636817304805,0.877934138159524,0.843604203785068,0.812379596147502,0.838547488255026,0.700424423100983,0.686235994715688,0.649786520869395,0.765311116629619,0.567079178628731,0.557860354546437,0.704590704057844,0.622647558750006,0.736113884580572,0.75748130505431,0.752802037249289,0.930984246374647,0.680906860579817,0.947651212367579,0.963958487483271,0.965267675516053,0.96496660976856,0.93304720370031,0.692719029777404,0.706491092525956,0.680249823171587,0.525417124611733,0.476090232453611,0.410674746207022,0.734727965623568,0.695944479177869,0.705083642780012,0.705578028424778,0.856029614742537,0.80844621167013,0.855530298212191,0.818707453294221,0.854752149271155,0.822143196692908,0.826272725634411,0.623360678038465,0.66546918854202,0.690311054195447,0.619879791030021,0.654467880714868,0.717627137316734,0.701448132548294,0.798703167684885,0.769102502652769,0.759701054478952,0.954050628613877,0.949109758249499,0.965446891187796,0.962130040820387,0.968269194334996,0.957693595849351,0.959324658054124,0.694194987835672,0.72414982122101
"X1D04",0.344003976790842,0.395824411721442,0.372198094423229,0,0.695370005190259,0.746871025572487,0.820667432436944,0.734296794876557,0.71716812468926,0.723856941576583,0.596391395992167,0.755831783944806,0.805358470707048,0.830976993221214,0.737303771298971,0.893867486051516,0.60720858868839,0.575094403279004,0.5818837856456,0.585479395193114,0.462592991889486,0.4354309294252,0.438612972984563,0.354973313796166,0.920208711905355,0.856136972344218,0.853594487485439,0.931811788481139,0.87078081196229,0.855669317268687,0.773151671861316,0.915366075501779,0.859108745763507,0.819279836121074,0.846167882167275,0.734389970873013,0.638723840620988,0.581199943103412,0.819192631563929,0.44811361192321,0.561226123738703,0.601887597113165,0.4804005397932,0.726910353528081,0.742952895760005,0.808645272026822,0.944263326654383,0.62796973282459,0.954392069955176,0.973507456013412,0.976757355758608,0.975615332906936,0.950120950673735,0.591715079950702,0.667909565711774,0.556167681681281,0.365207753620153,0.354505361346626,0.380308301131574,0.722069414178635,0.772886630640884,0.783176744885426,0.74286001908628,0.870915800996818,0.835230024551084,0.876228553955419,0.815751436435327,0.878920709647857,0.843909372500925,0.808922422906358,0.545574677541109,0.650543572726918,0.585611074079813,0.504940396589071,0.545162175402611,0.734167068294079,0.777398982807862,0.868086874634103,0.821024994999016,0.83721512279066,0.972464332794438,0.958783978955812,0.97242388053868,0.972103842594332,0.977986918517348,0.968258846449807,0.971437628780524,0.59968121148019,0.621275487163719
"X1G01",0.690901835377625,0.735846087746076,0.647337005372574,0.695370005190259,0,0.249883988894811,0.336225943043239,0.273273258297566,0.700325933100472,0.677890544501576,0.69108005361154,0.796731342490683,0.698778497707988,0.810040636920683,0.729851680750012,0.873172287136398,0.635588763923931,0.654112442148272,0.631330843547808,0.624800339748362,0.641947629284959,0.687274134751317,0.657855928364219,0.635382801950602,0.697641849299916,0.532064908549798,0.523288920155648,0.797660479747922,0.710197002530226,0.637051445616018,0.616827321380577,0.79694630044403,0.714752779338882,0.792344683700895,0.695012865186445,0.600693272604865,0.610193501433365,0.593755134608815,0.706767500118412,0.744167494205499,0.734218358256399,0.797555299928787,0.773140133546989,0.613107023144031,0.603483853593685,0.499285767532903,0.943159896945199,0.713970435085439,0.950859241237595,0.970176744023249,0.972187049218435,0.970109698656872,0.935535803924014,0.698963085362346,0.684312708269928,0.686046638584592,0.748683546687343,0.732479381015056,0.716775522818621,0.492795448635161,0.393019724112298,0.436331716997329,0.432056292762588,0.832106490025971,0.705384975831553,0.803977543617417,0.804457239767109,0.775006229863826,0.805066208691398,0.822050127527249,0.589928888721822,0.677895602616502,0.702707682873398,0.770883993883384,0.791252074151414,0.846120758930109,0.668697833823481,0.68996892674947,0.624094814545337,0.647946541580013,0.952672670105602,0.947226708880309,0.970471734926673,0.965224282719478,0.966985532923266,0.964645775203046,0.962498124189403,0.724247644401525,0.778310339822485
"X1G02",0.742828900777141,0.749454800471776,0.69087640227515,0.746871025572487,0.249883988894811,0,0.267531461925621,0.169922516244645,0.654728472777499,0.696369269965705,0.700239063086054,0.764999274903397,0.699772081784667,0.77656414888634,0.704729463428485,0.842971648513978,0.675775203486761,0.674408417163987,0.649930588670078,0.63441212500101,0.708911046081133,0.771587147713368,0.743833246868718,0.717471080018779,0.776193578055117,0.550015895038123,0.543196623876198,0.816325501098511,0.750311787666684,0.642922522513143,0.662926716593534,0.770987311962563,0.71804857696004,0.753833181285086,0.728424934089442,0.654143378010483,0.711481768789307,0.696307488652496,0.740573275058111,0.827186377080119,0.812134743633568,0.868136115487258,0.843152853182543,0.689943503719691,0.682567413812865,0.546723470863555,0.935419359133232,0.768822455788762,0.948538034505257,0.964540441319117,0.970850049464829,0.963584191077666,0.927481256948302,0.758121038711421,0.767776082020077,0.750712906364139,0.81496285743156,0.8030140311573,0.782986795360051,0.567742869810186,0.397686722866177,0.490176515952061,0.494381502221,0.835368590523438,0.683092970867435,0.801839239527646,0.842949133735138,0.743915432931549,0.783647137146076,0.838013972740274,0.639449940056248,0.724184987424273,0.741163546772737,0.83431299475236,0.842764244691651,0.87683422171013,0.647845094729873,0.741027926042286,0.64460085068098,0.684358495089434,0.949250717675754,0.940598130752878,0.962071781066655,0.95951805960849,0.964431400714436,0.961914631986891,0.958568653126167,0.772699466769254,0.836754957842726
"X1G03",0.828765106391851,0.835465520654557,0.758357177600878,0.820667432436944,0.336225943043239,0.267531461925621,0,0.281893981191691,0.70860046673718,0.738506198438468,0.743513998259107,0.776013685218746,0.729190109521517,0.787035391269497,0.716566171922712,0.867146296642649,0.733065770021481,0.73999948959475,0.73163714999828,0.72863120047534,0.764778082763212,0.811286171213149,0.805106467406649,0.78826943185137,0.796142229050692,0.561979206036119,0.563094854132005,0.82448105137518,0.742784629181003,0.643218762815951,0.6613559538456,0.769178774863119,0.691660224152848,0.767519297702484,0.721370396902521,0.716498142742498,0.73008508870625,0.703241103583693,0.78392591599043,0.836245984176222,0.818130861340875,0.875083733486564,0.858642569389606,0.672169046097936,0.660331777596821,0.508792680668432,0.927940016419192,0.775795531836588,0.939847297269829,0.95557097561387,0.956533615154417,0.956932758906401,0.916368731493204,0.766035945865148,0.789544465230912,0.756252602925194,0.831609402523195,0.830642982089594,0.795286028556234,0.541788767541879,0.36974795873706,0.409711262461733,0.470037594739945,0.831478681402704,0.686152333766006,0.797021944316816,0.846386557443552,0.739562842593424,0.800695839098434,0.85711772209791,0.671373342616074,0.764911415543614,0.760235936064158,0.855019681738346,0.86393663029762,0.899327990682325,0.68842369055293,0.730124620833601,0.64170849171162,0.669197043073725,0.939762416465362,0.930505063217895,0.955601146417908,0.951050182143306,0.952727984793756,0.949774034442276,0.948354196266946,0.776895739230177,0.836017065421269
"X1G04",0.735778906442495,0.741254999195376,0.680273632811257,0.734296794876557,0.273273258297566,0.169922516244645,0.281893981191691,0,0.659265983943014,0.724591579701726,0.690915144846582,0.77725131423588,0.718697049879399,0.804274240069955,0.722363454834051,0.864521071564154,0.697948088833364,0.701557493732893,0.677560788595184,0.666233740502989,0.71457611669109,0.779318912247516,0.736764377478315,0.730402041147859,0.76119624956639,0.512370102686966,0.513642289267676,0.825665065186014,0.747766055399754,0.637781281045601,0.662493643099709,0.771448725876153,0.706387108012672,0.782930773073715,0.719329199968289,0.683641803593388,0.708796001378587,0.697599065515651,0.744349982650943,0.833640740288059,0.815095817323691,0.876065564205909,0.855335181185398,0.67003747062757,0.659092455183785,0.542780180387759,0.939433588364021,0.772129152001557,0.949292453641185,0.965738169020596,0.967365843559676,0.965058225760726,0.933426281248933,0.76366408740651,0.780356405366182,0.760671340513113,0.819224047181524,0.808619978491354,0.782923718608064,0.556011581825309,0.398126054150921,0.477603396913951,0.492808941274061,0.833235429764441,0.699147813638036,0.801646363931045,0.837021107301307,0.759248018484233,0.800629547257576,0.854830557610148,0.654391499521596,0.748723544052619,0.754275351022635,0.849807180917455,0.859278669751035,0.893199702510839,0.616979274848974,0.730079582007538,0.636329913783188,0.6802308045173,0.94978931999572,0.942238512641549,0.965849995592948,0.958894427909979,0.962498310721616,0.959945843653586,0.958830854374574,0.772757471193936,0.837087345512902
"X1P01",0.71140000427186,0.645861158619,0.708528414936276,0.71716812468926,0.700325933100472,0.654728472777499,0.70860046673718,0.659265983943014,0,0.488890169689161,0.437564757206603,0.55235459638315,0.512061428685016,0.517935578531356,0.422931874100895,0.567792669044237,0.673878390936761,0.658586742807744,0.61330420882596,0.61566714815997,0.772733892707347,0.829398771997493,0.764414562719184,0.761097099159789,0.916416803533312,0.819608936188114,0.812864387249148,0.923072669599782,0.6702403759428,0.624043855870279,0.54538170265899,0.568069048532047,0.600861820065069,0.490394349584359,0.557496377598887,0.671557199610263,0.752150752765645,0.725440764957938,0.810427869980308,0.794802149075016,0.756772153698578,0.818632774690562,0.806469575128416,0.870187519082965,0.862790045803023,0.823475543987566,0.752810254269198,0.748529834185027,0.684378500541113,0.735215003804819,0.77503069565805,0.718277179580724,0.709057823905223,0.753195624956575,0.775902258169527,0.738463429325293,0.815682143758928,0.788232837488536,0.760178529433158,0.833549013356025,0.761271243705691,0.768426008480573,0.822147946803798,0.551457551682695,0.46097690781754,0.526495841970555,0.645406618369873,0.483993059082346,0.566647819465128,0.532462705924226,0.626338479397276,0.674192043699088,0.688934150058246,0.826699595851001,0.838026165175575,0.838911953881123,0.752911126705543,0.874682677951388,0.852575916077836,0.851773545047015,0.726678110431041,0.754873398693853,0.75548189998578,0.787796633768222,0.762922240300512,0.747649892358684,0.785457986052791,0.728549392559479,0.796394855268682
"X1P02",0.75142648888458,0.768229581502571,0.736193376798487,0.723856941576583,0.677890544501576,0.696369269965705,0.738506198438468,0.724591579701726,0.488890169689161,0,0.399941889365882,0.341455301957984,0.637281802316447,0.421719765869778,0.358698303096267,0.586320994514414,0.541870396704704,0.601045531466648,0.484858065893416,0.520469627633913,0.715867436773484,0.737347908010446,0.735324791913765,0.713452308473107,0.917893158547,0.812416035861482,0.81011272198358,0.936134262321372,0.736984889870404,0.734582410359925,0.697187792869918,0.678457934627953,0.71067349172556,0.412056938715047,0.621251583146281,0.645393357813174,0.696150892560652,0.638322144873838,0.804336417755785,0.718020519812236,0.660471363854455,0.727689436977803,0.731932992625177,0.823961493654541,0.808790224178203,0.778586145570874,0.820039202513797,0.6932862731732,0.756196650930286,0.774973455089764,0.859218125698778,0.798727797669211,0.788669640680577,0.702087251618743,0.722766138293355,0.67760774428564,0.706617048424001,0.719418566374461,0.688871551109686,0.792417213324236,0.797559082732669,0.771378169633429,0.774587360643725,0.599129843317891,0.59634464179147,0.56891306412081,0.677472677521788,0.616329209440566,0.617477438000602,0.517509413698704,0.581805561032571,0.623853983645773,0.622329338514634,0.761305333680471,0.769065877375649,0.772708630077299,0.877794000226106,0.839262141249124,0.829754917143656,0.808987915012168,0.777890346861129,0.822025845962852,0.828798107784089,0.884833218223646,0.80521163333629,0.821772855377229,0.831617186336761,0.704250925782458,0.753078249829817
