"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1G04","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G03","X3G04","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W04","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4S01","X4S02","X4S03","X4S04","X4W02","X4W03","X4W04","X5D01","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W04"
"X1D01",0,0.572815533980582,0.565388484525712,0.511880733944954,0.840277777777778,0.83206106870229,0.880857948022127,0.840744400527009,0.865722705024473,0.803418803418803,0.769230769230769,0.857142857142857,0.834678206546496,0.883333333333333,0.823764705882353,0.933035714285714,0.751798933581819,0.7431493993994,0.753205655104389,0.759616965313168,0.542372881355932,0.566204708632493,0.56573262168001,0.516530054644809,0.911863394006251,0.909928530036701,0.895833333333333,0.933608815426997,0.918475852902082,0.916129032258064,0.907058533174283,0.932515337423313,0.931216931216931,0.883333333333333,0.919570467483181,0.797355174849876,0.806818181818182,0.775,0.819672131147541,0.617094206103494,0.691590962031214,0.786585365853659,0.64821875,0.916167664670659,0.918839897835731,0.909604519774011,0.955752212389381,0.836310473152578,0.960698689956332,0.960097517289417,0.967654751525719,0.963350785340314,0.950338347397171,0.831865339089263,0.821424051967773,0.839463087248322,0.577126418908412,0.515877016129032,0.575378787878788,0.916932059447983,0.877414252414252,0.889229720518064,0.892969451931716,0.924242424242424,0.908291281188674,0.917354744702811,0.904494382022472,0.91999924259638,0.917554095389147,0.907514450867052,0.770700636942675,0.815503432494279,0.819368282518096,0.647989241803279,0.737588652482269,0.818861464183663,0.92468487394958,0.936117550468463,0.923529411764706,0.920971914264597,0.956639247943596,0.943127962085308,0.962962962962963,0.955801104972376,0.96404476225104,0.957446037954512,0.964834994976428,0.841319942611191,0.860239336035515
"X1D02",0.572815533980582,0,0.6245,0.597988680008086,0.822649572649573,0.825198412698413,0.864976499074206,0.832697201017812,0.849206349206349,0.8,0.77826941986234,0.856456043956044,0.824561403508772,0.872638146167558,0.834022038567493,0.929245283018868,0.778174603174603,0.778174603174603,0.770681368391292,0.765957446808511,0.633739837398374,0.625584112149533,0.642276422764228,0.610169491525424,0.906613372093023,0.902347652347652,0.887096774193548,0.923076923076923,0.914892830746489,0.897810218978102,0.886595744680851,0.916079812206573,0.919876543209877,0.867635733538699,0.909638554216867,0.817518248175182,0.833809523809524,0.789841737210158,0.838983050847458,0.726599326599327,0.766987850858819,0.817588815230325,0.739837398373984,0.906353467561521,0.903225806451613,0.894920868605079,0.953161335614936,0.834981700941094,0.959276018099548,0.95959595959596,0.96799591002045,0.955431409062694,0.948271668004573,0.849227097067515,0.833333333333333,0.858565193671577,0.638888888888889,0.666666666666667,0.630958385876419,0.905083655083655,0.865268253327955,0.865248226950355,0.890014231499051,0.916448516579407,0.897959183673469,0.918604651162791,0.918093534372604,0.912055923848377,0.910397082929114,0.91304012345679,0.802816901408451,0.851538461538462,0.851538461538462,0.737704918032787,0.790627283164597,0.85749299719888,0.904554655870445,0.919354838709677,0.913333333333333,0.915308547661489,0.954545454545454,0.944444444444444,0.959183673469388,0.951367331855137,0.959697477285417,0.95583934490154,0.966981132075472,0.853966782230106,0.87248322147651
"X1D03",0.565388484525712,0.6245,0,0.602283596365375,0.727272727272727,0.735605224429728,0.76551724137931,0.725758796669353,0.850299401197605,0.795050444511038,0.761439863277078,0.860702614379085,0.844877942458588,0.855172413793103,0.828947368421053,0.90650406504065,0.76234756097561,0.760990338164251,0.76271835978667,0.741277890466531,0.579310344827586,0.619054010522925,0.578947368421053,0.533783783783784,0.825150602409638,0.806350267379679,0.791139240506329,0.866665025115729,0.86533479473894,0.858355803800719,0.861406619385343,0.872527296082209,0.886138613861386,0.849673202614379,0.881070249882131,0.773911143970964,0.788177339901478,0.752079841062892,0.788597558228589,0.656441717791411,0.701892559069002,0.795695814410923,0.696662958843159,0.806629834254144,0.829787234042553,0.801090120596447,0.936253968253968,0.797843274037903,0.946768060836502,0.940204991997821,0.949885844748859,0.943660730029977,0.933996412326222,0.825396825396825,0.812154696132597,0.818697384486858,0.6,0.576158940397351,0.521277665995976,0.798217807833192,0.760871242813597,0.740963855421687,0.780003918879201,0.884093915343915,0.878947368421053,0.888619201725998,0.880597014925373,0.882036685641999,0.888888888888889,0.886085038723906,0.772354497354497,0.809045226130653,0.812945996961466,0.686261107313739,0.739998693706933,0.816992781155015,0.844208037825059,0.840090706048589,0.821019149417122,0.81766330841729,0.936027163158841,0.929896609189538,0.94989539748954,0.94188827916139,0.946169541510922,0.940239043824701,0.95,0.832897033158813,0.846546310832025
"X1D04",0.511880733944954,0.597988680008086,0.602283596365375,0,0.855689132904203,0.843482064741907,0.874537037037037,0.854014598540146,0.884353741496599,0.808333333333333,0.769230769230769,0.847530566280566,0.850196850393701,0.882121352477999,0.822222222222222,0.933628318584071,0.778916917380236,0.755034464116773,0.786415094339623,0.794951425386208,0.593028846153846,0.6,0.603826107557451,0.534665687975444,0.937303459119497,0.915895841430237,0.91985401459854,0.959349593495935,0.923287095418243,0.915308547661489,0.908813747228381,0.926829268292683,0.926120857699805,0.879310344827586,0.914362108479756,0.819073392509201,0.824175824175824,0.798761313084829,0.863636363636364,0.63468242727966,0.691590962031214,0.777777777777778,0.644019475943366,0.906432748538012,0.909090909090909,0.900891954355048,0.958236434108527,0.849397590361446,0.960954263128176,0.961628709454796,0.967741935483871,0.958973280033663,0.950225225225225,0.829785661492979,0.832795698924731,0.836002151605429,0.514290899192451,0.540322580645161,0.558688524590164,0.896103896103896,0.882148692810457,0.889966485127775,0.903903037298896,0.917732896267315,0.914892830746489,0.911773122710623,0.89694099378882,0.925376597415578,0.914438502673797,0.895042839657283,0.785699210670719,0.831977085781434,0.830333068992863,0.653059184217542,0.73011309181522,0.832945736434109,0.923076923076923,0.933333333333333,0.927050997782705,0.923529411764706,0.962162162162162,0.947867298578199,0.962085308056872,0.956639247943596,0.961904761904762,0.957626357841817,0.970212765957447,0.846625766871166,0.871951219512195
"X1G01",0.840277777777778,0.822649572649573,0.727272727272727,0.855689132904203,0,0.449524290645786,0.529375614552606,0.473449248120301,0.854846768820786,0.810606060606061,0.829931972789116,0.848972922502334,0.833324581210944,0.84,0.83515037593985,0.91304347826087,0.763701201201201,0.789156626506024,0.785719797816105,0.775757575757576,0.80379746835443,0.779411764705882,0.819277108433735,0.80712322976115,0.645161290322581,0.643631651327621,0.602500350189102,0.774887387387387,0.806917862838916,0.794701986754967,0.801282051282051,0.848484848484848,0.859505010628606,0.847051218911598,0.837078651685393,0.761597542242703,0.770949720670391,0.748484625840344,0.744,0.842105263157895,0.858638743455498,0.887700534759358,0.843137254901961,0.668942218080149,0.684040747028863,0.647276995305164,0.937369246861925,0.817647058823529,0.944798052650559,0.941040355423917,0.949238578680203,0.942358034635522,0.93512506012506,0.807354925775978,0.817341616812395,0.814458689458689,0.836734693877551,0.840236686390533,0.825946704067321,0.628787878787879,0.534665687975444,0.571428571428572,0.559262510974539,0.885713514680484,0.863905325443787,0.881720430107527,0.883156028368794,0.875739644970414,0.880698226072607,0.881425743727077,0.761753144654088,0.812009162303665,0.81151832460733,0.852564102564103,0.839506172839506,0.90625,0.75,0.78437045652806,0.71326100370218,0.715680410168767,0.938302934179223,0.930555555555556,0.949308755760369,0.939725574971477,0.938595310005194,0.945378151260504,0.945833333333333,0.818181818181818,0.836667980813457
"X1G02",0.83206106870229,0.825198412698413,0.735605224429728,0.843482064741907,0.449524290645786,0,0.487472216609416,0.427877947295423,0.845070422535211,0.779661016949152,0.806672203765227,0.815533980582524,0.828696646341463,0.824780701754386,0.805328824626866,0.906458333333333,0.753333333333333,0.788461538461539,0.782603831006087,0.794786890813381,0.8,0.770992366412214,0.811688311688312,0.802589674824003,0.710210610503866,0.67910447761194,0.634782608695652,0.810810810810811,0.822085889570552,0.788321167883212,0.8,0.843137254901961,0.857533177205308,0.826446280991735,0.835294117647059,0.78169014084507,0.801169590643275,0.772868402197277,0.762295081967213,0.830356193514088,0.850267379679144,0.882022471910112,0.825174825174825,0.704225352112676,0.720684077826935,0.657242757242757,0.930655179322781,0.829113924050633,0.943722943722944,0.93580207774472,0.94666628740471,0.934008451865595,0.930784322671899,0.817914438502674,0.833844580777096,0.812080536912752,0.813191238054333,0.83128765060241,0.822748836376656,0.638569768942817,0.550862068965517,0.596706424505286,0.610490570273911,0.872586397737056,0.85,0.873245697593192,0.871508379888268,0.866454352441614,0.869208838203849,0.867642985736048,0.765875503806538,0.819178987859118,0.824431435528156,0.842465753424658,0.825150602409638,0.90159708249497,0.732316015106665,0.798897862521253,0.713786213786214,0.709802193497846,0.93010752688172,0.924528301886792,0.939109736299417,0.934653209109731,0.936117550468463,0.940803118071944,0.946354781582054,0.822085889570552,0.843258647798742
"X1G03",0.880857948022127,0.864976499074206,0.76551724137931,0.874537037037037,0.529375614552606,0.487472216609416,0,0.48999599839936,0.861313868613139,0.79828247088309,0.828358208955224,0.828571428571429,0.854838709677419,0.827097902097902,0.830769230769231,0.914691943127962,0.809017223910841,0.84375,0.82875939849624,0.827152014652015,0.84,0.830707196029777,0.854304635761589,0.841772151898734,0.733602150537634,0.697224344283168,0.673890023447546,0.825688073394495,0.833333333333333,0.807275132275132,0.820143884892086,0.845354003213914,0.860572143882773,0.833333333333333,0.843373493975904,0.815964683745839,0.825136612021858,0.810126582278481,0.807361344537815,0.858489778890279,0.872292965403138,0.900552486187845,0.858132068238451,0.692857142857143,0.713786213786214,0.661764705882353,0.926605504587156,0.835616438356164,0.939654051242034,0.930863776032776,0.932943861561521,0.932584269662921,0.926187827745114,0.843561746987952,0.859936305732484,0.840689655172414,0.858238335879657,0.871873045653533,0.84669099756691,0.620401226339643,0.566371681415929,0.571414289522794,0.628452693413323,0.870626419048728,0.860379746835443,0.879215611974233,0.874268605645851,0.869281045751634,0.876437541308658,0.875,0.803987811340752,0.846966655514665,0.854054054054054,0.876811594202898,0.853834925690021,0.914414414414414,0.718598300970874,0.779761904761905,0.694656488549618,0.696845504222553,0.925409635607728,0.922705314009662,0.941747572815534,0.92375300997592,0.928400546821599,0.936651583710407,0.93953488372093,0.838609497094771,0.861955334613791
"X1G04",0.840744400527009,0.832697201017812,0.725758796669353,0.854014598540146,0.473449248120301,0.427877947295423,0.48999599839936,0,0.855593785840892,0.79351961170143,0.8254662004662,0.840695488721805,0.845871040723982,0.830508474576271,0.835714285714286,0.911965655082395,0.762697828487302,0.793548387096774,0.788270504330107,0.788270504330107,0.805281966355792,0.785185185185185,0.817610062893082,0.813664596273292,0.68595041322314,0.639525072324012,0.62280701754386,0.814487053425107,0.827380952380952,0.786746792268962,0.805194805194805,0.841245474957613,0.853107344632768,0.841885964912281,0.830508474576271,0.774834437086093,0.789772727272727,0.767857142857143,0.755032907471932,0.841463414634146,0.864583333333333,0.897849462365591,0.847661744022504,0.673540249433107,0.683098591549296,0.642374517374517,0.937777777777778,0.822426814076612,0.94468085106383,0.938388625592417,0.942558355148342,0.937661917098446,0.933333333333333,0.818447634237108,0.836363636363636,0.82736882322975,0.83627779469997,0.852760736196319,0.82636476426799,0.611111111111111,0.524795081967213,0.563797313797314,0.573053589484328,0.878620458730956,0.858044603743529,0.885237068965517,0.87599743724154,0.874642857142857,0.88088144963145,0.879996081504702,0.767306550564021,0.81283422459893,0.825556682606386,0.8619555353902,0.852662419380211,0.912663755458515,0.71981308411215,0.767698830785044,0.675959203496843,0.694444444444444,0.93010752688172,0.926436392846573,0.944186046511628,0.930743450990038,0.931034118293663,0.940793528505393,0.944562647754137,0.82120811287478,0.843764669065874
"X1P01",0.865722705024473,0.849206349206349,0.850299401197605,0.884353741496599,0.854846768820786,0.845070422535211,0.861313868613139,0.855593785840892,0,0.580654761904762,0.60758547008547,0.65979381443299,0.618181818181818,0.571428571428572,0.647529411764706,0.702127659574468,0.803859518490941,0.803680981595092,0.806947791164659,0.764518546272012,0.871165644171779,0.883561643835617,0.880952380952381,0.884725267424091,0.912456920007256,0.914634146341463,0.896551724137931,0.9296875,0.727848101265823,0.672974537037037,0.655450157162101,0.649253731343284,0.723598410309835,0.5,0.730061349693252,0.822085889570552,0.842931937172775,0.795321637426901,0.859259259259259,0.848484848484848,0.832446582708363,0.87431693989071,0.854367507754212,0.906157550739594,0.901734104046243,0.906976744186046,0.796019900497512,0.830356193514088,0.774754901960784,0.806451612903226,0.814593036149922,0.757143790209333,0.787059644227415,0.832386088416702,0.823885918003565,0.834880379058568,0.873333333333333,0.868263473053892,0.863354037267081,0.900621118012422,0.880794701986755,0.860759493670886,0.895205282802182,0.662576687116564,0.57358641130871,0.708074534161491,0.724679487179487,0.616241691184483,0.660377358490566,0.648462255358807,0.807453416149068,0.818181818181818,0.83543622095707,0.87658329324996,0.827592985767083,0.857142857142857,0.899159663865546,0.890818186296242,0.898809523809524,0.883040935672515,0.795738509593931,0.784412955465587,0.759562841530055,0.762820512820513,0.823676463123699,0.76515306122449,0.833333333333333,0.842560435818863,0.837825144508671
"X1P02",0.803418803418803,0.8,0.795050444511038,0.808333333333333,0.810606060606061,0.779661016949152,0.79828247088309,0.79351961170143,0.580654761904762,0,0.536909161641704,0.548780487804878,0.67,0.568181818181818,0.574074074074074,0.774358974358974,0.73063284233497,0.728571428571429,0.734265734265734,0.706293706293706,0.818511198945981,0.832697201017812,0.835571377072819,0.819722222222222,0.913356271504535,0.890322580645161,0.894338118022329,0.936650286650287,0.755102040816326,0.765151515151515,0.736434108527132,0.700821051214752,0.802589674824003,0.551724137931034,0.756578947368421,0.813793103448276,0.820359281437126,0.740194588020675,0.857142857142857,0.794520547945205,0.790419161676647,0.828220858895706,0.789268092105263,0.869423131571469,0.865771812080537,0.876623376623377,0.841426999842841,0.808228829082711,0.846344249809596,0.850672096599647,0.856209150326797,0.828123168301356,0.834680263312566,0.817301763472685,0.806896551724138,0.796992481203007,0.798319327731092,0.803506352802127,0.789855072463768,0.863627465374639,0.857142857142857,0.82866927592955,0.872611464968153,0.742036924325421,0.710430582061069,0.732680394380944,0.75337899543379,0.712704255200491,0.72972972972973,0.708181265206813,0.761234071093226,0.802896894743917,0.8,0.816793893129771,0.792724867724868,0.838036565977742,0.867006802721088,0.875706214689266,0.870748299319728,0.858108108108108,0.849397590361446,0.835615204467663,0.846994535519126,0.830634880163182,0.859781543201232,0.847454844006568,0.870973708873872,0.825806451612903,0.824837662337662
