"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1G04","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G03","X3G04","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W04","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4S01","X4S02","X4S03","X4S04","X4W02","X4W03","X4W04","X5D01","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W04"
"X1D01",0,0.393151162450008,0.323935535017205,0.383373291397085,0.82859712458138,0.850947669097993,0.878310926144412,0.853898856106657,0.835165769980098,0.798824386624436,0.686334359833551,0.836861365333914,0.758394324031979,0.87304671629267,0.807245512011957,0.91495301081684,0.645982969260984,0.628793078567278,0.645795115049082,0.593895371923779,0.411673533743308,0.40192404416789,0.37531142348481,0.364495665938484,0.92578143149845,0.901690609828321,0.878159882386334,0.92934426880599,0.906585748999788,0.887052455060319,0.864868406349662,0.930687596881519,0.896762078286083,0.860484912741186,0.888628114415362,0.765872904602247,0.763546566026398,0.742432894769023,0.747914371151399,0.597798448073876,0.660488233166579,0.72511559272706,0.661338520610566,0.912412562447734,0.920070328711576,0.904927701560377,0.950787679630452,0.825555023430555,0.966760199404364,0.982174115501382,0.981418979575847,0.982185683261493,0.961767967403316,0.800410506978674,0.813198939289176,0.796375400265664,0.591233981459358,0.494741983402815,0.55146544110728,0.908230306361938,0.859642706151612,0.905395785018469,0.876497905137992,0.932598983165912,0.86996442944192,0.912803429695637,0.872729156494889,0.906545303891378,0.871259789909077,0.920408948259455,0.740978522649449,0.757017971684025,0.784576838193096,0.655731698831321,0.716792179294565,0.797911744987021,0.903807400381645,0.931740132076763,0.888836782617467,0.898126357641449,0.975662186898605,0.961865020414262,0.978170353002917,0.976792079016211,0.983114547509856,0.977373513391712,0.972883406167965,0.804683619313658,0.824575577521589
"X1D02",0.393151162450008,0,0.357480544285877,0.396518453528768,0.862190291115806,0.875012348542128,0.891609271359147,0.881641378239703,0.859741169532363,0.810354965728279,0.713825920317606,0.765085820611188,0.823286430390017,0.872209098881601,0.809179592488892,0.914922750484692,0.702867041859125,0.70502355695288,0.674059583124564,0.661437782236204,0.548195490891445,0.610193273390533,0.520722971150045,0.495085304096073,0.95101605872205,0.928063461189362,0.921323131354698,0.950749026121757,0.919906702950567,0.907092795854538,0.899923078108687,0.93275448221007,0.917831415831883,0.858697359702607,0.913057287475065,0.810778652607115,0.791128726905822,0.760285321943203,0.828264101648321,0.639407081201178,0.704333777577201,0.753898485548453,0.699033214764503,0.923999152343975,0.922931261889686,0.922837317578783,0.95155494364048,0.796289431572833,0.965102209220965,0.982515807027052,0.981824050373943,0.982630379036123,0.962136321296218,0.785345030264543,0.793439841221145,0.793946878751716,0.611648597000834,0.570374962708453,0.579474773033011,0.916429342445788,0.891924342981273,0.918364952673366,0.91500713565564,0.934572859201839,0.892112309546553,0.912699259612892,0.92276600484784,0.919608304630211,0.878425999021618,0.908356352592244,0.73839494965696,0.772259448464208,0.782411218481405,0.694680036084067,0.730599108643181,0.797961484130397,0.914689870428295,0.934280380675751,0.887329089098987,0.899709301137037,0.974287185475847,0.96295355719731,0.974323533920049,0.975311924216523,0.982449447964879,0.977122630260259,0.973134079218996,0.798501559285776,0.802899201692894
"X1D03",0.323935535017205,0.357480544285877,0,0.343264310393249,0.759007987729003,0.775040333134328,0.783826257925094,0.772380842212997,0.836770666213848,0.787376843623998,0.661377962370305,0.788247921204923,0.787757985142208,0.847978155941622,0.779890700578835,0.891110898592147,0.627618703459583,0.629504704357451,0.608308630160495,0.595572556157524,0.446155535739649,0.486650855748171,0.40861037857622,0.388135713932388,0.862992417372891,0.817984704431043,0.809632901200324,0.872056924683954,0.873268520201161,0.84987775230607,0.841917096081042,0.882337867485307,0.867751905238698,0.826315922721643,0.866012734339582,0.755853324261906,0.741632604291443,0.711606702923019,0.765143952568855,0.535027400056926,0.582732811424673,0.67589500240748,0.605110137739909,0.79817042466292,0.810277068612788,0.811321994252802,0.930466897830217,0.730631698649841,0.951903372230747,0.967463569453698,0.967386564579697,0.968775509332145,0.934597648843199,0.732599421981514,0.738838947221037,0.749806443327818,0.498995002890595,0.449330079374867,0.438680119985882,0.791648584885373,0.768939491740203,0.796086571616439,0.789202090079088,0.882621286538696,0.830888099412192,0.865024560058271,0.819101451850867,0.873137032993697,0.827901120807338,0.873060485440277,0.677089740244689,0.709875103112267,0.732333861874875,0.593667601872717,0.637769662941931,0.742643573648859,0.813219471857283,0.836067495660586,0.779058118020614,0.787909263096332,0.95950192766377,0.947485690418556,0.966691331628229,0.96471931417557,0.969574732679716,0.963110441941654,0.96139586062788,0.74092593366998,0.75641917054517
"X1D04",0.383373291397085,0.396518453528768,0.343264310393249,0,0.844638065843834,0.856533175907159,0.88131521361858,0.869899768815488,0.847424542499964,0.77205337657752,0.646356691007118,0.781881633326782,0.821332995093711,0.86456109177193,0.777834484971947,0.905544790503186,0.688862372159617,0.680064583785014,0.644278805963308,0.658028117148187,0.484058796920716,0.486424878830181,0.432081461586744,0.375056222173107,0.948993284654673,0.913697086251088,0.912091910349934,0.955194331060062,0.911262852090684,0.901706613165129,0.888501801210492,0.932441636979371,0.908041617508328,0.850197296515151,0.90188951420343,0.807993256597778,0.787325306231668,0.748533446600359,0.83626496618055,0.468012647318961,0.564558899185802,0.608889857393221,0.524011482282354,0.921531668887971,0.909866266030142,0.914126467075987,0.94583739464413,0.724006415152835,0.960679716477516,0.978008025321487,0.979547691817554,0.980977295319986,0.958466853597146,0.722717598044536,0.730942352072976,0.718486020275007,0.382421587171355,0.36660094748666,0.366479407017071,0.905198437012881,0.882469444204242,0.918721154319467,0.896183428545478,0.914984804689262,0.873162279650371,0.89810018949775,0.84795352652016,0.914575021598951,0.869321239646689,0.878403418169254,0.665516976122754,0.75169893255401,0.729957768988586,0.526889905944165,0.559662389639013,0.740386543349562,0.924689074977564,0.932983290921452,0.857826613091797,0.905790064348141,0.976991559477086,0.958341268624885,0.977258143310385,0.977206091279015,0.981817390243572,0.975431956180518,0.975057405727406,0.724050196448701,0.729181370891358
"X1G01",0.82859712458138,0.862190291115806,0.759007987729003,0.844638065843834,0,0.276371805299318,0.344099831715668,0.298505338129179,0.756630349271536,0.754774879121572,0.796194531139216,0.841245811957234,0.745457181441313,0.8401448184016,0.807343815645887,0.897353815323923,0.709894408674119,0.73166609534105,0.719075096184983,0.70354478172478,0.757086362269983,0.809515786263216,0.799497780144482,0.778632677070227,0.709447561717903,0.565160178968672,0.552812038571499,0.80387637578995,0.744256019501606,0.656901592011703,0.669165488622258,0.828363751765093,0.758588768575936,0.819799698207262,0.73351694638366,0.662482651166158,0.669447368719614,0.651895938081599,0.741186135918141,0.842517501595381,0.829171020978687,0.847215302627973,0.83051333378494,0.624546439977187,0.615637628392312,0.518101831228675,0.943818589312521,0.7731640810027,0.956712275499208,0.97407218446356,0.975020785394517,0.97327591761661,0.945165019112548,0.744572955224409,0.734750957167868,0.738108048898353,0.847732781969006,0.831942746301573,0.820390264869864,0.500098045603804,0.409711850817518,0.448001563532937,0.445421277344765,0.865623094915979,0.749479567232105,0.860883861358938,0.900417001888393,0.819202828504661,0.843299082159148,0.866981889049242,0.664080374783123,0.724049543326323,0.747533585904536,0.834771412620243,0.87777814046174,0.893624880544823,0.68701437726794,0.692918731864011,0.628492680729193,0.654258675218557,0.967976018249926,0.958874800857066,0.973405899656295,0.967675486411908,0.970984460284664,0.970960349809089,0.966824336835669,0.775445399049292,0.808899740163389
"X1G02",0.850947669097993,0.875012348542128,0.775040333134328,0.856533175907159,0.276371805299318,0,0.284260233240455,0.185582060457267,0.725919696016893,0.731784587064134,0.770498412830018,0.811965911196859,0.765644581808132,0.803819173208066,0.766978985952778,0.880603625280218,0.749781445376583,0.774152861522628,0.75083640052791,0.726390752603843,0.786069994942816,0.834602991225809,0.837636677457128,0.813433351341561,0.799538895803154,0.592413923183569,0.582650912524435,0.84576157595154,0.785877144144823,0.674144910541265,0.70330250033803,0.825687007628319,0.756689101428234,0.784526723998776,0.76469662794025,0.729956151939508,0.759894167300806,0.73799271097127,0.770559451700253,0.868187894032269,0.844276962758746,0.884011436546204,0.872549503599518,0.698839255249023,0.687368577879474,0.569474648985286,0.939949191650406,0.812642261517447,0.953372525802224,0.969351414470189,0.972930949017453,0.969751790407279,0.939873457427413,0.787157727750495,0.804351600344786,0.785874875879455,0.855038902601559,0.854423711401583,0.830607098014,0.568842798243861,0.425846760709395,0.501807700936707,0.504322106955478,0.874293239084415,0.735567358037582,0.844469474359592,0.886031170779669,0.800859531720753,0.827963731275663,0.891522070706264,0.710228138526971,0.771329913679727,0.784946077223286,0.871419686664432,0.885836044452034,0.899985412877633,0.671772412263979,0.746259676376106,0.662308953878285,0.704898890155031,0.967643244897707,0.948554915737716,0.969393100476033,0.96270274800351,0.96812619223006,0.967861876133657,0.962728166782926,0.813861080046894,0.85223372998037
"X1G03",0.878310926144412,0.891609271359147,0.783826257925094,0.88131521361858,0.344099831715668,0.284260233240455,0,0.30531250393487,0.767088784750111,0.783511916805986,0.778947282828892,0.819340544645364,0.778189353726122,0.820987112596078,0.776425481753912,0.885952955183231,0.804572585860992,0.811494938939349,0.801275718938125,0.791340474873197,0.817248261798953,0.869809017660921,0.855195305756647,0.846918944800961,0.811141738204916,0.599141381109739,0.590095643584635,0.841463953634934,0.772471827074182,0.675824997976236,0.699655305023634,0.800982492254801,0.745195745062608,0.801277752692134,0.761116087025813,0.76625644209704,0.776395394242041,0.755714854484025,0.823435703928787,0.887942109511578,0.855323722442545,0.898383933765119,0.895405660816103,0.676563402755517,0.66768928412781,0.510944530533621,0.929767169484306,0.825644958919526,0.946763155932631,0.962132008316022,0.960783385969372,0.962021861103339,0.929357483221991,0.807139030014782,0.825801366134554,0.793886326115952,0.878617952295118,0.873208242355535,0.851579607736962,0.5391900824057,0.376411142719515,0.401994908282433,0.459541951011175,0.863149686015855,0.737207070418776,0.840033123015835,0.886587827809725,0.786090465755251,0.837045628622752,0.88832996663555,0.737238466058277,0.798690755788313,0.793547342022322,0.887099458753142,0.905580909085261,0.919865454735244,0.702030535343001,0.729083461093253,0.649933252537792,0.675295497588266,0.954418499996211,0.948284370409058,0.962887121675644,0.957076674901716,0.959299186212476,0.963790811574708,0.956730595359118,0.82487519787024,0.856712464190957
"X1G04",0.853898856106657,0.881641378239703,0.772380842212997,0.869899768815488,0.298505338129179,0.185582060457267,0.30531250393487,0,0.722834425117484,0.768990041815784,0.776981208496414,0.82485710587138,0.768309297180907,0.832465971035906,0.783823101339468,0.886557253443785,0.774046670907507,0.787089157803445,0.777673984656129,0.760399561347955,0.786101466011051,0.83963800427401,0.826671878691293,0.823537780732961,0.792076709588165,0.57422869385669,0.557959760942567,0.83967557637177,0.7882733768313,0.664561092896282,0.706755577867954,0.810294075763591,0.74169213860485,0.812918248865357,0.75711889879702,0.737339419121759,0.76160165793701,0.74305883466117,0.790617883399546,0.885910550844474,0.858801359519035,0.899722962941223,0.896257938681071,0.688150797434079,0.678475375397803,0.573582267385309,0.945613809144215,0.821834635841773,0.95985240637917,0.972025766811053,0.972800763976362,0.970627593188975,0.943550099999366,0.800464033969276,0.823351702772013,0.800524518946395,0.866526021432705,0.86743093424759,0.838674854161258,0.57067917225484,0.435708927010954,0.500658513707255,0.513613252461551,0.873110036706779,0.739731567848742,0.842097486641611,0.883094778507564,0.804475593468232,0.841516698930849,0.892902774241311,0.730104306784127,0.791556510217612,0.794452571154544,0.886412957459113,0.906815333805697,0.919359347035519,0.643404638436425,0.740058031127148,0.656010321771912,0.695515670173252,0.969207478585554,0.950988646512299,0.975198428780563,0.964823082932546,0.969270234516961,0.967395530905485,0.96659580003042,0.826909652417293,0.866126593390506
"X1P01",0.835165769980098,0.859741169532363,0.836770666213848,0.847424542499964,0.756630349271536,0.725919696016893,0.767088784750111,0.722834425117484,0,0.500169152459946,0.517281616945429,0.55950075815925,0.534289850323689,0.551825926391195,0.474544413132837,0.589103162586058,0.745804024028553,0.750311355685409,0.72605210503983,0.725412959780744,0.83325539614396,0.873427362808615,0.85611977948325,0.824688690311937,0.926003540016897,0.847706152631705,0.836416317357126,0.934373566181299,0.706818354997701,0.666723655197831,0.580261222131799,0.59773454627848,0.631935177010535,0.526134314994072,0.580904383876601,0.697365153466379,0.787939049607928,0.771428015828639,0.815150294797359,0.837043738502065,0.812216709414727,0.853167694130543,0.831289307526924,0.892111697025051,0.886240511605951,0.849774095897712,0.766002038700841,0.798441391786626,0.709897306265908,0.753875766295953,0.800317022559365,0.748922093275937,0.74426996833441,0.787576491668692,0.809469054731636,0.778874027682705,0.848743646818273,0.840659575172238,0.822091350129468,0.855799286610115,0.809159506803035,0.813188423214517,0.847084280629625,0.587098899308297,0.507215669614122,0.55131660651532,0.672610110164872,0.513789820171003,0.608367529752059,0.590831719443132,0.686082640816628,0.715472526032226,0.724260785044451,0.869588889172659,0.863656959433069,0.866362559585875,0.787678950457867,0.910641027291389,0.890103867689881,0.884533987572727,0.756437443122122,0.776377708003292,0.794020606063543,0.821229920929727,0.795867194897532,0.776250906339224,0.812228076857427,0.760772275497216,0.827395643231869
"X1P02",0.798824386624436,0.810354965728279,0.787376843623998,0.77205337657752,0.754774879121572,0.731784587064134,0.783511916805986,0.768990041815784,0.500169152459946,0,0.421254655964228,0.347533953741063,0.65246652138254,0.440715393300515,0.366093383829816,0.585294155879942,0.67238883342167,0.707590715443956,0.609181851910535,0.631617093720218,0.768820282009485,0.80434997078736,0.807247367723561,0.764910814602239,0.94088831284533,0.864571837307345,0.860638611712285,0.94299487511244,0.786725476178573,0.761861641073453,0.765458799287282,0.702672973724196,0.733710423731693,0.434535298633345,0.658256531114549,0.700722743087762,0.772002454006556,0.733414376357184,0.830265035888627,0.789263396174741,0.747248813122228,0.797647279660511,0.776735223951232,0.898905373587636,0.878690348608206,0.854098202451656,0.821068153525425,0.797968348854558,0.74240276585054,0.771368676867175,0.867610544457164,0.798166766021303,0.806296713920717,0.785188913976572,0.804921489110045,0.793195452855754,0.767570866552502,0.771008050302055,0.754040403378201,0.858454986847677,0.864298198357956,0.862626228215989,0.846905235084379,0.626694872387029,0.615234637162768,0.569778499631796,0.689984295790977,0.629464678435802,0.648745773562629,0.572566102983991,0.677825048107152,0.707825879606548,0.700782060895873,0.814472702270758,0.798387700321813,0.831666438118286,0.902566179488812,0.914507131749848,0.892522575183257,0.886130211864865,0.768072099461289,0.834500194146226,0.836930656638116,0.888776069886004,0.829609346391336,0.81601712767328,0.840539063708543,0.795428836970618,0.843935107301892
