"","X1D01","X1D02","X1D03","X1D04","X1G01","X1G02","X1G03","X1G04","X1P01","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D03","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P03","X2P04","X2S01","X2S02","X2S03","X2S04","X2W01","X2W02","X2W03","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G03","X3G04","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3S04","X3W01","X3W02","X3W04","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4S01","X4S02","X4S03","X4S04","X4W02","X4W03","X4W04","X5D01","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P01","X5P03","X5P04","X5S01","X5S02","X5S03","X5S04","X5W01","X5W04"
"X1D01",0,0.536138900971437,0.598745773374223,0.4889699918897,0.849757281553398,0.86301267038972,0.901639344262295,0.875,0.898077273555677,0.843840317919075,0.801732353141379,0.877414252414252,0.825946704067321,0.892857142857143,0.84533223347366,0.933944731738849,0.765013661202186,0.770681482806421,0.773869346733668,0.779153118533846,0.535483870967742,0.558037718904356,0.559994695764189,0.515625610375405,0.939057704112953,0.930520664006699,0.927977286678944,0.949367088607595,0.931506849315069,0.918032786885246,0.912595823420566,0.936065401949481,0.934579439252336,0.877246797976536,0.922018348623853,0.820773848150552,0.813794926004228,0.809045226130653,0.801282051282051,0.622586520947177,0.708768711281274,0.76515306122449,0.662650602409638,0.929577464788732,0.932735426008969,0.925303389594086,0.960601698981176,0.856812169312169,0.968253869506793,0.973333236583171,0.97266500622665,0.974248927038627,0.962544714876903,0.83907413676371,0.839811320754717,0.842105263157895,0.583612975391499,0.517314290273677,0.59748427672956,0.930116279069767,0.897697540554683,0.917287086875597,0.917240941952395,0.931957446808511,0.917652794397908,0.92871259175607,0.94017094017094,0.924623115577889,0.907526005997113,0.923566534439236,0.788838612368024,0.817611998030804,0.842312474098632,0.641917488863911,0.731861888111888,0.840163934426229,0.925170068027211,0.94531166552224,0.916083460117366,0.92465353147437,0.966873564006721,0.94921875,0.967741935483871,0.961070329149893,0.969052108586992,0.964912280701754,0.971325796505653,0.851351351351351,0.853964946684643
"X1D02",0.536138900971437,0,0.609379272627837,0.533598930183317,0.82712607895854,0.848293057153817,0.878593009962437,0.862275449101796,0.882170259408111,0.819991999644429,0.791139240506329,0.862666269604924,0.817518248175182,0.874586092715232,0.857142857142857,0.925196850393701,0.741277890466531,0.748717948717949,0.754010695187166,0.764250234930863,0.593869463869464,0.589849233962034,0.617834394904459,0.578616352201258,0.927542572524736,0.921465968586387,0.920245398773006,0.939162618551932,0.927536231884058,0.907975460122699,0.900552486187845,0.922222222222222,0.92156862745098,0.857142857142857,0.910188679245283,0.826702618916912,0.815601091673751,0.785527299925206,0.80621103117506,0.683422816436818,0.738428401663696,0.761387163561077,0.695084716607896,0.921465968586387,0.92079013798005,0.918158032443747,0.954364735023587,0.819587628865979,0.959779411764706,0.967611336032389,0.96551724137931,0.963963963963964,0.953902250555395,0.814178033022254,0.808510638297872,0.824175824175824,0.582411682594223,0.6,0.608391608391608,0.919191919191919,0.878961530795296,0.903648307500204,0.908860175357637,0.922374429223744,0.910708702449192,0.920560747663551,0.93719806763285,0.920843776106934,0.896713615023474,0.910796155880797,0.770891527001862,0.815146644441799,0.831167369901547,0.673469387755102,0.745454545454545,0.851528384279476,0.912408759124088,0.936974789915966,0.894096084286165,0.906799248196688,0.959459459459459,0.94625,0.957446808510638,0.953846153846154,0.959183673469388,0.958955223880597,0.966789667896679,0.831632653061224,0.826673127351499
"X1D03",0.598745773374223,0.609379272627837,0,0.580838323353293,0.705607476635514,0.728904941373534,0.747395550732501,0.726598713748332,0.880459138375682,0.824120603015075,0.787432280963946,0.869109947643979,0.829401389042002,0.869346733668342,0.838330130258381,0.910563514399983,0.716186710728195,0.727659574468085,0.734971213023625,0.742613929798942,0.587768440709617,0.635838150289017,0.587894504524388,0.555264688772542,0.836493529834651,0.801344020231685,0.804022639983829,0.877094972067039,0.875751004016064,0.856447486853949,0.858769198837692,0.888888888888889,0.882591093117409,0.850133689839572,0.879447752097886,0.781474373447731,0.771606401896858,0.740824915824916,0.775678676835861,0.625604090304205,0.681818181818182,0.747375607334114,0.668381380587146,0.797297297297297,0.81140350877193,0.796838693897517,0.938742593811718,0.765765765765766,0.94871742189988,0.948892526293794,0.948717749214155,0.949818209848787,0.938461358642293,0.777777777777778,0.771112779281326,0.789237668161435,0.586295940427576,0.543594329449515,0.5257176447536,0.784028757939308,0.738577502899111,0.761909082660376,0.770925110132159,0.890977443609023,0.886178861788618,0.887813893627847,0.906846581048247,0.900414937759336,0.88030888030888,0.893280632411067,0.730434782608696,0.766235287631963,0.793230358504958,0.664921035314762,0.714285714285714,0.811010101010101,0.815784072249589,0.838531566472743,0.775157751852667,0.792330311198236,0.946048293682616,0.930915165254743,0.946808510638298,0.942028737011762,0.947019867549669,0.947611585944919,0.953487365870543,0.791074132595958,0.795794624494717
"X1D04",0.4889699918897,0.533598930183317,0.580838323353293,0,0.84433962264151,0.860455785588188,0.886312550173936,0.874079133531736,0.903389552971999,0.837078651685393,0.780346820809249,0.876159803696036,0.839087301587301,0.896551724137931,0.840502621029911,0.933566433566434,0.747548784004614,0.745902185501066,0.753523922970022,0.773366526904263,0.537577276524645,0.556669185297124,0.569767441860465,0.489374676620593,0.938714337305887,0.927601809954751,0.926315789473684,0.96319018404908,0.930585356672313,0.923469387755102,0.918269230769231,0.932713866850638,0.93818954426728,0.87572292982984,0.916666666666667,0.834158597867386,0.817409345119971,0.78520629131525,0.843299337404184,0.589526411657559,0.658031088082902,0.728155339805825,0.609611776591139,0.920642107429512,0.921052631578947,0.920878738696963,0.960714285714286,0.828766266266266,0.965635738831615,0.971014492753623,0.971014368505881,0.969579989879274,0.961538461538461,0.807425593315243,0.809173775856024,0.7981220657277,0.486301369863014,0.478787878787879,0.513437950937951,0.91743119266055,0.889423076923077,0.911547377571718,0.908695652173913,0.922178988326848,0.922018348623853,0.921055221163466,0.929752066115702,0.930875576036866,0.894625805018876,0.900207468879668,0.76555023923445,0.800821441824377,0.818729463307777,0.609081553897607,0.689460354568479,0.82258064516129,0.926380368098159,0.937036173335711,0.898003933136677,0.915367063492064,0.968565693994133,0.951489835700362,0.966101574691446,0.964601769911504,0.96885775862069,0.965811865912385,0.97306366769454,0.824054204419011,0.828637566137566
"X1G01",0.849757281553398,0.82712607895854,0.705607476635514,0.84433962264151,0,0.407154989384289,0.49375,0.420382165605096,0.8906600249066,0.855721393034826,0.867880863428809,0.884207318762293,0.837629893427592,0.888606880992668,0.882882882882883,0.913599778815434,0.790647982508448,0.797494507793702,0.806179392949503,0.785714285714286,0.809734513274336,0.800995024875622,0.804819624819625,0.814500581987487,0.687665343915344,0.670157068062827,0.650887573964497,0.779761904761905,0.849892703862661,0.800497512437811,0.828571428571429,0.876106194690265,0.87603305785124,0.87378640776699,0.855371900826446,0.777777777777778,0.796871900511177,0.770237137493775,0.777142857142857,0.855161823765651,0.859679964996171,0.881226053639847,0.859955565770321,0.679611650485437,0.70449362843729,0.666666666666667,0.942176870748299,0.834711591033352,0.95047972289489,0.953410852713178,0.954886580453678,0.956989247311828,0.944353369763206,0.820717131474104,0.831249674428296,0.839478637304724,0.837641768562821,0.839584310048445,0.823529411764706,0.625,0.511561079925154,0.564608780734148,0.566250742721331,0.898147512864494,0.876068376068376,0.907407407407407,0.90530303030303,0.891485507246377,0.893607758361857,0.9186688533552,0.8,0.828412681119948,0.831815385438399,0.85808363192503,0.869198312236287,0.915824915824916,0.744562684480348,0.774851876234365,0.700898997348855,0.708127062706271,0.951582699883482,0.935538545653362,0.954305658512478,0.946169541510922,0.948452999527633,0.955695758850333,0.954619005589879,0.834351157810199,0.851995964836432
"X1G02",0.86301267038972,0.848293057153817,0.728904941373534,0.860455785588188,0.407154989384289,0,0.4448499594485,0.362010484119642,0.883248730964467,0.831428011497256,0.851172940534643,0.860400155904898,0.851850649350649,0.865887723123041,0.859599932027286,0.910071942446043,0.805687203791469,0.822893342289894,0.82380174291939,0.819193892399386,0.836977118764508,0.814712520788786,0.836921482845959,0.840179316096747,0.750008257638315,0.695410843492913,0.681673422119282,0.814569536423841,0.851351351351351,0.805555555555556,0.827318149201371,0.867321066357577,0.869073824956178,0.862535612535613,0.861607142857143,0.805,0.836697979584195,0.807875332247278,0.804805888295569,0.86334199329794,0.869938884644767,0.886075949367089,0.85749299719888,0.693335040109234,0.727957971676565,0.680739668040548,0.936711346143777,0.84339966367713,0.950494510282328,0.94963768115942,0.95,0.951612903225806,0.938999699034173,0.834403449041522,0.853827431722237,0.849056603773585,0.834224598930481,0.854585502603124,0.838235294117647,0.624277456647399,0.506330128205128,0.584566335517509,0.606936416184971,0.889326334208224,0.871428571428571,0.898206599713056,0.891021541722242,0.885244282516132,0.880411862735095,0.905430802631153,0.81057268722467,0.839218944744495,0.842505263765106,0.866158007553333,0.863097802671262,0.916967509025271,0.72027972027972,0.778250591016548,0.700952446367654,0.70801282051282,0.946502057613169,0.929368029739777,0.950191570881226,0.939130434782609,0.944146931135779,0.948979591836735,0.954465709728868,0.84061260299054,0.855834904672114
"X1G03",0.901639344262295,0.878593009962437,0.747395550732501,0.886312550173936,0.49375,0.4448499594485,0,0.446425838052962,0.886486486486486,0.848675403367857,0.854054054054054,0.866454352441614,0.876831785345717,0.878700297775442,0.873390328613412,0.917123659562916,0.838029100529101,0.858407079646018,0.848623853211009,0.850777963007065,0.872549019607843,0.861590038314176,0.871979548478977,0.8660500683527,0.752266766579243,0.694527611443779,0.686674669867947,0.827586206896552,0.844865308354984,0.810650887573964,0.836400133824021,0.865284974093264,0.864485981308411,0.872832369942197,0.86036036036036,0.841185897435897,0.853916096965173,0.816663264611826,0.841176470588235,0.883824750830565,0.878787878787879,0.89587803500847,0.881443298969072,0.676303475935829,0.707890070921986,0.671272953625895,0.932695296886797,0.847873959000641,0.942651593011305,0.941291360294118,0.939464411557435,0.942267795803149,0.930501930501931,0.851611649766857,0.865884724437356,0.859858232877331,0.863136863136863,0.871263687481503,0.855,0.606696428571428,0.536430232048076,0.548703352308665,0.591715976331361,0.883370702541106,0.872037914691943,0.892853988943641,0.889380530973451,0.889723618090452,0.886670355075184,0.902382297551789,0.831818181818182,0.85598353909465,0.857142857142857,0.892112847799579,0.877991526394137,0.92235142118863,0.708049040511727,0.767123287671233,0.692307692307692,0.689748311847759,0.938560540696002,0.924901185770751,0.944,0.934461436797885,0.939508290451687,0.946619217081851,0.949482306047054,0.852017937219731,0.866215437788018
"X1G04",0.875,0.862275449101796,0.726598713748332,0.874079133531736,0.420382165605096,0.362010484119642,0.446425838052962,0,0.885862324204293,0.858266740148801,0.871134020618557,0.874301327088212,0.865168539325843,0.876404494382023,0.882491024578846,0.914893617021277,0.816275748658473,0.832627004507336,0.831080669710807,0.822647816318702,0.836448598130841,0.824468085106383,0.835230607966457,0.851351351351351,0.722057856673241,0.659154393092941,0.653010033444816,0.803921568627451,0.848880892122746,0.794444444444445,0.825242718446602,0.861904761904762,0.862746401306544,0.870528393562102,0.852813852813853,0.801020408163265,0.823902413283614,0.7946961714085,0.796560898699251,0.876332060374614,0.882352941176471,0.89897254448338,0.87590618336887,0.659396172590039,0.693499622071051,0.657676650189008,0.941176470588235,0.846322537112011,0.951884920634921,0.949910394265233,0.952586206896552,0.952286093720357,0.941593297714902,0.841434191702432,0.855203619909502,0.852674207512917,0.858585858585858,0.870689655172414,0.85117668709,0.587722298221614,0.483551919664113,0.540626586976054,0.559761904761905,0.892709563164109,0.872774931728028,0.904107279693487,0.896049446749654,0.888372093023256,0.889336162768094,0.916334661354582,0.817391304347826,0.840909090909091,0.850640038242949,0.881773399014778,0.885321100917431,0.925531914893617,0.705257711638908,0.754348154869933,0.680101522842639,0.689296427597491,0.94704662352746,0.933456334563346,0.952466577540107,0.939130434782609,0.947089782511322,0.952380952380952,0.954022864538395,0.847457627118644,0.860759493670886
"X1P01",0.898077273555677,0.882170259408111,0.880459138375682,0.903389552971999,0.8906600249066,0.883248730964467,0.886486486486486,0.885862324204293,0,0.6,0.647617319787131,0.589655610623967,0.614835164835165,0.614285714285714,0.638631947143412,0.687224669603524,0.824644549763033,0.827136727579205,0.839724770642202,0.829984776250951,0.898382829834443,0.900523560209424,0.908466339910351,0.903083700440529,0.934176793313849,0.931034118293663,0.923677567889934,0.943396226415094,0.739897959183673,0.758823529411765,0.670623458964424,0.715097402597403,0.727748691099476,0.572463768115942,0.706467661691542,0.831248410882278,0.852877514642221,0.845624468988955,0.862172207309519,0.875841115778312,0.867389002344755,0.874738493723849,0.87192118226601,0.92,0.916114381505594,0.925581395348837,0.782329988851728,0.858427284115246,0.787877551020408,0.805958747135218,0.827855603448276,0.798139042621216,0.783441558441558,0.855263157894737,0.86214504150284,0.85981308411215,0.895,0.899563318777293,0.887217194570136,0.917619705919316,0.899521531100478,0.904880952380952,0.918918918918919,0.694835680751174,0.614942528735632,0.683805646610976,0.736585365853659,0.645531561461794,0.707193890120719,0.699507389162561,0.84175465057818,0.828405129482072,0.847058823529412,0.898304488532433,0.870813397129187,0.883458646616541,0.909090909090909,0.911196911196911,0.92094298245614,0.906396028037383,0.790243902439024,0.784774347242442,0.789596003030489,0.822620371841729,0.814655172413793,0.798814970135977,0.8280625,0.861539502164502,0.854213366542134
"X1P02",0.843840317919075,0.819991999644429,0.824120603015075,0.837078651685393,0.855721393034826,0.831428011497256,0.848675403367857,0.858266740148801,0.6,0,0.507042253521127,0.508620689655172,0.681005242059821,0.54800307219662,0.542253521126761,0.741379310344828,0.763022246337493,0.766262147207886,0.765,0.782608695652174,0.842105263157895,0.857142857142857,0.863525498891353,0.847420634920635,0.936842105263158,0.919597989949749,0.922222222222222,0.94375,0.766504266233599,0.805882352941176,0.770114942528736,0.747092630155511,0.801512740864207,0.51953244216566,0.744948979591837,0.847368421052632,0.84463601532567,0.78921568627451,0.877300613496933,0.832934609250399,0.817532350826743,0.825471698113208,0.811111111111111,0.909090909090909,0.900934579439252,0.906702400586403,0.827447721922171,0.826189018166973,0.811987704918033,0.823649951783992,0.846736714487775,0.814724480578139,0.824151058595363,0.828239202657807,0.8317069687738,0.816172759391449,0.822539682539682,0.838548926679677,0.827318149201371,0.899267974487824,0.891472143582074,0.89432612799447,0.902777777777778,0.706022389446302,0.670391061452514,0.686067087244191,0.766579722745496,0.676385583134988,0.693304105221204,0.681821660926138,0.783330684887971,0.8,0.805668016194332,0.835196053946054,0.830333068992863,0.856015564202335,0.894366197183099,0.917821654822009,0.88785046728972,0.880382775119617,0.818837535014006,0.823008849557522,0.835555555555555,0.840610775907696,0.832627004507336,0.824,0.848721393495784,0.831753235082674,0.836130536130536
