"","X1D01","X1D02","X1D04","X1G01","X1G02","X1G03","X1G04","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P04","X2S01","X2S02","X2S04","X2W01","X2W02","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3W01","X3W02","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P02","X5P03","X5P04","X5S01","X5S02","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.652036661190905,0.282947714621046,0.772134058915326,0.742116392778656,0.733145386575722,0.699874995089264,0.720167566554087,0.74005811088631,0.649628932007662,0.619809237702799,0.72433101627838,0.692929785546344,0.668590926829651,0.520464571614381,0.574337946523463,0.610516604505291,0.569340489877115,0.588464421414658,0.566148298578906,0.59620903453423,0.936839192584316,0.910719005563478,0.894849514194942,0.942446889725024,0.906295388556802,0.881346892471806,0.924441639876145,0.881637531603363,0.901124630224896,0.909021804545778,0.760751238739534,0.71065719558788,0.76748923582883,0.630858935888843,0.567905111695009,0.65653557278072,0.68474156891062,0.715293662120592,0.764596706114527,0.776767408048714,0.763112563415816,0.953424846357581,0.931594078199294,0.967165735598072,0.928499811029584,0.933249646088842,0.955995244405843,0.943465059360304,0.726921114745243,0.666347929732525,0.705976077606901,0.490319729234071,0.379372080088394,0.435333894256948,0.434505421201079,0.722788795151033,0.774475737300889,0.721123291619208,0.7533054854123,0.864317578821113,0.757941794353597,0.910722248943527,0.887082404681509,0.852785254993072,0.795648533795294,0.920127010906498,0.888825288701827,0.649818290767121,0.602688021206711,0.67310542482928,0.320022498039339,0.651671541684341,0.697965899670336,0.621149651309244,0.843791449396022,0.858332570166823,0.837827063396174,0.797958753195553,0.793233861467362,0.942956410779755,0.965821294756956,0.967820263693419,0.954147918648304,0.974129157909275,0.958211988046055,0.691373536719712,0.719413231459587,0.704905035774922,0.728667298119169
"X1D02",0.652036661190905,0,0.656776911451412,0.720373279801981,0.748680963183451,0.767664351974458,0.712458039577189,0.641744343124681,0.717735087518974,0.70598755344873,0.667802327496765,0.66263832693165,0.644196858749213,0.693732657675649,0.442738115352199,0.499974654910233,0.56207796358413,0.421272898605405,0.644792588271503,0.654672655538685,0.680240218696977,0.853142943746093,0.830886219083653,0.780380398372953,0.867224037906611,0.730671459675586,0.71571848149772,0.728158110649615,0.753216205135322,0.742584482227197,0.774205967878343,0.428027785459672,0.420495558111986,0.4493630487297,0.565699680929975,0.539760250058755,0.608351777886525,0.645419778961978,0.721004328746838,0.708241860770086,0.665366653664223,0.666603556959716,0.846547427623198,0.849130623408248,0.878266132251855,0.832798148262027,0.822911590966027,0.842978342056238,0.862289730840862,0.498796306494899,0.348900853617306,0.366074791864174,0.60005560625621,0.541987269807772,0.541232481718045,0.495988529326615,0.660509750028499,0.709648737125902,0.640538956196073,0.636158693975641,0.698600942577008,0.645010221743889,0.755104672446328,0.757702411499225,0.755107631458911,0.756694546470982,0.738285713734197,0.743368499712108,0.255194894380045,0.321579120220515,0.396816569738678,0.574958649094892,0.624135507870667,0.658405809117428,0.600814169794674,0.781056498911109,0.825124047175949,0.783205358230162,0.704683323302704,0.726616961150264,0.897012488963152,0.870484195355653,0.888983482899237,0.861497624032556,0.877779924937793,0.876186280687865,0.459260506353864,0.456146419225094,0.442552333896396,0.486530836617833
"X1D04",0.282947714621046,0.656776911451412,0,0.734665806264591,0.702269183346181,0.681764359229985,0.60729697782855,0.66782566215451,0.724676999338777,0.613559930478796,0.653781219053049,0.715711445964813,0.706959626148212,0.617351392133498,0.508381218355502,0.493378159682478,0.524139022304097,0.511198849190606,0.532683057906525,0.521571538731823,0.56025280386711,0.919361731983712,0.896338334169472,0.859837454945749,0.924150674649666,0.873074274229353,0.845284699102502,0.891490493330458,0.878953291262812,0.872156347258875,0.88450019478164,0.731043356426423,0.682587513747473,0.736190336205324,0.639760356852143,0.596514081178834,0.635528062766726,0.652321838415657,0.706556362450456,0.79598871297891,0.805357733423305,0.800357204827197,0.95195298015046,0.931213883554744,0.965179243389116,0.927516436834524,0.928475944469228,0.953917736427858,0.936613779539045,0.725121725633982,0.676905394575751,0.701275359358747,0.52115431118894,0.361374035814564,0.464685173106612,0.49829324469663,0.746223389323137,0.741772356841303,0.749430657744543,0.78625560734321,0.859530776188581,0.767759887861039,0.902318826996968,0.88555511254346,0.850349782295073,0.786912785788297,0.918885625154774,0.875252911833471,0.664840418177526,0.582996656766671,0.70298511264378,0.332301346786741,0.645822792408242,0.682474134995735,0.618359993112364,0.834636707441066,0.85003336934852,0.82703579999905,0.781072584165048,0.783989268997522,0.93664469509503,0.961636593853403,0.964963186826155,0.948702546357578,0.972976114559162,0.955554376046127,0.728168381304205,0.710529561421662,0.735257338605295,0.756028647890564
"X1G01",0.772134058915326,0.720373279801981,0.734665806264591,0,0.270324034582793,0.427958162891938,0.434877967650073,0.74600199482017,0.729475947418525,0.698912107410718,0.7166335162957,0.721970006707638,0.735162935614751,0.728261753013693,0.698861650667111,0.663696344798224,0.672057917577955,0.698189758633368,0.650583522338444,0.672148998069858,0.68766141421731,0.650467834192303,0.659746811875309,0.578791155850591,0.732534458471124,0.667425397824869,0.745814920270014,0.765467990715322,0.710263941136718,0.750585754700467,0.768903039193084,0.69607228019854,0.692781246026804,0.719134521893128,0.827074067575441,0.825516571897194,0.825820513877799,0.827180001519977,0.643468486827411,0.690637305733812,0.682327136754121,0.709501543219181,0.938640471518967,0.933794371493659,0.964857457682528,0.92433418915285,0.923250620788433,0.925126275004552,0.93534528364014,0.805725861081962,0.757431108777813,0.786998533293976,0.790689222025128,0.709480640884137,0.741310094289222,0.760456655897499,0.520491570719378,0.476980366935659,0.538074021355786,0.654573304970597,0.859683846779646,0.777453200925692,0.855013356309259,0.855739413047627,0.822618830137937,0.797815959197652,0.884357563326604,0.871487140891212,0.734556617619472,0.655716474223533,0.804694018814329,0.757414971017413,0.831539626428444,0.831140674724421,0.824396677379212,0.882428051819681,0.658657046603433,0.705638128154459,0.638031079881868,0.734986350830261,0.939028005319458,0.961840620314851,0.957061946284187,0.937612269776324,0.964600227171519,0.961065243643115,0.8346751851161,0.797302798228312,0.826084400464282,0.822563833239567
"X1G02",0.742116392778656,0.748680963183451,0.702269183346181,0.270324034582793,0,0.29908988672038,0.303438273546749,0.741373099660353,0.65733763241727,0.620074861245833,0.643805188126499,0.652107491641106,0.713149282545117,0.662561648103818,0.714710339909688,0.664135652758537,0.671980007231742,0.687671324330148,0.688823933031663,0.697886758619633,0.722622216432322,0.669778078254197,0.687254448962337,0.607540419356959,0.751648532880253,0.660744017965427,0.751529071111492,0.774510210717008,0.7170937655223,0.763382924948919,0.771132246737845,0.723037888661543,0.725947730152202,0.72752530113696,0.857962106709147,0.850388325904597,0.861633931210714,0.859221111693019,0.616845052915275,0.712548770195603,0.707756254422701,0.721901399353798,0.938207710724083,0.928302062290481,0.96088520368598,0.920516661713073,0.924167257781125,0.925218354911312,0.931768231908292,0.825740993504532,0.781054554151178,0.803898010147363,0.809392755093148,0.718885254452902,0.771457993739112,0.778164976608393,0.520636738249373,0.460885628046593,0.550578079961629,0.680876662044995,0.876378317622813,0.796688599653386,0.841405682981277,0.850910714495153,0.800358468873193,0.726916491045096,0.870835951118241,0.890965056697641,0.756426214023639,0.684824920309724,0.822316160532895,0.721218304372484,0.856574724677211,0.860272300881753,0.857753708708122,0.898885187486584,0.619745109813925,0.713413734269973,0.639676905019757,0.741017333608837,0.934819537788824,0.959380878861908,0.951990549834395,0.937734090156588,0.958708036648858,0.956782760347444,0.848799545018044,0.812437575549528,0.850076472847426,0.841682297940617
"X1G03",0.733145386575722,0.767664351974458,0.681764359229985,0.427958162891938,0.29908988672038,0,0.27402301018211,0.743108812257221,0.651873323483983,0.580924421524927,0.656378433510675,0.646961240150686,0.724729328056123,0.66728339269169,0.748338531074262,0.699576583563209,0.704089185521948,0.723285263801548,0.752372456132996,0.730941399348049,0.781552425710879,0.712951821270204,0.724938367933246,0.678635499978076,0.750954514440349,0.685646839288133,0.772216929729107,0.801465192065172,0.728872704977161,0.786594179489259,0.82792287649489,0.743111478786329,0.763026941101521,0.763205079607871,0.881899404232909,0.854782508557834,0.881011245104506,0.88481825282063,0.633714194874102,0.738239136518334,0.744637310967354,0.758800218696503,0.939638523294675,0.932703474513292,0.969001806970038,0.931110431506154,0.933839728434968,0.926268681346415,0.936638899382146,0.843681239308091,0.787265283933954,0.82615517107371,0.804542191478493,0.752603973845827,0.799002498062707,0.786848788315483,0.577768568089593,0.565845690163734,0.589406820250212,0.687454756871956,0.880681167230561,0.798525738132883,0.824714560055035,0.845325887424272,0.784573971774538,0.694087750258298,0.86413121021183,0.892955698002027,0.779300775411149,0.721456564042969,0.818465464050743,0.72684691503564,0.859766610042154,0.856132358283744,0.855724213427168,0.901559713307257,0.656056582114129,0.746003078318536,0.670627024991349,0.776342267615074,0.943376134579764,0.959902668596445,0.952994779847868,0.939641786520166,0.959021430735967,0.958474930745406,0.851479619236982,0.835957813182967,0.839764983582397,0.847713491521823
"X1G04",0.699874995089264,0.712458039577189,0.60729697782855,0.434877967650073,0.303438273546749,0.27402301018211,0,0.71209072786555,0.646760290131479,0.559101222256583,0.621904033680915,0.6371872832601,0.701316083774945,0.625298846286768,0.683050238679842,0.588646023752778,0.599403615731615,0.643369158957207,0.647480307574962,0.639490925500971,0.715363709563461,0.727762904862637,0.714158258632471,0.628574084633988,0.769872909015833,0.690409801517627,0.724385198759784,0.742122545407403,0.767865007959243,0.753408855934643,0.809916423531487,0.670583969058488,0.688593160345918,0.695158674846172,0.837884528331853,0.836011118183438,0.794946883014209,0.843024801530249,0.645349549495334,0.74609337169517,0.74429197229021,0.773229606952068,0.944106731573678,0.93340762018693,0.963186220876525,0.926854671573318,0.926821926773281,0.930738296475315,0.932169247555429,0.824565774632945,0.767964033254249,0.796553161719171,0.792635333737946,0.694278541095195,0.770979994668656,0.761086569378538,0.586383758745793,0.535936978617831,0.599447024730293,0.710220172512002,0.888540113607214,0.79999060874313,0.84830107221694,0.861647955158264,0.799632074592195,0.708283384687711,0.873778085799168,0.904616608403678,0.722186040238331,0.63288112091213,0.816247238110714,0.677985821505279,0.840750806840557,0.838770841384994,0.84027001692138,0.903126365001796,0.666777665813872,0.762102268879914,0.681570479527819,0.790142559300622,0.937123601634985,0.962210216092823,0.954644205547493,0.942658326520726,0.961697244748948,0.959331414037803,0.846799691644417,0.822716144254274,0.844645100176035,0.850309448161989
"X1P02",0.720167566554087,0.641744343124681,0.66782566215451,0.74600199482017,0.741373099660353,0.743108812257221,0.71209072786555,0,0.352363612487332,0.534596397968543,0.503503264545685,0.404323895944721,0.404925593443895,0.33919504984996,0.584765266804162,0.578917096816361,0.574819009624523,0.595503347659747,0.710673326923121,0.721577072624785,0.749423666083201,0.884276063542552,0.872777848304248,0.842313785781497,0.887466424320161,0.614553906845774,0.570602629944564,0.69748495046354,0.725587102152223,0.662121462902672,0.74733663077714,0.699583543762345,0.645646326504484,0.684671613947062,0.729968035619188,0.745829459324117,0.762295698781383,0.790010136880942,0.813899398206348,0.805554099558597,0.836917406667914,0.833895714933418,0.698418494940453,0.684540865270071,0.772734714664072,0.713936235458347,0.723960546223528,0.703001046882969,0.722473576672502,0.757827999075644,0.684809415006019,0.676187913206646,0.763878523864915,0.655251085032397,0.709736220821702,0.688766176311002,0.77745611174042,0.771396621043883,0.773299521988501,0.82951368979163,0.571059520635694,0.473616816692589,0.564254022685044,0.5308132924442,0.530438093646382,0.542740471859764,0.590013789987255,0.629303831584779,0.659511794824605,0.590896270123194,0.764137664487879,0.722069043809394,0.80590944893186,0.805259769624748,0.784170761506955,0.863649197047357,0.805973331744469,0.82800375406391,0.791450551721615,0.822046839765071,0.773182352842709,0.755781979237896,0.7523170934171,0.750658472549071,0.780974688793355,0.790803593429787,0.783728419606865,0.756120622216871,0.806692051250925,0.783786125879607
"X1P03",0.74005811088631,0.717735087518974,0.724676999338777,0.729475947418525,0.65733763241727,0.651873323483983,0.646760290131479,0.352363612487332,0,0.383562354049513,0.449258914399327,0.255284577628895,0.371964966470432,0.301814837918188,0.643499222100232,0.637855858330889,0.623234306653249,0.637230960515519,0.805527989027208,0.778078075018257,0.806898676353747,0.897039351195944,0.881954334481817,0.831248491436489,0.891375732327371,0.630543825536563,0.572692551171231,0.708121622650894,0.748756094518871,0.69441087258179,0.771773936039044,0.737197574871608,0.714753251411464,0.740204297330217,0.798899564694276,0.821607649618425,0.830256070152644,0.843827687975286,0.760118773483463,0.836297267870715,0.859700797194211,0.877323626447256,0.728625394125899,0.699697786672597,0.793414216193207,0.728314936301122,0.732898110293409,0.728281281947383,0.709528887640042,0.817316728368766,0.749340113297947,0.722201656620505,0.777975027652071,0.759189261093238,0.78966156165398,0.747917893393967,0.768115603898534,0.751492050069461,0.783623514662113,0.835056042684109,0.556773877358395,0.434209695323837,0.564399658541597,0.535210022215869,0.504788988593818,0.441506439522213,0.579350953056134,0.567414253168256,0.695248911815029,0.676945243311006,0.801356035030723,0.712022034958192,0.839744677308928,0.854187847089077,0.846605777759057,0.893310775896433,0.820128294727,0.851047377228875,0.802068128791803,0.849543501883381,0.760122774682621,0.772545431864233,0.76735154164977,0.76416722787849,0.769482136451362,0.795150656296433,0.823275964089872,0.798109999516208,0.852559225197423,0.81372402133996
"X1P04",0.649628932007662,0.70598755344873,0.613559930478796,0.698912107410718,0.620074861245833,0.580924421524927,0.559101222256583,0.534596397968543,0.383562354049513,0,0.502721030784244,0.427637021236364,0.491496874731332,0.3616835349334,0.605857006685058,0.592065240052089,0.575331968306476,0.607042554446028,0.77649654740184,0.748925464540892,0.773307526161061,0.900108926347772,0.879863963135005,0.799625421793225,0.895734948977013,0.639382411485893,0.671141756813111,0.776990890548651,0.778793285875352,0.749009377339966,0.821742342104921,0.730444652303257,0.71804655395431,0.73659357746722,0.792551269315994,0.777574081370776,0.802934400078,0.817301795213465,0.717625584926113,0.806244838278123,0.836023614691867,0.852533872498492,0.846109257867599,0.834715280018751,0.873135651401163,0.825910527820376,0.836747553923061,0.849808944184267,0.831573768537436,0.799434201054965,0.738673378814644,0.715193506470632,0.725563674094355,0.70758405894086,0.743827758526661,0.702163861179713,0.738465368758899,0.730505932564049,0.746233762520824,0.795773434685982,0.707880048004351,0.550093021846922,0.683267605700627,0.700733448497196,0.654460027275038,0.568741338206161,0.73353739331865,0.72911378348601,0.674609490671246,0.651913979053961,0.76846636169099,0.649244625820267,0.791935737074528,0.806541467706564,0.811313854709107,0.866669683269729,0.798492787367039,0.819944083518179,0.773337678622485,0.820546363518504,0.845428689153412,0.862859652354386,0.864925373964839,0.846858486870431,0.87138886386542,0.869177875032693,0.797677115227509,0.774844797324814,0.813289721536723,0.783620675725463
