"","X1D01","X1D02","X1D04","X1G01","X1G02","X1G03","X1G04","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P04","X2S01","X2S02","X2S04","X2W01","X2W02","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3W01","X3W02","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P02","X5P03","X5P04","X5S01","X5S02","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.80862690384839,0.472136222910217,0.868055555555556,0.870625948221015,0.855017147914592,0.8464345873105,0.814162372928561,0.862193903048476,0.828125,0.819013554216868,0.856696428571428,0.826875044601442,0.82312925170068,0.715728749705675,0.737931034482759,0.75357215758318,0.730438000403687,0.671148206632078,0.659025223331582,0.65584004724343,0.941952102478418,0.935254284134881,0.925925925925926,0.939189189189189,0.936781609195402,0.928782755705833,0.932010785824345,0.920212765957447,0.923076923076923,0.926434730895034,0.811119691119691,0.783333333333333,0.828213355777071,0.805224006762468,0.671428571428571,0.772455089820359,0.795774647887324,0.912390350877193,0.927648095721382,0.928766588602654,0.891185431380695,0.955555555555556,0.931034482758621,0.965250447227191,0.94989539748954,0.954371963913949,0.947145517710684,0.950226244343891,0.85429187353018,0.850287356321839,0.832369942196532,0.584307692307692,0.496350364963504,0.520871931449745,0.519685039370079,0.917946560067326,0.907309138001832,0.911158247829519,0.926174496644295,0.927966101694915,0.913978494623656,0.922077922077922,0.921182266009852,0.932504818402543,0.924118683901293,0.927374301675978,0.93010752688172,0.801303277296655,0.792134831460674,0.832815734989648,0.562271897810219,0.72,0.780222437137331,0.712328767123288,0.898103200287666,0.887919603601089,0.941747572815534,0.919002329192547,0.925590062111801,0.97029702970297,0.956521739130435,0.960612502872903,0.953878204001266,0.96943231441048,0.956862081692913,0.862293601651187,0.87012987012987,0.872861329048114,0.886746068102
"X1D02",0.80862690384839,0,0.806818181818182,0.806066176470588,0.795031055900621,0.807294429708223,0.795918367346939,0.705718954248366,0.798123655485619,0.795774647887324,0.776536312849162,0.755813953488372,0.732558139534884,0.751552795031056,0.563769878812452,0.579438226903665,0.599319727891156,0.565942028985507,0.780898876404494,0.799065420560748,0.788201633310329,0.874396135265701,0.878996767129002,0.839024390243902,0.889531149646757,0.822401433691756,0.818681318681319,0.807909604519774,0.813152863594802,0.832558139534884,0.843592171717172,0.578491025250989,0.501461988304094,0.601092896174863,0.792746113989637,0.769662921348315,0.835820895522388,0.826875044601442,0.826086956521739,0.834134782106115,0.847597254004577,0.808988764044944,0.874769372693727,0.86605651635149,0.893737757806199,0.888446215139442,0.883425436382476,0.861788617886179,0.873911726852903,0.631575920245399,0.582605042016807,0.54798173586064,0.793001428279943,0.751351351351351,0.77072076197454,0.747912445508688,0.813266685984739,0.824871134020619,0.806629834254144,0.835443037974683,0.794642857142857,0.805263157894737,0.801187204960192,0.807787040545661,0.833333333333333,0.823232323232323,0.807389148841355,0.832897033158813,0.489582830962141,0.46474214094925,0.591052029731275,0.787709497206704,0.80315628027123,0.801223527650976,0.796610169491525,0.877637130801688,0.830508474576271,0.868544600938967,0.817914438502674,0.848905329910916,0.919165065129191,0.882599064730495,0.890525830585399,0.89980694980695,0.907027793436854,0.882009520673034,0.652777777777778,0.624601910828025,0.666666666666667,0.71195652173913
"X1D04",0.472136222910217,0.806818181818182,0,0.845329328914664,0.847051218911598,0.84274744582547,0.80672268907563,0.80362620508326,0.858300524934383,0.830508474576271,0.821084435734117,0.853580860649371,0.819875776397516,0.815335665015059,0.690647482014389,0.716312056737589,0.734090909090909,0.728323699421965,0.654802918228797,0.634146341463415,0.63768115942029,0.928766588602654,0.919692043103217,0.909858439662287,0.920289855072464,0.921390374331551,0.916666666666667,0.925925925925926,0.908045977011494,0.910487038491752,0.915949000874655,0.803571428571429,0.771679197994988,0.817441929543159,0.801324503311258,0.6640625,0.774193548387097,0.764255146888735,0.896774193548387,0.915537126211283,0.919254658385093,0.883653275282011,0.953846153846154,0.932270916334661,0.959677419354839,0.950892857142857,0.950570342205323,0.942093253968254,0.942168338907469,0.843258647798742,0.838804533789564,0.839285714285714,0.535401002506266,0.472220472440945,0.504201680672269,0.5703125,0.901954008544861,0.886566153407471,0.897839766710153,0.905453295250185,0.920270887864057,0.912568306010929,0.911863394006251,0.918781725888325,0.92837411207577,0.91304274768114,0.922619047619048,0.918366653066775,0.80843210865989,0.767364154250657,0.82312925170068,0.535260395082194,0.709246309246309,0.745966692688004,0.716904607397794,0.893560410995856,0.879746835443038,0.936339074636947,0.906749482401656,0.919503872402423,0.958224258289703,0.947252492464642,0.958333333333333,0.948497854077253,0.964912280701754,0.94915162941018,0.845070422535211,0.847174392935982,0.850373134328358,0.872510600025697
"X1G01",0.868055555555556,0.806066176470588,0.845329328914664,0,0.468085106382979,0.533712121212121,0.520857307249712,0.800621118012422,0.873415467882068,0.853211009174312,0.823112223612849,0.865771812080537,0.838926174496644,0.847577165615665,0.783783783783784,0.79020979020979,0.813226744186047,0.830916887890545,0.762589928057554,0.817173579109063,0.783055760029444,0.673913043478261,0.682275818865223,0.638461538461539,0.695238095238095,0.798561151079137,0.851588252921786,0.845329328914664,0.792269450658712,0.857548701298701,0.828947368421053,0.805031446540881,0.778443113772455,0.808988764044944,0.900873793009656,0.866197183098592,0.901448447371959,0.884009225446858,0.677685950413223,0.738093034019903,0.722246793454224,0.683771106941839,0.940927218344965,0.934692789550846,0.952991452991453,0.933333333333333,0.929778285382789,0.921759923481588,0.940579361258225,0.844063737680759,0.837050653594771,0.851190476190476,0.860889492446104,0.81063416357534,0.830985915492958,0.833333333333333,0.590551181102362,0.542019774011299,0.588235294117647,0.618556701030928,0.918721006484832,0.898809523809524,0.893939393939394,0.904073209513177,0.915073927154706,0.900292397660819,0.89041095890411,0.915584415584416,0.795846507617131,0.775,0.845588235294118,0.821428571428572,0.844149496164837,0.824264705882353,0.866197183098592,0.908615796081,0.685483870967742,0.768245967741936,0.710072755527301,0.784900284900285,0.950819672131147,0.939849246231156,0.941176470588235,0.939674849267873,0.957446570687651,0.944206008583691,0.849206349206349,0.8178500331785,0.825,0.872157622739018
"X1G02",0.870625948221015,0.795031055900621,0.847051218911598,0.468085106382979,0,0.48780487804878,0.451219512195122,0.805194805194805,0.863247863247863,0.844036697247706,0.815208825847124,0.847749042145594,0.841379310344827,0.832088928511729,0.754620918649696,0.768115942028985,0.783666666666667,0.803571428571429,0.781021897810219,0.827098297419526,0.802045475724536,0.713235294117647,0.718120805369127,0.674158249158249,0.755955653289353,0.794005388414908,0.859207094418362,0.856115107913669,0.8078132927448,0.871800701572041,0.826527777777778,0.813283911039872,0.781157544378698,0.802508453251553,0.899408284023669,0.865934412444818,0.89776253470521,0.876446034585569,0.657776197249881,0.723404255319149,0.715960024227741,0.666666666666667,0.938730560024515,0.930086078315093,0.951219272369715,0.923444976076555,0.929752066115702,0.921180353329451,0.939310229365478,0.843337334933974,0.826376811594203,0.847831120716271,0.848242424242424,0.8,0.828571428571429,0.824324324324324,0.618320610687023,0.548783712321523,0.593220338983051,0.618510638297872,0.914416678634688,0.895705521472393,0.894338118022329,0.893854748603352,0.908308702791461,0.892631103074141,0.887787556639944,0.912625838926175,0.787878787878788,0.768211920529801,0.836879432624113,0.805978473035525,0.829059829059829,0.813559322033898,0.856115107913669,0.899470899470899,0.663899986223998,0.756756756756757,0.662175324675325,0.739643957548785,0.948571428571429,0.938930902310163,0.934010152284264,0.938823190716627,0.952718411875168,0.938461241208749,0.830769230769231,0.813953488372093,0.811965811965812,0.863095238095238
"X1G03",0.855017147914592,0.807294429708223,0.84274744582547,0.533712121212121,0.48780487804878,0,0.48,0.806781609195402,0.857142857142857,0.828282828282828,0.832088928511729,0.849469564321763,0.835820895522388,0.84,0.780395417590539,0.785986913849509,0.8,0.815050719509318,0.791522388059702,0.837679795671461,0.811188811188811,0.738805970149254,0.756850600600601,0.704713178294574,0.75531914893617,0.801526717557252,0.857649442755826,0.852282515073213,0.807407407407407,0.870588235294118,0.838594504087462,0.820940854076273,0.801242236024845,0.821299355041686,0.893894867549669,0.847328244274809,0.899031518137796,0.878260869565217,0.696040372670808,0.750862068965517,0.739288068556361,0.693881631564916,0.940532400660643,0.91814263322884,0.950113122171946,0.928934010152284,0.934183452458306,0.924575708732341,0.935765191297824,0.843971631205674,0.822523529959929,0.838926174496644,0.844006147540984,0.801444513975803,0.830934134217067,0.814814814814815,0.674603174603175,0.61864406779661,0.650688073394495,0.625686813186813,0.916882556131261,0.888888888888889,0.891048934108527,0.900621118012422,0.907407407407407,0.879087761296114,0.880857948022127,0.908770806658131,0.792307692307692,0.782894736842105,0.826101928374656,0.810814841326652,0.828828828828829,0.806324592027279,0.852137839147287,0.897142857142857,0.679802955665025,0.76551724137931,0.685714285714286,0.761061946902655,0.947058823529412,0.935241935483871,0.934426229508197,0.941463414634146,0.954080437329168,0.938967136150235,0.818539727988547,0.805084745762712,0.80374649859944,0.861540501629158
"X1G04",0.8464345873105,0.795918367346939,0.80672268907563,0.520857307249712,0.451219512195122,0.48,0,0.781822514031558,0.848770726129217,0.804347826086956,0.795365068002863,0.838709677419355,0.816176470588235,0.791304347826087,0.752956134774317,0.753017184835367,0.781385281385281,0.796840958605665,0.771653543307087,0.824931304164024,0.81294964028777,0.777378097521982,0.775510204081633,0.745196324143693,0.807266210492017,0.822828784119107,0.852010758196721,0.873015873015873,0.83941605839416,0.877246797976536,0.840579710144927,0.826388888888889,0.786881720430108,0.82297777091695,0.88233024691358,0.833333333333333,0.869572029725132,0.857142857142857,0.712962962962963,0.764285714285714,0.747899159663866,0.728813559322034,0.942604576819617,0.932735426008969,0.9522670312144,0.92964824120603,0.931623931623932,0.924623115577889,0.940054050843431,0.840909090909091,0.823943661971831,0.845637583892617,0.822719378049789,0.772727272727273,0.801587301587302,0.803030303030303,0.702594313530258,0.627608908810758,0.676968272620447,0.653223649010166,0.917990752416982,0.886666666666667,0.894522892597347,0.899090296495957,0.911671045298941,0.881531662781663,0.891304347826087,0.912580218488218,0.788009730491006,0.77027027027027,0.832,0.796747967479675,0.796116504854369,0.780952380952381,0.830576817933297,0.898305084745763,0.71428035982009,0.786206896551724,0.702970297029703,0.775862068965517,0.951515151515152,0.937007440066134,0.934782608695652,0.944162436548223,0.957559383091298,0.941319942611191,0.826429305032523,0.817028985507246,0.81517439769867,0.873286384976526
"X1P02",0.814162372928561,0.705718954248366,0.80362620508326,0.800621118012422,0.805194805194805,0.806781609195402,0.781822514031558,0,0.586800573888092,0.682355112587671,0.601329270446918,0.611676448315032,0.622155714043131,0.572996589940324,0.693028846153846,0.688262195121951,0.714285714285714,0.712041884816754,0.806003584229391,0.824772886093641,0.828877005347594,0.896551724137931,0.866982622432859,0.851566951566952,0.90506329113924,0.662251655629139,0.652919501133787,0.730061349693252,0.723721232234326,0.693148381672972,0.76257140181665,0.761904761904762,0.727510709186102,0.756345177664975,0.769432138542086,0.765822784810127,0.806629834254144,0.833333333333333,0.861662118085602,0.822497561951439,0.85385629531971,0.844009931719429,0.747330764997248,0.760683760683761,0.781387634237307,0.763762626262626,0.788958916900093,0.740562678062678,0.780487804878049,0.742773600668338,0.711437908496732,0.75,0.83540444581661,0.754970760233918,0.798252214659507,0.780346820809249,0.841836734693878,0.840103092783505,0.833333333333333,0.827814569536424,0.65599931728964,0.627688986517194,0.648081593006314,0.672272470322216,0.696272577996716,0.674923312883436,0.660316884373488,0.727829376076698,0.705885736196319,0.688524590163935,0.753248945147679,0.808261384208327,0.811445673861781,0.814336050263203,0.828213922285456,0.857142857142857,0.828090072320842,0.85,0.83889751552795,0.840118343195266,0.828125,0.764564479638009,0.782299608489594,0.791111111111111,0.820276497695853,0.790946348733234,0.755608443708609,0.765246169864644,0.768721344880285,0.779837302257502
"X1P03",0.862193903048476,0.798123655485619,0.858300524934383,0.873415467882068,0.863247863247863,0.857142857142857,0.848770726129217,0.586800573888092,0,0.577618164967562,0.655317299333527,0.597311034595835,0.622327878519829,0.552380952380952,0.76950747094632,0.765348410396069,0.775,0.785276073619632,0.887764553327467,0.880434782608696,0.896439044826142,0.932721083345803,0.909604519774011,0.886349246549322,0.929203539823009,0.691987179487179,0.689089881288864,0.753968253968254,0.767441860465116,0.759616965313168,0.823943661971831,0.830678755207057,0.805036426987646,0.821428571428572,0.810810810810811,0.827712939064078,0.845637583892617,0.855932203389831,0.905654456236449,0.873493975903614,0.896677559912854,0.87985715712716,0.791153456020867,0.805756223254958,0.815,0.809386182218552,0.815065065065065,0.781771835027628,0.795317634173056,0.801444513975803,0.781822514031558,0.803987811340752,0.841269841269841,0.850701982920828,0.857142857142857,0.835714285714286,0.894079968944099,0.897609728823036,0.896424010217114,0.854545454545455,0.732132728304027,0.669356413092991,0.656862745098039,0.724832214765101,0.719988344988345,0.694029850746269,0.657894736842105,0.734375,0.793771961710893,0.791673516357061,0.805569556451613,0.858208955223881,0.82051282051282,0.843478260869565,0.854488215300607,0.881201124144673,0.884057971014493,0.884731934731935,0.874015748031496,0.871212121212121,0.837050653594771,0.793706868222149,0.808383233532934,0.834210745061096,0.835294117647059,0.814432989690722,0.8,0.813480809226697,0.8125,0.811884424300532
"X1P04",0.828125,0.795774647887324,0.830508474576271,0.853211009174312,0.844036697247706,0.828282828282828,0.804347826086956,0.682355112587671,0.577618164967562,0,0.720338983050847,0.655172413793103,0.666666666666667,0.583333333333333,0.725806451612903,0.715482197925428,0.734229114232362,0.763513513513513,0.860702614379085,0.872462696599005,0.879716312056738,0.928571428571429,0.920731707317073,0.884353741496599,0.925925925925926,0.782433380084151,0.75,0.809917355371901,0.840579710144927,0.832278100581046,0.855593785840892,0.812290268456376,0.806451612903226,0.817301763472685,0.854738524777346,0.809917355371901,0.842857142857143,0.862068965517241,0.888888888888889,0.88499180999181,0.888059701492537,0.893939393939394,0.858490566037736,0.853658536585366,0.880605895331829,0.856353591160221,0.870591883749778,0.847457627118644,0.854545454545455,0.83019943019943,0.796488722545061,0.815068493150685,0.813559322033898,0.824380590110003,0.835825892857143,0.788840193089431,0.892148477591516,0.881300181300181,0.879699248120301,0.855719666931007,0.806917862838916,0.725190839694656,0.712871287128713,0.786206896551724,0.785714285714286,0.75984496124031,0.776,0.806672203765227,0.77421875,0.765970299521772,0.801652892561983,0.82060401119403,0.808080808080808,0.834097859327217,0.86166353971232,0.895953757225434,0.8671875,0.888543823326432,0.908743927827897,0.896412698412698,0.881186824677588,0.852690035952748,0.861271676300578,0.866144770935553,0.884615384615385,0.878172588832487,0.82742946708464,0.806016211794452,0.813404801172806,0.825946122296793
