"","X1D01","X1D02","X1D04","X1G01","X1G02","X1G03","X1G04","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P04","X2S01","X2S02","X2S04","X2W01","X2W02","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3W01","X3W02","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P02","X5P03","X5P04","X5S01","X5S02","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.776193470477594,0.274707227625182,0.865019347227386,0.875858030081837,0.883773028971081,0.814663785103364,0.770310721578783,0.836692761684294,0.763750791644852,0.815338257927978,0.838382786659772,0.813499026743468,0.782639238054624,0.65660219183541,0.656280457921522,0.67749503202691,0.673238106113007,0.589581152763935,0.546916863362753,0.577150112409383,0.94805960884451,0.931734432333768,0.92876356705568,0.955856048266134,0.92560025061693,0.91489462104153,0.936621319786518,0.920703693208386,0.919249468697904,0.92969698907185,0.810245432104572,0.780949935243814,0.815042522377452,0.666317868434123,0.601429184841312,0.671714986000085,0.717041187345274,0.893792768286993,0.922293985337765,0.922706874140765,0.92048399218896,0.962845677327241,0.952297366380375,0.975542088197084,0.944722258727965,0.951514113721219,0.962335170059846,0.963048886293164,0.838023519372101,0.806400181605835,0.808704588991184,0.517657205490274,0.402627653719479,0.453685787089345,0.457092995021314,0.91204522919365,0.911196310411864,0.906441045136064,0.918398159044222,0.912509186128141,0.80187768350114,0.917878903937737,0.912442971442119,0.921208228332595,0.896782745489327,0.937881853356849,0.929274371218969,0.79352586083699,0.740614272440892,0.824054444534424,0.340656734166709,0.697523877827124,0.730300683412792,0.655398437464431,0.854659561008122,0.912450622120763,0.924628434216511,0.886069742205472,0.896103801664334,0.95488493361581,0.972942097629602,0.973149424542028,0.96469225771995,0.981100130958024,0.963581994095751,0.825879918544287,0.857838773852844,0.850933798808063,0.866581565490805
"X1D02",0.776193470477594,0,0.75531751311123,0.759140143423096,0.789026795762731,0.805842280265043,0.749150082629728,0.701169743320181,0.752380424508513,0.749123258255424,0.72078574605195,0.722245311013146,0.728262594866601,0.735601409959621,0.460098210242617,0.520728834146777,0.585459636868629,0.44872948924273,0.731267812719957,0.727478227789544,0.752431135771147,0.880301877543873,0.855213796055684,0.812125422484832,0.894457944622917,0.768645481651989,0.75641984591054,0.771353537172655,0.787080642790706,0.787945624795391,0.828697274747002,0.448803152197738,0.439768707198415,0.493883340349864,0.689999824115566,0.69010213588675,0.697372747771951,0.719429827950116,0.771675794540301,0.754908917637427,0.713089293004383,0.711821555046288,0.894004117059902,0.890956640210328,0.922290101315291,0.873667055382547,0.874133367182049,0.89029852761976,0.903844659421873,0.520076465956395,0.376924989368729,0.378475061019252,0.730206346732463,0.684452804309203,0.698501629230559,0.660307056962117,0.70756923067853,0.756051262771675,0.685708522115998,0.68527207169588,0.746421328364594,0.780527570037734,0.796282061997374,0.802361845704895,0.81476746299141,0.800021496304463,0.806693808254261,0.822940381204883,0.291643201806236,0.350137723777633,0.431610129645885,0.728979754058331,0.697396790022042,0.719714459000129,0.690678994745508,0.801404287693005,0.850449707892812,0.814446021363929,0.715298448936854,0.744868406330574,0.926904762942389,0.910085040135758,0.922887500039943,0.903209065851522,0.927120701928017,0.918860596151061,0.491598326137849,0.499993317520719,0.47288569833021,0.518344145419562
"X1D04",0.274707227625182,0.75531751311123,0,0.842054123138624,0.854558209983002,0.873820526829087,0.771667632175046,0.742766401056346,0.826458430687212,0.768670691291403,0.792227348340172,0.834492994881267,0.805062463432592,0.775879360941274,0.628268143270213,0.610662071748052,0.625086884337257,0.639463572483501,0.538772698377888,0.514878776697229,0.55997239178196,0.938625514305951,0.93073271488775,0.906940646977368,0.943841123790981,0.897822449011642,0.884333620384223,0.907858682184169,0.91703274861364,0.886908369435027,0.906352266773405,0.790329539803847,0.767743789157767,0.791609918358182,0.675066164351704,0.631405784963799,0.657928038913776,0.69910061533302,0.892706222287607,0.920762859123237,0.915771762885969,0.917619128869632,0.961074262234827,0.953731569978676,0.975598319831242,0.943148225824764,0.94931408742038,0.961981463143077,0.96026592204937,0.833901079363728,0.791807809266508,0.797250415103886,0.548828885938598,0.392099474276554,0.489115591755491,0.520207524168527,0.904981414477021,0.893087971257973,0.903701707257696,0.916508376792068,0.921730735298283,0.817345915078547,0.915682473297224,0.916913819590149,0.920471221542581,0.89065308000456,0.933369478744834,0.93181791441558,0.780152501429608,0.707080922209602,0.820488233543812,0.356837353595076,0.692874409758445,0.72171249080443,0.654735515126722,0.852673227239656,0.908199682291438,0.923372372191787,0.876709416336062,0.893921534191909,0.955795766644821,0.970067943038907,0.971986304430888,0.962044128970547,0.97947932500457,0.96525450322646,0.82166129170427,0.833847936471821,0.842991880848241,0.8567793808885
"X1G01",0.865019347227386,0.759140143423096,0.842054123138624,0,0.319271959441961,0.456502824525382,0.459903999064052,0.783417173222445,0.768526153982648,0.753562704908946,0.755434381116067,0.744335566282536,0.781992444532318,0.770933061921487,0.791040387723834,0.75172881976941,0.776151600299969,0.771225943699892,0.746901070226148,0.761222813103694,0.78179508713066,0.657766419795774,0.667942293418096,0.583050494469926,0.74895774887319,0.692061886380923,0.774104344172863,0.781343026851077,0.745240714608477,0.7749404948577,0.811882663393078,0.736257198408993,0.75256452547921,0.779232489759318,0.85727372189333,0.869740011846834,0.864796657282298,0.87581609479033,0.660946870921095,0.704748241214386,0.684965785817951,0.716279633005707,0.948598845645952,0.958955817216727,0.978070236737989,0.945483086412079,0.944490991244101,0.940904986320784,0.955847086966973,0.850308780096892,0.797805475229171,0.821516726867888,0.892259019280176,0.81912027489193,0.84491961892238,0.847004017027744,0.516288462795359,0.494615422079197,0.546221208137314,0.660924881598026,0.879766513548312,0.839949185109359,0.879006725097634,0.878393230855582,0.8563237542082,0.824164289749164,0.912859111381382,0.924810032768647,0.773458817918333,0.727531778971261,0.846067436547225,0.839099745073084,0.870258893584748,0.876719464053679,0.863608135016627,0.918324814278124,0.661640969571316,0.702123499001127,0.646201001754638,0.749543365012098,0.950176354424667,0.968692223423411,0.970355057308829,0.951262232516707,0.973611793449074,0.968496128696532,0.87049312056664,0.834051593174834,0.858354751935201,0.860956124856624
"X1G02",0.875858030081837,0.789026795762731,0.854558209983002,0.319271959441961,0,0.324457272994977,0.352615355804052,0.782887464162737,0.707190050857611,0.674247100773037,0.692196356578056,0.683818198478607,0.764755195955208,0.709483759660186,0.812661635966036,0.776154548173712,0.796854166490996,0.784587335821234,0.760618124436446,0.784379307019468,0.806470618696919,0.686187097484956,0.702745834686391,0.610154726628849,0.767849929987064,0.687765246768556,0.781471812299424,0.789991599072109,0.750843681077927,0.793428225860074,0.806141927508349,0.762438398686886,0.787101246945436,0.793494517865682,0.890029432658454,0.886696980842166,0.890758338874036,0.890219335753502,0.642122858927358,0.724343734769104,0.711771151713403,0.726442260165947,0.94982969429307,0.95242521030879,0.972656109965707,0.940317050804018,0.942828510112533,0.940535107640539,0.948154137594111,0.872229108021409,0.822929020981217,0.848827560725071,0.894982709770424,0.824172960286358,0.850646890255873,0.843903939446568,0.513396609006731,0.472799790098181,0.546058282706145,0.675532723854941,0.89959438554075,0.83261529040128,0.87151022797693,0.876251551846667,0.836414113359172,0.76640050507565,0.902854096780614,0.913891153555774,0.798193029064535,0.751597534781392,0.868737464249921,0.842348611201491,0.899262509904191,0.881805601718273,0.885689375797104,0.914833460158566,0.620746550403046,0.712106994507854,0.643442364237488,0.749460140600056,0.943625696915414,0.964814861196923,0.964749839405156,0.948434051214948,0.968489401719064,0.9625359289105,0.890024686301359,0.855658790281419,0.881802614181011,0.881606019969435
"X1G03",0.883773028971081,0.805842280265043,0.873820526829087,0.456502824525382,0.324457272994977,0,0.320287065696677,0.784893352814003,0.686523042556694,0.62057063806817,0.683692013485409,0.685336757692258,0.753183445137528,0.709203996526167,0.833074493464965,0.792823280358549,0.823155358710049,0.807356606311979,0.816963097660274,0.815181911550737,0.859511351458506,0.726201665081958,0.750108072017403,0.687652759695352,0.763195323356633,0.71315987317157,0.798190053685935,0.815474756492819,0.76601045020712,0.819285064655395,0.846861447797527,0.78191048166474,0.806832033987629,0.811886850499225,0.916184867684096,0.897966740977814,0.918110332002887,0.915032274592776,0.65748136902893,0.75266011057081,0.749062681645483,0.765256606324487,0.95177836528777,0.947707304492261,0.971870170722672,0.941901112530223,0.946387721365585,0.939038250348267,0.948792376385503,0.887758092546013,0.833833748037569,0.870669967969066,0.889514874615898,0.851767437043043,0.870951263403194,0.857160191179063,0.585140419295708,0.586573962352794,0.595216599479509,0.685140783835793,0.908818943112326,0.828779990349711,0.854011099058589,0.870116744627091,0.821975357342005,0.74117891132155,0.897204290460607,0.918910909904686,0.812053580943078,0.762991172054939,0.873052253838994,0.848396612413121,0.909279417465099,0.884439108503138,0.891812150311684,0.91608952400274,0.654562249837814,0.744455719008233,0.676330603078589,0.784633282238587,0.95267754262196,0.966367358799364,0.960139448371788,0.951325836766524,0.97017023790176,0.964636864989336,0.891883539738564,0.880932997003495,0.877858853913096,0.882367977845572
"X1G04",0.814663785103364,0.749150082629728,0.771667632175046,0.459903999064052,0.352615355804052,0.320287065696677,0,0.775310017331015,0.679596591209972,0.616183972681235,0.653645338840923,0.686913137460278,0.737811348111809,0.671773394869689,0.761747143507493,0.69688221010872,0.709435832713166,0.739163448216822,0.701646726391478,0.703683005046851,0.775568161188007,0.739527890678958,0.739757181397987,0.652862234194946,0.787683589978065,0.711017819309567,0.751348291847048,0.764889216047854,0.811531164726566,0.789680105353109,0.837153622710106,0.712444048631088,0.7405592260032,0.747408017004843,0.85963630911421,0.860554526184572,0.821818145142608,0.868766232850625,0.677625159158791,0.76750660975076,0.762476565121545,0.785046200413896,0.959405074923409,0.961832271560575,0.977032790673081,0.94540536735259,0.952078828852231,0.945152960259749,0.955709934249909,0.877276199710127,0.811022366926655,0.836611321759346,0.849574900606477,0.767747687055671,0.810915359879762,0.801323625578669,0.599655838380854,0.571973219700519,0.617650975244166,0.7245729679402,0.912801618036417,0.824519759858832,0.869237896345489,0.880849867484187,0.830379397337176,0.743534758028701,0.906152286039346,0.920999023394695,0.760605409217018,0.691541332023188,0.864353100349929,0.778578061057688,0.873519123820238,0.861416036747906,0.858010227652053,0.912040388115835,0.67316011052756,0.767781185075843,0.694307901682402,0.807609794914583,0.956320150609034,0.972165343141292,0.967962701037358,0.958261364020132,0.977194481596373,0.969098438707083,0.880483393674583,0.862396204781217,0.884475314442264,0.89270654857773
"X1P02",0.770310721578783,0.701169743320181,0.742766401056346,0.783417173222445,0.782887464162737,0.784893352814003,0.775310017331015,0,0.376830786062593,0.536205935479721,0.534303480536781,0.428150868342737,0.424170004212967,0.395326080710761,0.689249129381613,0.659045281550878,0.698611622755438,0.668678618424431,0.795075347779985,0.779557803481965,0.798589052037207,0.901368122345163,0.894191129068671,0.868413966035789,0.907074002989978,0.638149805419848,0.60743115269035,0.724385322058367,0.76141575906684,0.688885573086026,0.772615282248122,0.748483483613541,0.703814277061235,0.747367752291631,0.777209961467955,0.787164283068928,0.797438427358739,0.826220672558626,0.84837102669089,0.846254320062007,0.867526614223536,0.859458912605169,0.723700330677537,0.714779621168638,0.795359344644077,0.730766223727912,0.754710007606307,0.733489889322926,0.757348696606521,0.808586830028867,0.743333486204257,0.721226214714528,0.811509204243061,0.737705535654562,0.774677824325535,0.762102857713774,0.81778368113014,0.816532631562159,0.816279669350453,0.854226248729328,0.596932222300873,0.510995125565737,0.609209204910021,0.589199587815298,0.579465720774116,0.585279875163423,0.628518100243962,0.657622980683397,0.721756291913662,0.664021462676207,0.814036124889967,0.759270818910385,0.835668742238511,0.830116189091978,0.813471879690669,0.879073291622563,0.841524929948194,0.859920921865269,0.816339242801589,0.844577755234372,0.801887881091165,0.785789895513918,0.79356168901492,0.77763528814872,0.808968639277139,0.815211582606194,0.828467490109132,0.810442294105699,0.85054414635988,0.821939367166825
"X1P03",0.836692761684294,0.752380424508513,0.826458430687212,0.768526153982648,0.707190050857611,0.686523042556694,0.679596591209972,0.376830786062593,0,0.38658360253284,0.4646844145832,0.290764959704938,0.380667041681209,0.326467332182987,0.774561529230173,0.742705427396247,0.76541133994823,0.729139937109222,0.850400982632901,0.837570308479453,0.866058396184903,0.909575990965091,0.910460476779871,0.861285339456947,0.907406651110465,0.639048696980385,0.598692996185025,0.72541638473296,0.784255574901399,0.706824476870379,0.785469578210992,0.774599913656419,0.751477818988828,0.781735527877241,0.818236577935699,0.841347502224852,0.836286147938263,0.855756840424131,0.802401025933976,0.868378615296632,0.886320750917363,0.894385917804234,0.744860933387334,0.731583373874209,0.817724618608419,0.741609996966692,0.768615381864639,0.749642831433344,0.747153102084572,0.856223018695923,0.787324879063715,0.756015623504479,0.834297415387774,0.822454283091285,0.832707362296387,0.799460577563518,0.802982649546065,0.796508582861146,0.817404388488903,0.860000439217454,0.589339306245137,0.463204343968845,0.5910079899445,0.584606124304748,0.537620854376027,0.476784193551331,0.620312983285854,0.596710646744523,0.73064624420939,0.730168370982425,0.837158293002784,0.798375948267791,0.858595650758183,0.861464673246885,0.855043870759445,0.895927958927955,0.842749921034336,0.88143837065537,0.828249497169224,0.875767188913655,0.789134646059674,0.800006965063109,0.797942674103494,0.782527198362299,0.800097509473964,0.819006624630956,0.840606159091049,0.842545857208647,0.880189376822707,0.843133205646648
"X1P04",0.763750791644852,0.749123258255424,0.768670691291403,0.753562704908946,0.674247100773037,0.62057063806817,0.616183972681235,0.536205935479721,0.38658360253284,0,0.527553715625983,0.444884535757041,0.490147042865383,0.395544441773528,0.738644941364959,0.705080157680102,0.729499450733924,0.709163113946926,0.81445282316523,0.802740083793861,0.82560560520896,0.915598774185414,0.919035779985412,0.848508560787131,0.910307712117649,0.64963310459015,0.689656013170071,0.781434242019708,0.828993599891903,0.758026296981606,0.828744556764971,0.77752189876985,0.75840633647837,0.781351448480854,0.815922829139833,0.805565067702499,0.821410111735062,0.839148901691556,0.774226509898629,0.862593586605796,0.885352287338479,0.897917629004227,0.851121382649492,0.857788100276731,0.89215918810293,0.83255664268197,0.856652898679486,0.855235966000614,0.852631058497737,0.856286983990601,0.783664264077721,0.757928621853639,0.772172835072422,0.771363206932645,0.780681101620557,0.7430433088524,0.79434707494493,0.799283666648184,0.80009111657936,0.849356707047149,0.744128199197535,0.57928927037349,0.705595660395002,0.724518935906498,0.679058373246227,0.604306479877486,0.744623834580228,0.771076739315954,0.71986571113266,0.709033381311289,0.829471039386966,0.73478431371493,0.818584644487239,0.825900138013175,0.824229377682679,0.873134348852956,0.821415711159975,0.873324974485265,0.820119388264476,0.866696457250833,0.871296775891389,0.877612299277609,0.883241426407638,0.861946368853402,0.882500076061654,0.88335258942119,0.831172371349922,0.837254632670442,0.865632992851882,0.83555958242036
