"","X1D01","X1D02","X1D04","X1G01","X1G02","X1G03","X1G04","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P04","X2S01","X2S02","X2S04","X2W01","X2W02","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3W01","X3W02","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P02","X5P03","X5P04","X5S01","X5S02","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.814457059146676,0.449322010683468,0.891472143582074,0.876288659793814,0.876340511634629,0.832851637764933,0.818180924287119,0.872340425531915,0.843474456485159,0.825779327317473,0.853211009174312,0.812642694063927,0.83743842364532,0.711017573397874,0.737937159047659,0.749358974358974,0.730918770670324,0.648198170544539,0.626149443427393,0.624669312169312,0.950103734439834,0.94,0.940828172170178,0.955305867665418,0.943231441048035,0.937799043062201,0.938388625592417,0.928268765133172,0.933333333333333,0.933333333333333,0.8125,0.808248299319728,0.846464860979515,0.785105843120197,0.659685863874346,0.768681369812023,0.782726101378951,0.927926465515492,0.933463541666667,0.943722943722944,0.912844036697248,0.965077957287268,0.93730407523511,0.970540019286403,0.96140350877193,0.963800822625851,0.957654723127036,0.964601659023131,0.848484848484848,0.840336134453781,0.83265306122449,0.598837209302326,0.511863651553971,0.50806474924122,0.527631900341964,0.926529388244702,0.91946268417681,0.923076923076923,0.937811438629546,0.929701013096121,0.927710843373494,0.934343434343434,0.930500894454383,0.938493064312736,0.925788576300085,0.93231791113147,0.940298236042917,0.830275229357798,0.792341463414634,0.846153846153846,0.542959337349398,0.737142857142857,0.76257140181665,0.698668714797747,0.901163227580817,0.903846153846154,0.947873277496603,0.906458333333333,0.921477641235706,0.977401049794297,0.967857142857143,0.970692431561997,0.97306366769454,0.976935686989752,0.963272017837235,0.860636720244929,0.880733944954128,0.861105440440951,0.88845387680049
"X1D02",0.814457059146676,0,0.810483870967742,0.822173973945931,0.806309422449269,0.826969696969697,0.817969413763806,0.76171875,0.823142355813244,0.827906976744186,0.787016920139575,0.790322580645161,0.772992644805394,0.786779414438989,0.526201372997712,0.549098156452417,0.614285714285714,0.52086697697983,0.807927786499215,0.813793103448276,0.813953488372093,0.899634914924518,0.892675506839135,0.86535138620245,0.91025641025641,0.847522904116466,0.840726888364908,0.840168067226891,0.83139508677034,0.857627118644068,0.878787878787879,0.568965517241379,0.527542867402819,0.614287618286019,0.8,0.774511311730056,0.822431865828092,0.805846148481361,0.848837209302326,0.866894197952218,0.873563218390805,0.841297352640047,0.900276243093923,0.889686743030751,0.914285714285714,0.899686520376176,0.908839779005525,0.891729078476066,0.908227848101266,0.620311525265128,0.562365879828326,0.525642898889538,0.79713431431835,0.746751624187906,0.777568134171908,0.749027178438943,0.831459728011452,0.830708661417323,0.825396825396825,0.855932203389831,0.825450306591722,0.840902421129861,0.841436553132051,0.839381175122906,0.85257478227944,0.848056537102474,0.833333333333333,0.865168539325843,0.519984048209855,0.457019704433498,0.570401195049082,0.775510204081633,0.790495651849364,0.789586627512989,0.794718402961396,0.863262757871878,0.848837209302326,0.886402417348027,0.804,0.843057714729887,0.950900032144005,0.911763013816843,0.919628865191301,0.920588235294118,0.930474188887429,0.906295553154636,0.636959110758237,0.618481069542748,0.637254901960784,0.694166261545941
"X1D04",0.449322010683468,0.810483870967742,0,0.864406779661017,0.862637362637363,0.863095238095238,0.798679508411052,0.821175480556294,0.863636363636364,0.851851851851852,0.818874163563934,0.851579894831588,0.815165876777251,0.839779005524862,0.710212650684004,0.729266319221342,0.755434782608696,0.745058979767206,0.621780974904743,0.594935897435897,0.587352567592089,0.942350049164209,0.931391042503115,0.926724137931034,0.941860465116279,0.934929276009678,0.926829268292683,0.933673469387755,0.91529364868456,0.92,0.922539871616703,0.810263719177946,0.798206278026906,0.840426687916546,0.768518518518519,0.627845036319613,0.757212205270458,0.75149722072799,0.913351773796979,0.922764227642276,0.935779816513761,0.902439024390244,0.963934038527692,0.940131213515411,0.969387755102041,0.960714285714286,0.962847941108811,0.957142310488654,0.962686047644905,0.832945736434109,0.831168831168831,0.838301110728587,0.549344241007661,0.495854037267081,0.514452798663325,0.56021978021978,0.910514093529789,0.900708664937852,0.90952380952381,0.919136878814298,0.926739926739927,0.929977782885161,0.930414771064464,0.93359375,0.939147822652316,0.918103448275862,0.931034118293663,0.937638888888889,0.830630572425378,0.784803362781419,0.83571477172212,0.503355704697987,0.715583102389334,0.727810650887574,0.682357827697207,0.888437983602779,0.896632669580703,0.946830043492807,0.889976076555024,0.908664822620302,0.972111553784861,0.960573476702509,0.967741521068859,0.972222222222222,0.97582030783916,0.960920541168156,0.838383838383838,0.853373181354833,0.837988826815642,0.869381764813796
"X1G01",0.891472143582074,0.822173973945931,0.864406779661017,0,0.483048433048433,0.554621848739496,0.533898305084746,0.8409587576138,0.88622754491018,0.851980948257199,0.818681318681319,0.869109947643979,0.85402247084479,0.861878453038674,0.831139971139971,0.834862385321101,0.842859942513718,0.862400072128389,0.780346820809249,0.822366522366522,0.8,0.674846625766871,0.674033149171271,0.648418248418248,0.734848484848485,0.817930688096434,0.870421507014537,0.849698795180723,0.812154696132597,0.857470511140236,0.83695652173913,0.826177332515505,0.819004524886878,0.848888888888889,0.905405405405405,0.874371859296482,0.912442396313364,0.897849462365591,0.696699134199134,0.754950980392157,0.729975343430786,0.709680748589514,0.94492238416874,0.939597315436242,0.957597173144876,0.927855421686747,0.937396864686469,0.929520697167756,0.947472818101675,0.886792452830189,0.861986863711002,0.882352941176471,0.87631637290766,0.828703703703704,0.860735735735736,0.858166851646319,0.56875,0.527397260273973,0.597402597402597,0.648570527643473,0.923954372623574,0.899771689497717,0.901448447371959,0.905375906467367,0.922394111163596,0.894987468671679,0.893560410995856,0.923467395548614,0.838235294117647,0.817021276595745,0.877450980392157,0.845303867403315,0.885970915312233,0.848742928975487,0.887727818400087,0.911519495704336,0.691358024691358,0.758707329752209,0.728568629372,0.788730158730159,0.964523107177975,0.944444444444444,0.949217975127794,0.948623680241327,0.9635700066357,0.949535443427644,0.885494402985075,0.828803143557775,0.85422616619067,0.891067021074616
"X1G02",0.876288659793814,0.806309422449269,0.862637362637363,0.483048433048433,0,0.495933884297521,0.482758620689655,0.838943474742804,0.870876939732948,0.847407938583541,0.80991923730872,0.852711728559979,0.850961538461538,0.846792722305017,0.8,0.808511827572329,0.812843406593407,0.830708661417323,0.781171342623857,0.813744588744589,0.79144385026738,0.705202312138728,0.706368214197986,0.680319546065402,0.779705882352941,0.803324737520722,0.880434782608696,0.854049625468165,0.823060543278085,0.877729257641921,0.831521739130435,0.818594360979625,0.822474747474747,0.831858407079646,0.904019860022731,0.87,0.9,0.891891891891892,0.692307692307692,0.733983929308378,0.718390804597701,0.683876811594203,0.945205479452055,0.933109619686801,0.9558572581575,0.921259842519685,0.936771871539313,0.933333333333333,0.946564885496183,0.88705819824608,0.852173913043478,0.88075475002189,0.867724867724868,0.809196617336152,0.845293644408689,0.841603309481216,0.592265173794423,0.533339260312945,0.584415584415584,0.622377622377622,0.919540229885058,0.894495412844037,0.905555555555556,0.905065545739527,0.908296943231441,0.888372093023256,0.888619201725998,0.918181818181818,0.826732673267327,0.794815810099653,0.873454052722345,0.833333333333333,0.87911722971953,0.829490392648287,0.87696421225833,0.90688106477839,0.671700347916204,0.75,0.673756093930259,0.74702338766832,0.960954263128176,0.946768060836502,0.944444444444444,0.94535500995355,0.960144927536232,0.949090235903946,0.880208333333333,0.831605800214823,0.850574712643678,0.887161857750093
"X1G03",0.876340511634629,0.826969696969697,0.863095238095238,0.554621848739496,0.495933884297521,0,0.5,0.852336197636949,0.874172185430464,0.85239651416122,0.841176470588235,0.875706214689266,0.867724867724868,0.8625,0.839024390243902,0.843183140303559,0.848661028893587,0.863545089448704,0.80625,0.837586132644272,0.810087348548887,0.726990400903444,0.75919318547091,0.705882352941176,0.761294261294261,0.819615307553597,0.878048780487805,0.85625,0.825581395348837,0.87469806763285,0.861358729716554,0.839786096256685,0.844281316599574,0.849757281553398,0.911330049261084,0.877005347593583,0.921759923481588,0.904761904761905,0.729559748427673,0.766750057510927,0.74762897555392,0.726114649681529,0.949090909090909,0.924486803519062,0.954887218045113,0.934462023051042,0.943060498220641,0.932806324110672,0.949789915966387,0.89119170984456,0.861315078876309,0.891642162868578,0.872832369942197,0.822946210877245,0.863414634146341,0.85078964685238,0.636630794701987,0.590102917665867,0.634419656625887,0.641941391941392,0.925311203319502,0.899748743718593,0.89556517903685,0.903943278943279,0.915094339622642,0.895405173087442,0.896739130434783,0.922680412371134,0.843830720249895,0.823926868044515,0.878700203547543,0.84451593706996,0.895829639348913,0.840010683760684,0.885057471264368,0.915760971055089,0.673842592592593,0.766130897317299,0.711032388663968,0.771696864399768,0.958904109589041,0.950616447635822,0.939655172413793,0.949217975127794,0.9609375,0.945098039215686,0.88268156424581,0.84393063583815,0.847407938583541,0.894483805668016
"X1G04",0.832851637764933,0.817969413763806,0.798679508411052,0.533898305084746,0.482758620689655,0.5,0,0.828729281767956,0.872340425531915,0.847328244274809,0.80379746835443,0.853454257111706,0.840102268719878,0.840764331210191,0.797440887930354,0.795225952684516,0.796178343949045,0.831914662416691,0.766768916155419,0.809756097560976,0.785714285714286,0.785276073619632,0.78021978021978,0.761627906976744,0.819223254987863,0.846879762416475,0.882716049382716,0.894117647058823,0.855491329479769,0.888360803793181,0.877549979600163,0.836356764928194,0.826923076923077,0.850961538461538,0.893939393939394,0.857142857142857,0.888619201725998,0.882351813511234,0.756494601889339,0.787804122550124,0.772151898734177,0.762820512820513,0.959259259259259,0.948810160427807,0.963302628743805,0.945147679324895,0.951048951048951,0.940711462450593,0.957805155960689,0.887179487179487,0.861462300076161,0.887618927338554,0.84472049689441,0.785330261136713,0.821709050112192,0.829787234042553,0.685185185185185,0.633894872502992,0.693877551020408,0.703414351851852,0.931034199005958,0.911330049261084,0.91304347826087,0.916279069767442,0.91866028708134,0.893778207607995,0.901369122680598,0.924731182795699,0.845303867403315,0.806451612903226,0.87999487704918,0.821757230499562,0.864356829948228,0.814102564102564,0.855036424768843,0.917391304347826,0.729380993897123,0.794736842105263,0.74,0.804878048780488,0.967441860465116,0.957716512908532,0.952687953233684,0.96,0.971072404371585,0.956262252576994,0.876782780151167,0.850149700598802,0.864076246334311,0.89927999631947
"X1P02",0.818180924287119,0.76171875,0.821175480556294,0.8409587576138,0.838943474742804,0.852336197636949,0.828729281767956,0,0.581818181818182,0.646341463414634,0.599492385786802,0.595854922279793,0.579855072463768,0.544378698224852,0.75609756097561,0.75110140708394,0.760765550239235,0.771323141802847,0.831139971139971,0.826006441223832,0.834033724728525,0.917355371900826,0.899253731343284,0.879518072289157,0.927685641715225,0.671032571032571,0.666666666666667,0.74,0.766355140186916,0.708778205833792,0.779072283161333,0.8,0.772549019607843,0.801146500541078,0.805557743505726,0.807692307692308,0.823293172690763,0.86230377166157,0.895397489539749,0.870538858060336,0.892561983471074,0.877343155564778,0.743500096116878,0.746953151659923,0.772888459058672,0.74609375,0.788778877887789,0.753705533596838,0.779298663248489,0.790794979079498,0.782075534315678,0.801527273787144,0.847493829504462,0.805785123966942,0.827793103448276,0.830676911353823,0.874238833481452,0.869191694144907,0.866809728183119,0.865250447227191,0.652806113627719,0.617435969603152,0.657303370786517,0.676992970019778,0.685467173618431,0.660285766623924,0.648993699461776,0.725171854318774,0.800829875518672,0.761366245694604,0.816779086088584,0.819601539865857,0.842101403729311,0.829165627338488,0.85402977705192,0.879630645957961,0.860019792182088,0.881679389312977,0.86411828344753,0.862068965517241,0.842715781217003,0.783783783783784,0.803883861236802,0.796396103896104,0.818181818181818,0.804270462633452,0.821264744429882,0.82857750454317,0.831358342361863,0.822134387351779
"X1P03",0.872340425531915,0.823142355813244,0.863636363636364,0.88622754491018,0.870876939732948,0.874172185430464,0.872340425531915,0.581818181818182,0,0.551724137931034,0.656047077922078,0.572830188679245,0.596934909449117,0.533583959899749,0.817757009345794,0.816123464311098,0.812132352941177,0.820245922636837,0.891248028835323,0.879668049792531,0.895833333333333,0.949874371859297,0.928909952606635,0.901684617508975,0.953333333333333,0.675496688741722,0.697071307300509,0.753246753246753,0.790558418047626,0.748717948717949,0.826589595375723,0.856459330143541,0.817969413763806,0.846868399499978,0.833333333333333,0.852336197636949,0.847877475863442,0.873197794166501,0.917990752416982,0.904228707564026,0.909787234042553,0.89119170984456,0.77937925170068,0.786284747637405,0.810308471924634,0.777261956053425,0.823970037453184,0.792207792207792,0.795677300046232,0.815099715099715,0.810812442641163,0.834472325660122,0.857954545454545,0.861368849579467,0.870580024813896,0.858870394081662,0.906633342992369,0.90180812990759,0.906735751295337,0.868342262842736,0.725118483412322,0.644963575231157,0.649444383919817,0.710185437687483,0.697802197802198,0.664670658682635,0.670846764682758,0.714700996677741,0.832005689900427,0.830838652872551,0.838265246741154,0.857518796992481,0.851190476190476,0.843561746987952,0.862637362637363,0.892780502759043,0.89159811985899,0.901408450704225,0.887700534759358,0.88767049209878,0.841584158415842,0.811926605504587,0.838427947598253,0.825363070539419,0.828260006428315,0.83265306122449,0.831395348837209,0.859108260803176,0.848219032429559,0.830560500251038
"X1P04",0.843474456485159,0.827906976744186,0.851851851851852,0.851980948257199,0.847407938583541,0.85239651416122,0.847328244274809,0.646341463414634,0.551724137931034,0,0.702259200268254,0.63265306122449,0.61980400163332,0.550002958754956,0.785527299925206,0.787234042553192,0.783167113643983,0.805309734513274,0.874285714285714,0.873873873873874,0.878700203547543,0.942256820060623,0.931707317073171,0.897435897435897,0.942651593011305,0.741721854304636,0.75337899543379,0.786666666666667,0.840118343195266,0.805128205128205,0.847058823529412,0.844061772276014,0.827159440081939,0.836056214317084,0.85241634724956,0.839429732647488,0.858967612933779,0.871165644171779,0.905027932960894,0.907146908678389,0.900568640754741,0.895027624309392,0.841269841269841,0.838000672096782,0.874246367739597,0.825471698113208,0.868421052631579,0.838132892718046,0.852104601680153,0.846560846560847,0.821519108432582,0.842610837438424,0.812310606060606,0.840579710144927,0.85,0.831145484949833,0.901298035405872,0.891304347826087,0.887640449438202,0.865771812080537,0.776997685440317,0.711373682420945,0.720588235294118,0.771425099902797,0.766130897317299,0.752778120755649,0.724358974358974,0.791666666666667,0.826556991774383,0.821757026175317,0.84426523297491,0.824561403508772,0.838186007540846,0.841772151898734,0.861271676300578,0.897028624114664,0.881018875192604,0.903613898179116,0.9,0.902298850574713,0.883838383838384,0.868778280542986,0.887132607720843,0.87021137857958,0.882981035700701,0.880409983995641,0.848837209302326,0.853866876930153,0.838709677419355,0.844221105527638
