"","X1D01","X1D02","X1D04","X1G01","X1G02","X1G03","X1G04","X1P02","X1P03","X1P04","X1S01","X1S02","X1S03","X1S04","X1W01","X1W02","X1W03","X1W04","X2D01","X2D02","X2D04","X2G01","X2G02","X2G03","X2G04","X2P01","X2P02","X2P04","X2S01","X2S02","X2S04","X2W01","X2W02","X2W04","X3D01","X3D02","X3D03","X3D04","X3G01","X3G02","X3G03","X3G04","X3P01","X3P02","X3P03","X3P04","X3S01","X3S02","X3S03","X3W01","X3W02","X3W04","X4D01","X4D02","X4D03","X4D04","X4G01","X4G02","X4G03","X4G04","X4P01","X4P02","X4P03","X4P04","X4S01","X4S02","X4S03","X4S04","X4W01","X4W02","X4W03","X4W04","X5D01","X5D02","X5D03","X5D04","X5G01","X5G02","X5G03","X5G04","X5P02","X5P03","X5P04","X5S01","X5S02","X5S04","X5W01","X5W02","X5W03","X5W04"
"X1D01",0,0.804469273743017,0.472136222910217,0.86505654590761,0.867132867132867,0.854961832061069,0.847906546379829,0.813953488372093,0.857142857142857,0.827596334586466,0.816455696202532,0.854545454545455,0.82621713095548,0.816391113407388,0.714285714285714,0.738562091503268,0.753424657534246,0.728295668549906,0.671378621378621,0.65827473631341,0.658064516129032,0.940727137229852,0.930693069306931,0.923913043478261,0.936619718309859,0.936046511627907,0.926553672316384,0.929824561403509,0.915965727198544,0.922891118543292,0.923497267759563,0.806540723578685,0.783997155049787,0.828203914141414,0.804408549914987,0.670202904521578,0.772866703848299,0.788572458543619,0.910179640718563,0.923857868020305,0.925071423825659,0.890173410404624,0.955555555555556,0.931557945870923,0.964496903302107,0.949790794979079,0.953884950926936,0.94594571230982,0.95,0.853801169590643,0.843409331118828,0.829607892107892,0.587743268461743,0.496239751201583,0.522223441615452,0.519083969465649,0.913746004068585,0.903317448680352,0.90692007797271,0.923611111111111,0.926664821259095,0.912820512820513,0.922077922077922,0.92251770554852,0.932291666666667,0.924527753560012,0.926553672316384,0.92837411207577,0.801223527650976,0.787181230873852,0.83231673299364,0.558153513253591,0.718879132231405,0.779018859452178,0.708492210480445,0.900226244343892,0.8832382592473,0.940594059405941,0.916666666666667,0.923076923076923,0.967208618571178,0.956140350877193,0.960697940503433,0.953684005247669,0.966029570861882,0.956175298804781,0.858064516129032,0.871951219512195,0.873729603729604,0.890026178010471
"X1D02",0.804469273743017,0,0.805798319327731,0.80379746835443,0.792330311198236,0.800641025641026,0.795147597916265,0.707039436083063,0.798701298701299,0.793333333333333,0.772222222222222,0.757225433526012,0.734069981583794,0.749233128834356,0.564935064935065,0.576541008660214,0.591372912801484,0.563397509213369,0.78021978021978,0.797709681512498,0.788659793814433,0.87590618336887,0.878504672897196,0.839287109120733,0.886792452830189,0.823852617970265,0.820224719101124,0.808564149464332,0.81025641025641,0.83101807190173,0.843985552763819,0.576025991792066,0.502994011976048,0.603828236980411,0.795811518324607,0.76878612716763,0.835820895522388,0.826468450382472,0.826329169543657,0.83495145631068,0.843243243243243,0.807800956106041,0.876384065372829,0.86523199023199,0.894538232373386,0.88845387680049,0.884057971014493,0.860991991733402,0.873852824787404,0.637221337579618,0.574462186737636,0.550449101796407,0.789156626506024,0.754098360655738,0.774288886711734,0.748603351955307,0.812495311445075,0.827956989247312,0.807800956106041,0.834375366339729,0.798206278026906,0.802031765676568,0.798761313084829,0.805407704459837,0.830507480887388,0.824742268041237,0.802228844601726,0.828803143557775,0.492857142857143,0.467532467532468,0.589392342817,0.788307453416149,0.803859518490941,0.795584045584046,0.798850574712644,0.880691018640557,0.827501454333915,0.870192307692308,0.818181818181818,0.848742928975487,0.921528183043889,0.881103498016588,0.887445887445887,0.9,0.905235244354786,0.881880965313882,0.655844155844156,0.629504601358906,0.66435961298975,0.713899613899614
"X1D04",0.472136222910217,0.805798319327731,0,0.845015831422644,0.84674476100777,0.843362603305785,0.810131091479054,0.805546026300743,0.857705286839145,0.831932773109244,0.819354838709677,0.851612903225807,0.820750237416904,0.813793103448276,0.692307692307692,0.715298885511652,0.733573141486811,0.724344414619038,0.659497378970089,0.637221337579618,0.640287769784173,0.927777777777778,0.92172181372549,0.912679501842674,0.91985401459854,0.923076923076923,0.918494496855346,0.924764150943396,0.907245597526549,0.912595823420566,0.918839897835731,0.804597701149425,0.770588235294118,0.817441929543159,0.800602409638554,0.66412213740458,0.772866703848299,0.75984496124031,0.894736842105263,0.914814814814815,0.916417165668663,0.887458609271523,0.955085885445321,0.930690737833595,0.959919678714859,0.951648118092588,0.951401699368327,0.944807857533391,0.942307692307692,0.842424242424243,0.838236821155377,0.840236686390533,0.539130434782609,0.476190476190476,0.504,0.571973827699018,0.89973544973545,0.884848484848485,0.896774193548387,0.904411764705882,0.919537068381855,0.914115803061036,0.910958904109589,0.917974882260597,0.928205128205128,0.914285714285714,0.923303167420815,0.916167664670659,0.808228829082711,0.7692415484323,0.825174825174825,0.533898305084746,0.705882352941176,0.742061491935484,0.713235294117647,0.89382960035134,0.879087761296114,0.9375,0.906904761904762,0.91875,0.958115183246073,0.948356807511737,0.958715596330275,0.948717948717949,0.964601769911504,0.949152542372881,0.844208037825059,0.844658567239212,0.850393700787402,0.872157622739018
"X1G01",0.86505654590761,0.80379746835443,0.845015831422644,0,0.469669117647059,0.528750826173166,0.522727272727273,0.8,0.871794871794872,0.851851851851852,0.815602836879433,0.864115646258503,0.839463087248322,0.847906546379829,0.781021897810219,0.788201813621455,0.807692307692308,0.831915308176918,0.762541459369818,0.813559322033898,0.784253003003003,0.676691729323308,0.684563758389262,0.641221374045801,0.69227933431641,0.797831300177249,0.850905049221975,0.840579710144927,0.789115646258503,0.858355803800719,0.82999866613312,0.805546026300743,0.775073964497041,0.805798319327731,0.9,0.863309352517986,0.899389676603029,0.877780218573233,0.675,0.737555260831123,0.72093023255814,0.682926829268293,0.941666666666667,0.934959349593496,0.953684005247669,0.930232558139535,0.928429140580535,0.920398009950249,0.938302934179223,0.841219456496917,0.835365853658537,0.851190476190476,0.860379616963064,0.809534840622683,0.83047385620915,0.833333333333333,0.58271144278607,0.552845528455285,0.5866524419156,0.614222359735974,0.918658424908425,0.897590361445783,0.890625,0.901954008544861,0.913291900561347,0.9,0.891805818557411,0.91304347826087,0.79136690647482,0.773987574781408,0.840277777777778,0.820143884892086,0.845178020745725,0.822033898305085,0.865248226950355,0.907650501672241,0.692913385826772,0.768721344880285,0.7061521856449,0.783263912993174,0.95,0.940298507462687,0.940298507462687,0.939109736299417,0.953917050691244,0.942856866836695,0.845558345289335,0.812966417910448,0.825,0.872832369942197
"X1G02",0.867132867132867,0.792330311198236,0.84674476100777,0.469669117647059,0,0.477272727272727,0.455696202531646,0.803307184881441,0.860869565217391,0.841857043959848,0.808823529411765,0.847222222222222,0.842285508291276,0.835820895522388,0.755560437146466,0.761031797534069,0.782258064516129,0.803020282186949,0.779018859452178,0.824561403508772,0.795377309166957,0.712732754972493,0.72,0.671587318880052,0.752526283556191,0.796306459579606,0.858681942400673,0.850701982920828,0.8,0.8711474483711,0.825946122296793,0.812876506024096,0.779818059299191,0.803075058698781,0.898468885014781,0.864115646258503,0.894263792473511,0.872,0.656678460858027,0.722972972972973,0.715447154471545,0.665364583333333,0.93912928410745,0.930512656654951,0.952483579638752,0.922330097087379,0.929289215686275,0.920199004975124,0.936842105263158,0.846153846153846,0.827487531681792,0.850931677018633,0.844961240310078,0.799350649350649,0.825174825174825,0.822695035460993,0.62015503875969,0.555555555555556,0.593220338983051,0.617334167709637,0.914008506113769,0.894224836493768,0.893939393939394,0.895188230759347,0.906432748538012,0.891237677984666,0.888153053715968,0.908195734434124,0.787542936882782,0.772151898734177,0.835714285714286,0.801472578636782,0.827586206896552,0.808514492753623,0.856115107913669,0.897512285012285,0.665333333333333,0.756667852062589,0.657776197249881,0.735537190082645,0.948275862068966,0.939849246231156,0.932467076856649,0.9375,0.950616982880554,0.93859649122807,0.828358208955224,0.807846153846154,0.813084112149533,0.861102638401708
"X1G03",0.854961832061069,0.800641025641026,0.843362603305785,0.528750826173166,0.477272727272727,0,0.486842105263158,0.802721088435374,0.857142857142857,0.831761006289308,0.827067669172932,0.852282515073213,0.836879432624113,0.845528455284553,0.782433380084151,0.780487804878049,0.798245614035088,0.814236910793797,0.790683678382282,0.835329985652798,0.812724820143885,0.742424242424242,0.758395312147848,0.706766917293233,0.75263274581532,0.800763358778626,0.857142857142857,0.852827177382581,0.807275132275132,0.871951219512195,0.839160839160839,0.822012236004023,0.8,0.81875,0.893081761006289,0.849624060150376,0.897697540554683,0.87603305785124,0.696838138925295,0.75,0.736189647672901,0.689655172413793,0.940298236042917,0.917619705919316,0.950892857142857,0.929113469722607,0.935012142329215,0.923857868020305,0.938202247191011,0.840979510244877,0.821786929587296,0.838817925958,0.843226733740568,0.802171809482851,0.835714285714286,0.813693162096494,0.661596298438404,0.621748336358137,0.645454545454545,0.624327956989247,0.914572864321608,0.888888888888889,0.890690651260504,0.9,0.908236096074422,0.883870967741936,0.883634824923305,0.905453295250185,0.790697674418605,0.782175845242245,0.82691966135812,0.810064935064935,0.825465395920549,0.80188679245283,0.8515625,0.898362933429987,0.681829459928873,0.76,0.685185185185185,0.762934879571811,0.949683544303797,0.936507936507936,0.934426229508197,0.940886699507389,0.949998749968749,0.9376495215311,0.815457762052189,0.803418803418803,0.803654873164219,0.856696428571428
"X1G04",0.847906546379829,0.795147597916265,0.810131091479054,0.522727272727273,0.455696202531646,0.486842105263158,0,0.783582089552239,0.848770726129217,0.806451612903226,0.791348837209302,0.840634920634921,0.816793893129771,0.795081967213115,0.753968253968254,0.75203305785124,0.781512605042017,0.801303277296655,0.775096899224806,0.824780701754386,0.812724820143885,0.779411764705882,0.772888459058672,0.742305871212121,0.804123711340206,0.82258064516129,0.853846153846154,0.874044911052785,0.838825676255904,0.878787878787879,0.841726618705036,0.829113924050633,0.790007112375533,0.824771814530851,0.882352941176471,0.834645669291339,0.868238304093567,0.857738095238095,0.715596330275229,0.763437821171634,0.747896783315659,0.732450738916256,0.94344670643951,0.933920704845815,0.953271028037383,0.92964824120603,0.932059141723765,0.925066844919786,0.938547486033519,0.842857142857143,0.824749574749575,0.849315068493151,0.827016243944144,0.77568115942029,0.803089954664758,0.803089954664758,0.699217556085335,0.631363244176014,0.678571428571428,0.659090909090909,0.921259300082667,0.889249639249639,0.893623966342667,0.901840490797546,0.908215661103979,0.880794701986755,0.895313641582298,0.910958904109589,0.789915966386555,0.771428571428571,0.833333333333333,0.795275590551181,0.8,0.778846153846154,0.830707196029777,0.898539998654377,0.71551724137931,0.789662718234147,0.704761904761905,0.775,0.951367331855137,0.939725574971477,0.935197556785646,0.945,0.95360824742268,0.940092165898618,0.826266618756737,0.818181818181818,0.813725490196078,0.871794871794872
"X1P02",0.813953488372093,0.707039436083063,0.805546026300743,0.8,0.803307184881441,0.802721088435374,0.783582089552239,0,0.590163934426229,0.682733255903988,0.597953216374269,0.611476608187135,0.626666666666667,0.569343065693431,0.690909090909091,0.689031874139919,0.718435402684564,0.714285714285714,0.808441352141314,0.830142883311962,0.835106382978723,0.898794593088071,0.868108605614358,0.85455503323067,0.904458598726115,0.666666666666667,0.652324561403509,0.728713659896456,0.725609756097561,0.694815805109923,0.764367816091954,0.764834971910112,0.729166666666667,0.759581151832461,0.767381667381667,0.765246169864644,0.810027932960894,0.830245854774157,0.86245640586958,0.822335025380711,0.850997753402934,0.848481627695111,0.751605975723623,0.763321685957633,0.780437084089534,0.763338940648723,0.78937251984127,0.742396313364055,0.782503250325033,0.741171582883257,0.711813168560229,0.751351351351351,0.836786469344609,0.76271186440678,0.805091779728651,0.784487315010571,0.840212765957447,0.840964590964591,0.828650355169692,0.831124956124956,0.660769230769231,0.630762814680012,0.654273551525874,0.674035173424524,0.691644518272425,0.674923312883436,0.660193564605329,0.72700845665962,0.709269089424255,0.691011235955056,0.755334681042228,0.806350267379679,0.80952380952381,0.816391113407388,0.832335329341317,0.857460317460317,0.824401913875598,0.852941176470588,0.839753086419753,0.838615374393728,0.832460732984293,0.763415911092073,0.781771959692633,0.791851032448378,0.816707584959297,0.790047268907563,0.760649788300354,0.762820512820513,0.770551801801802,0.777777777777778
"X1P03",0.857142857142857,0.798701298701299,0.857705286839145,0.871794871794872,0.860869565217391,0.857142857142857,0.848770726129217,0.590163934426229,0,0.575,0.654032487888287,0.596491228070175,0.621269197334106,0.55,0.761721611721612,0.765151515151515,0.771186440677966,0.7875,0.885906040268456,0.879781420765027,0.893686534216336,0.932926829268293,0.908831168831169,0.886666666666667,0.929203539823009,0.691987179487179,0.694915254237288,0.7578125,0.776059701492537,0.75796178343949,0.825781857031857,0.832278100581046,0.804476507584166,0.825806451612903,0.808219178082192,0.821705426356589,0.841219456496917,0.856537530266344,0.906474820143885,0.878418329637842,0.894551519644181,0.880281690140845,0.792686989838414,0.806046299116662,0.816326530612245,0.81283422459893,0.816901408450704,0.782962962962963,0.794649184975195,0.79715212323908,0.783048354476926,0.802721088435374,0.836731973877116,0.849494135553765,0.858156028368794,0.828571428571429,0.892511256477784,0.897017233760495,0.893981018981019,0.857142857142857,0.733915928446831,0.675536881419234,0.66,0.724832214765101,0.719852090355688,0.696969696969697,0.661016949152542,0.73015873015873,0.791645133505599,0.792077050466312,0.810606060606061,0.853477887505367,0.818181818181818,0.840522049527776,0.852713178294574,0.879890710382514,0.881481481481482,0.888543823326432,0.874507874015748,0.873186882488964,0.83974358974359,0.797653454445362,0.80952380952381,0.835897435897436,0.832882882882883,0.819095477386935,0.798319327731092,0.813953488372093,0.81651376146789,0.80794701986755
"X1P04",0.827596334586466,0.793333333333333,0.831932773109244,0.851851851851852,0.841857043959848,0.831761006289308,0.806451612903226,0.682733255903988,0.575,0,0.717204301075269,0.660935655253837,0.663793103448276,0.572122052704577,0.72385758340342,0.714285714285714,0.735181165470028,0.763335704125178,0.860294117647059,0.870205360250609,0.879432624113475,0.928571428571429,0.921921217805353,0.885135135135135,0.926605504587156,0.780074410913601,0.75,0.811023622047244,0.840579710144927,0.830188679245283,0.852112676056338,0.810999810999811,0.807692307692308,0.817610062893082,0.853333333333333,0.808,0.839846918085969,0.862385321100917,0.890618323872307,0.882716049382716,0.886363636363636,0.893939393939394,0.858536585365854,0.854365725340317,0.878640776699029,0.854054054054054,0.869568405614917,0.849162011173184,0.851851851851852,0.82962962962963,0.797250047250047,0.816901408450704,0.812232905982906,0.8249961717115,0.835879197761194,0.790697674418605,0.892617449664429,0.880700285629863,0.876446034585569,0.852941176470588,0.806350267379679,0.725876669847328,0.711538461538462,0.786666666666667,0.78169014084507,0.761031797534069,0.776,0.807549857549858,0.7755,0.766540367239872,0.80327868852459,0.819992315573771,0.807886557886558,0.834867032503166,0.86046511627907,0.896461727097565,0.864661654135338,0.890674110835401,0.908333333333333,0.896,0.881186824677588,0.852272727272727,0.86297619047619,0.866310160427808,0.880434782608696,0.879007465963988,0.823008849557522,0.804878048780488,0.814270152505447,0.823329331732693
