"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"1","k__;p__;f__other families","D",30.613903475869,0,3.9,0,NA,";f__other families","Desert","OTU"
"6","k__Fungi;p__Ascomycota;f__Dothideaceae","D",1.89422355588897,0.274032465599862,4,0.137016232799931,2.25056264066017,"Ascomycota;f__Dothideaceae","Desert","OTU"
"11","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","D",1.73668417104276,0.346577986379765,4,0.173288993189883,2.20555138784696,"Ascomycota;f__Dothideomycetes","Desert","OTU"
"16","k__Fungi;p__Ascomycota;f__Dothioraceae","D",7.2430607651913,1.18471850717723,4,0.592359253588617,8.98724681170293,"Ascomycota;f__Dothioraceae","Desert","OTU"
"21","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","D",3.96099024756189,0.41326188067244,4,0.20663094033622,4.45611402850713,"Ascomycota;f__Herpotrichiellaceae","Desert","OTU"
"26","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","D",0.0200050012503126,0.00866241964275508,3,0.00500125031257815,0.0300075018754689,"Ascomycota;f__Mycosphaerellaceae","Desert","OTU"
"31","k__Fungi;p__Ascomycota;f__Phaeosphaeriaceae","D",0.0450112528132033,0.0212185080626121,4,0.010609254031306,0.0600150037509377,"Ascomycota;f__Phaeosphaeriaceae","Desert","OTU"
"36","k__Fungi;p__Ascomycota;f__Pleosporaceae","D",2.6781695423856,0.78951670619192,4,0.39475835309596,3.75093773443361,"Ascomycota;f__Pleosporaceae","Desert","OTU"
"41","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","D",25.8702175543886,6.03540529143517,4,3.01770264571758,34.5836459114779,"Ascomycota;f__Pleosporales","Desert","OTU"
"49","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","D",1.13278319579895,0.0952866160703059,4,0.047643308035153,1.23030757689422,"Ascomycota;f__Rutstroemiaceae","Desert","OTU"
"54","k__Fungi;p__Ascomycota;f__unidentified","D",24.8049512378095,6.43738872888884,4,3.21869436444442,30.1425356339085,"Ascomycota;f__unidentified","Desert","OTU"
"2","k__;p__;f__other families","G",6.59039759939985,0,3.54545454545455,0,NA,";f__other families","Grassland","OTU"
"7","k__Fungi;p__Ascomycota;f__Dothideaceae","G",0.0150037509377344,NA,1,NA,0.0150037509377344,"Ascomycota;f__Dothideaceae","Grassland","OTU"
"12","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","G",0.356339084771193,0.100554985060681,4,0.0502774925303403,0.450112528132033,"Ascomycota;f__Dothideomycetes","Grassland","OTU"
"17","k__Fungi;p__Ascomycota;f__Dothioraceae","G",0.191297824456114,0.0718249893290576,4,0.0359124946645288,0.27006751687922,"Ascomycota;f__Dothioraceae","Grassland","OTU"
"22","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","G",0.0250062515628907,0.0173248392855102,3,0.0100025006251563,0.0450112528132033,"Ascomycota;f__Herpotrichiellaceae","Grassland","OTU"
"27","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","G",18.2633158289572,0.764492274448094,4,0.382246137224047,19.3398349587397,"Ascomycota;f__Mycosphaerellaceae","Grassland","OTU"
"32","k__Fungi;p__Ascomycota;f__Phaeosphaeriaceae","G",0.105026256564141,0.0561388955254905,4,0.0280694477627452,0.180045011252813,"Ascomycota;f__Phaeosphaeriaceae","Grassland","OTU"
"37","k__Fungi;p__Ascomycota;f__Pleosporaceae","G",65.7726931732933,1.74870953888907,4,0.874354769444537,67.8619654913728,"Ascomycota;f__Pleosporaceae","Grassland","OTU"
"42","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","G",6.81545386346587,0.944670522151804,4,0.472335261075902,8.05701425356339,"Ascomycota;f__Pleosporales","Grassland","OTU"
"46","k__Fungi;p__Ascomycota;f__Rhytismataceae","G",0.0375093773443361,0.0259872589282652,4,0.0129936294641326,0.0750187546886722,"Ascomycota;f__Rhytismataceae","Grassland","OTU"
"50","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","G",0.0800200050012503,0.0377586118293111,3,0.0217999447038793,0.120030007501875,"Ascomycota;f__Rutstroemiaceae","Grassland","OTU"
"55","k__Fungi;p__Ascomycota;f__unidentified","G",1.74793698424606,0.312448084969988,4,0.156224042484994,2.07051762940735,"Ascomycota;f__unidentified","Grassland","OTU"
"3","k__;p__;f__other families","P",37.6931732933233,0,4,0,NA,";f__other families","Pine-Oak","OTU"
"8","k__Fungi;p__Ascomycota;f__Dothideaceae","P",4.16354088522131,1.55158904475948,4,0.775794522379738,6.33158289572393,"Ascomycota;f__Dothideaceae","Pine-Oak","OTU"
"13","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","P",0.105026256564141,0.0648236128873004,4,0.0324118064436502,0.195048762190548,"Ascomycota;f__Dothideomycetes","Pine-Oak","OTU"
"18","k__Fungi;p__Ascomycota;f__Dothioraceae","P",0.480120030007502,0.196390636819924,4,0.0981953184099618,0.720180045011253,"Ascomycota;f__Dothioraceae","Pine-Oak","OTU"
"23","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","P",6.22655663915979,0.514229714789775,4,0.257114857394888,6.99174793698425,"Ascomycota;f__Herpotrichiellaceae","Pine-Oak","OTU"
"28","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","P",0.716429107276819,0.107060638302614,4,0.0535303191513069,0.840210052513128,"Ascomycota;f__Mycosphaerellaceae","Pine-Oak","OTU"
"33","k__Fungi;p__Ascomycota;f__Phaeosphaeriaceae","P",0.266316579144786,0.261419999113863,4,0.130709999556932,0.645161290322581,"Ascomycota;f__Phaeosphaeriaceae","Pine-Oak","OTU"
"38","k__Fungi;p__Ascomycota;f__Pleosporaceae","P",0.183795948987247,0.0480354406409066,4,0.0240177203204533,0.225056264066017,"Ascomycota;f__Pleosporaceae","Pine-Oak","OTU"
"43","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","P",0.236309077269317,0.0256237828606141,4,0.0128118914303071,0.27006751687922,"Ascomycota;f__Pleosporales","Pine-Oak","OTU"
"47","k__Fungi;p__Ascomycota;f__Rhytismataceae","P",10.8139534883721,3.649241551287,4,1.8246207756435,15.8439609902476,"Ascomycota;f__Rhytismataceae","Pine-Oak","OTU"
"51","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","P",0.0262565641410353,0.00750187546886722,4,0.00375093773443361,0.0300075018754689,"Ascomycota;f__Rutstroemiaceae","Pine-Oak","OTU"
"56","k__Fungi;p__Ascomycota;f__unidentified","P",39.0885221305326,1.85300373632165,4,0.926501868160825,41.8604651162791,"Ascomycota;f__unidentified","Pine-Oak","OTU"
"4","k__;p__;f__other families","S",35.9114778694674,0,4,0,NA,";f__other families","Subalpine","OTU"
"9","k__Fungi;p__Ascomycota;f__Dothideaceae","S",13.6121530382596,2.81365671098166,4,1.40682835549083,16.15903975994,"Ascomycota;f__Dothideaceae","Subalpine","OTU"
"14","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","S",0.213803450862716,0.0935982359200445,4,0.0467991179600223,0.315078769692423,"Ascomycota;f__Dothideomycetes","Subalpine","OTU"
"19","k__Fungi;p__Ascomycota;f__Dothioraceae","S",0.558889722430608,0.0495729622445586,4,0.0247864811222793,0.615153788447112,"Ascomycota;f__Dothioraceae","Subalpine","OTU"
"24","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","S",4.47111777944486,1.61572123659916,4,0.807860618299578,6.51162790697674,"Ascomycota;f__Herpotrichiellaceae","Subalpine","OTU"
"29","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","S",0.427606901725431,0.0870562399876429,4,0.0435281199938215,0.54013503375844,"Ascomycota;f__Mycosphaerellaceae","Subalpine","OTU"
"34","k__Fungi;p__Ascomycota;f__Phaeosphaeriaceae","S",1.15528882220555,0.138056251481293,4,0.0690281257406464,1.29032258064516,"Ascomycota;f__Phaeosphaeriaceae","Subalpine","OTU"
"39","k__Fungi;p__Ascomycota;f__Pleosporaceae","S",0.32258064516129,0.128776125927319,4,0.0643880629636596,0.495123780945236,"Ascomycota;f__Pleosporaceae","Subalpine","OTU"
"44","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","S",0.705176294073518,0.230817319514165,4,0.115408659757083,1.02025506376594,"Ascomycota;f__Pleosporales","Subalpine","OTU"
"48","k__Fungi;p__Ascomycota;f__Rhytismataceae","S",9.17854463615904,2.05090445697935,4,1.02545222848967,11.807951987997,"Ascomycota;f__Rhytismataceae","Subalpine","OTU"
"52","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","S",0.0525131282820705,0.0150037509377344,4,0.00750187546886722,0.0600150037509377,"Ascomycota;f__Rutstroemiaceae","Subalpine","OTU"
"57","k__Fungi;p__Ascomycota;f__unidentified","S",33.390847711928,1.32591625568139,4,0.662958127840697,34.8837209302326,"Ascomycota;f__unidentified","Subalpine","OTU"
"5","k__;p__;f__other families","W",14.8987246811703,0,4,0,NA,";f__other families","Scrubland","OTU"
"10","k__Fungi;p__Ascomycota;f__Dothideaceae","W",3.77344336084021,2.12702534908567,4,1.06351267454284,6.81170292573143,"Ascomycota;f__Dothideaceae","Scrubland","OTU"
"15","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","W",24.3735933983496,8.46219090199983,4,4.23109545099992,35.423855963991,"Ascomycota;f__Dothideomycetes","Scrubland","OTU"
"20","k__Fungi;p__Ascomycota;f__Dothioraceae","W",12.655663915979,2.00540159729441,4,1.00270079864721,14.5536384096024,"Ascomycota;f__Dothioraceae","Scrubland","OTU"
"25","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","W",6.48912228057014,0.774257515225247,4,0.387128757612623,7.60690172543136,"Ascomycota;f__Herpotrichiellaceae","Scrubland","OTU"
"30","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","W",0.390097524381095,0.247144768204168,4,0.123572384102084,0.675168792198049,"Ascomycota;f__Mycosphaerellaceae","Scrubland","OTU"
"35","k__Fungi;p__Ascomycota;f__Phaeosphaeriaceae","W",5.64516129032258,1.63783312062292,4,0.818916560311462,7.83195798949737,"Ascomycota;f__Phaeosphaeriaceae","Scrubland","OTU"
"40","k__Fungi;p__Ascomycota;f__Pleosporaceae","W",5.95648912228057,2.32065559370669,4,1.16032779685335,8.77719429857464,"Ascomycota;f__Pleosporaceae","Scrubland","OTU"
"45","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","W",3.02325581395349,0.618681145063215,4,0.309340572531607,3.7059264816204,"Ascomycota;f__Pleosporales","Scrubland","OTU"
"53","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","W",7.06301575393849,1.30715740193958,4,0.653578700969792,8.74718679669918,"Ascomycota;f__Rutstroemiaceae","Scrubland","OTU"
"58","k__Fungi;p__Ascomycota;f__unidentified","W",15.7314328582146,2.05730186918687,4,1.02865093459344,17.7644411102776,"Ascomycota;f__unidentified","Scrubland","OTU"
