"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"1","k__;p__;f__other families","D",31.1036036036036,0,3.7,0,NA,";f__other families","Desert","ESV"
"6","k__Fungi;p__Ascomycota;f__Didymellaceae","D",22.957957957958,5.44180547984896,4,2.72090273992448,30.5555555555556,"Ascomycota;f__Didymellaceae","Desert","ESV"
"9","k__Fungi;p__Ascomycota;f__Dothideaceae","D",1.97072072072072,0.311207089983276,4,0.155603544991638,2.41741741741742,"Ascomycota;f__Dothideaceae","Desert","ESV"
"13","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","D",1.60285285285285,0.161890830727086,4,0.0809454153635429,1.72672672672673,"Ascomycota;f__Dothideomycetes","Desert","ESV"
"18","k__Fungi;p__Ascomycota;f__Dothioraceae","D",7.29354354354354,1.039502911029,4,0.519751455514502,8.7987987987988,"Ascomycota;f__Dothioraceae","Desert","ESV"
"23","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","D",3.76501501501502,0.197444117092837,4,0.0987220585464183,3.97897897897898,"Ascomycota;f__Herpotrichiellaceae","Desert","ESV"
"28","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","D",0.015015015015015,NA,1,NA,0.015015015015015,"Ascomycota;f__Mycosphaerellaceae","Desert","ESV"
"33","k__Fungi;p__Ascomycota;f__Pleosporaceae","D",2.63138138138138,0.829718281358447,4,0.414859140679223,3.73873873873874,"Ascomycota;f__Pleosporaceae","Desert","ESV"
"38","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","D",2.95045045045045,0.611573929562051,4,0.305786964781026,3.73873873873874,"Ascomycota;f__Pleosporales","Desert","ESV"
"46","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","D",1.44894894894895,0.210388884454291,4,0.105194442227146,1.68168168168168,"Ascomycota;f__Rutstroemiaceae","Desert","ESV"
"51","k__Fungi;p__Ascomycota;f__unidentified","D",24.2605105105105,5.77575896951701,4,2.88787948475851,29.6846846846847,"Ascomycota;f__unidentified","Desert","ESV"
"2","k__;p__;f__other families","G",9.1991991991992,0,3.7,0,NA,";f__other families","Grassland","ESV"
"7","k__Fungi;p__Ascomycota;f__Didymellaceae","G",0.0375375375375375,0.0106172189367349,2,0.00750750750750751,0.045045045045045,"Ascomycota;f__Didymellaceae","Grassland","ESV"
"14","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","G",0.416666666666667,0.0887242137198991,4,0.0443621068599496,0.540540540540541,"Ascomycota;f__Dothideomycetes","Grassland","ESV"
"19","k__Fungi;p__Ascomycota;f__Dothioraceae","G",0.18018018018018,0.0637033136204097,4,0.0318516568102048,0.27027027027027,"Ascomycota;f__Dothioraceae","Grassland","ESV"
"24","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","G",0.02002002002002,0.00866892296080519,3,0.005005005005005,0.03003003003003,"Ascomycota;f__Herpotrichiellaceae","Grassland","ESV"
"29","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","G",14.8536036036036,0.375550509695407,4,0.187775254847704,15.2402402402402,"Ascomycota;f__Mycosphaerellaceae","Grassland","ESV"
"34","k__Fungi;p__Ascomycota;f__Pleosporaceae","G",66.5840840840841,1.93099164387853,4,0.965495821939266,69.3393393393393,"Ascomycota;f__Pleosporaceae","Grassland","ESV"
"39","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","G",6.72672672672673,0.978628873081101,4,0.489314436540551,8.16816816816817,"Ascomycota;f__Pleosporales","Grassland","ESV"
"43","k__Fungi;p__Ascomycota;f__Rhytismataceae","G",0.03003003003003,0.0212344378734699,4,0.0106172189367349,0.0600600600600601,"Ascomycota;f__Rhytismataceae","Grassland","ESV"
"47","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","G",0.24024024024024,0.129744558526684,4,0.064872279263342,0.42042042042042,"Ascomycota;f__Rutstroemiaceae","Grassland","ESV"
