"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"1","p__;f__other taxa","D",37.4043510877719,0,3.9,0,NA,"other taxa","Desert","OTU"
"6","p__Ascomycota;f__Dothideaceae;g__Endoconidioma","D",1.89422355588897,0.274032465599862,4,0.137016232799931,2.25056264066017,"Dothideaceae;g__Endoconidioma","Desert","OTU"
"14","p__Ascomycota;f__Dothioraceae;g__Aureobasidium","D",2.11927981995499,0.371248102975502,4,0.185624051487751,2.44561140285071,"Dothioraceae;g__Aureobasidium","Desert","OTU"
"19","p__Ascomycota;f__Dothioraceae;g__unidentified","D",5.07501875468867,1.0169676971318,4,0.508483848565898,6.4066016504126,"Dothioraceae;g__unidentified","Desert","OTU"
"21","p__Ascomycota;f__Mycosphaerellaceae;g__Mycosphaerella","D",0.0150037509377344,0,3,0,0.0150037509377344,"Mycosphaerellaceae;g__Mycosphaerella","Desert","OTU"
"26","p__Ascomycota;f__Phaeosphaeriaceae;g__Stagonospora","D",0.0412603150787697,0.0188793059146555,4,0.00943965295732777,0.0600150037509377,"Phaeosphaeriaceae;g__Stagonospora","Desert","OTU"
"28","p__Ascomycota;f__Pleosporaceae;g__Alternaria","D",2.59939984996249,0.780231114637572,4,0.390115557318786,3.64591147786947,"Pleosporaceae;g__Alternaria","Desert","OTU"
"33","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Ascochyta","D",24.4411102775694,5.11002001172609,4,2.55501000586304,31.807951987997,"Pleosporales;g__Ascochyta","Desert","OTU"
"38","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Phoma","D",0.472618154538635,0.137784219194358,4,0.0688921095971789,0.615153788447112,"Pleosporales;g__Phoma","Desert","OTU"
"43","p__Ascomycota;f__Rutstroemiaceae;g__unidentified","D",1.13278319579895,0.0952866160703059,4,0.047643308035153,1.23030757689422,"Rutstroemiaceae;g__unidentified","Desert","OTU"
"48","p__Ascomycota;f__unidentified;g__unidentified","D",24.8049512378095,6.43738872888884,4,3.21869436444442,30.1425356339085,"unidentified Ascomycota","Desert","OTU"
"2","p__;f__other taxa","G",8.01075268817203,0,3.5,0,NA,"other taxa","Grassland","OTU"
"7","p__Ascomycota;f__Dothideaceae;g__Endoconidioma","G",0.0150037509377344,NA,1,NA,0.0150037509377344,"Dothideaceae;g__Endoconidioma","Grassland","OTU"
"15","p__Ascomycota;f__Dothioraceae;g__Aureobasidium","G",0.191297824456114,0.0718249893290576,4,0.0359124946645288,0.27006751687922,"Dothioraceae;g__Aureobasidium","Grassland","OTU"
"22","p__Ascomycota;f__Mycosphaerellaceae;g__Mycosphaerella","G",18.2633158289572,0.764492274448094,4,0.382246137224047,19.3398349587397,"Mycosphaerellaceae;g__Mycosphaerella","Grassland","OTU"
"29","p__Ascomycota;f__Pleosporaceae;g__Alternaria","G",64.8762190547637,1.95923941100141,4,0.979619705500704,67.1717929482371,"Pleosporaceae;g__Alternaria","Grassland","OTU"
"34","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Ascochyta","G",0.292573143285821,0.116540937211613,4,0.0582704686058067,0.465116279069767,"Pleosporales;g__Ascochyta","Grassland","OTU"
"39","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Phoma","G",6.52288072018005,0.919308849930334,4,0.459654424965167,7.80195048762191,"Pleosporales;g__Phoma","Grassland","OTU"
"44","p__Ascomycota;f__Rutstroemiaceae;g__unidentified","G",0.0800200050012503,0.0377586118293111,3,0.0217999447038793,0.120030007501875,"Rutstroemiaceae;g__unidentified","Grassland","OTU"
"49","p__Ascomycota;f__unidentified;g__unidentified","G",1.74793698424606,0.312448084969988,4,0.156224042484994,2.07051762940735,"unidentified Ascomycota","Grassland","OTU"
"3","p__;f__other taxa","P",46.6166541635409,0,3.1,0,NA,"other taxa","Pine-Oak","OTU"
"8","p__Ascomycota;f__Dothideaceae;g__Endoconidioma","P",4.16354088522131,1.55158904475948,4,0.775794522379738,6.33158289572393,"Dothideaceae;g__Endoconidioma","Pine-Oak","OTU"
