"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"1","p__;f__other taxa","D",44.3130630630631,0,3.66666666666667,0,NA,"other taxa","Desert","ESV"
"6","p__Ascomycota;f__Didymellaceae;g__Nothophoma","D",22.957957957958,5.44180547984896,4,2.72090273992448,30.5555555555556,"Didymellaceae;g__Nothophoma","Desert","ESV"
"9","p__Ascomycota;f__Dothideaceae;g__Endoconidioma","D",1.97072072072072,0.311207089983276,4,0.155603544991638,2.41741741741742,"Dothideaceae;g__Endoconidioma","Desert","ESV"
"16","p__Ascomycota;f__Dothioraceae;g__Aureobasidium","D",2.0045045045045,0.365433920646082,4,0.182716960323041,2.35735735735736,"Dothioraceae;g__Aureobasidium","Desert","ESV"
"21","p__Ascomycota;f__Mycosphaerellaceae;g__Mycosphaerella","D",0.015015015015015,NA,1,NA,0.015015015015015,"Mycosphaerellaceae;g__Mycosphaerella","Desert","ESV"
"26","p__Ascomycota;f__Phaeosphaeriaceae;g__Stagonospora","D",0.0187687687687688,0.00750750750750751,4,0.00375375375375375,0.03003003003003,"Phaeosphaeriaceae;g__Stagonospora","Desert","ESV"
"28","p__Ascomycota;f__Pleosporaceae;g__Alternaria","D",2.55630630630631,0.80768825562604,4,0.40384412781302,3.63363363363363,"Pleosporaceae;g__Alternaria","Desert","ESV"
"33","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Phoma","D",0.454204204204204,0.124044381695633,4,0.0620221908478165,0.630630630630631,"Pleosporales;g__Phoma","Desert","ESV"
"38","p__Ascomycota;f__Rutstroemiaceae;g__unidentified","D",1.44894894894895,0.210388884454291,4,0.105194442227146,1.68168168168168,"Rutstroemiaceae;g__unidentified","Desert","ESV"
"43","p__Ascomycota;f__unidentified;g__unidentified","D",24.2605105105105,5.77575896951701,4,2.88787948475851,29.6846846846847,"unidentified Ascomycota","Desert","ESV"
"2","p__;f__other taxa","G",10.9572072072072,0,3.71428571428571,0,NA,"other taxa","Grassland","ESV"
"7","p__Ascomycota;f__Didymellaceae;g__Nothophoma","G",0.0375375375375375,0.0106172189367349,2,0.00750750750750751,0.045045045045045,"Didymellaceae;g__Nothophoma","Grassland","ESV"
"17","p__Ascomycota;f__Dothioraceae;g__Aureobasidium","G",0.18018018018018,0.0637033136204097,4,0.0318516568102048,0.27027027027027,"Dothioraceae;g__Aureobasidium","Grassland","ESV"
"22","p__Ascomycota;f__Mycosphaerellaceae;g__Mycosphaerella","G",14.8536036036036,0.375550509695407,4,0.187775254847704,15.2402402402402,"Mycosphaerellaceae;g__Mycosphaerella","Grassland","ESV"
"29","p__Ascomycota;f__Pleosporaceae;g__Alternaria","G",65.5705705705706,2.10331725210024,4,1.05165862605012,68.4984984984985,"Pleosporaceae;g__Alternaria","Grassland","ESV"
"34","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Phoma","G",6.44894894894895,0.972350237570817,4,0.486175118785408,7.8978978978979,"Pleosporales;g__Phoma","Grassland","ESV"
