"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"1D01",0.45,0.000794,74.7,0.755,0.483,5.18,7.94,9998,73,0.176,0.245,2.07,2.99,0.9,"T1",0.403,0.00104,88.4,0.799,0.525,6.55,10.4,9994,87,0.193,0.201,2.34,3.38,1.02
"1D02",0.298,0.00112,90.3,0.847,0.538,7.84,11.2,10004,89,0.2,0.153,2.41,3.48,1.05,"T1",0.277,0.00139,134.4,0.862,0.538,8.98,13.9,10013,133,0.246,0.138,2.63,3.79,1.14
"1D03",0.371,0.0013,71.1,0.831,0.601,7.97,13,9993,71,0.0278,0.169,2.56,3.7,1.11,"T1",0.358,0.0015,105.5,0.842,0.582,8.67,15,9988,105,0.0755,0.158,2.71,3.9,1.18
"1D04",0.294,0.00116,90.4,0.857,0.551,8.37,11.5,9998,85,0.267,0.143,2.45,3.53,1.06,"T1",0.278,0.00136,117.6,0.869,0.55,9.36,13.6,9997,115,0.293,0.131,2.61,3.77,1.13
"1G02",0.315,0.00061,61.3,0.754,0.449,4.53,6.09,9986,56,0.228,0.246,1.81,2.61,0.784,"T1",0.313,0.000904,75.4,0.814,0.515,6.34,9.03,9986,72,0.178,0.186,2.2,3.17,0.956
"1G03",0.518,0.000553,74.4,0.662,0.401,3.56,5.52,9987,71,0.292,0.338,1.71,2.46,0.742,"T1",0.36,0.000995,82.8,0.806,0.523,6.45,9.94,9989,81,0.207,0.194,2.3,3.31,0.997
"1G04",0.515,0.000593,65.1,0.676,0.428,3.77,5.93,9994,64,0.185,0.324,1.78,2.57,0.773,"T1",0.32,0.00112,87.4,0.838,0.548,7.62,11.2,9999,82,0.277,0.162,2.42,3.49,1.05
"1P01",0.547,0.000611,86,0.667,0.408,3.79,6.11,9997,84,0.259,0.333,1.81,2.61,0.786,"T1",0.537,0.000762,114.9,0.681,0.429,4.11,7.61,9993,114,0.235,0.319,2.03,2.93,0.881
"1P02",0.51,0.000845,143.8,0.713,0.435,4.65,8.43,9983,134,0.393,0.287,2.13,3.08,0.926,"T1",0.48,0.00119,193.8,0.748,0.475,5.63,11.9,9980,184,0.384,0.252,2.48,3.57,1.08
"1P03",0.339,0.00148,102,0.852,0.583,9.1,14.8,10008,102,0,0.148,2.7,3.89,1.17,"T1",0.324,0.00212,137,0.874,0.621,11.6,21.2,9979,137,0.167,0.126,3.05,4.41,1.33
"1P04",0.44,0.000913,127.1,0.77,0.457,5.62,9.12,9987,126,0.323,0.23,2.21,3.19,0.96,"T1",0.425,0.00118,173.5,0.788,0.48,6.42,11.8,9991,172,0.324,0.212,2.47,3.56,1.07
"1S01",0.233,0.00147,150.2,0.881,0.547,10.3,14.7,9991,136,0.467,0.119,2.69,3.88,1.17,"T1",0.225,0.00194,184.5,0.897,0.576,12.4,19.4,9989,172,0.434,0.103,2.96,4.28,1.29
"1S02",0.273,0.0011,108.3,0.852,0.518,7.95,11,9991,102,0.379,0.148,2.39,3.45,1.04,"T1",0.248,0.00156,152.7,0.873,0.552,9.89,15.6,9983,145,0.322,0.127,2.75,3.96,1.19
