"","ZD01","ZD02","ZD03","ZD04","ZG01","ZG02","ZG03","ZG04","ZP01","ZP02","ZP03","ZP04","ZS01","ZS02","ZS03","ZS04","ZW01","ZW02","ZW03","ZW04","Consensus.Lineage"
"Otu129",107,75,79,140,13,17,11,20,0,14,5,17,5,0,0,1,27,6,18,21,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii"
"Otu46",247,150,222,320,0,1,0,1,0,0,0,0,0,0,0,0,146,38,67,35,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu38",192,139,171,273,249,174,265,684,35,241,234,311,48,38,59,160,62,57,99,124,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu254",50,28,37,97,55,69,60,102,1,3,2,1,0,0,0,1,61,29,90,79,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__"
"Otu106",128,88,91,173,30,33,41,57,0,6,0,0,1,0,0,0,131,61,103,121,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas; s__"
"Otu3107",37,44,45,63,0,0,0,0,1,0,0,0,0,0,1,0,9,2,3,8,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Otu355",69,18,53,32,5,2,0,24,0,0,0,0,0,0,0,0,23,5,12,2,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae; g__Cystobacter; s__"
"Otu401",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__"
"Otu126",1349,899,1087,1503,38,35,37,95,111,116,153,81,27,49,30,68,410,263,336,38,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__"
"Otu30",632,429,484,572,190,196,286,246,441,480,295,507,124,63,100,256,350,201,332,145,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__"
"Otu6",2540,1852,1868,2834,784,673,811,1747,206,282,239,415,81,57,73,157,660,565,670,625,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__"
"Otu93",674,423,548,716,12,37,30,27,0,0,0,0,0,0,1,0,173,91,138,148,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__"
"Otu122",206,104,117,143,0,0,0,0,0,1,0,0,2,0,1,0,11,7,9,11,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae"
"Otu715",3,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae"
"Otu44",540,420,444,604,31,40,44,60,42,52,39,150,15,6,9,24,132,78,143,118,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__"
"Otu125",16,17,12,16,4,11,6,6,0,0,0,0,1,0,1,0,3,2,8,8,"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Planomicrobium; s__"
"Otu389",242,159,334,379,21,14,22,32,0,0,0,0,0,0,0,0,0,0,1,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu57",163,133,132,215,10,17,15,12,218,219,162,359,48,11,18,72,77,30,65,93,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae"
"Otu17",2911,1755,2331,2467,62,65,83,68,19,16,14,47,1,2,1,1,421,192,262,138,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__"
"Otu26",293,184,209,338,53,47,67,102,21,25,29,20,3,1,1,9,242,166,147,265,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__"
