,Mock,NC,NC3,Consensus.Lineage
Otu59,13767,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
Otu79,12578,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae
Otu115,7588,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
Otu150,6867,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
Otu167,5124,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__
Otu264,2925,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
Otu272,2773,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia; s__coli
Otu679,2202,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
Otu503,2054,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
Otu577,1740,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
Otu313,1662,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
Otu750,1299,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
Otu776,1100,0,0,k__Bacteria; p__Firmicutes; c__Bacilli
Otu487,934,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
Otu1683,801,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
Otu686,798,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
Otu788,554,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
Otu767,539,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia; s__coli
