Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
1D01,0.45,0.000794,74.7,0.755,0.483,5.18,7.94,9998,73,0.176,0.245,2.07,2.99,0.9
1D02,0.298,0.00112,90.3,0.847,0.538,7.84,11.2,10004,89,0.2,0.153,2.41,3.48,1.05
1D03,0.371,0.0013,71.1,0.831,0.601,7.97,13,9993,71,0.0278,0.169,2.56,3.7,1.11
1D04,0.294,0.00116,90.4,0.857,0.551,8.37,11.5,9998,85,0.267,0.143,2.45,3.53,1.06
1G02,0.315,0.00061,61.3,0.754,0.449,4.53,6.09,9986,56,0.228,0.246,1.81,2.61,0.784
1G03,0.518,0.000553,74.4,0.662,0.401,3.56,5.52,9987,71,0.292,0.338,1.71,2.46,0.742
1G04,0.515,0.000593,65.1,0.676,0.428,3.77,5.93,9994,64,0.185,0.324,1.78,2.57,0.773
1P01,0.547,0.000611,86,0.667,0.408,3.79,6.11,9997,84,0.259,0.333,1.81,2.61,0.786
1P02,0.51,0.000845,143.8,0.713,0.435,4.65,8.43,9983,134,0.393,0.287,2.13,3.08,0.926
1P03,0.339,0.00148,102,0.852,0.583,9.1,14.8,10008,102,0,0.148,2.7,3.89,1.17
1P04,0.44,0.000913,127.1,0.77,0.457,5.62,9.12,9987,126,0.323,0.23,2.21,3.19,0.96
1S01,0.233,0.00147,150.2,0.881,0.547,10.3,14.7,9991,136,0.467,0.119,2.69,3.88,1.17
1S02,0.273,0.0011,108.3,0.852,0.518,7.95,11,9991,102,0.379,0.148,2.39,3.45,1.04
1S03,0.233,0.0014,116.1,0.883,0.557,10.1,14,9977,114,0.304,0.117,2.64,3.81,1.15
1S04,0.162,0.00143,81.3,0.903,0.617,11.6,14.3,9997,74,0.307,0.0965,2.66,3.83,1.15
1W01,0.72,0.00044,106.6,0.477,0.318,2.4,4.4,9992,105,0.302,0.523,1.48,2.14,0.643
1W02,0.542,0.000721,102.4,0.682,0.428,4.11,7.2,9976,101,0.275,0.318,1.97,2.85,0.857
1W03,0.522,0.000944,118.9,0.712,0.471,4.84,9.44,9998,118,0.261,0.288,2.24,3.24,0.975
1W04,0.699,0.000461,102.4,0.505,0.332,2.54,4.6,9992,99,0.34,0.495,1.53,2.2,0.663
2D01,0.211,0.00152,109.9,0.891,0.583,10.9,15.2,9987,107,0.269,0.109,2.72,3.93,1.18
2D02,0.446,0.000866,81.3,0.768,0.501,5.58,8.65,9991,74,0.307,0.232,2.16,3.11,0.937
2D03,0.268,0.00119,94.7,0.853,0.547,8.28,11.9,9984,92,0.301,0.147,2.47,3.57,1.07
2D04,0.195,0.00153,124.7,0.895,0.572,11.2,15.3,9997,118,0.37,0.105,2.73,3.94,1.19
2G01,0.263,0.00197,159.6,0.893,0.589,12.4,19.7,9984,157,0.329,0.107,2.98,4.3,1.29
2G02,0.393,0.000947,155.1,0.8,0.517,6.32,9.47,9993,77,0.321,0.2,2.25,3.24,0.976
2G03,0.336,0.00075,80,0.793,0.472,5.57,7.49,9990,71,0.236,0.207,2.01,2.91,0.875
2G04,0.175,0.00167,113.5,0.91,0.621,12.9,16.7,9993,93,0.34,0.0898,2.81,4.06,1.22
2P01,0.446,0.000935,108.9,0.769,0.479,5.67,9.34,9992,106,0.271,0.231,2.23,3.22,0.97
2P02,0.366,0.000681,98.7,0.763,0.423,4.87,6.8,9988,93,0.394,0.237,1.92,2.77,0.833
2P03,0.214,0.00169,76,0.9,0.653,12.1,16.9,9994,76,0,0.0999,2.83,4.08,1.23
2P04,0.416,0.000744,118.6,0.747,0.425,4.83,7.43,9993,112,0.451,0.253,2.01,2.89,0.871
2S01,0.323,0.000884,96.2,0.818,0.481,6.42,8.83,9989,93,0.351,0.182,2.18,3.14,0.946
2S02,0.466,0.000681,108.6,0.721,0.411,4.39,6.79,9978,106,0.383,0.279,1.92,2.76,0.832
2S03,0.495,0.000565,108.5,0.675,0.391,3.69,5.65,9985,84,0.412,0.325,1.73,2.5,0.752
2S04,0.373,0.00115,156.9,0.82,0.495,7.22,11.5,9996,140,0.454,0.18,2.44,3.53,1.06
2W01,0.381,0.00135,125.2,0.828,0.545,8,13.4,9993,118,0.319,0.172,2.6,3.75,1.13
2W02,0.282,0.00135,127.5,0.852,0.54,8.58,13.4,9987,123,0.315,0.148,2.6,3.75,1.13
2W03,0.242,0.00173,132.9,0.895,0.591,11.9,17.3,9987,124,0.304,0.105,2.85,4.11,1.24
2W04,0.475,0.000951,120.5,0.745,0.474,5.27,9.51,9990,116,0.282,0.255,2.25,3.25,0.978
3D01,0.31,0.000833,81.5,0.822,0.485,6.45,8.33,9998,79,0.362,0.178,2.12,3.06,0.92
3D02,0.777,0.000289,60.1,0.39,0.263,1.93,2.88,9989,56,0.404,0.61,1.06,1.53,0.46
3D03,0.356,0.000962,90.6,0.812,0.506,6.52,9.6,9984,87,0.273,0.188,2.26,3.26,0.982
3D04,0.58,0.000439,74.9,0.611,0.348,3.04,4.39,9994,70,0.352,0.389,1.48,2.13,0.642
3G01,0.327,0.000899,82.6,0.822,0.502,6.58,8.98,9990,79,0.3,0.178,2.2,3.17,0.953
3G02,0.205,0.00125,92.3,0.879,0.56,9.45,12.5,9994,91,0.207,0.121,2.53,3.65,1.1
3G03,0.338,0.00115,130.5,0.828,0.502,7.28,11.4,9988,128,0.31,0.172,2.44,3.52,1.06
3G04,0.391,0.000799,84.8,0.778,0.469,5.43,7.99,9992,84,0.188,0.222,2.08,3,0.902
3P01,0.554,0.000569,109.6,0.65,0.375,3.53,5.68,9981,102,0.379,0.35,1.74,2.5,0.754
3P02,0.345,0.00133,147.5,0.835,0.52,7.96,13.3,9994,144,0.345,0.165,2.59,3.73,1.12
3P03,0.398,0.00133,136.4,0.817,0.527,7.6,13.2,9986,135,0.324,0.183,2.58,3.73,1.12
3S01,0.242,0.0012,138.9,0.855,0.506,8.2,11.9,9989,135,0.368,0.145,2.48,3.58,1.08
3S02,0.281,0.00139,131.7,0.852,0.541,8.69,13.9,9979,129,0.285,0.148,2.63,3.79,1.14
3S03,0.24,0.002,143,0.906,0.606,13.6,20,9992,140,0.277,0.094,2.99,4.32,1.3
3S04,0.287,0.00115,123.3,0.839,0.513,7.61,11.5,9978,116,0.359,0.161,2.44,3.52,1.06
3W01,0.407,0.00075,100.5,0.742,0.441,4.73,7.49,9988,96,0.278,0.258,2.01,2.91,0.875
3W02,0.316,0.000975,112.3,0.823,0.493,6.8,9.74,9995,101,0.373,0.177,2.28,3.28,0.989
3W03,0.554,0.000502,69.7,0.649,0.384,3.44,5.02,9991,67,0.309,0.351,1.61,2.33,0.7
3W04,0.264,0.00129,119.3,0.856,0.535,8.52,12.9,9983,118,0.261,0.144,2.55,3.69,1.11
4D01,0.284,0.00114,117.2,0.847,0.515,7.86,11.4,10001,114,0.33,0.153,2.44,3.52,1.06
4D02,0.291,0.00104,97.5,0.839,0.515,7.4,10.4,9998,94,0.305,0.161,2.34,3.38,1.02
4D03,0.444,0.000485,72.9,0.671,0.374,3.47,4.84,9991,68,0.319,0.329,1.58,2.28,0.685
4G01,0.341,0.000682,88.1,0.765,0.447,4.87,6.82,9988,73,0.297,0.235,1.92,2.77,0.834
4G02,0.4,0.000666,68,0.759,0.465,4.83,6.66,9994,59,0.283,0.241,1.9,2.73,0.823
4G03,0.306,0.000765,78.2,0.798,0.47,5.66,7.65,9993,76,0.273,0.202,2.03,2.93,0.883
4G04,0.501,0.000558,80.5,0.687,0.427,3.82,5.57,9989,56,0.246,0.313,1.72,2.48,0.746
4P01,0.575,0.000586,88.5,0.647,0.402,3.62,5.85,9992,81,0.378,0.353,1.77,2.55,0.767
4P02,0.544,0.000484,51.9,0.649,0.405,3.38,4.83,9991,49,0.24,0.351,1.58,2.27,0.684
4P03,0.667,0.000337,55.5,0.515,0.309,2.38,3.37,9990,51,0.288,0.485,1.21,1.75,0.527
4P04,0.376,0.000849,110.9,0.774,0.456,5.44,8.47,9981,108,0.376,0.226,2.14,3.08,0.928
4S01,0.454,0.000588,71.2,0.705,0.426,4.01,5.87,9987,64,0.292,0.295,1.77,2.55,0.769
4S02,0.18,0.00119,100.1,0.875,0.544,9.04,11.8,9990,94,0.368,0.125,2.47,3.57,1.07
4S03,0.753,0.000301,74.9,0.419,0.259,2.01,3.01,9992,71,0.347,0.581,1.1,1.59,0.479
4S04,0.344,0.00126,128.7,0.839,0.523,7.99,12.6,10006,126,0.346,0.161,2.53,3.65,1.1
4W01,0.607,0.000523,107.7,0.607,0.365,3.18,5.22,9987,93,0.404,0.393,1.65,2.38,0.718
4W02,0.554,0.000592,85.6,0.651,0.406,3.58,5.92,9989,80,0.247,0.349,1.78,2.57,0.772
4W03,0.368,0.00102,119.8,0.81,0.487,6.56,10.2,9990,117,0.28,0.19,2.32,3.35,1.01
4W04,0.341,0.00086,121.3,0.798,0.458,5.85,8.6,9994,110,0.342,0.202,2.15,3.1,0.934
5D01,0.712,0.000271,50,0.452,0.257,2.05,2.71,9986,48,0.286,0.548,0.997,1.44,0.433
5D02,0.613,0.000456,401,0.6,0.366,3.06,4.55,9993,63,0.406,0.4,1.52,2.19,0.658
5D03,0.588,0.000384,59.5,0.587,0.332,2.78,3.83,9985,57,0.31,0.413,1.34,1.94,0.583
5D04,0.73,0.000295,56.8,0.443,0.271,2.08,2.94,9988,54,0.345,0.557,1.08,1.56,0.469
5G01,0.395,0.000833,86.8,0.79,0.477,5.78,8.32,9985,85,0.267,0.21,2.12,3.06,0.92
5G02,0.56,0.000632,96.6,0.662,0.406,3.8,6.31,9991,94,0.337,0.338,1.84,2.66,0.8
5G03,0.333,0.00097,88.7,0.814,0.509,6.56,9.7,9999,87,0.25,0.186,2.27,3.28,0.987
5P01,0.463,0.000882,95.7,0.757,0.481,5.43,8.8,9982,92,0.323,0.243,2.17,3.14,0.945
5P02,0.292,0.00104,98.4,0.841,0.514,7.48,10.4,10000,96,0.34,0.159,2.34,3.38,1.02
5P03,0.305,0.00115,116.5,0.847,0.514,7.91,11.4,9990,115,0.284,0.153,2.44,3.52,1.06
5P04,0.168,0.00163,127.3,0.909,0.578,12.5,16.2,9996,124,0.368,0.0912,2.79,4.02,1.21
5S01,0.368,0.000958,105,0.812,0.495,6.57,9.57,9984,96,0.351,0.188,2.26,3.26,0.981
5S02,0.263,0.00157,118.5,0.887,0.582,11.1,15.6,9990,113,0.377,0.113,2.75,3.97,1.19
5S03,0.375,0.000929,96,0.8,0.493,6.23,9.28,9993,92,0.333,0.2,2.23,3.21,0.968
5S04,0.339,0.00132,115.1,0.85,0.549,8.7,13.2,9992,110,0.315,0.15,2.58,3.72,1.12
5W01,0.478,0.000585,101.3,0.695,0.385,3.91,5.84,9998,98,0.313,0.305,1.77,2.55,0.767
5W02,0.422,0.000812,104.8,0.767,0.453,5.33,8.11,9988,101,0.353,0.233,2.09,3.02,0.909
5W03,0.451,0.000674,78.4,0.741,0.44,4.68,6.73,9987,76,0.286,0.259,1.91,2.75,0.828
5W04,0.392,0.00063,87.4,0.722,0.415,4.25,6.29,9996,84,0.306,0.278,1.84,2.65,0.799
ZD01,0.318,0.00169,162.2,0.854,0.557,9.41,16.9,10014,161,0.247,0.146,2.83,4.08,1.23
ZD02,0.229,0.00164,167.7,0.87,0.552,9.83,16.4,10017,160,0.317,0.13,2.8,4.04,1.22
ZD03,0.215,0.00168,148.9,0.879,0.566,10.5,16.8,9993,147,0.223,0.121,2.82,4.07,1.23
ZD04,0.249,0.00168,171.7,0.864,0.551,9.66,16.8,10011,167,0.292,0.136,2.82,4.07,1.23
ZG01,0.589,0.000472,124,0.611,0.329,3.08,4.71,9991,111,0.455,0.389,1.55,2.24,0.673
ZG02,0.641,0.000428,123.4,0.555,0.303,2.69,4.27,9979,120,0.388,0.445,1.45,2.09,0.631
ZG03,0.624,0.000436,117.2,0.57,0.31,2.77,4.35,9974,114,0.33,0.43,1.47,2.12,0.639
ZG04,0.624,0.000441,121.4,0.573,0.312,2.8,4.4,9977,116,0.393,0.427,1.48,2.14,0.644
ZP01,0.146,0.00447,302.7,0.948,0.666,26.2,44.8,10026,301,0.252,0.0517,3.8,5.49,1.65
ZP02,0.195,0.00578,451.5,0.942,0.666,27.4,58.3,10076,449,0.309,0.0576,4.07,5.86,1.77
ZP03,0.196,0.00427,431.3,0.926,0.62,20.2,42.6,9990,425,0.401,0.074,3.75,5.41,1.63
ZP04,0.189,0.00453,366.1,0.936,0.646,23,45.2,9969,364,0.299,0.0643,3.81,5.5,1.66
ZS01,0.121,0.00559,357,0.953,0.683,30.4,55.4,9913,357,0.321,0.0467,4.02,5.79,1.74
ZS02,0.173,0.00475,352,0.942,0.658,24.8,47.4,9978,352,0.303,0.0581,3.86,5.57,1.68
ZS03,0.169,0.0051,409.9,0.939,0.653,24.3,50.8,9958,408,0.291,0.061,3.93,5.67,1.71
ZS04,0.155,0.00647,503.9,0.954,0.672,32.5,65.2,10083,502,0.32,0.0461,4.18,6.03,1.81
ZW01,0.123,0.00386,243.1,0.953,0.667,26.3,38.7,10036,241,0.273,0.0467,3.66,5.27,1.59
ZW02,0.121,0.00318,250.7,0.944,0.632,21.6,31.9,10022,239,0.362,0.0564,3.46,4.99,1.5
ZW03,0.092,0.00394,258.5,0.956,0.662,27.1,39.5,10025,258,0.236,0.0441,3.68,5.3,1.6
ZW04,0.155,0.00293,242.4,0.932,0.618,18.7,29.3,10015,236,0.392,0.0677,3.38,4.88,1.47
