Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
T2Y1,0.302,0.00161,197.3,0.86,0.527,9.38,16.1,9999,195,0.286,0.14,2.78,4.01,1.21
T2Y12,0.248,0.00181,164.2,0.893,0.57,11.8,18.1,9983,161,0.327,0.107,2.9,4.18,1.26
T2Y13,0.182,0.00159,158.9,0.894,0.547,11.1,15.9,9996,157,0.31,0.106,2.77,3.99,1.2
T2Y21,0.665,0.000403,121.9,0.529,0.293,2.55,4.03,10000,116,0.47,0.471,1.39,2.01,0.606
T2Y22,0.599,0.000482,135.1,0.591,0.321,2.93,4.81,9980,133,0.321,0.409,1.57,2.26,0.682
T2Y23,0.627,0.000519,127.5,0.577,0.342,2.93,5.18,9967,123,0.29,0.423,1.64,2.37,0.714
T2Y24,0.563,0.000508,133.1,0.617,0.334,3.11,5.07,9972,128,0.395,0.383,1.62,2.34,0.705
T2Y31,0.111,0.00637,427.7,0.959,0.686,34.7,63.5,9977,424,0.379,0.0412,4.15,5.99,1.8
T2Y32,0.0677,0.00972,561.6,0.975,0.724,55.6,97.7,10056,558,0.37,0.0249,4.58,6.61,1.99
T2Y33,0.0859,0.00664,313,0.967,0.731,40.9,66.5,10027,313,0,0.0327,4.2,6.06,1.82
T2Y34,0.193,0.00634,557.7,0.938,0.656,26.5,63.1,9964,553,0.403,0.0619,4.15,5.98,1.8
T2Y41,0.167,0.00387,328.5,0.934,0.632,21.3,38.6,9979,325,0.374,0.0663,3.65,5.27,1.59
T2Y42,0.14,0.00397,283.5,0.942,0.653,23.3,39.6,9975,280,0.331,0.0578,3.68,5.31,1.6
T2Y43,0.224,0.00313,268.9,0.916,0.618,17,31.4,10034,265,0.357,0.0839,3.45,4.97,1.5
T2Y44,0.22,0.00282,265.6,0.919,0.601,16.7,28.3,10033,262,0.369,0.0812,3.34,4.82,1.45
T2Y51,0.144,0.00458,302.2,0.951,0.671,27.7,45.8,9994,298,0.358,0.0492,3.82,5.52,1.66
T2Y52,0.0953,0.0107,499.7,0.977,0.752,62.8,106.8,9978,498,0.285,0.0228,4.67,6.74,2.03
T2Y53,0.176,0.00471,268.6,0.948,0.689,27.6,47,9988,267,0.254,0.0522,3.85,5.55,1.67
T2Y54,0.11,0.00584,324.7,0.965,0.704,37.3,58.3,9985,321,0.345,0.0354,4.07,5.87,1.77
T2Y61,0.55,0.000589,95.8,0.665,0.413,3.75,5.89,9992,73,0.365,0.335,1.77,2.56,0.77
T2Y63,0.504,0.000441,55.3,0.652,0.373,3.28,4.4,9993,53,0.241,0.348,1.48,2.14,0.644
T3Y11,0.244,0.00199,166.7,0.898,0.586,12.7,19.8,9992,164,0.297,0.102,2.99,4.31,1.3
T3Y12,0.206,0.00228,147.5,0.911,0.628,14.8,22.8,9990,145,0.274,0.0892,3.13,4.51,1.36
T3Y13,0.141,0.0031,164.5,0.938,0.677,20.6,31,9988,160,0.261,0.0624,3.43,4.95,1.49
T3Y14,0.307,0.00214,179.6,0.879,0.594,11.9,21.4,10021,174,0.343,0.121,3.06,4.42,1.33
T3Y21,0.213,0.00282,265.1,0.909,0.6,15.2,28.2,9988,261,0.351,0.0908,3.34,4.82,1.45
T3Y23,0.2,0.00251,218.4,0.916,0.598,15.4,25,9971,217,0.271,0.0836,3.22,4.64,1.4
T3Y24,0.273,0.0021,236.6,0.887,0.559,11.8,21,9976,231,0.345,0.113,3.04,4.39,1.32
T3Y31,0.118,0.00785,488.4,0.968,0.705,44.3,78.1,9945,483,0.395,0.0324,4.36,6.29,1.89
T3Y32,0.0667,0.00932,548.5,0.974,0.719,53.3,92.9,9975,546,0.346,0.0257,4.53,6.54,1.97
T3Y34,0.0862,0.0103,570.4,0.977,0.731,59.5,103,9975,567,0.371,0.0235,4.64,6.69,2.01
T3Y41,0.281,0.0021,227.2,0.881,0.562,11.6,20.9,9977,225,0.332,0.119,3.04,4.39,1.32
T3Y42,0.167,0.00458,306.6,0.947,0.671,26.3,45.7,9971,297,0.309,0.0532,3.82,5.51,1.66
T3Y43,0.205,0.00301,263.6,0.921,0.613,17.2,30,9983,258,0.386,0.0793,3.4,4.91,1.48
T3Y44,0.402,0.00131,180.2,0.807,0.5,7.09,13,9980,171,0.349,0.193,2.57,3.71,1.12
T3Y51,0.0818,0.00892,481.6,0.976,0.727,55.7,88.8,9946,477,0.381,0.0237,4.49,6.47,1.95
T3Y52,0.0541,0.0129,551.2,0.983,0.77,78.9,128,9939,547,0.327,0.0174,4.85,7,2.11
T3Y53,0.0905,0.00508,298.3,0.962,0.69,33.6,50.7,9981,296,0.337,0.0376,3.93,5.66,1.71
T3Y54,0.0716,0.00619,348.6,0.97,0.706,41.9,61.7,9968,342,0.402,0.0297,4.12,5.95,1.79
T3Y61,0.399,0.000642,72.7,0.765,0.436,4.88,6.42,9986,71,0.333,0.235,1.86,2.68,0.807
T3Y62,0.729,0.000315,51.3,0.454,0.293,2.16,3.14,9989,50,0.255,0.546,1.15,1.65,0.498
T3Y63,0.521,0.000619,76.2,0.692,0.424,4.05,6.19,9994,74,0.28,0.308,1.82,2.63,0.792
T3Y64,0.667,0.000189,2,0.444,0.918,1.84,1.89,10000,2,0,0.556,0.636,0.918,0.276
T0Y11,0.36,0.00118,123.8,0.824,0.518,7.31,11.8,9995,117,0.314,0.176,2.46,3.56,1.07
T0Y12,0.413,0.000939,143.5,0.771,0.452,5.54,9.37,9981,141,0.317,0.229,2.24,3.23,0.972
T0Y13,0.367,0.00138,161.3,0.828,0.521,7.84,13.8,9990,153,0.344,0.172,2.62,3.78,1.14
T0Y14,0.257,0.00169,149.7,0.884,0.569,10.8,16.9,9990,144,0.255,0.116,2.83,4.08,1.23
T0Y22,0.438,0.0014,220.9,0.782,0.489,6.57,14,9973,219,0.305,0.218,2.64,3.8,1.15
T0Y23,0.381,0.00172,214.7,0.829,0.531,8.5,17.2,9979,212,0.338,0.171,2.85,4.11,1.24
T0Y24,0.192,0.00284,302.6,0.914,0.587,15.7,28.4,10003,298,0.395,0.0862,3.35,4.83,1.45
T0Y31,0.101,0.00525,190,0.962,0.754,34.3,52.4,9981,190,0,0.0381,3.96,5.71,1.72
T0Y32,0.137,0.00354,236,0.944,0.653,22.7,35.5,10021,236,0,0.0562,3.57,5.15,1.55
T0Y33,0.218,0.00288,279.5,0.913,0.598,15.8,28.7,9977,275,0.348,0.0873,3.36,4.84,1.46
T0Y34,0.146,0.00493,522.4,0.942,0.625,24.3,49.4,10027,512,0.472,0.058,3.9,5.63,1.69
T0Y41,0.239,0.00155,169.8,0.881,0.537,10.3,15.5,9996,165,0.41,0.119,2.74,3.96,1.19
T0Y42,0.18,0.00288,238.4,0.924,0.615,17.4,28.8,9997,236,0.321,0.0763,3.36,4.85,1.46
T0Y43,0.201,0.00148,122.9,0.892,0.566,10.9,14.8,9991,116,0.35,0.108,2.69,3.88,1.17
T0Y44,0.144,0.00327,204.3,0.941,0.656,21.5,32.7,10009,204,0.21,0.0593,3.49,5.03,1.51
T0Y51,0.136,0.00392,261,0.948,0.66,25.2,39.2,10005,259,0.327,0.052,3.67,5.29,1.59
