Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
1D01,0.403,0.00104,88.4,0.799,0.525,6.55,10.4,9994,87,0.193,0.201,2.34,3.38,1.02
1D02,0.277,0.00139,134.4,0.862,0.538,8.98,13.9,10013,133,0.246,0.138,2.63,3.79,1.14
1D03,0.358,0.0015,105.5,0.842,0.582,8.67,15,9988,105,0.0755,0.158,2.71,3.9,1.18
1D04,0.278,0.00136,117.6,0.869,0.55,9.36,13.6,9997,115,0.293,0.131,2.61,3.77,1.13
1G02,0.313,0.000904,75.4,0.814,0.515,6.34,9.03,9986,72,0.178,0.186,2.2,3.17,0.956
1G03,0.36,0.000995,82.8,0.806,0.523,6.45,9.94,9989,81,0.207,0.194,2.3,3.31,0.997
1G04,0.32,0.00112,87.4,0.838,0.548,7.62,11.2,9999,82,0.277,0.162,2.42,3.49,1.05
1P01,0.537,0.000762,114.9,0.681,0.429,4.11,7.61,9993,114,0.235,0.319,2.03,2.93,0.881
1P02,0.48,0.00119,193.8,0.748,0.475,5.63,11.9,9980,184,0.384,0.252,2.48,3.57,1.08
1P03,0.324,0.00212,137,0.874,0.621,11.6,21.2,9979,137,0.167,0.126,3.05,4.41,1.33
1P04,0.425,0.00118,173.5,0.788,0.48,6.42,11.8,9991,172,0.324,0.212,2.47,3.56,1.07
1S01,0.225,0.00194,184.5,0.897,0.576,12.4,19.4,9989,172,0.434,0.103,2.96,4.28,1.29
1S02,0.248,0.00156,152.7,0.873,0.552,9.89,15.6,9983,145,0.322,0.127,2.75,3.96,1.19
1S03,0.22,0.002,161.8,0.901,0.59,12.8,19.9,9968,159,0.312,0.099,2.99,4.32,1.3
1S04,0.155,0.00163,97.6,0.914,0.622,13.1,16.3,9996,89,0.322,0.086,2.79,4.03,1.21
1W01,0.568,0.000673,132.3,0.65,0.393,3.71,6.73,9994,128,0.388,0.35,1.91,2.75,0.828
1W02,0.43,0.00114,130,0.787,0.501,6.38,11.3,9979,127,0.305,0.213,2.43,3.5,1.05
1W03,0.449,0.00132,153,0.781,0.515,6.63,13.2,9996,151,0.289,0.219,2.58,3.73,1.12
1W04,0.582,0.000695,132.3,0.643,0.399,3.7,6.94,9992,129,0.354,0.357,1.94,2.8,0.842
2D01,0.177,0.00203,141.1,0.912,0.609,13.9,20.3,9996,140,0.241,0.0882,3.01,4.34,1.31
2D02,0.44,0.00109,115.2,0.78,0.506,6.19,10.9,9996,111,0.286,0.22,2.38,3.44,1.04
2D03,0.265,0.00152,125.4,0.869,0.565,9.74,15.2,9977,123,0.266,0.131,2.72,3.93,1.18
2D04,0.166,0.00199,153.6,0.909,0.596,13.5,19.9,9992,151,0.303,0.0907,2.99,4.31,1.3
2G01,0.217,0.00277,181.4,0.92,0.64,17,27.7,9985,179,0.278,0.0797,3.32,4.79,1.44
2G02,0.264,0.00124,102.1,0.859,0.557,8.67,12.4,9993,92,0.29,0.141,2.52,3.63,1.09
2G03,0.255,0.00119,98.9,0.853,0.547,8.33,11.8,9992,92,0.28,0.147,2.47,3.57,1.07
2G04,0.118,0.00231,123.1,0.94,0.672,18.7,23.1,9999,107,0.315,0.0604,3.14,4.53,1.36
2P01,0.439,0.00108,135.9,0.78,0.49,6.15,10.8,9992,129,0.315,0.22,2.38,3.44,1.03
2P02,0.363,0.000713,116.2,0.765,0.414,4.94,7.12,9988,114,0.365,0.235,1.96,2.83,0.853
2P03,0.214,0.0018,88,0.902,0.645,12.5,18,9994,88,0,0.0984,2.89,4.17,1.25
2P04,0.412,0.00079,134.4,0.751,0.427,4.96,7.91,10002,127,0.422,0.249,2.07,2.98,0.898
2S01,0.322,0.00103,102.8,0.836,0.507,7.32,10.3,9985,99,0.33,0.164,2.33,3.36,1.01
2S02,0.462,0.000716,122.2,0.725,0.411,4.48,7.15,9980,120,0.364,0.275,1.97,2.84,0.854
2S03,0.492,0.000599,121.3,0.679,0.39,3.76,5.97,9980,98,0.414,0.321,1.79,2.58,0.776
2S04,0.371,0.00128,185.1,0.824,0.495,7.53,12.8,9999,174,0.457,0.176,2.55,3.68,1.11
2W01,0.378,0.00156,139.4,0.836,0.559,8.7,15.6,9990,136,0.307,0.164,2.75,3.96,1.19
2W02,0.276,0.00181,139.1,0.884,0.589,11.4,18,9985,136,0.292,0.116,2.89,4.17,1.26
2W03,0.238,0.00202,153.4,0.902,0.603,13,20.2,9992,145,0.281,0.0982,3,4.33,1.3
2W04,0.467,0.00109,143.2,0.759,0.482,5.73,10.9,9980,141,0.282,0.241,2.38,3.44,1.04
3D01,0.297,0.00108,108.8,0.837,0.509,7.38,10.8,9996,107,0.315,0.163,2.38,3.43,1.03
3D02,0.739,0.000392,76.5,0.45,0.316,2.24,3.91,9991,75,0.25,0.55,1.36,1.97,0.593
3D03,0.345,0.00121,123.8,0.83,0.519,7.51,12.1,9984,122,0.26,0.17,2.5,3.6,1.08
3D04,0.552,0.000605,107.8,0.651,0.389,3.58,6.04,9989,102,0.33,0.349,1.8,2.59,0.781
3G01,0.303,0.00118,116,0.855,0.54,8.41,11.8,9991,97,0.378,0.145,2.47,3.56,1.07
3G02,0.153,0.00188,113.4,0.918,0.622,14.1,18.8,9991,112,0.195,0.0821,2.93,4.23,1.27
3G03,0.16,0.00209,155.1,0.918,0.606,14.7,20.8,9987,150,0.338,0.0819,3.04,4.38,1.32
3G04,0.203,0.0014,100,0.88,0.574,9.89,14,9994,99,0.18,0.12,2.64,3.81,1.15
3P01,0.549,0.000651,153.3,0.658,0.378,3.7,6.5,9983,142,0.399,0.342,1.87,2.7,0.813
3P02,0.341,0.00166,195.6,0.842,0.536,8.8,16.6,9995,189,0.363,0.158,2.81,4.05,1.22
3P03,0.374,0.0017,179.4,0.838,0.548,8.94,17,9986,175,0.352,0.162,2.83,4.09,1.23
3S01,0.241,0.00142,179.4,0.861,0.513,8.91,14.2,9987,177,0.343,0.139,2.65,3.83,1.15
3S02,0.279,0.00165,173.4,0.859,0.545,9.45,16.5,9972,171,0.308,0.141,2.8,4.04,1.22
3S03,0.235,0.00263,206.7,0.914,0.617,15.9,26.3,9990,200,0.328,0.0856,3.27,4.72,1.42
3S04,0.283,0.00152,159,0.855,0.541,9.03,15.2,9974,152,0.366,0.145,2.72,3.92,1.18
3W01,0.398,0.000824,130,0.746,0.434,4.87,8.23,9987,128,0.295,0.254,2.11,3.04,0.915
3W02,0.305,0.00118,143.1,0.833,0.502,7.44,11.8,10000,138,0.345,0.167,2.47,3.57,1.07
3W03,0.523,0.000618,98.5,0.683,0.4,3.9,6.17,9990,95,0.302,0.317,1.82,2.63,0.79
3W04,0.25,0.00147,141.2,0.863,0.544,9.16,14.7,9979,140,0.234,0.137,2.69,3.88,1.17
4D01,0.257,0.00145,140.9,0.866,0.541,9.23,14.5,9981,139,0.236,0.134,2.67,3.85,1.16
