Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
T2Y1,0.268,0.00223,220.7,0.891,0.576,12.5,22.3,9996,219,0.245,0.109,3.1,4.48,1.35
T2Y12,0.143,0.00262,187.6,0.933,0.624,18.1,26.1,9984,186,0.262,0.0668,3.26,4.71,1.42
T2Y13,0.18,0.002,205.1,0.909,0.564,13.2,20,9999,202,0.345,0.091,3,4.32,1.3
T2Y21,0.405,0.000942,153.1,0.79,0.449,6.01,9.41,9991,148,0.43,0.21,2.24,3.23,0.974
T2Y22,0.359,0.00109,189.3,0.814,0.456,6.73,10.9,9974,188,0.37,0.186,2.39,3.45,1.04
T2Y23,0.355,0.00118,175.8,0.822,0.479,7.12,11.8,9960,173,0.31,0.178,2.47,3.56,1.07
T2Y24,0.31,0.00109,176.8,0.825,0.464,6.92,10.9,9968,172,0.393,0.175,2.39,3.45,1.04
T2Y31,0.108,0.00808,549.2,0.962,0.697,39.8,80.7,9985,546,0.38,0.0382,4.39,6.33,1.91
T2Y32,0.0573,0.0132,637.6,0.982,0.757,77.8,132.5,10060,635,0.349,0.0177,4.89,7.05,2.12
T2Y33,0.0727,0.00926,383,0.977,0.762,58.2,92.7,10012,383,0,0.0229,4.53,6.53,1.97
T2Y34,0.193,0.00772,674.4,0.941,0.667,29.2,76.9,9973,671,0.39,0.0592,4.34,6.27,1.89
T2Y41,0.152,0.00471,417.1,0.939,0.639,24,47,9980,415,0.356,0.0606,3.85,5.55,1.67
T2Y42,0.144,0.00506,342.9,0.952,0.673,28.9,50.4,9972,339,0.335,0.0482,3.92,5.66,1.7
T2Y43,0.194,0.00457,368.6,0.938,0.649,23.9,45.9,10059,364,0.384,0.0619,3.83,5.52,1.66
T2Y44,0.19,0.00419,343,0.941,0.642,23.9,42.1,10041,339,0.376,0.0593,3.74,5.39,1.62
T2Y51,0.14,0.00544,371.4,0.953,0.677,30.1,54.3,9983,367,0.364,0.0472,4,5.76,1.74
T2Y52,0.0451,0.0156,645.2,0.985,0.78,94.3,155.5,9972,644,0.27,0.0146,5.05,7.28,2.19
T2Y53,0.176,0.00555,341,0.949,0.689,29.8,55.4,9986,339,0.285,0.0505,4.01,5.79,1.74
T2Y54,0.11,0.0069,406.6,0.966,0.706,40.7,68.9,9981,403,0.356,0.0339,4.23,6.11,1.84
T2Y61,0.477,0.000767,87.4,0.736,0.462,4.83,7.66,9992,82,0.277,0.264,2.04,2.94,0.884
T2Y63,0.446,0.00062,72,0.724,0.429,4.32,6.19,9994,70,0.225,0.276,1.82,2.63,0.792
T3Y11,0.241,0.0025,213.5,0.908,0.601,14.8,24.9,9987,211,0.297,0.0917,3.22,4.64,1.4
T3Y12,0.171,0.00297,201.1,0.933,0.64,19.2,29.6,9984,199,0.285,0.0673,3.39,4.89,1.47
T3Y13,0.196,0.00331,233.4,0.929,0.644,19.3,33.1,10002,229,0.296,0.0715,3.5,5.05,1.52
T3Y14,0.304,0.00261,233.7,0.885,0.601,13.2,26.2,10027,229,0.348,0.115,3.26,4.71,1.42
T3Y21,0.212,0.00414,311.3,0.93,0.649,21.1,41.3,9989,308,0.282,0.0705,3.72,5.37,1.62
T3Y23,0.0897,0.00506,310.5,0.963,0.685,33.7,50.5,9979,306,0.332,0.0372,3.92,5.66,1.7
T3Y24,0.272,0.003,282.4,0.902,0.604,15.1,30,9972,279,0.271,0.0977,3.4,4.91,1.48
T3Y31,0.115,0.0101,587.3,0.971,0.725,53,100.9,9955,583,0.372,0.0288,4.61,6.66,2
T3Y32,0.0675,0.0126,573.7,0.981,0.76,74.7,125,9959,572,0.281,0.0185,4.83,6.97,2.1
T3Y34,0.0815,0.0136,680.9,0.98,0.753,74.4,135.6,9981,678,0.353,0.0199,4.91,7.08,2.13
T3Y41,0.281,0.00248,293.8,0.886,0.565,12.5,24.7,9968,291,0.346,0.114,3.21,4.63,1.39
T3Y42,0.172,0.00601,373.7,0.953,0.692,32.3,59.9,9957,371,0.306,0.0466,4.09,5.9,1.78
T3Y43,0.175,0.00442,338.2,0.943,0.653,24.8,44.1,9975,331,0.413,0.0572,3.79,5.46,1.64
T3Y44,0.4,0.00158,236.6,0.814,0.506,7.68,15.7,9979,231,0.375,0.186,2.76,3.98,1.2
T3Y51,0.0798,0.0121,624,0.981,0.745,72,120,9948,620,0.388,0.0192,4.79,6.91,2.08
T3Y52,0.0533,0.0173,707.1,0.985,0.785,99.8,172.4,9942,705,0.299,0.0146,5.15,7.43,2.24
T3Y53,0.0905,0.00604,390,0.964,0.688,36.8,60.3,9975,386,0.385,0.0357,4.1,5.91,1.78
T3Y54,0.0714,0.00811,433.2,0.976,0.726,53.3,80.9,9966,424,0.405,0.024,4.39,6.34,1.91
T3Y61,0.309,0.000921,90,0.829,0.496,6.8,9.2,9990,88,0.315,0.171,2.22,3.2,0.964
T3Y62,0.667,0.000423,67.5,0.54,0.346,2.68,4.23,9992,65,0.273,0.46,1.44,2.08,0.626
