"","Site","mean","sd","n","se","Timepoint","Sitenames","Tukeylabels"
"1","1",132.157894736842,77.3493253277297,19,17.7451522344539,"T1","Desert","b"
"2","4",63.8947368421053,24.7181776046206,19,5.67073885510692,"T1","Scrubland","a"
"3","2",127.526315789474,28.8932295434465,19,6.62856145960038,"T1","Grassland","b"
"4","3",107.052631578947,25.3168228746783,19,5.80807749906535,"T1","Pine-Oak","b"
"5","5",61.7894736842105,22.2375531911635,19,5.10164458483642,"T1","Subalpine","a"
"6","1",54.05,31.4951541803196,20,7.04253057090314,"T2","Desert","a"
"7","4",137.6,34.040842342228,20,7.61176374885749,"T2","Scrubland","b"
"8","2",181.6,58.9445770015761,20,13.1804081080495,"T2","Grassland","c"
"9","3",160.8,32.3445269103234,20,7.23245608715543,"T2","Pine-Oak","b,c"
"10","5",88.1,34.62566738859,20,7.74253460471848,"T2","Subalpine","a"
"11","1",97.2,28.4579098244925,20,6.36338208651244,"T3","Desert","a"
"12","4",143.45,33.0684696381693,20,7.39433460228345,"T3","Scrubland","b"
"13","2",311.052631578947,49.5036179196481,19,11.356908834284,"T3","Grassland","d"
"14","3",247.25,34.6225892187532,20,7.74184630501835,"T3","Pine-Oak","c"
"15","5",116.75,41.6500142162104,20,9.3132263051279,"T3","Subalpine","a,b"
