"","Site","mean","sd","n","se","Timepoint","Sitenames","Tukeylabels"
"1",1,94.9473684210526,23.7099924649937,19,5.43944532142202,"T1","Desert","a"
"2",4,83.3684210526316,23.6131096505399,19,5.41721887944466,"T1","Scrubland","a"
"3",2,104,22.8173525841051,20,5.10211514446395,"T1","Grassland","a"
"4",3,103,27.2376373587888,19,6.24874256356677,"T1","Pine-Oak","a"
"5",5,88.6842105263158,21.2159600080771,19,4.8672750350215,"T1","Subalpine","a"
"6",1,74.05,24.1017033684999,20,5.38930471055014,"T2","Desert","a"
"7",4,95.6666666666667,15.2585559412339,18,3.59647612572026,"T2","Scrubland","b"
"8",2,88.9,25.9653615418696,20,5.80603134679791,"T2","Grassland","a,b"
"9",3,103.263157894737,19.8293892584359,19,4.54917388892911,"T2","Pine-Oak","b"
"10",5,106.5,28.553870655513,18,6.7302118565456,"T2","Subalpine","b"
"11",1,77.3684210526316,25.8805171816686,19,5.93739784218218,"T3","Desert","a"
"12",4,92.2,16.8947204459668,20,3.77777433780373,"T3","Scrubland","a,b"
"13",2,104.578947368421,20.961116884666,19,4.80881001284228,"T3","Grassland","b"
"14",3,113.105263157895,36.3362303689706,19,8.33610295618718,"T3","Pine-Oak","b"
"15",5,96.3888888888889,29.5995605867402,18,6.97668333700869,"T3","Subalpine","a,b"
