"","Site","mean","sd","n","se","Timepoint","Sitenames","Tukeylabels"
"1","1",125.368421052632,33.5992898838912,19,7.70820574624264,"T1","Desert","a"
"2","4",116.473684210526,30.4929289090158,19,6.99555766352473,"T1","Scrubland","a"
"3","2",125.1,25.9126061579058,20,5.7942348843257,"T1","Grassland","a"
"4","3",135.315789473684,35.7118913148905,19,8.19286975391134,"T1","Pine-Oak","a"
"5","5",119.526315789474,28.5994724525017,19,6.56116896100159,"T1","Subalpine","a"
"6","1",103.55,30.9999575551492,20,6.93180123929218,"T2","Desert","a"
"7","4",123.611111111111,21.2412996414418,18,5.0066223392263,"T2","Scrubland","a,b"
"8","2",109.65,30.7695594618071,20,6.88028265943226,"T2","Grassland","a,b"
"9","3",129.736842105263,22.0701963573381,19,5.06325029398613,"T2","Pine-Oak","b"
"10","5",128,28.417061983335,18,6.69796574327155,"T2","Subalpine","a,b"
"11","1",101.578947368421,38.0676529199058,19,8.73331853135001,"T3","Desert","a"
"12","4",116.1,22.473141864527,20,5.02514728770788,"T3","Scrubland","a,b"
"13","2",118.789473684211,27.114118805458,19,6.22040546400775,"T3","Grassland","a,b"
"14","3",141.315789473684,37.5367266547473,19,8.61151569259753,"T3","Pine-Oak","b"
"15","5",120.388888888889,29.0782694057605,18,6.85381382732752,"T3","Subalpine","a,b"
