#OTU ID,ZD01,ZD02,ZD03,ZD04,ZG01,ZG02,ZG03,ZG04,ZP01,ZP02,ZP03,ZP04,ZS01,ZS02,ZS03,ZS04,ZW01,ZW02,ZW03,ZW04,Consensus Lineage
Otu801,279,89,137,84,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,4,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Didymella; s__Didymella_rumicicola
Otu7,3972,4025,11698,3999,107,113,221,232,1,1,7,9,10,1,2,3,710,417,421,420,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Ascochyta; s__Ascochyta_herbicola
Otu9,249,312,1096,276,0,4,13,3,0,0,2,0,0,0,0,0,30,31,37,36,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Coniochaeta; s__Coniochaeta_polymorpha
Otu23,47,125,228,77,36,140,412,186,0,0,0,0,4,0,1,4,122,97,104,124,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
Otu15,113,136,618,162,2,3,10,2,0,0,0,1,2,0,1,6,1638,1142,782,1004,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Rutstroemiaceae; g__unidentified; s__unidentified
Otu27,1,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,1,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Naganishia; s__Naganishia_diffluens
Otu52,7,12,29,10,1,5,13,5,0,1,0,0,0,0,2,4,5,6,5,6,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__unidentified; s__unidentified
Otu36,695,741,1940,717,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__unidentified; s__unidentified
Otu60,271,319,1021,282,1,1,1,1,406,329,892,523,257,169,327,521,1186,369,386,240,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothideaceae; g__Endoconidioma; s__Endoconidioma_populi
Otu637,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_albidus
Otu1295,7,17,42,13,1,0,0,0,0,0,0,0,0,0,0,0,150,65,74,55,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
