#OTU ID,ZD01,ZD02,ZD03,ZD04,ZG01,ZG02,ZG03,ZG04,ZP01,ZP02,ZP03,ZP04,ZS01,ZS02,ZS03,ZS04,ZW01,ZW02,ZW03,ZW04,Consensus Lineage
Otu12,0,0,0,0,0,0,0,0,4837,3045,2971,3692,1233,702,758,2035,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu8,0,0,0,0,0,0,0,0,4476,2990,1968,3149,1065,1094,858,2442,0,13,7,17,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
Otu15,0,0,0,0,3,0,0,0,4639,3018,3116,2249,495,354,328,1288,3,16,6,18,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii
Otu11,0,0,0,0,0,0,1,6,2913,2495,1969,2184,755,551,509,1664,54,117,49,63,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu4,2305,1591,1737,2580,136,210,183,263,40,69,32,17,8,6,6,22,876,729,724,1082,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__
Otu16,0,0,0,0,2,0,1,3,2200,2717,1899,2098,821,312,378,1334,41,68,67,84,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__
Otu14,0,0,0,0,0,0,0,0,3087,1846,1379,2127,559,503,313,1476,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu24,0,0,0,0,2,0,1,6,1721,1818,1502,2071,603,304,388,1197,54,53,61,80,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu30,0,0,0,0,0,0,0,0,822,1615,1460,1205,1051,673,724,1556,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu18,130,101,109,98,1499,1613,2116,2203,7,3,8,5,4,1,5,2,92,57,102,44,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Curtobacterium; s__
Otu35,0,0,0,0,0,0,0,1,1953,1792,1238,1321,454,268,296,757,0,0,0,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__
Otu34,0,0,0,0,0,0,0,0,600,964,877,846,1108,775,624,2028,5,4,2,12,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu17,0,0,0,0,0,0,0,0,1810,1732,1052,1633,347,245,292,677,0,8,3,4,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
Otu33,0,0,0,0,0,0,0,0,780,1319,1121,1184,797,439,455,1293,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu7,0,0,0,0,0,0,0,0,1828,1420,954,1275,409,242,271,659,4,0,7,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu25,0,0,0,0,31,42,60,35,907,1245,1079,963,592,304,280,1056,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__
Otu23,1849,1101,1464,1478,37,29,45,34,0,0,5,3,0,2,0,0,183,55,93,49,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__
Otu29,135,87,112,153,1066,632,965,1858,114,49,74,75,23,13,15,54,128,52,76,6,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
Otu9,669,527,528,776,400,263,411,843,30,37,38,120,13,8,10,32,138,99,138,136,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
Otu10,901,613,632,1002,208,229,219,531,9,30,11,98,6,2,2,7,132,89,169,121,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
Otu55,0,0,0,0,0,0,0,0,721,1171,692,630,328,201,165,620,1,0,0,3,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu105,0,0,0,0,0,0,0,0,481,774,549,1073,272,151,138,548,9,9,13,35,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu3,0,0,0,0,1,0,0,0,702,1071,494,575,232,186,238,434,3,2,1,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu65,5,4,1,2,0,0,0,0,626,664,667,1013,216,176,118,361,11,18,6,14,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu68,0,0,0,0,0,0,0,0,631,743,617,500,347,177,178,631,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu88,0,0,0,0,0,0,0,0,812,518,624,788,300,170,169,353,0,2,5,2,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu38,0,0,0,0,1,0,0,0,390,732,456,484,322,207,240,637,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu36,733,510,611,800,35,26,25,69,2,1,9,5,3,2,3,2,149,125,153,16,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
